?(VAR_0) :- <http://vicodi.org/ontology#Fictional-Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Geographer>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Geographer>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Philosopher>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Philosopher>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Psychologist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Psychologist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Scientist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Individual>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Scientist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Geographer>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Geographer>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Philosopher>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Philosopher>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Psychologist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Psychologist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Scientist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Astronaut>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
?(VAR_0) :- <http://vicodi.org/ontology#Person>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Scientist>(VAR_1), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_2), <http://vicodi.org/ontology#Discoverer>(VAR_2), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_3), <http://vicodi.org/ontology#Inventor>(VAR_3).
