src_Artist_2877,src_Religious-Organisation_2170
src_Vehicle_4490,src_Philosopher_2843
src_TemporalInterval_1495,src_Business-Leader_3166
src_Philosopher_4370,src_Language_3126
src_Politician_4868,src_Dancer_4768
src_Educational-Organisation_3996,src_Flavour_3240
src_Role_2378,src_Writing_2948
src_Physician_2649,src_Diplomat_2497
src_Election_3538,src_Religious-Symbol_4152
src_Secular-Movement_445,src_Church_1596
src_Discoverer_1675,src_Economic-Process_498
src_Settlement_4983,src_Discoverer_4270
src_Artefact_3051,src_Painter_3806
src_Natural-Object_4870,src_Disease_4613
src_Election_3963,src_Landmark_2198
src_Queen_2653,src_Measurable-Trend_507
src_Leader_2966,src_Artistic-Style_3505
src_Meeting_1703,src_Foreign-Minister_1105
src_Cathedral_1434,src_Conductor_2030
src_Battle_907,src_Educational-Organisation_1062
src_Uprising_4853,src_Trades-Union_3680
src_Sultan_3768,src_Work-of-Art_32
src_Food_1848,src_VicodiOI_1841
src_Sultan_530,src_Ecclesiarch_1272
src_Dramaturge_1303,src_Religious-Community_3680
src_Representative-Institution_2411,src_City_3032
src_Relic_4495,src_International-Alliance_4253
src_Animal_3290,src_Secular-Ideology_1205
src_Secular-Movement_1446,src_Musician_306
src_Artist_4519,src_Other-Religious-Leader_4486
src_Religious-Leader_406,src_Artistic-Style_1561
src_Geographical-Discovery_2796,src_City_4069
src_Landmark_4914,src_Secular-Ideology_3434
src_Cathedral_469,src_Pollution_1803
src_Sculpture_2895,src_Discoverer_2843
src_Head-of-State_392,src_Scandal_4685
src_Ecclesiarch_1884,src_Astronaut_160
src_Church_1574,src_Pope_1035
src_Board_818,src_Social-Stratum_930
src_Head-of-Government_3759,src_Criminal_1253
src_Sportsman_11,src_Legislation_2169
src_Ideology_305,src_Person_1550
src_Religious-Organisation_3526,src_Author_2213
src_Role_1026,src_Economic-Enterprise_2867
src_University_4849,src_Military-Organisation_2286
src_Dancer_3577,src_Engineer_866
src_Trades-Union_261,src_Intellectual-Construct_3289
src_Trades-Union_2328,src_Category_2285
src_Artistic-Style_598,src_Flavour_3907
src_Psychologist_2412,src_Board_3454
src_Disease_304,src_Population-Movement_1685
src_Time_1539,src_Crime_4194
src_Painter_2026,src_Church_4744
src_Pope_4988,src_Writing_2376
src_Head-of-Government_1166,src_Sculptor_680
src_Economic-Symbol_314,src_Food_3929
src_Foreign-Minister_3126,src_Psychologist_1067
src_Cultural-Organisation_3329,src_Settlement_2767
src_War_3784,src_Artefact_249
src_Discoverer_487,src_Technical-Scientific-Advance_1704
src_Building_3963,src_Ritual_1251
src_Publisher_1516,src_Painter_2729
src_Journalist_3943,src_Settlement_981
src_Secular-Ideology_3241,src_Event_3580
src_Head-of-State_785,src_Functionary_21
src_City_4276,src_Ritual_4077
src_Military-Organisation_3292,src_Inventor_4691
src_Actor_1034,src_Election_262
src_Fictional-Person_536,src_Composer_497
src_Clothing_2531,src_Economic-Organisation_2496
src_Pollution_1670,src_Landmark_1747
src_Religious-Ideology_4130,src_Professor_2828
src_Ideology_2609,src_Entertainer_4165
src_Period-in-Office_1458,src_Abstract-Notion_843
src_Economic-Symbol_3790,src_Management-Organisation_4961
src_Minister_3337,src_Country_1027
src_Meeting_2276,src_Category_2144
src_Engineer_536,src_Badge_3850
src_Author_2309,src_Animal_1126
src_Geographer_4656,src_Philosopher_898
src_Military-Organisation_1819,src_Landmark_2280
src_Movement_2846,src_Church-Reformer_2102
src_Secular-Movement_3787,src_Ethnic-Group_1150
src_League_1823,src_Secular-Ideology_3865
src_Population-Movement_1300,src_Time_1715
src_Economic-Enterprise_2196,src_Discoverer_763
src_Philanthropist_4640,src_Journalist_3602
src_Jurist_3879,src_Pastime_229
src_Pamphlet_3034,src_Badge_480
src_Military-Person_284,src_Sportsman_2217
src_Artist_814,src_Population-Movement_4462
src_Time_1640,src_Individual_2941
src_Natural-Object_2436,src_Head-of-State_814
src_Object_2253,src_Liturgical-Object_998
src_Scientific-Instrument_509,src_Legislation_4819
src_Trades-Unionist_1643,src_Journalist_1919
src_Writing_603,src_Artefact_2571
src_Landmark_2536,src_Legislation_3209
src_Party_237,src_Crime_3454
src_Crime_2705,src_Management-Organisation_2434
src_Journal_560,src_Magnate_4077
src_Water_886,src_Artistic-Movement_648
src_Structure_4294,src_Public-Oration_3405
src_Stereotype-Group_4009,src_Artistic-Style_3717
src_Location-Part-Relation_683,src_League_2100
src_Diplomat_4599,src_Engineer_130
src_Representative-Institution_154,src_Entertainer_3312
src_Theologian_1565,src_Scientific-Instrument_13
src_Scientific-Instrument_300,src_Scientist_909
src_Inventor_3947,src_Religious-Community_1685
src_Trade-Association_1408,src_Sculptor_4989
src_Intra-State-Group_4836,src_Food_2482
src_Illness_500,src_Other-Religious-Leader_1591
src_Representative-Institution_3900,src_Event_367
src_Board_3818,src_Cultural-Agreement_4186
src_Religious-Community_328,src_Time_4626
src_Intellectual-Movement_1411,src_Individual_4360
src_Sportsman_1121,src_Military-Organisation_1648
src_Head-of-Government_1031,src_Journal_1046
src_Clerical-Leader_1160,src_Intellectual-Construct_531
src_Military-Organisation_1242,src_Architect_4296
src_Professor_1819,src_Inventor_3294
src_Stereotype-Group_4905,src_Social-Stratum_1479
src_Artistic-Style_3534,src_Theologian_3676
src_Battle_2186,src_Population-Movement_3572
src_Engineer_2075,src_Actor_534
src_King_3967,src_Illness_348
src_Individual_1482,src_Crime_1868
src_Leader_427,src_Magnate_3123
src_Event_1688,src_Scientific-Instrument_192
src_Religious-Order_3130,src_Organisation_2491
src_National-Symbol_4260,src_Pamphlet_4240
src_Organisation_1517,src_War_524
src_Sultan_1357,src_Social-Group_1043
src_Fictional-Person_812,src_Clothing_4835
src_Village_677,src_Architect_4184
src_Time-Dependent-Relation_3425,src_Secular-Ideology_2085
src_Animal_4688,src_Non-Military-Conflict_3180
src_Dramaturge_299,src_Disease_3802
src_Conductor_1405,src_Badge_834
src_Technical-Scientific-Advance_3584,src_Illness_1700
src_Secular-Ideology_3987,src_Food_3858
src_Cathedral_3889,src_Trades-Unionist_4847
src_Dynasty_3229,src_Criminal_4804
src_Head-of-Government_1641,src_Non-Military-Conflict_4104
src_Pamphlet_3830,src_Category_2108
src_Water_3582,src_Landmark_280
src_Religious-Organisation_3917,src_Train_1813
src_Language_382,src_Painting_3248
src_Economic-Process_4922,src_Ecclesiarch_1696
src_Sculpture_3963,src_Illness_2428
src_Idea_790,src_Measurable-Trend_3340
src_Functionary_3087,src_Author_2570
src_Management-Organisation_3823,src_Artistic-Movement_3164
src_Life-Event_2064,src_Foreign-Minister_4018
src_Country_4849,src_Ethnic-Group_30
src_Head-of-Government_4044,src_National-Symbol_3221
src_Art-Form_29,src_Magnate_2440
src_Social-Stratum_4366,src_Sultan_2639
src_Conceptual-Object_357,src_Conceptual-Object_1811
src_Idea_2311,src_Country_3430
src_Inventor_1317,src_Location_3290
src_Village_1205,src_Sculptor_4890
src_Other-Religious-Person_1404,src_Measurable-Trend_4417
src_Secular-Leader_3886,src_Clerical-Leader_1493
src_Religious-Order_2696,src_Foreign-Minister_232
src_National-Symbol_1789,src_Event_1587
src_Politician_1365,src_League_254
src_Time-Dependent-Relation_1372,src_Astronaut_2384
src_Political-Symbol_758,src_Magnate_752
src_Theologian_2584,src_Prince_1454
src_Artistic-Style_1706,src_War_3529
src_Physician_1360,src_Religious-Movement_4878
src_Trial_4376,src_Ideology_3753
src_Business-Leader_2606,src_Artistic-Style_172
src_Cathedral_4626,src_Social-Stratum_1145
src_Head-of-Government_2467,src_Period_2085
src_Economic-Enterprise_357,src_Political-Symbol_1947
src_Educational-Organisation_1030,src_Uprising_1705
src_Artist_1615,src_International-Alliance_2723
src_Inventor_678,src_Trial_3563
src_Person-Role_1576,src_Individual_3418
src_Geographical-Discovery_4499,src_Event_2790
src_Time_4905,src_Pamphlet_1479
src_Cathedral_3360,src_FuzzyTemporalInterval_2799
src_Badge_2447,src_Foreign-Minister_4486
src_Business-Leader_2027,src_Category_4583
src_King_432,src_Cultural-Organisation_2067
src_Field-of-Knowledge_1931,src_Philanthropist_3280
src_Board_2196,src_Magnate_2509
src_Social-Group_513,src_Scientific-Instrument_3917
src_Time-Dependent_1149,src_Politician_3261
src_Economic-Symbol_407,src_Cathedral_1476
src_Time_847,src_Artistic-Movement_3678
src_Piece-of-Music_4211,src_Sultan_3636
src_Pamphlet_960,src_Landmark_1276
src_Idea_1644,src_Geographical-Feature_4081
src_Physician_2088,src_Economist_4111
src_Creator_4635,src_Time-Dependent_1949
src_Cultural-Organisation_4418,src_Scandal_3535
src_Theologian_1684,src_Ship_2638
src_Technical-Scientific-Advance_2889,src_Representative-Institution_3943
src_University_1738,src_Physician_4133
src_Artefact_2387,src_Foreign-Minister_1051
src_Battle_2173,src_Animal_4562
src_Psychologist_4481,src_Politician_1995
src_Minister_3575,src_Scientist_1994
src_Period_4004,src_Clothing_3232
src_University_4466,src_Pope_4443
src_Location-Part-Relation_3585,src_Religious-Leader_1452
src_Economist_2683,src_FuzzyTemporalInterval_3276
src_Party_2525,src_Church-Reformer_4140
src_Relic_3130,src_Stereotype-Group_400
src_Religious-Community_3274,src_National-Symbol_3111
src_Painting_3183,src_Fictional-Person_1609
src_Public-Oration_3008,src_Person-Role_29
src_Geographical-Region_4702,src_Religious-Leader_622
src_Philanthropist_4860,src_Scientific-Instrument_4282
src_Fictional-Person_2187,src_Religious-Symbol_223
src_Intellectual-Construct_1107,src_Theologian_1730
src_Physician_302,src_Economic-Process_3205
src_Religious-Ideology_2031,src_Cleric_1860
src_Clerical-Leader_2424,src_Military-Person_2373
src_Inventor_1289,src_Time_3794
src_Geographical-Feature_3948,src_Non-Military-Conflict_1771
src_Sculptor_572,src_Social-Stratum_2972
src_Vehicle_3110,src_Life-Event_1905
src_Geographical-Discovery_3384,src_Food_4290
src_Political-Symbol_3767,src_Religious-Ideology_4231
src_Organisation_2124,src_Sculpture_41
src_Economist_230,src_Pamphlet_3594
src_Painting_4507,src_Theologian_1858
src_Economic-Symbol_2887,src_Religious-Movement_103
src_Artist_2960,src_Secular-Ideology_1304
src_Time-Dependent_3192,src_City_4598
src_Dynasty_4657,src_Ecclesiarch_440
src_Organisation_3623,src_Creator_1633
src_Creator_3998,src_Composer_1272
src_Structure_309,src_Landmark_1316
src_Ideology_2554,src_Secular-Leader_1474
src_Uprising_1373,src_Board_964
src_Fictional-Person_2161,src_Secular-Leader_3832
src_Trade-Association_4317,src_International-Organisation_3058
src_Non-Military-Conflict_2936,src_Representative-Institution_3383
src_Other-Religious-Leader_1683,src_Scientific-Instrument_1639
src_Secular-Leader_4344,src_Economic-Symbol_4326
src_Battle_1136,src_Economist_4863
src_Intra-State-Group_4891,src_Film-Maker_3853
src_Economic-Process_1936,src_Location_3232
src_Category_4869,src_Food_3232
src_Theologian_3688,src_Astronaut_938
src_Party_2539,src_Cleric_1724
src_Geographer_2134,src_Landmark_4093
src_Religious-Organisation_4103,src_Cultural-Agreement_822
src_Philosopher_2012,src_Discoverer_1520
src_Queen_2977,src_Settlement_928
src_Economic-Enterprise_2933,src_International-Organisation_4582
src_Role_2415,src_Non-Military-Conflict_4814
src_National-Symbol_4814,src_Crime_2824
src_Physician_2981,src_Governmental-Organisation_2026
src_Scientist_454,src_Ethnic-Group_1496
src_Political-Region_4261,src_Non-Military-Conflict_189
src_Painter_3077,src_Badge_97
src_Religious-Symbol_145,src_League_455
src_Painting_4216,src_Stereotype-Group_1170
src_Economic-Organisation_2571,src_Time_3539
src_Psychologist_2827,src_Language_266
src_Cathedral_2171,src_Sculptor_1166
src_Discoverer_3997,src_Geographical-Feature_3490
src_Time-Dependent-Relation_2352,src_Piece-of-Music_1567
src_Intra-State-Group_3559,src_Location-Part-Relation_3864
src_Religious-Leader_733,src_Architect_190
src_Organisation_2564,src_Clerical-Leader_4896
src_Actor_3494,src_Symbol_3758
src_Period-in-Office_298,src_Theologian_2122
src_Ship_592,src_Religious-Order_4076
src_Church_432,src_City_3241
src_Clerical-Leader_116,src_Religious-Leader_4863
src_Person_3037,src_Other-Religious-Leader_728
src_Political-Symbol_1795,src_Diplomat_3240
src_Dancer_4111,src_Scandal_2780
src_Location_4082,src_Representative-Institution_4553
src_Author_2521,src_Ritual_3086
src_Architect_2208,src_Political-Symbol_4392
src_Economic-Process_962,src_Person-Role_3440
src_Measurable-Trend_4435,src_Battle_1458
src_Psychologist_4717,src_Commodity_2245
src_Painter_2582,src_Language_2770
src_Dynasty_2875,src_Ecclesiarch_811
src_Political-Organisation_2838,src_King_1449
src_Time-Dependent-Relation_3818,src_Church_586
src_Economic-Organisation_1359,src_Social-Group_2381
src_Measurable-Trend_1929,src_Magnate_2035
src_Representative-Institution_3091,src_Political-Region_2708
src_Location_3881,src_Religious-Symbol_1643
src_Measurable-Trend_251,src_Scandal_303
src_Management-Organisation_1293,src_Scientific-Instrument_719
src_Composer_1907,src_Emperor_4274
src_Ship_362,src_Ideology_2968
src_TemporalInterval_1250,src_Geographical-Discovery_1312
src_League_663,src_Work-of-Art_166
src_Queen_1615,src_Engineer_4448
src_Painting_3358,src_Foreign-Minister_4446
src_Dynasty_4828,src_Psychologist_1493
src_Secular-Leader_97,src_Location-Part-Relation_2174
src_Badge_3967,src_Settlement_3951
src_Sculpture_3333,src_Economic-Organisation_2957
src_Building_3148,src_Economic-Process_4492
src_Structure_4313,src_Artefact_4414
src_Period_779,src_Party_4299
src_Scientist_2815,src_Election_691
src_Psychologist_3920,src_Time_1429
src_Relic_1538,src_Musician_2491
src_Object_3477,src_Philosopher_1933
src_Economic-Enterprise_750,src_Architect_2798
src_Ecclesiarch_3401,src_Magnate_3710
src_Geographical-Discovery_1571,src_Symbol_2197
src_Church-Reformer_1540,src_Armament_3209
src_Role_1954,src_Stereotype-Group_4333
src_Piece-of-Music_320,src_Public-Oration_126
src_Treaty_4133,src_Journal_2578
src_Natural-Object_2657,src_VicodiOI_2615
src_Public-Oration_1003,src_Monastery_1150
src_Location_757,src_Diplomat_2402
src_Representative-Institution_1425,src_International-Alliance_3785
src_Inventor_3445,src_Abstract-Notion_1021
src_Inventor_641,src_Meeting_1671
src_Abbey_1665,src_Symbol_242
src_Emperor_878,src_Technical-Scientific-Advance_527
src_Meeting_895,src_Structure_4746
src_Writing_3286,src_Dancer_1952
src_Church_3389,src_Disaster_500
src_Painting_3462,src_Dynasty_2325
src_Head-of-Government_370,src_Trade-Association_1004
src_Pope_4705,src_Religious-Leader_1711
src_Ecclesiarch_2584,src_Period-in-Office_926
src_Diplomat_3041,src_Business-Leader_1311
src_Management-Organisation_100,src_Field-of-Knowledge_4058
src_Artistic-Movement_4740,src_Trades-Union_2875
src_Scientist_1500,src_Sportsman_1023
src_Writing_1143,src_Location_4260
src_Cleric_3903,src_Vehicle_3274
src_Idea_4742,src_International-Alliance_1608
src_Field-of-Knowledge_3344,src_Emperor_1197
src_Clothing_2834,src_Criminal_1012
src_Entertainer_3203,src_Dancer_707
src_Publisher_1664,src_Trade-Association_1672
src_Trades-Union_302,src_Educational-Organisation_1055
src_Fictional-Person_1088,src_University_4533
src_Physician_3113,src_Intra-State-Group_826
src_FuzzyTemporalInterval_451,src_Board_1351
src_Language_2358,src_Religious-Practice_4852
src_Professor_1252,src_Creator_3516
src_Social-Group_1313,src_Social-Group_1176
src_Art-Form_2560,src_Sculptor_4708
src_Natural-Object_2096,src_Military-Person_4338
src_Religious-Community_4925,src_Crime_3513
src_Armament_4667,src_Time-Dependent_3649
src_TemporalInterval_2046,src_Politician_2454
src_Armament_3957,src_Magnate_2615
src_Illness_2500,src_National-Symbol_3082
src_Movement_4832,src_Conceptual-Object_1342
src_Ritual_2950,src_Representative-Institution_404
src_Artist_3181,src_Head-of-Government_3778
src_Stereotype-Group_4986,src_Political-Symbol_3725
src_Head-of-State_1225,src_Badge_2611
src_International-Organisation_2849,src_Role_4259
src_Church_1249,src_Uprising_2289
src_Religious-Movement_4526,src_Idea_322
src_Political-Region_118,src_Ideology_2648
src_Military-Person_3255,src_Pollution_1066
src_Building_1481,src_Role_172
src_Head-of-State_4602,src_Trade-Association_4246
src_Musician_4648,src_International-Alliance_3315
src_Military-Organisation_1009,src_Religious-Practice_2761
src_Object_190,src_Geographical-Discovery_87
src_Head-of-State_2902,src_War_3528
src_Ritual_4159,src_Liturgical-Object_795
src_Liturgical-Object_55,src_International-Alliance_1948
src_Train_3336,src_Physician_2603
src_Author_4266,src_Journal_4887
src_Uprising_2067,src_Journalist_3790
src_Natural-Object_2937,src_Population-Movement_2579
src_Painting_2384,src_Country_3733
src_Technical-Scientific-Advance_4055,src_Time-Dependent_4880
src_Natural-Object_1677,src_Engineer_243
src_Discoverer_2033,src_Country_2333
src_Person-Role_1007,src_Cultural-Agreement_4108
src_Village_94,src_Conceptual-Object_4820
src_Ship_3126,src_Dancer_3904
src_Queen_1399,src_Political-Symbol_2688
src_Board_2748,src_Sportsman_799
src_Composer_4551,src_Political-Organisation_4175
src_Location_2430,src_Crime_3115
src_Diplomat_667,src_Artefact_737
src_Battle_417,src_Publisher_1851
src_Business-Leader_2082,src_Scientific-Instrument_1929
src_Political-Region_2381,src_Religious-Practice_3332
src_Location-Part-Relation_2493,src_Creator_2697
src_Location_4549,src_Battle_984
src_Other-Religious-Leader_1480,src_Movement_671
src_Piece-of-Music_109,src_Politician_2032
src_Queen_311,src_Conceptual-Object_2013
src_Sculptor_2186,src_Religious-Practice_1083
src_Abstract-Notion_329,src_Time_3898
src_Inventor_3277,src_Religious-Ideology_3831
src_Military-Person_936,src_Organisation_611
src_Vehicle_1480,src_Measurable-Trend_3348
src_Social-Group_4031,src_Foreign-Minister_1110
src_Organisation_494,src_Cultural-Agreement_2342
src_Legislation_3314,src_War_1803
src_Geographical-Feature_2495,src_Philanthropist_2801
src_Language_521,src_Legislation_1379
src_Technical-Scientific-Advance_929,src_Measurable-Trend_1412
src_Intellectual-Construct_3828,src_Location_3307
src_Secular-Ideology_4120,src_Geographical-Discovery_2361
src_Psychologist_4279,src_Meeting_311
src_City_2974,src_Person-Role_2872
src_Uprising_4119,src_Landmark_2089
src_Criminal_3179,src_Time-Dependent_1537
src_Economic-Process_2780,src_Religious-Movement_601
src_International-Organisation_3373,src_Disaster_2009
src_Person_4069,src_Village_1307
src_Train_4120,src_Work-of-Art_1193
src_Board_4974,src_Sportsman_2126
src_Film-Maker_496,src_Intra-State-Group_2435
src_Economic-Process_1228,src_Publisher_4769
src_Country_714,src_Creator_366
src_Sportsman_2078,src_Intellectual-Construct_4406
src_Dancer_2438,src_Artistic-Style_2039
src_Painting_4966,src_Food_345
src_Military-Organisation_1559,src_Film-Maker_4776
src_Other-Religious-Person_1262,src_Author_4736
src_Monastery_592,src_Country_1203
src_Idea_1131,src_Newspaper_2945
src_Relic_3488,src_Role_2125
src_Inventor_261,src_Jurist_3272
src_Dramaturge_3079,src_Field-of-Knowledge_3285
src_Social-Stratum_3140,src_Badge_4920
src_Secular-Movement_3654,src_Animal_108
src_Landmark_2524,src_Religious-Ideology_887
src_Trades-Union_1187,src_National-Symbol_4188
src_TemporalInterval_2121,src_Artistic-Movement_1460
src_Religious-Practice_2146,src_Time-Dependent_4602
src_Pamphlet_27,src_Sculpture_570
src_Person_1116,src_King_2253
src_Settlement_2619,src_Leader_3236
src_Country_4235,src_Minister_1718
src_Philanthropist_3020,src_Clerical-Leader_185
src_National-Symbol_587,src_Intra-State-Group_4593
src_Entertainer_890,src_Battle_2847
src_Social-Group_4035,src_Flavour_2344
src_Writing_941,src_VicodiOI_2808
src_Religious-Practice_3769,src_Military-Unit_740
src_Military-Person_4527,src_Social-Stratum_1842
src_Artistic-Movement_3881,src_Creator_3045
src_Scientific-Instrument_2897,src_FuzzyTemporalInterval_784
src_Idea_2390,src_Political-Organisation_3862
src_Religious-Leader_4818,src_Philosopher_4012
src_Badge_319,src_Trades-Union_2444
src_Geographer_2527,src_Flavour_1543
src_Pamphlet_1019,src_Public-Oration_758
src_Religious-Symbol_1075,src_Dynasty_2996
src_Cultural-Organisation_2445,src_Animal_3499
src_Engineer_3704,src_Magnate_2858
src_Illness_4032,src_Non-Military-Conflict_1064
src_Animal_1364,src_Book_4145
src_Musician_3138,src_Pollution_2474
src_Journal_1965,src_Illness_953
src_Technical-Scientific-Advance_1117,src_Organisation_1190
src_Building_3389,src_Economic-Enterprise_392
src_Time-Dependent_3193,src_Masonic-Lodge_365
src_Cultural-Organisation_2502,src_Natural-Object_1338
src_Military-Unit_1195,src_Prince_1803
src_Religious-Ideology_725,src_Cathedral_2952
src_Minister_4897,src_Political-Symbol_101
src_Relic_1707,src_Food_868
src_Liturgical-Object_4091,src_Dramaturge_1112
src_Sculpture_1871,src_Category_3953
src_Ecclesiarch_3107,src_Musician_1119
src_Abbey_3308,src_Measurable-Trend_4076
src_Religious-Ideology_3573,src_Saint_4579
src_Object_3297,src_Sultan_1879
src_Person_4895,src_Fictional-Event_4322
src_Trial_3044,src_Location_451
src_Trade-Association_882,src_Armament_2010
src_Landmark_2981,src_Secular-Leader_4875
src_War_3726,src_Population-Movement_3684
src_Queen_1081,src_Illness_229
src_Scientific-Instrument_1889,src_Cleric_731
src_Vehicle_1884,src_Legislation_1193
src_Measurable-Trend_2681,src_Religious-Leader_1612
src_Entertainer_3653,src_Pastime_4506
src_Conceptual-Object_1821,src_Environment_3134
src_Structure_1389,src_Religious-Movement_3674
src_Sultan_3151,src_Population-Movement_2929
src_Symbol_2208,src_Ritual_1759
src_Saint_3700,src_Legislation_2368
