src_Book_313,src_Philosopher_4452
src_Battle_3347,src_Public-Oration_2434
src_Religious-Order_3745,src_Political-Region_3901
src_League_1128,src_Sculptor_172
src_Individual_4833,src_Work-of-Art_1732
src_Piece-of-Music_250,src_Politician_1631
src_Educational-Organisation_1104,src_Painter_4195
src_Pastime_4856,src_Time-Dependent_3012
src_Time_1420,src_Geographical-Feature_751
src_Conductor_1361,src_Fictional-Person_3796
src_Ritual_4628,src_Politician_4206
src_Magnate_1172,src_Pollution_275
src_Clerical-Leader_1083,src_Economist_659
src_Professor_4463,src_Disaster_2310
src_Prince_2053,src_Professor_1559
src_Prince_3773,src_Head-of-Government_719
src_Management-Organisation_4136,src_Conductor_135
src_Masonic-Lodge_3774,src_Person_3918
src_Religious-Community_1092,src_Newspaper_4034
src_Time-Dependent-Relation_2706,src_Political-Region_4975
src_Trade-Association_4683,src_Water_257
src_Religious-Organisation_1381,src_Cleric_3840
src_Jurist_3313,src_Military-Organisation_823
src_Dancer_2029,src_Crime_1129
src_Church-Reformer_2260,src_Cultural-Agreement_4065
src_Musician_4935,src_Politician_3532
src_VicodiOI_468,src_Disaster_4941
src_Journal_1845,src_Trades-Unionist_4188
src_Disaster_220,src_Queen_220
src_Engineer_4418,src_Politician_287
src_Election_1543,src_Category_1601
src_Train_2083,src_Emperor_4398
src_Building_939,src_Political-Symbol_3409
src_Field-of-Knowledge_3271,src_Object_1370
src_Liturgical-Object_1337,src_Scientist_3818
src_Pastime_4792,src_Geographical-Feature_1966
src_Psychologist_4530,src_Meeting_1758
src_Ethnic-Group_1760,src_Settlement_2609
src_Ecclesiarch_4611,src_Abbey_3199
src_Book_4540,src_Military-Person_2018
src_Politician_1201,src_Book_1130
src_Fictional-Event_1020,src_Liturgical-Object_2468
src_Water_3965,src_Idea_3734
src_War_808,src_Natural-Object_4833
src_Religious-Symbol_3345,src_Economic-Organisation_4348
src_Water_4684,src_Artistic-Style_769
src_Economic-Symbol_3377,src_Governmental-Organisation_830
src_Religious-Organisation_260,src_Secular-Movement_2954
src_Composer_2155,src_Ecclesiarch_681
src_Trade-Association_1168,src_Discoverer_1790
src_Trial_4838,src_Foreign-Minister_2100
src_Masonic-Lodge_553,src_Geographer_2186
src_Musician_4910,src_Actor_2233
src_Battle_1161,src_Psychologist_4795
src_Engineer_2382,src_Period_2353
src_Church_3911,src_Artistic-Style_1120
src_Military-Organisation_3363,src_Monastery_730
src_Geographical-Feature_1704,src_Time_1885
src_Fictional-Event_184,src_Location-Part-Relation_4498
src_Flavour_4486,src_Armament_2468
src_Location-Part-Relation_220,src_Sultan_474
src_Geographer_2685,src_Dancer_1187
src_Religious-Community_1541,src_Political-Symbol_237
src_Writing_3616,src_Measurable-Trend_4834
src_Person_168,src_Entertainer_1032
src_Scientific-Instrument_3840,src_Magnate_2083
src_Economic-Symbol_69,src_Time-Dependent_162
src_Election_165,src_Movement_2890
src_Sultan_3471,src_Pastime_1163
src_Organisation_570,src_Ship_3669
src_Political-Region_1746,src_Person_4206
src_Country_2300,src_Non-Military-Conflict_1251
src_Leader_2827,src_Country_4104
src_Church_2539,src_VicodiOI_4030
src_Leader_4075,src_Movement_1088
src_Movement_2960,src_Landmark_746
src_Abbey_4412,src_Leader_4183
src_Astronaut_1829,src_Organisation_237
src_Religious-Symbol_4713,src_Illness_4359
src_Sculptor_4055,src_Liturgical-Object_607
src_Battle_1314,src_Political-Region_4518
src_Foreign-Minister_4263,src_National-Symbol_641
src_Secular-Ideology_1717,src_Intellectual-Movement_4433
src_FuzzyTemporalInterval_1900,src_Person_152
src_Political-Symbol_3325,src_Pope_4491
src_Masonic-Lodge_2634,src_Abbey_4960
src_Person_1735,src_Masonic-Lodge_2685
src_Illness_1797,src_Foreign-Minister_2082
src_Movement_4464,src_Sportsman_1573
src_Individual_2014,src_Religious-Order_2208
src_Religious-Community_799,src_Economic-Symbol_3657
src_Idea_1636,src_Food_2142
src_Artistic-Style_1977,src_Artistic-Style_4882
src_Fictional-Person_1476,src_Criminal_1609
src_Journalist_4791,src_Trades-Union_1268
src_Prince_2650,src_Food_1481
src_Ideology_3297,src_Physician_4722
src_Economic-Process_3829,src_Language_2416
src_Economist_4166,src_Cultural-Organisation_1076
src_Population-Movement_1014,src_Journal_2905
src_Painter_3537,src_Author_2578
src_Treaty_3440,src_Geographical-Feature_156
src_Engineer_2509,src_Landmark_4423
src_Non-Military-Conflict_1913,src_Battle_1350
src_Party_993,src_Painting_2776
src_Musician_176,src_Psychologist_19
src_Election_197,src_Party_4157
src_Diplomat_3172,src_Trial_1438
src_Building_1179,src_Individual_221
src_Geographical-Region_2411,src_Scientific-Instrument_2805
src_Religious-Movement_374,src_Location_3475
src_Military-Person_4351,src_Flavour_4679
src_FuzzyTemporalInterval_3925,src_Artistic-Movement_1277
src_Geographical-Discovery_2778,src_Election_1383
src_Secular-Movement_4128,src_Badge_2817
src_Trades-Union_1307,src_Ecclesiarch_1024
src_Professor_4298,src_Social-Group_2303
src_Musician_2094,src_Armament_4368
src_Minister_4301,src_Writing_460
src_Military-Person_288,src_Church-Reformer_1159
src_Sculptor_2048,src_Engineer_123
src_VicodiOI_2352,src_Religious-Movement_1919
src_National-Symbol_2988,src_Church_4515
src_Philosopher_4615,src_Political-Region_1619
src_Animal_1642,src_Criminal_3989
src_Location_3632,src_Musician_2049
src_Person_3054,src_Painting_2989
src_Emperor_4152,src_Battle_3786
src_Physician_2111,src_Pamphlet_3294
src_Religious-Symbol_190,src_Commodity_3791
src_Business-Leader_4596,src_Book_352
src_Sculptor_2188,src_Musician_2003
src_Scientist_1535,src_Vehicle_3195
src_Religious-Community_4316,src_Abbey_3757
src_Emperor_2269,src_Dynasty_1819
src_Crime_2827,src_Representative-Institution_3844
src_Foreign-Minister_3460,src_Battle_4907
src_Object_824,src_Person-Role_227
src_Scandal_2476,src_Geographical-Feature_316
src_Engineer_741,src_Cathedral_948
src_Relic_1302,src_Art-Form_2773
src_Geographical-Discovery_4653,src_Illness_3934
src_Diplomat_431,src_Settlement_2689
src_Field-of-Knowledge_4564,src_Economic-Enterprise_2297
src_Liturgical-Object_3021,src_King_2766
src_Pope_3538,src_Meeting_4743
src_Actor_648,src_War_66
src_Political-Organisation_703,src_Representative-Institution_4099
src_Secular-Movement_4730,src_Category_4062
src_Entertainer_2488,src_Sportsman_218
src_Trial_4159,src_Food_2221
src_Ritual_1760,src_Water_4974
src_International-Organisation_4629,src_Newspaper_827
src_Artistic-Style_4959,src_Church_215
src_Crime_813,src_Psychologist_3095
src_Saint_4782,src_Pope_2978
src_Secular-Ideology_2383,src_Monastery_1619
src_Psychologist_1817,src_Political-Organisation_2204
src_Geographer_3281,src_Painter_3617
src_Criminal_4011,src_Minister_382
src_Politician_2665,src_Prince_2117
src_Period-in-Office_4148,src_Religious-Leader_976
src_Book_230,src_Clerical-Leader_903
src_Journal_2190,src_International-Organisation_3487
src_Conceptual-Object_3474,src_Liturgical-Object_3240
src_Religious-Order_547,src_Jurist_96
src_Water_4682,src_Creator_2649
src_Individual_312,src_Minister_4684
src_Philanthropist_2212,src_Religious-Community_1385
src_Cathedral_2005,src_Actor_4349
src_Category_1583,src_Pope_3957
src_Election_1291,src_Train_1397
src_Diplomat_4766,src_Geographical-Discovery_4808
src_Artistic-Style_3771,src_Object_875
src_Commodity_2285,src_National-Symbol_4522
src_Public-Oration_3429,src_Uprising_1070
src_National-Symbol_3514,src_Foreign-Minister_1722
src_International-Alliance_1694,src_Badge_3321
src_Election_836,src_Ritual_1615
src_Trades-Unionist_72,src_Location_3280
src_Animal_631,src_Engineer_160
src_Measurable-Trend_2742,src_Educational-Organisation_3935
src_Event_4054,src_Measurable-Trend_4536
src_Church-Reformer_4348,src_Representative-Institution_4391
src_Psychologist_1199,src_Masonic-Lodge_1582
src_Battle_1219,src_Vehicle_138
src_Object_4242,src_Conductor_934
src_Author_3282,src_Other-Religious-Leader_2676
src_Journal_1898,src_Jurist_3755
src_Religious-Symbol_4613,src_Masonic-Lodge_2490
src_Category_2833,src_Meeting_575
src_Religious-Community_3778,src_Legislation_3436
src_Relic_3208,src_Religious-Leader_3342
src_Artistic-Style_3775,src_Person-Role_3196
src_Stereotype-Group_2116,src_Painting_1753
src_Military-Person_3333,src_Artistic-Style_3861
src_Creator_1665,src_Business-Leader_2958
src_Writing_343,src_Other-Religious-Leader_4311
src_Trade-Association_2851,src_Actor_746
src_Artistic-Style_2099,src_Clerical-Leader_767
src_Trades-Unionist_431,src_Religious-Ideology_3625
src_Cultural-Organisation_2959,src_Battle_4857
src_Cleric_3527,src_Train_3482
src_Technical-Scientific-Advance_3277,src_Technical-Scientific-Advance_2336
src_Party_2338,src_Relic_3661
src_Period_4831,src_Disaster_121
src_Sculptor_3175,src_Individual_142
src_Vehicle_3930,src_Landmark_4254
src_Artistic-Movement_2411,src_Category_4873
src_Film-Maker_879,src_Writing_2702
src_Board_1269,src_Period_741
src_Composer_2197,src_Sculptor_3727
src_International-Organisation_4625,src_Theologian_3627
src_Trial_752,src_Theologian_4575
src_Environment_1017,src_Stereotype-Group_2342
src_VicodiOI_3045,src_Economic-Enterprise_3867
src_Diplomat_1853,src_Economist_315
src_City_1402,src_International-Alliance_4272
src_Religious-Practice_2068,src_Professor_1664
src_Food_4026,src_Movement_4416
src_Military-Organisation_1680,src_Badge_1478
src_Painter_4919,src_Head-of-Government_3394
src_Artistic-Style_4694,src_Political-Organisation_3968
src_Population-Movement_950,src_Work-of-Art_4764
src_Dancer_3987,src_Economic-Symbol_2490
src_Other-Religious-Person_4142,src_Political-Region_4834
src_Crime_3287,src_Geographical-Feature_157
src_Trades-Unionist_4720,src_Artistic-Style_4350
src_Religious-Leader_349,src_Professor_3799
src_Intellectual-Construct_4808,src_Musician_2695
src_Technical-Scientific-Advance_4545,src_Person_1397
src_Liturgical-Object_1762,src_Illness_636
src_Political-Region_552,src_Individual_283
src_Economic-Organisation_2221,src_Geographical-Region_3240
src_Art-Form_2571,src_Sultan_1120
src_King_3267,src_University_4565
src_VicodiOI_787,src_Train_3437
src_Dancer_2614,src_Idea_419
src_Religious-Practice_1342,src_Minister_4188
src_Film-Maker_2100,src_Pamphlet_3752
src_Board_2680,src_Trial_3986
src_Person-Role_4836,src_Composer_3510
src_International-Alliance_4530,src_Time_159
src_Time-Dependent_647,src_Religious-Order_1082
src_Monastery_1167,src_Psychologist_2666
src_Crime_2183,src_Building_3584
src_Ethnic-Group_4417,src_Trades-Unionist_4175
src_Illness_2682,src_Dynasty_1210
src_Magnate_4896,src_Trades-Unionist_3331
src_Geographical-Feature_2655,src_Individual_856
src_Professor_1714,src_Symbol_2188
src_Period-in-Office_4383,src_Sculpture_1743
src_Piece-of-Music_4131,src_Author_4843
src_Board_221,src_Pamphlet_3884
src_Food_4983,src_Engineer_4923
src_Crime_1414,src_City_1536
src_Flavour_2467,src_Landmark_33
src_Political-Symbol_2601,src_Representative-Institution_195
src_Social-Stratum_1679,src_Head-of-Government_2651
src_Religious-Ideology_232,src_Battle_1602
src_Engineer_1445,src_Trades-Unionist_4995
src_Treaty_3221,src_Engineer_2466
src_Prince_4707,src_Geographer_1579
src_Water_3061,src_Field-of-Knowledge_2892
src_Field-of-Knowledge_3933,src_Cleric_4656
src_Religious-Order_1424,src_Train_577
src_Geographical-Region_1043,src_Settlement_3577
src_Leader_1630,src_VicodiOI_1781
src_Engineer_2153,src_Artistic-Movement_3479
src_Writing_4075,src_Religious-Order_3870
src_Crime_1649,src_Secular-Ideology_1764
src_Social-Group_2707,src_Symbol_4876
src_Water_762,src_Head-of-State_694
src_Religious-Leader_4462,src_Trades-Union_3464
src_Newspaper_3892,src_Astronaut_2242
src_Life-Event_869,src_Other-Religious-Leader_1350
src_Idea_1353,src_Head-of-State_875
src_Management-Organisation_2098,src_Ideology_4565
src_Military-Organisation_1990,src_Professor_1050
src_Inventor_4971,src_Period_987
src_Musician_1111,src_Natural-Object_3373
src_Location_1032,src_Environment_843
src_Professor_4453,src_Dancer_1026
src_Masonic-Lodge_1272,src_King_4560
src_Religious-Symbol_475,src_Secular-Leader_818
src_Composer_47,src_Jurist_2113
src_Life-Event_468,src_Economist_2712
src_Actor_2435,src_Religious-Community_3733
src_FuzzyTemporalInterval_4895,src_Cathedral_3921
src_Cultural-Organisation_2177,src_Environment_4206
src_Meeting_3587,src_Cultural-Agreement_3524
src_Representative-Institution_3676,src_Village_4744
src_Secular-Movement_4234,src_Work-of-Art_4201
src_Pope_1838,src_TemporalInterval_2464
src_Professor_673,src_Disaster_2892
src_Dynasty_4685,src_Religious-Organisation_4598
src_Theologian_3910,src_Location_4504
src_Party_2335,src_Food_3781
src_Intra-State-Group_4553,src_Cultural-Agreement_1853
src_Idea_4981,src_Inventor_744
src_Actor_3147,src_Intellectual-Movement_2660
src_Treaty_1723,src_Journalist_4349
src_Period_2689,src_Conceptual-Object_967
src_Economist_886,src_Head-of-State_4755
src_Publisher_4489,src_Commodity_780
src_Uprising_3492,src_Economist_4845
src_VicodiOI_1770,src_Economic-Process_2913
src_TemporalInterval_4119,src_Ideology_1486
src_Life-Event_3544,src_Ecclesiarch_2894
src_Piece-of-Music_2002,src_Person-Role_1268
src_Period_4238,src_Building_344
src_Theologian_4194,src_Disaster_4287
src_Emperor_1274,src_Artistic-Style_2026
src_Clerical-Leader_2189,src_Sportsman_1304
src_Population-Movement_621,src_Engineer_1787
src_Object_2798,src_Economist_2132
src_Cleric_3271,src_Entertainer_2164
src_Governmental-Organisation_1246,src_Vehicle_3289
src_Artefact_134,src_Movement_4449
src_Fictional-Person_2396,src_Religious-Community_3509
src_Environment_1112,src_Head-of-State_2525
src_Disease_4958,src_Religious-Community_3532
src_Military-Unit_2939,src_Geographical-Discovery_2752
src_Monastery_3661,src_Field-of-Knowledge_2848
src_Film-Maker_3404,src_Musician_2322
src_League_525,src_Artist_3320
src_Person_1036,src_Professor_4086
src_Economic-Organisation_4177,src_Film-Maker_1043
src_Geographical-Discovery_476,src_University_4986
src_Foreign-Minister_2139,src_City_2524
src_Scandal_850,src_Party_4587
src_Representative-Institution_113,src_Landmark_2925
src_Educational-Organisation_3481,src_Movement_4611
src_Cathedral_3912,src_Armament_4549
src_Life-Event_1053,src_Magnate_3117
src_Field-of-Knowledge_533,src_Event_740
src_Crime_3836,src_Religious-Organisation_356
src_Object_4599,src_Religious-Movement_1140
src_Technical-Scientific-Advance_1293,src_Head-of-State_2273
src_Economic-Process_1262,src_Religious-Practice_623
src_Monastery_2764,src_Vehicle_4228
src_Badge_1878,src_Philosopher_3709
src_Conductor_2356,src_Social-Stratum_1432
src_Event_1940,src_Time-Dependent-Relation_4421
src_Abbey_19,src_Military-Person_481
src_Sultan_2479,src_Economic-Organisation_2488
src_Uprising_2129,src_Geographical-Discovery_2454
src_Emperor_4344,src_Philanthropist_2843
src_Village_2984,src_Trade-Association_4017
src_Engineer_3138,src_Artist_3211
src_Painter_2693,src_Landmark_1259
src_Educational-Organisation_1082,src_Other-Religious-Leader_2240
src_Religious-Organisation_4765,src_Fictional-Person_3915
src_Object_3727,src_Party_3628
src_Representative-Institution_1104,src_Election_2582
src_Fictional-Event_1450,src_Trades-Union_227
src_Abstract-Notion_2377,src_Badge_3741
src_TemporalInterval_4791,src_Life-Event_2755
src_Functionary_1804,src_Scientist_356
src_Intellectual-Movement_2146,src_Masonic-Lodge_3739
src_Conceptual-Object_4678,src_Commodity_3894
src_Artist_4531,src_Pope_2773
src_Religious-Organisation_1400,src_Trade-Association_180
src_Building_1442,src_Publisher_1973
src_Geographer_2972,src_National-Symbol_2957
src_Sculptor_930,src_Piece-of-Music_753
src_Creator_3438,src_Landmark_4341
src_Person_4049,src_Author_168
src_Artefact_1955,src_Ship_2856
src_Saint_4670,src_Ideology_861
src_Military-Unit_2461,src_Book_789
src_Field-of-Knowledge_4402,src_Conceptual-Object_2012
src_Stereotype-Group_3084,src_Time-Dependent-Relation_2829
src_Intellectual-Construct_4527,src_Liturgical-Object_4281
src_Non-Military-Conflict_2086,src_Water_3218
src_Ship_2395,src_Artist_1685
src_Crime_1991,src_Category_1938
src_Engineer_1525,src_Building_3930
src_Location-Part-Relation_1329,src_Life-Event_620
src_Public-Oration_2503,src_Commodity_3955
src_Landmark_2789,src_Category_2768
src_Trades-Unionist_3738,src_Person-Role_199
src_Trial_448,src_Animal_3521
src_Crime_3476,src_Crime_693
src_Actor_4879,src_Badge_1635
src_Public-Oration_4412,src_Conceptual-Object_2151
src_Painter_4810,src_Conductor_2766
src_Queen_4892,src_Theologian_657
src_Art-Form_4068,src_Actor_4667
src_Relic_1486,src_Abbey_4392
src_Politician_4320,src_Relic_3563
src_Religious-Order_784,src_Flavour_1940
src_Masonic-Lodge_597,src_Life-Event_533
src_Social-Group_4055,src_Vehicle_1016
src_Movement_4835,src_Church-Reformer_135
src_Creator_3991,src_Disaster_767
src_Landmark_4460,src_Treaty_1545
src_Vehicle_4336,src_Religious-Symbol_4878
src_Period_4971,src_Non-Military-Conflict_4863
src_Publisher_322,src_Ecclesiarch_3359
src_Representative-Institution_3223,src_Social-Group_2501
src_Pollution_4554,src_Conductor_3249
src_Person-Role_1416,src_Trial_866
src_Period_4330,src_Scientist_602
src_Work-of-Art_265,src_Other-Religious-Person_4735
src_Saint_308,src_Location-Part-Relation_3455
src_Governmental-Organisation_3940,src_Sportsman_4367
src_Environment_2487,src_Dancer_416
src_Legislation_3424,src_Political-Organisation_4671
src_International-Alliance_3728,src_Battle_1511
src_Head-of-State_4878,src_Writing_2772
src_Environment_3874,src_Representative-Institution_3671
src_Religious-Movement_143,src_Political-Organisation_1705
src_Language_3558,src_Intellectual-Movement_390
src_Measurable-Trend_4511,src_Writing_3792
src_Painting_1395,src_Head-of-State_2029
src_Composer_3365,src_Monastery_2102
src_Cleric_2718,src_Movement_3716
src_Musician_4600,src_Political-Organisation_793
src_Religious-Practice_4106,src_Architect_3617
src_Church-Reformer_3795,src_Inventor_2955
src_Time-Dependent-Relation_1242,src_Board_2111
src_Geographical-Region_2777,src_Fictional-Person_2070
src_Political-Region_2665,src_Jurist_649
src_Painter_3801,src_Pollution_1359
src_Painter_4496,src_Sculptor_4966
src_Magnate_2578,src_Publisher_1589
src_Functionary_4080,src_Intra-State-Group_4827
src_Magnate_2671,src_Dynasty_4680
src_Pastime_4003,src_Artistic-Style_2895
src_Natural-Object_4965,src_Newspaper_2476
src_Economist_1767,src_Church-Reformer_3784
src_Economic-Process_4808,src_Artistic-Style_4005
src_Event_3394,src_Location-Part-Relation_4384
src_Military-Person_2553,src_University_4795
src_Pamphlet_398,src_Disease_2811
src_Secular-Movement_1842,src_Trades-Unionist_253
src_Head-of-Government_2830,src_Scientific-Instrument_4136
src_Uprising_303,src_Secular-Ideology_2591
src_War_4463,src_Clerical-Leader_1454
src_Cultural-Agreement_54,src_Psychologist_3069
src_Geographical-Region_840,src_Disaster_3158
src_Criminal_1655,src_Individual_63
src_Secular-Movement_753,src_Inventor_4533
src_Food_4293,src_Scientific-Instrument_2189
src_Foreign-Minister_3591,src_Intra-State-Group_3848
src_Military-Person_963,src_Social-Stratum_698
src_Conductor_526,src_Sportsman_1151
src_Functionary_3480,src_Governmental-Organisation_4427
src_Author_1165,src_Ethnic-Group_4252
src_Geographical-Region_4106,src_Disease_2119
src_Technical-Scientific-Advance_285,src_Cultural-Organisation_4867
src_Physician_854,src_Uprising_638
src_Functionary_2402,src_Dynasty_2514
src_Painter_1726,src_Illness_3131
src_Writing_88,src_Author_1311
src_Environment_1560,src_Measurable-Trend_4803
src_Pollution_3214,src_Cleric_1558
src_Masonic-Lodge_4598,src_Water_2541
src_Psychologist_1774,src_Functionary_3427
src_Board_4032,src_Animal_2761
src_Engineer_3802,src_Geographical-Feature_1873
src_Religious-Practice_4835,src_Period-in-Office_3179
src_Technical-Scientific-Advance_16,src_Geographical-Feature_1067
src_Conductor_941,src_Astronaut_3336
src_Other-Religious-Leader_3375,src_Sultan_3833
src_Artistic-Style_1429,src_Artefact_4973
src_Non-Military-Conflict_1079,src_Philanthropist_335
src_Economic-Symbol_1119,src_Work-of-Art_533
src_Cathedral_1933,src_Religious-Ideology_3180
src_Religious-Ideology_110,src_Church_825
src_Board_3340,src_King_2438
src_Country_168,src_Magnate_1119
src_Sculptor_764,src_Creator_1312
src_Military-Person_3517,src_Treaty_2061
src_Measurable-Trend_62,src_Clothing_4133
src_Uprising_2848,src_Foreign-Minister_1588
src_Person-Role_2349,src_Population-Movement_1620
src_Badge_2420,src_Scientific-Instrument_3215
src_Cleric_2470,src_City_284
src_Armament_4503,src_TemporalInterval_651
src_Geographer_3832,src_King_3462
src_Religious-Leader_1209,src_Religious-Symbol_4455
src_Election_973,src_Business-Leader_2688
src_Time_1974,src_Disease_4971
src_Leader_3062,src_Board_4270
src_Politician_2647,src_Village_2314
src_Magnate_2107,src_Sultan_1993
src_Food_1717,src_Religious-Movement_3265
src_Social-Group_4536,src_Military-Unit_4825
src_Crime_2734,src_Role_3439
src_Treaty_4808,src_Time_4884
src_Election_3229,src_Scandal_2109
src_Clerical-Leader_4998,src_Legislation_2455
src_Writing_4262,src_Governmental-Organisation_4117
src_Intellectual-Movement_662,src_Village_4801
src_Organisation_22,src_Economic-Organisation_3765
src_Writing_2704,src_Treaty_1173
src_Religious-Community_3639,src_Idea_1443
src_FuzzyTemporalInterval_3837,src_Period-in-Office_1797
src_Individual_4553,src_Representative-Institution_511
src_Period-in-Office_3431,src_Object_3041
src_Author_4602,src_Foreign-Minister_2870
src_Person_2181,src_Natural-Object_680
src_Building_4287,src_King_4386
src_Period_1484,src_Geographical-Region_3628
src_Other-Religious-Leader_920,src_Treaty_3869
src_Time-Dependent-Relation_1198,src_Foreign-Minister_3928
src_Cathedral_231,src_Election_805
src_Scientific-Instrument_607,src_Meeting_1850
src_Time-Dependent_1897,src_Pope_4142
src_Environment_3130,src_Disaster_3859
src_Stereotype-Group_1139,src_Artistic-Movement_2325
src_Individual_696,src_Representative-Institution_1883
src_Artist_4605,src_Creator_3945
src_FuzzyTemporalInterval_2104,src_Disaster_2103
src_Fictional-Event_2882,src_Geographer_554
src_Religious-Organisation_2167,src_Intellectual-Movement_4237
src_Masonic-Lodge_3758,src_Organisation_492
src_Time-Dependent_3874,src_Prince_1724
src_Legislation_4246,src_Field-of-Knowledge_1586
src_Artist_4095,src_Philosopher_3487
src_Person_1451,src_Inventor_3765
src_Painter_1983,src_Political-Organisation_3088
src_Sultan_4782,src_Actor_2899
src_Newspaper_4230,src_Queen_1846
src_Artist_461,src_Role_3402
src_Dancer_1241,src_Sultan_4841
src_Economic-Symbol_2540,src_Diplomat_1637
src_Social-Group_358,src_Psychologist_339
src_Scientific-Instrument_964,src_Person_2522
src_Creator_279,src_Clerical-Leader_4270
src_Trial_4800,src_Language_1436
src_Masonic-Lodge_4807,src_Jurist_2890
src_Abbey_2538,src_Painter_3213
src_Economic-Organisation_2250,src_Armament_2109
src_Scandal_3618,src_Symbol_4849
src_Geographical-Discovery_4865,src_Jurist_1386
src_King_4079,src_Technical-Scientific-Advance_1359
src_Natural-Object_2267,src_Professor_4941
src_Church-Reformer_4659,src_Landmark_1273
src_Queen_333,src_Scientist_1427
