src_Geographer_2202,src_FuzzyTemporalInterval_2317
src_Abstract-Notion_802,src_Technical-Scientific-Advance_3797
src_Pamphlet_4541,src_Ecclesiarch_3732
src_Management-Organisation_3478,src_Political-Organisation_4931
src_Theologian_3656,src_Artist_3558
src_Psychologist_2236,src_Sportsman_58
src_Art-Form_3710,src_Leader_4135
src_Book_2434,src_Church_3273
src_Natural-Object_3317,src_Food_2803
src_Religious-Movement_216,src_Pamphlet_2911
src_VicodiOI_2159,src_Fictional-Person_4363
src_Armament_2761,src_Economic-Symbol_4051
src_Military-Unit_4239,src_Publisher_878
src_Newspaper_2087,src_Ecclesiarch_2832
src_Emperor_2714,src_Head-of-Government_3309
src_Cleric_4761,src_Battle_3501
src_League_1927,src_Period_2784
src_Badge_1504,src_Board_2990
src_Religious-Ideology_447,src_King_3571
src_Pamphlet_1436,src_Jurist_4518
src_Educational-Organisation_3389,src_Philosopher_797
src_Journal_1459,src_Physician_2623
src_Population-Movement_1181,src_Non-Military-Conflict_4237
src_Ethnic-Group_1995,src_Prince_454
src_Writing_4529,src_Religious-Ideology_3125
src_Religious-Leader_1803,src_Water_1793
src_Fictional-Event_63,src_Settlement_3073
src_International-Organisation_1549,src_International-Alliance_2114
src_Economic-Process_260,src_Time-Dependent_566
src_Cathedral_3926,src_Religious-Leader_371
src_Economic-Process_2068,src_Cultural-Organisation_77
src_Vehicle_1756,src_Train_4993
src_Water_3446,src_Religious-Organisation_3815
src_Political-Symbol_3094,src_Person_1330
src_Political-Region_2532,src_Author_1608
src_Movement_3864,src_Geographical-Feature_4913
src_Country_1488,src_Abbey_3438
src_Masonic-Lodge_204,src_Church_343
src_Secular-Leader_3160,src_Conceptual-Object_4552
src_Social-Group_2768,src_Period-in-Office_1873
src_Clerical-Leader_1187,src_Scandal_2505
src_Ideology_550,src_Ritual_1958
src_Scientist_4481,src_Religious-Practice_4532
src_Professor_1999,src_Head-of-Government_2256
src_Fictional-Event_1703,src_National-Symbol_4791
src_Trial_3479,src_Life-Event_2391
src_Intellectual-Construct_4896,src_Building_2554
src_Piece-of-Music_3292,src_Environment_2347
src_Cultural-Agreement_3892,src_Clothing_2647
src_Country_3406,src_Train_3601
src_Trade-Association_3548,src_Cultural-Agreement_4721
src_Sportsman_616,src_Pollution_4890
src_Other-Religious-Person_3195,src_Military-Person_502
src_Sportsman_1285,src_Emperor_1313
src_Social-Group_1974,src_Psychologist_2151
src_Church_203,src_Disease_2907
src_Art-Form_109,src_Intra-State-Group_2893
src_VicodiOI_4643,src_Artefact_1878
src_Piece-of-Music_1695,src_Party_3
src_Treaty_846,src_Ecclesiarch_4596
src_Artistic-Style_2369,src_Meeting_3712
src_Foreign-Minister_4793,src_Event_1895
src_Pastime_191,src_Religious-Order_2683
src_Church-Reformer_3249,src_Pamphlet_1996
src_VicodiOI_1057,src_Cleric_2287
src_Physician_4944,src_War_834
src_Uprising_3183,src_Trade-Association_2030
src_Theologian_4238,src_Magnate_4042
src_Newspaper_1573,src_Pamphlet_4240
src_Legislation_3839,src_Architect_3494
src_Journalist_2071,src_Newspaper_491
src_Professor_4011,src_Military-Organisation_827
src_Person-Role_1093,src_Physician_3353
src_Jurist_57,src_Scientist_1513
src_Intellectual-Movement_1152,src_Train_2495
src_Stereotype-Group_2314,src_Building_1119
src_Period_3,src_Role_3290
src_Village_4780,src_Political-Organisation_2593
src_Geographical-Feature_4602,src_Musician_2209
src_Criminal_3404,src_Trades-Union_3924
src_Military-Unit_4789,src_Relic_3400
src_Disease_3378,src_Symbol_4430
src_Armament_1838,src_Location_1193
src_Vehicle_3168,src_Social-Group_4864
src_Armament_4710,src_TemporalInterval_1210
src_Inventor_1371,src_International-Alliance_1525
src_Geographical-Discovery_1587,src_Time_3403
src_Film-Maker_4576,src_Landmark_2290
src_Work-of-Art_973,src_Public-Oration_3310
src_Disease_455,src_Work-of-Art_62
src_Business-Leader_1996,src_Food_2095
src_Piece-of-Music_2315,src_Musician_4097
src_Clothing_4483,src_Architect_2300
src_Category_2128,src_Field-of-Knowledge_4894
src_Cultural-Agreement_4048,src_Water_4764
src_Liturgical-Object_827,src_Political-Symbol_1026
src_Scandal_2441,src_Publisher_3481
src_Sultan_3845,src_TemporalInterval_1596
src_Architect_4495,src_Category_1015
src_Discoverer_584,src_Vehicle_757
src_Water_4902,src_Management-Organisation_3749
src_Pope_4767,src_Trial_2159
src_Economist_3475,src_Clothing_0
src_Meeting_2162,src_Person-Role_384
src_Church_1812,src_Economic-Organisation_2780
src_Church-Reformer_4351,src_Head-of-State_2333
src_Leader_4691,src_Cathedral_53
src_Structure_3562,src_Trial_3665
src_Measurable-Trend_2747,src_Writing_1487
src_Entertainer_4013,src_Physician_4557
src_Abbey_1657,src_Head-of-State_2643
src_Ideology_1200,src_Geographical-Region_1679
src_Measurable-Trend_2523,src_Economic-Organisation_2891
src_Queen_2618,src_Trades-Union_2237
src_Time-Dependent-Relation_1452,src_Scandal_3635
src_Emperor_3077,src_Geographer_4400
src_Philosopher_4029,src_Board_4232
src_Sculpture_2709,src_Ship_4788
src_Representative-Institution_1189,src_Social-Stratum_490
src_Meeting_681,src_Geographical-Region_4476
src_Work-of-Art_3666,src_Geographical-Feature_3795
src_Clothing_4936,src_King_4672
src_Geographer_4373,src_Newspaper_2694
src_Animal_2941,src_Cathedral_2536
src_Actor_690,src_Idea_2811
src_Philanthropist_3724,src_Idea_4967
src_Food_1613,src_Writing_311
src_Monastery_3850,src_Theologian_387
src_Pastime_3741,src_Clerical-Leader_38
src_Stereotype-Group_1983,src_Technical-Scientific-Advance_4865
src_Astronaut_2532,src_Settlement_2195
src_Creator_4431,src_Physician_4875
src_Leader_4028,src_Religious-Symbol_3364
src_Stereotype-Group_564,src_Meeting_995
src_Leader_1643,src_Religious-Community_2904
src_Head-of-Government_4133,src_Cultural-Agreement_4495
src_Pamphlet_1775,src_Dramaturge_1922
src_FuzzyTemporalInterval_3659,src_Disease_1389
src_Prince_2947,src_Actor_1389
src_Artefact_214,src_Ecclesiarch_397
src_League_4912,src_Religious-Leader_959
src_Piece-of-Music_1899,src_Train_3964
src_Queen_2564,src_Person_704
src_Philosopher_537,src_Location-Part-Relation_285
src_Religious-Leader_1414,src_Masonic-Lodge_4642
src_VicodiOI_3742,src_Painter_3423
src_Religious-Movement_2878,src_Inventor_4312
src_Fictional-Event_4774,src_Dancer_1508
src_Foreign-Minister_1385,src_Battle_3024
src_Foreign-Minister_3972,src_Church_2317
src_Natural-Object_3123,src_Painting_4387
src_Geographical-Region_847,src_Election_304
src_Engineer_1148,src_Entertainer_3698
src_Trades-Unionist_1878,src_Dramaturge_1980
src_Religious-Symbol_1963,src_Writing_4232
src_Pollution_44,src_Geographical-Region_41
src_Relic_501,src_VicodiOI_772
src_Foreign-Minister_36,src_Representative-Institution_1179
src_Economic-Symbol_1942,src_Party_149
src_VicodiOI_1501,src_Period-in-Office_4390
src_Trades-Unionist_1037,src_Time-Dependent_3798
src_Head-of-Government_4558,src_Educational-Organisation_2320
src_Language_1700,src_Food_2521
src_Water_770,src_Illness_1875
src_Conceptual-Object_1326,src_Political-Organisation_1918
src_Cultural-Agreement_3213,src_Geographical-Discovery_2026
src_Intellectual-Construct_3719,src_Author_2450
src_Treaty_2149,src_Artistic-Style_2400
src_Village_3815,src_Object_4434
src_Geographical-Region_4378,src_Business-Leader_326
src_Criminal_191,src_Philosopher_536
src_Criminal_3334,src_Structure_3996
src_Cleric_3657,src_Sultan_41
src_Object_3549,src_Newspaper_749
src_Field-of-Knowledge_1603,src_Military-Person_959
src_Journalist_942,src_Ethnic-Group_4389
src_Ethnic-Group_2884,src_Time-Dependent_306
src_Trade-Association_871,src_International-Organisation_1019
src_Musician_1646,src_Inventor_3215
src_Symbol_4708,src_Actor_1121
src_Location_2242,src_Military-Person_2003
src_Clerical-Leader_376,src_King_2953
src_Object_4710,src_Population-Movement_3495
src_League_3025,src_Disaster_3519
src_Geographical-Feature_650,src_Church_3419
src_Representative-Institution_3384,src_Clerical-Leader_3731
src_Other-Religious-Person_1965,src_Social-Group_4340
src_Intellectual-Movement_4734,src_Dramaturge_2478
src_Field-of-Knowledge_2244,src_Battle_3351
src_Military-Person_3456,src_Technical-Scientific-Advance_4529
src_TemporalInterval_2212,src_Symbol_3173
src_Social-Stratum_836,src_Sportsman_4123
src_Building_2387,src_War_4616
src_Professor_1889,src_Artistic-Movement_362
src_Field-of-Knowledge_850,src_Economic-Organisation_4322
src_League_2866,src_Publisher_3134
src_Church-Reformer_3461,src_Religious-Practice_26
src_University_4731,src_Conductor_3394
src_Battle_816,src_King_1423
src_Trades-Union_1666,src_Masonic-Lodge_1156
src_King_3147,src_Pope_3548
src_Scandal_4303,src_Intellectual-Construct_707
src_Technical-Scientific-Advance_1047,src_Intellectual-Movement_3429
src_Politician_387,src_FuzzyTemporalInterval_494
src_Ecclesiarch_3887,src_Water_1702
src_Person_2204,src_Writing_3928
src_Geographical-Discovery_3815,src_Vehicle_3569
src_Artistic-Movement_2831,src_Theologian_3440
src_Person_1560,src_Journal_2678
src_Armament_4972,src_Clothing_3570
src_Role_4009,src_Other-Religious-Leader_3361
src_International-Organisation_4262,src_Professor_1689
src_Cleric_4335,src_Religious-Ideology_4953
src_Cultural-Agreement_2544,src_Life-Event_279
src_Masonic-Lodge_3525,src_Location-Part-Relation_2453
src_Diplomat_4656,src_Cultural-Organisation_1000
src_Publisher_1660,src_Secular-Leader_3759
src_Philosopher_1975,src_Trial_1429
src_Artist_2684,src_Intra-State-Group_1962
src_Economic-Organisation_782,src_Inventor_1676
src_Pamphlet_3752,src_Saint_4526
src_Inventor_4881,src_Book_3594
src_Military-Organisation_702,src_Artistic-Style_3280
src_Settlement_4704,src_Ethnic-Group_4851
src_Settlement_4860,src_Measurable-Trend_2012
src_Theologian_3689,src_Village_3046
src_Queen_3548,src_Religious-Organisation_3709
src_Pollution_4767,src_Prince_4803
src_Badge_592,src_Fictional-Person_3497
src_Church-Reformer_2917,src_Intellectual-Movement_1486
src_Scientist_3702,src_Location_4199
src_Work-of-Art_1587,src_Head-of-Government_3571
src_Fictional-Person_4412,src_Vehicle_1426
src_National-Symbol_127,src_Flavour_2345
src_Settlement_4292,src_Philanthropist_2669
src_Minister_3157,src_Ecclesiarch_2210
src_Stereotype-Group_3121,src_Sculpture_3838
src_Secular-Movement_2280,src_National-Symbol_1830
src_Cultural-Agreement_1096,src_Inventor_4989
src_Creator_3669,src_Board_1917
src_Cathedral_544,src_Secular-Ideology_4091
src_Economic-Enterprise_4486,src_International-Organisation_2660
src_Work-of-Art_4401,src_Governmental-Organisation_13
src_Secular-Movement_1861,src_Criminal_4052
src_Relic_2952,src_Trades-Unionist_1673
src_Jurist_1724,src_Clothing_2728
src_Dynasty_3497,src_Publisher_1901
src_Religious-Movement_1531,src_Other-Religious-Leader_3940
src_Secular-Ideology_3907,src_Legislation_677
src_Crime_4858,src_Church_2513
src_Inventor_159,src_Book_355
src_Time-Dependent_1585,src_Military-Unit_4725
src_Life-Event_1697,src_Secular-Leader_4430
src_Period-in-Office_815,src_Religious-Leader_3405
src_Symbol_4245,src_Trades-Union_4661
src_Film-Maker_3312,src_Trial_1781
src_Political-Organisation_234,src_Category_4931
src_Military-Organisation_3869,src_Clothing_4612
src_Architect_2826,src_Diplomat_3042
src_Representative-Institution_576,src_University_747
src_Piece-of-Music_3952,src_Economic-Symbol_3090
src_Geographical-Feature_1980,src_Settlement_3860
src_Movement_2136,src_Book_3801
src_Masonic-Lodge_424,src_Location-Part-Relation_2084
src_National-Symbol_3713,src_Organisation_1617
src_Ship_4965,src_Military-Person_4083
src_Intellectual-Construct_838,src_Masonic-Lodge_3223
src_National-Symbol_1203,src_Role_3928
src_Time_296,src_Economic-Enterprise_4439
src_Badge_4583,src_Flavour_4087
src_Abbey_181,src_Social-Stratum_971
src_Religious-Ideology_4128,src_Non-Military-Conflict_3621
src_Crime_2516,src_Sculptor_243
src_Diplomat_4189,src_Management-Organisation_1256
src_Geographical-Discovery_3006,src_Vehicle_3276
src_Book_4536,src_Meeting_2081
src_Organisation_3382,src_Population-Movement_1795
src_Religious-Movement_949,src_League_2587
src_Village_593,src_Religious-Symbol_1481
src_League_715,src_Ideology_4835
src_Disaster_2103,src_Head-of-State_4110
src_King_497,src_Masonic-Lodge_999
src_Minister_4671,src_Painting_4551
src_Scientist_522,src_Film-Maker_2849
src_Election_2686,src_Clothing_4121
src_Ritual_2641,src_Business-Leader_683
src_Religious-Practice_2152,src_Cleric_3861
src_Political-Symbol_1333,src_Journal_3410
src_Natural-Object_4325,src_Economic-Symbol_4204
src_Military-Organisation_758,src_Politician_1069
src_Head-of-State_2277,src_Pastime_2579
src_Individual_4261,src_Discoverer_2773
src_Religious-Ideology_3292,src_Idea_630
src_Dramaturge_2343,src_Language_2188
src_Business-Leader_4614,src_Professor_4365
src_Stereotype-Group_2866,src_Trade-Association_3056
src_Time-Dependent-Relation_4307,src_Intra-State-Group_2475
src_VicodiOI_2615,src_Scientific-Instrument_774
src_Measurable-Trend_4420,src_Geographical-Discovery_3539
src_National-Symbol_4782,src_National-Symbol_2593
src_Time-Dependent_99,src_Newspaper_1892
src_Ethnic-Group_588,src_Sultan_2402
src_Clerical-Leader_1039,src_Life-Event_3084
src_Religious-Leader_1415,src_Religious-Ideology_4199
src_Building_4069,src_Country_1838
src_Pollution_4056,src_Building_3126
src_Religious-Leader_911,src_Time_3262
src_Business-Leader_4495,src_Economic-Process_1152
src_Settlement_1601,src_Religious-Practice_896
src_Train_251,src_Board_1105
src_Treaty_806,src_Architect_2294
src_Uprising_4943,src_Abstract-Notion_1364
src_Educational-Organisation_2983,src_Ethnic-Group_561
