src_Engineer_298,src_Language_4326
src_Politician_2641,src_Dramaturge_340
src_Scientist_4767,src_Queen_2847
src_Location_4927,src_Saint_3610
src_Discoverer_1990,src_Movement_288
src_Religious-Leader_2812,src_Military-Unit_1692
src_University_2545,src_Water_129
src_Natural-Object_3556,src_Management-Organisation_2014
src_Educational-Organisation_2610,src_Time-Dependent_2957
src_Secular-Ideology_1395,src_Ecclesiarch_2321
src_Intellectual-Construct_1696,src_War_4962
src_Architect_1713,src_Religious-Community_1823
src_Educational-Organisation_3395,src_Treaty_790
src_Intellectual-Movement_2342,src_Painter_2714
src_Military-Unit_2101,src_Environment_1794
src_Clerical-Leader_167,src_TemporalInterval_3322
src_Location_1082,src_Movement_4192
src_Other-Religious-Leader_1999,src_Economic-Process_2878
src_Category_784,src_Intra-State-Group_2831
src_Disease_1166,src_Physician_2047
src_Church-Reformer_3647,src_Village_955
src_Other-Religious-Person_3725,src_Ideology_2010
src_Painting_3194,src_Ideology_4687
src_Person_2823,src_Economic-Process_948
src_Secular-Ideology_3260,src_Religious-Community_2668
src_Painting_4306,src_Secular-Movement_2829
src_Population-Movement_3396,src_Conceptual-Object_657
src_Queen_4243,src_Measurable-Trend_3696
src_Scandal_3648,src_Meeting_3067
src_Abstract-Notion_4741,src_Monastery_119
src_Location-Part-Relation_2125,src_Language_1083
src_Treaty_522,src_Military-Unit_1624
src_Architect_2949,src_Village_3717
src_Badge_4599,src_Battle_844
src_Settlement_4102,src_Philosopher_3677
src_Illness_4420,src_Political-Region_716
src_Non-Military-Conflict_3578,src_Sculpture_1337
src_Event_3409,src_Country_1828
src_Building_4841,src_Food_1603
src_Management-Organisation_3770,src_Composer_938
src_Journal_3496,src_Field-of-Knowledge_1822
src_Crime_908,src_Individual_2398
src_Cultural-Organisation_2844,src_Management-Organisation_4374
src_Artist_4061,src_Queen_1689
src_Economic-Process_2103,src_Art-Form_3178
src_Individual_351,src_Astronaut_2919
src_Scientific-Instrument_4162,src_Military-Person_2243
src_Physician_2212,src_Meeting_4383
src_International-Organisation_3441,src_Geographical-Discovery_468
src_Social-Group_571,src_Monastery_767
src_Religious-Ideology_98,src_Geographical-Region_1665
src_Entertainer_4161,src_Secular-Leader_458
src_Masonic-Lodge_277,src_Language_3018
src_Musician_921,src_Scandal_924
src_Dancer_4572,src_Politician_4471
src_Book_4780,src_Professor_2402
src_Ideology_1412,src_Entertainer_2739
src_Public-Oration_3217,src_Astronaut_4299
src_Field-of-Knowledge_802,src_Intellectual-Movement_946
src_League_3478,src_Management-Organisation_2339
src_Treaty_1127,src_Political-Symbol_4668
src_VicodiOI_1524,src_Religious-Order_2541
src_Business-Leader_2220,src_Environment_2378
src_Architect_4886,src_War_2486
src_Foreign-Minister_4926,src_Structure_846
src_Party_4234,src_Religious-Leader_4903
src_Journalist_3058,src_Emperor_1165
src_Discoverer_4550,src_Professor_457
src_Time-Dependent-Relation_1641,src_Religious-Order_3533
src_Landmark_3531,src_Legislation_888
src_Dramaturge_3173,src_Head-of-Government_3841
src_Political-Symbol_1509,src_Management-Organisation_2161
src_Location_2490,src_Geographical-Region_1002
src_Stereotype-Group_4873,src_Treaty_3629
src_Architect_3821,src_Saint_4109
src_Pope_462,src_Monastery_638
src_Intellectual-Construct_3280,src_Individual_481
src_Musician_3676,src_Legislation_343
src_Dancer_1603,src_Artefact_2919
src_Flavour_1143,src_Population-Movement_3070
src_Astronaut_3668,src_Location_4922
src_Pastime_1627,src_Uprising_715
src_Crime_1664,src_Religious-Ideology_3959
src_Ideology_4033,src_Country_4808
src_Religious-Ideology_4343,src_Scandal_4203
src_Pastime_1921,src_Badge_1768
src_Person_1635,src_Population-Movement_2489
src_Publisher_3742,src_Inventor_4066
src_Vehicle_1225,src_Cathedral_3563
src_Discoverer_2645,src_Political-Organisation_1772
src_Organisation_2886,src_Stereotype-Group_2166
src_Individual_861,src_Armament_2402
src_Military-Person_1274,src_Film-Maker_4832
src_Engineer_4583,src_Village_3838
src_Entertainer_4936,src_Professor_4059
src_Ship_4255,src_Philosopher_2823
src_Book_155,src_Painter_4657
src_Symbol_4768,src_Individual_732
src_Educational-Organisation_2803,src_International-Alliance_1783
src_Measurable-Trend_3028,src_Jurist_2576
src_Non-Military-Conflict_3301,src_International-Alliance_3748
src_Church-Reformer_3986,src_Theologian_4341
src_Conceptual-Object_3046,src_Time_3353
src_Environment_3029,src_Ritual_3626
src_Artistic-Movement_1097,src_Professor_4776
src_Educational-Organisation_2619,src_Church_1239
src_Ideology_4979,src_Theologian_1046
src_Jurist_3427,src_Cleric_790
src_Intellectual-Movement_2773,src_Economic-Enterprise_3698
src_Social-Group_533,src_Dynasty_2593
src_Secular-Ideology_3562,src_Church-Reformer_2134
src_Treaty_4093,src_Population-Movement_2736
src_Location-Part-Relation_3044,src_Art-Form_4379
src_Pamphlet_3297,src_Symbol_202
src_Painting_2522,src_Clerical-Leader_1126
src_Landmark_3046,src_Book_2536
src_Meeting_181,src_Symbol_1055
src_Book_3742,src_Country_4519
src_Natural-Object_3222,src_Country_3910
src_Religious-Movement_3668,src_Author_4108
src_Piece-of-Music_4378,src_Ethnic-Group_4558
src_Environment_1773,src_Professor_1143
src_Queen_4493,src_Armament_3548
src_Military-Unit_3864,src_Political-Symbol_3738
src_Sultan_4882,src_Symbol_4327
src_Person_3799,src_Dramaturge_1681
src_Field-of-Knowledge_2280,src_Intra-State-Group_471
src_Party_2084,src_Natural-Object_2698
src_Artistic-Movement_1846,src_TemporalInterval_3119
src_Social-Stratum_1908,src_Author_660
src_Management-Organisation_4375,src_Social-Stratum_3940
src_Military-Person_1606,src_National-Symbol_4649
src_Time-Dependent_1446,src_Professor_2917
src_Journalist_3845,src_Entertainer_1909
src_TemporalInterval_1180,src_Trades-Unionist_4595
src_Scientific-Instrument_3105,src_Prince_1638
src_Uprising_684,src_Emperor_3832
src_Queen_3154,src_Ethnic-Group_4268
src_Cathedral_3789,src_Trades-Union_578
src_Abbey_325,src_Other-Religious-Person_4064
src_Pastime_3063,src_Dancer_790
src_Abstract-Notion_1963,src_Engineer_4406
src_Water_2572,src_King_4951
src_Role_2601,src_Scientist_2125
src_Period-in-Office_808,src_Pollution_4086
src_Liturgical-Object_4234,src_Category_1171
src_Scandal_842,src_Social-Group_1025
src_Saint_78,src_Military-Person_1091
src_Pope_4624,src_Flavour_1326
src_Ritual_3895,src_King_1048
src_Village_1590,src_Board_3110
src_Astronaut_2854,src_Sportsman_4881
src_Church-Reformer_1847,src_Religious-Practice_4636
src_University_2514,src_Person_717
src_Dramaturge_4258,src_Philanthropist_3157
src_Social-Stratum_1984,src_Political-Region_4126
src_Sculpture_3806,src_Geographer_728
src_Religious-Symbol_2219,src_Economic-Enterprise_2575
src_Magnate_3213,src_Category_3029
src_Criminal_3397,src_Social-Group_4208
src_Jurist_3836,src_Diplomat_3415
src_Engineer_3988,src_Idea_70
src_Economic-Symbol_1201,src_Animal_4156
src_Religious-Organisation_822,src_Trial_4141
src_University_4539,src_Piece-of-Music_1681
src_Cultural-Organisation_316,src_Intellectual-Movement_1376
src_Fictional-Person_4373,src_Cultural-Organisation_2904
src_Food_1666,src_Composer_4268
src_Symbol_4051,src_Criminal_1851
src_Sultan_3965,src_Composer_4515
src_TemporalInterval_467,src_Governmental-Organisation_3600
src_Commodity_2715,src_Management-Organisation_588
src_Social-Group_4421,src_Engineer_3668
src_Relic_222,src_Business-Leader_2405
src_Stereotype-Group_3971,src_Other-Religious-Leader_3418
src_Population-Movement_585,src_Management-Organisation_4187
src_Religious-Movement_3025,src_FuzzyTemporalInterval_2411
src_Economic-Symbol_4720,src_Work-of-Art_4382
src_League_3429,src_Social-Stratum_2645
src_Landmark_2260,src_Political-Symbol_1744
src_Military-Unit_4512,src_Armament_3263
src_Artistic-Style_132,src_Location-Part-Relation_2996
src_Natural-Object_1682,src_Role_664
src_Management-Organisation_2325,src_Journal_3089
src_International-Alliance_3177,src_Measurable-Trend_1492
src_Author_3843,src_Theologian_21
src_Economic-Process_4402,src_Functionary_2177
src_FuzzyTemporalInterval_2429,src_Geographical-Discovery_3076
src_Fictional-Person_1182,src_Treaty_947
src_Minister_2156,src_Geographical-Discovery_264
src_Painter_4806,src_Discoverer_46
src_Conceptual-Object_3179,src_Entertainer_1776
src_Technical-Scientific-Advance_3927,src_Functionary_2586
src_Non-Military-Conflict_3200,src_Flavour_1627
src_Ethnic-Group_2951,src_Public-Oration_2702
src_Psychologist_681,src_Head-of-Government_2219
src_Cultural-Organisation_3597,src_Piece-of-Music_4263
src_Individual_3488,src_Discoverer_237
src_Economic-Process_2020,src_Religious-Order_671
src_Politician_1239,src_Scientific-Instrument_709
src_Magnate_4704,src_Movement_1144
src_Professor_892,src_Religious-Organisation_1708
src_Time_78,src_Jurist_1336
src_Sculpture_686,src_Water_4403
src_Pope_1888,src_FuzzyTemporalInterval_317
src_Art-Form_3117,src_Trades-Unionist_4455
src_Uprising_575,src_Geographical-Region_3152
src_Animal_2205,src_Cultural-Organisation_4493
src_Economic-Enterprise_2798,src_Discoverer_667
src_Military-Organisation_1939,src_Symbol_4172
src_Disease_949,src_Sportsman_2701
src_Crime_3358,src_Geographical-Discovery_296
src_Board_3667,src_Non-Military-Conflict_1786
src_Art-Form_4783,src_Diplomat_1122
src_Intra-State-Group_1347,src_Role_469
src_Military-Person_2465,src_Artist_1434
src_Film-Maker_1287,src_Food_3191
src_Time-Dependent-Relation_1545,src_Trades-Unionist_2808
src_Engineer_960,src_Ideology_1086
src_Piece-of-Music_806,src_Election_1596
src_Actor_3939,src_Intellectual-Construct_521
src_Religious-Order_4113,src_Idea_1435
src_Object_1516,src_Conductor_1425
src_VicodiOI_4766,src_Fictional-Event_3674
src_Monastery_39,src_TemporalInterval_4111
src_Trades-Union_745,src_Vehicle_4218
src_Food_4409,src_Dynasty_1130
src_Composer_1353,src_Representative-Institution_4052
src_Party_1587,src_Clerical-Leader_3704
src_Intra-State-Group_2424,src_Prince_4517
src_Head-of-State_2671,src_Philosopher_1633
src_Trade-Association_4529,src_Painter_2792
src_Philanthropist_2192,src_Period-in-Office_3424
src_Journalist_984,src_Painting_1504
src_Inventor_2750,src_Religious-Ideology_979
src_FuzzyTemporalInterval_3949,src_Newspaper_517
src_Dancer_1023,src_Ecclesiarch_840
src_Political-Organisation_3752,src_League_2123
src_Religious-Organisation_3431,src_Treaty_4920
src_Geographical-Discovery_382,src_Legislation_1929
src_Election_3728,src_Period_1990
src_Uprising_1074,src_Trades-Unionist_3213
src_Geographer_3138,src_Functionary_2742
src_Population-Movement_2172,src_Party_2778
src_Scientific-Instrument_4,src_Settlement_2776
src_Ritual_437,src_Theologian_3715
src_Head-of-Government_3440,src_Vehicle_4028
src_Legislation_1816,src_Discoverer_4735
src_Painting_2690,src_Entertainer_4748
src_Author_3899,src_Monastery_4517
src_Religious-Practice_3985,src_Non-Military-Conflict_3543
src_Theologian_1811,src_Piece-of-Music_1543
src_Abstract-Notion_1661,src_Fictional-Person_1138
src_Vehicle_2883,src_War_4536
src_Religious-Order_4990,src_Foreign-Minister_4430
src_Dynasty_1477,src_Head-of-Government_1376
src_International-Alliance_4075,src_Geographical-Region_2735
src_Cleric_3462,src_Functionary_1772
src_Vehicle_688,src_International-Organisation_1561
src_Train_1150,src_Election_1680
src_Organisation_4054,src_Technical-Scientific-Advance_2091
src_National-Symbol_4093,src_Ethnic-Group_1767
src_Military-Unit_198,src_International-Organisation_3397
src_Diplomat_2271,src_Settlement_286
src_Badge_3558,src_Secular-Ideology_2203
src_Cultural-Organisation_3721,src_Management-Organisation_4302
src_Sportsman_1594,src_Work-of-Art_4569
src_Business-Leader_4825,src_Inventor_3721
src_Astronaut_3123,src_Musician_934
src_Board_2161,src_Psychologist_1386
src_Trades-Union_4739,src_Population-Movement_2171
src_Structure_595,src_Religious-Organisation_1167
src_Economic-Organisation_4183,src_Non-Military-Conflict_2387
src_Trades-Unionist_998,src_Masonic-Lodge_1864
src_Religious-Symbol_2259,src_Stereotype-Group_1562
src_Prince_1871,src_Professor_4270
src_Conductor_3033,src_Ideology_3304
src_Ship_640,src_Technical-Scientific-Advance_3647
src_Piece-of-Music_506,src_Meeting_3389
src_Newspaper_4661,src_Diplomat_3326
src_Church_2706,src_Queen_2956
src_Religious-Organisation_3313,src_Abbey_2981
src_Armament_1424,src_Crime_2426
src_Location_3973,src_Category_2676
src_Flavour_451,src_Entertainer_3573
src_Sculptor_2289,src_Work-of-Art_2776
src_Board_2933,src_Professor_679
src_Measurable-Trend_2712,src_Individual_4311
src_Book_1731,src_Abbey_514
src_Saint_3576,src_Musician_3960
