src_Religious-Community_4248,src_Sportsman_501
src_Sportsman_1805,src_Liturgical-Object_2504
src_Business-Leader_4358,src_TemporalInterval_4272
src_Geographical-Feature_986,src_Foreign-Minister_943
src_Clothing_2505,src_Journal_183
src_Dancer_3705,src_Trial_2978
src_Theologian_360,src_Engineer_1946
src_Physician_668,src_Cathedral_3660
src_Election_3190,src_Professor_3754
src_Water_926,src_Economic-Organisation_2923
src_Abstract-Notion_3271,src_Economic-Symbol_4457
src_Jurist_267,src_Business-Leader_4894
src_Astronaut_225,src_Head-of-State_1460
src_Head-of-Government_3674,src_Natural-Object_4592
src_Relic_4572,src_Settlement_2890
src_Event_1366,src_City_2924
src_VicodiOI_1946,src_Economist_276
src_Cleric_1120,src_Clerical-Leader_120
src_Economic-Process_2799,src_Fictional-Event_4829
src_Scandal_190,src_Cleric_4564
src_Economist_4409,src_Representative-Institution_402
src_Crime_495,src_Religious-Movement_1498
src_Artist_3080,src_Military-Person_1449
src_Board_716,src_Intra-State-Group_4877
src_Scientific-Instrument_1695,src_Church-Reformer_1371
src_Work-of-Art_1768,src_Head-of-Government_2252
src_Measurable-Trend_3873,src_Symbol_3683
src_Church-Reformer_1281,src_Non-Military-Conflict_4133
src_Religious-Community_3980,src_Geographical-Region_3421
src_Time_2068,src_Business-Leader_2036
src_Religious-Community_233,src_Disaster_2098
src_War_3356,src_Food_4947
src_Publisher_3169,src_Intellectual-Construct_473
src_Person-Role_4115,src_Theologian_1769
src_Educational-Organisation_1169,src_Criminal_4125
src_Sportsman_4782,src_Actor_3302
src_Commodity_822,src_Architect_1867
src_Military-Organisation_4516,src_Time_3698
src_Field-of-Knowledge_41,src_Landmark_1586
src_Head-of-Government_4992,src_Pamphlet_2955
src_Pollution_2164,src_Ideology_3914
src_Artistic-Movement_4106,src_Time-Dependent-Relation_4365
src_Management-Organisation_1715,src_Geographical-Feature_1703
src_Illness_2410,src_Intellectual-Movement_4433
src_Jurist_2860,src_Religious-Community_1830
src_Trade-Association_829,src_League_4113
src_Settlement_4830,src_Crime_684
src_Role_3388,src_Election_1279
src_Cathedral_4981,src_Architect_4788
src_International-Alliance_532,src_Structure_499
src_Ritual_516,src_Architect_3383
src_Measurable-Trend_1320,src_Intellectual-Construct_1324
src_Pope_2849,src_Intellectual-Movement_2459
src_TemporalInterval_3409,src_Scandal_3099
src_Disaster_2348,src_Jurist_246
src_Trade-Association_2774,src_Saint_1509
src_Entertainer_3191,src_Art-Form_2577
src_Building_555,src_Theologian_4039
src_Church-Reformer_3255,src_Business-Leader_4031
src_Sportsman_1934,src_Secular-Ideology_1417
src_University_3633,src_Environment_541
src_Pope_4405,src_Illness_3822
src_Theologian_1277,src_Geographical-Discovery_4993
src_Country_4720,src_Economic-Enterprise_3688
src_Ethnic-Group_3614,src_VicodiOI_2141
src_Natural-Object_2717,src_Scientist_781
src_Painting_1832,src_Religious-Leader_1428
src_Technical-Scientific-Advance_3806,src_Theologian_1126
src_Dynasty_56,src_Military-Unit_4817
src_Religious-Practice_1428,src_Management-Organisation_957
src_Philosopher_2791,src_Settlement_2028
src_Art-Form_2040,src_Movement_804
src_Architect_4383,src_Cultural-Organisation_1710
src_Religious-Symbol_2460,src_Saint_1378
src_Time-Dependent_4683,src_Uprising_4729
src_Train_4765,src_Cultural-Agreement_3246
src_Emperor_171,src_Religious-Practice_1690
src_Musician_3347,src_Individual_4716
src_Creator_2797,src_Conceptual-Object_177
src_Crime_1447,src_Category_2357
src_Painting_1213,src_Building_2926
src_Ethnic-Group_532,src_Population-Movement_3608
src_Minister_2357,src_Time-Dependent-Relation_1043
src_Religious-Ideology_2559,src_Board_182
src_Intellectual-Movement_3789,src_Sultan_3374
src_Village_807,src_Organisation_535
src_Non-Military-Conflict_2116,src_Scandal_1485
src_Prince_1948,src_Trades-Union_3983
src_Pope_2468,src_Artefact_3145
src_Other-Religious-Person_3915,src_Role_2837
src_Clerical-Leader_4505,src_Individual_3166
src_Non-Military-Conflict_4488,src_Art-Form_1024
src_Stereotype-Group_4106,src_Commodity_951
src_Book_2074,src_Cathedral_1914
src_Pope_4110,src_League_1123
src_Secular-Ideology_2394,src_Pollution_751
src_Artistic-Style_4968,src_Geographical-Discovery_4253
src_Meeting_971,src_Pope_3036
src_Conductor_3612,src_Pope_837
src_Military-Organisation_2123,src_Natural-Object_4978
src_Artistic-Movement_855,src_Armament_3241
src_Scientific-Instrument_2136,src_Religious-Leader_3514
src_Abstract-Notion_249,src_Head-of-Government_1329
src_Secular-Leader_2596,src_Art-Form_159
src_Religious-Ideology_1294,src_Political-Organisation_1019
src_Economic-Organisation_1833,src_Clothing_993
src_Relic_1080,src_Life-Event_2749
src_Ritual_4957,src_Criminal_2286
src_Disease_1270,src_Other-Religious-Person_458
src_Landmark_239,src_Badge_2273
src_Time-Dependent_1361,src_Battle_2000
src_Military-Person_1727,src_Ideology_4629
src_Board_3649,src_Newspaper_1522
src_Person_3545,src_Governmental-Organisation_808
src_Scandal_2635,src_Treaty_2074
src_Astronaut_4674,src_Economic-Enterprise_26
src_Board_3253,src_International-Organisation_2307
src_Time_4441,src_Artefact_2973
src_Politician_1688,src_Uprising_2903
src_University_2975,src_TemporalInterval_3412
src_Geographical-Feature_3405,src_Magnate_620
src_Ship_4495,src_Governmental-Organisation_4558
src_University_3504,src_Cultural-Organisation_4095
src_Person-Role_1870,src_Religious-Practice_1881
src_War_4048,src_Governmental-Organisation_1835
src_Social-Stratum_1787,src_Musician_873
src_Social-Group_1068,src_Board_2656
src_Theologian_4672,src_Painting_3328
src_Pastime_854,src_Religious-Order_2382
src_Educational-Organisation_3070,src_Meeting_4725
src_Cleric_1436,src_Writing_65
src_Water_284,src_Structure_3191
src_Country_2337,src_Diplomat_2356
src_Scientist_2385,src_Armament_681
src_Artist_3016,src_Time-Dependent_1624
src_Geographical-Discovery_4845,src_Sultan_1349
src_Abbey_1457,src_University_3684
src_Religious-Organisation_4787,src_VicodiOI_915
src_Journalist_2329,src_Economic-Process_1403
src_Church_1186,src_Secular-Leader_2281
src_Location-Part-Relation_4230,src_Economic-Enterprise_1891
src_Business-Leader_3150,src_Conceptual-Object_4769
src_Role_2288,src_FuzzyTemporalInterval_4578
src_Secular-Ideology_1835,src_Person_2360
src_Water_1481,src_Religious-Organisation_1881
src_Social-Stratum_4586,src_Uprising_3331
src_Cultural-Agreement_461,src_Conductor_1883
src_University_266,src_Social-Stratum_3817
src_Cultural-Agreement_2531,src_Environment_1636
src_Cathedral_872,src_Entertainer_2310
src_Village_4705,src_Symbol_3867
src_Geographical-Discovery_4278,src_Business-Leader_2283
src_Intellectual-Movement_1491,src_Masonic-Lodge_3122
src_Person-Role_175,src_Political-Region_665
src_Entertainer_4028,src_Artist_3394
src_Creator_1577,src_Architect_1693
src_Artistic-Style_4490,src_Clerical-Leader_578
src_Author_2769,src_Political-Region_3602
src_Social-Stratum_2390,src_Artistic-Style_2231
src_Population-Movement_2562,src_University_3812
src_Piece-of-Music_41,src_Social-Group_4194
src_TemporalInterval_4318,src_Person_2329
src_Dynasty_3520,src_Head-of-State_4167
src_Movement_2906,src_Population-Movement_2584
src_Language_2849,src_Physician_1858
src_Religious-Ideology_3134,src_Board_3435
src_Creator_4515,src_Trial_1529
src_Pope_1002,src_Ship_4670
src_Environment_1705,src_Head-of-Government_2439
src_Event_2226,src_Ritual_4687
src_Masonic-Lodge_4479,src_Relic_2452
src_King_619,src_Saint_2142
src_Period-in-Office_4411,src_Art-Form_4863
src_International-Organisation_3819,src_Geographical-Feature_3820
src_Engineer_1037,src_Other-Religious-Person_2190
src_Art-Form_4732,src_Train_773
src_Period-in-Office_3006,src_Painter_2306
src_Food_1008,src_Physician_3927
src_Time-Dependent_372,src_Religious-Community_4014
src_Scientific-Instrument_4990,src_Intra-State-Group_107
src_Symbol_148,src_Train_4886
src_Pope_4451,src_Natural-Object_633
src_Queen_1118,src_Religious-Organisation_202
src_Religious-Movement_4066,src_Professor_3813
src_Organisation_4853,src_Inventor_4986
src_Person_700,src_Crime_3342
src_Physician_260,src_Measurable-Trend_4145
src_Individual_1768,src_Political-Symbol_755
src_University_545,src_Sculpture_403
src_Movement_2852,src_Other-Religious-Person_2462
src_Religious-Ideology_4140,src_Sportsman_2248
src_VicodiOI_881,src_Individual_907
src_Professor_1657,src_Film-Maker_3321
src_Ritual_3170,src_Professor_4135
src_Location-Part-Relation_2529,src_Stereotype-Group_368
src_Geographer_2061,src_Work-of-Art_2266
src_Public-Oration_173,src_Sculptor_1562
src_Sculpture_2064,src_Governmental-Organisation_4711
src_Book_2563,src_Religious-Movement_2853
src_VicodiOI_3412,src_Ethnic-Group_2313
src_Trades-Union_1006,src_Political-Organisation_3852
src_Flavour_3549,src_VicodiOI_1990
src_Business-Leader_4361,src_Location-Part-Relation_3192
src_Political-Organisation_2376,src_Journalist_2373
src_Church-Reformer_212,src_Clothing_350
src_Conceptual-Object_3404,src_Saint_3617
src_Cathedral_3317,src_Food_2373
src_Badge_2529,src_Village_4053
src_Musician_4488,src_Intellectual-Movement_1446
src_Religious-Ideology_1835,src_Scientist_4335
src_Conceptual-Object_376,src_Film-Maker_2676
src_Psychologist_2710,src_Ritual_1039
src_Religious-Movement_330,src_Composer_1972
src_Illness_3419,src_Artefact_4574
src_Masonic-Lodge_1592,src_Abbey_4827
src_Cultural-Organisation_4666,src_Jurist_3058
src_Scientific-Instrument_3660,src_Location-Part-Relation_2940
src_Language_1478,src_Foreign-Minister_3494
src_International-Alliance_4304,src_Trial_4809
src_Legislation_1548,src_Other-Religious-Leader_2660
src_Legislation_3380,src_War_199
src_Ideology_1459,src_Flavour_4972
src_Abbey_4367,src_International-Alliance_1044
src_Saint_2180,src_Category_2628
src_Musician_2700,src_Psychologist_946
src_Management-Organisation_978,src_Location_2295
src_Business-Leader_4439,src_Time-Dependent_2755
src_Economic-Symbol_3371,src_Intellectual-Construct_296
src_Geographer_805,src_Cathedral_1636
src_FuzzyTemporalInterval_206,src_Minister_926
src_Sultan_2823,src_Geographical-Region_2996
src_Psychologist_3883,src_Geographical-Discovery_3255
src_Meeting_679,src_Meeting_3148
src_Monastery_1525,src_Composer_4215
src_Board_2920,src_Organisation_2502
src_Movement_2274,src_Engineer_4831
src_Ideology_2345,src_Actor_311
src_Period_4529,src_Natural-Object_4744
src_Physician_4907,src_Idea_3038
src_Object_3122,src_Badge_103
src_Art-Form_1318,src_Trades-Union_1357
src_Time_3449,src_Film-Maker_3681
src_Field-of-Knowledge_2983,src_Dancer_4325
src_Governmental-Organisation_780,src_Geographer_3461
src_Cultural-Agreement_917,src_League_4419
src_Abstract-Notion_1536,src_Intellectual-Construct_1423
src_Saint_2183,src_Criminal_2991
src_Clothing_511,src_Artistic-Style_3024
src_Pamphlet_1687,src_Religious-Order_393
src_Philanthropist_1156,src_Fictional-Person_505
src_Time-Dependent_2753,src_Economic-Enterprise_3525
src_Film-Maker_4764,src_Disease_1351
src_TemporalInterval_2732,src_Secular-Ideology_1101
src_Armament_2998,src_Diplomat_869
src_Management-Organisation_4671,src_Secular-Ideology_3531
src_Economic-Organisation_548,src_University_1471
src_Uprising_1909,src_Artistic-Movement_1446
src_Discoverer_3624,src_Language_2179
src_Movement_105,src_Period_4401
src_Cathedral_4943,src_Category_1136
src_Art-Form_2058,src_Individual_1481
src_Cathedral_1688,src_Physician_4032
src_Film-Maker_1728,src_Magnate_1125
src_Disaster_3022,src_Crime_4775
src_Geographical-Feature_964,src_Monastery_3494
src_Board_2849,src_Cathedral_2059
src_Battle_963,src_Fictional-Event_1614
src_Business-Leader_2161,src_Sportsman_4779
src_Badge_2699,src_Entertainer_4275
src_University_3323,src_Social-Stratum_2586
src_Vehicle_3620,src_Masonic-Lodge_4466
src_Abbey_3584,src_Art-Form_2604
src_Pope_3233,src_Conductor_2606
src_Author_2045,src_Educational-Organisation_541
src_Business-Leader_3260,src_Journal_4248
src_Clerical-Leader_3429,src_Intellectual-Construct_4630
src_League_3172,src_Musician_3310
src_Religious-Leader_4176,src_Treaty_4825
src_Pamphlet_1442,src_Movement_1150
src_Ideology_1936,src_Animal_4970
src_Disaster_182,src_Natural-Object_4961
src_Organisation_1774,src_Political-Symbol_646
src_Religious-Movement_4199,src_Non-Military-Conflict_2922
src_Religious-Community_289,src_Population-Movement_3589
src_Commodity_4416,src_Religious-Organisation_2134
src_Author_2550,src_Physician_4568
src_Conceptual-Object_4067,src_Conceptual-Object_76
src_Fictional-Event_1888,src_War_3357
src_Cultural-Agreement_2674,src_Social-Stratum_1804
src_Intra-State-Group_2609,src_Life-Event_4832
src_Religious-Community_2776,src_Religious-Symbol_1649
src_Inventor_1159,src_Geographical-Discovery_2714
src_Pollution_2275,src_City_4961
src_Politician_4016,src_Location-Part-Relation_4516
src_Philosopher_3989,src_Pastime_2057
src_Author_2685,src_Religious-Practice_2217
src_Board_3126,src_Jurist_291
src_Ship_3962,src_Fictional-Person_281
src_Geographical-Discovery_731,src_Criminal_1513
src_Legislation_1956,src_Military-Organisation_2946
src_Entertainer_2794,src_Conceptual-Object_4161
src_Journalist_2401,src_Scientific-Instrument_1679
src_Person_2363,src_Idea_4128
src_Functionary_851,src_Piece-of-Music_4827
src_Meeting_3176,src_Book_3689
src_Economic-Organisation_3493,src_Time-Dependent_1348
src_Stereotype-Group_797,src_Engineer_2741
src_Intellectual-Construct_163,src_Inventor_3322
src_Pamphlet_4704,src_Church-Reformer_3154
src_Leader_4966,src_Criminal_2255
src_FuzzyTemporalInterval_633,src_Saint_1255
src_National-Symbol_461,src_Scandal_4918
src_Journalist_2139,src_Location-Part-Relation_51
src_Religious-Organisation_4045,src_Natural-Object_4133
src_Artistic-Style_4448,src_Book_3474
src_City_3114,src_Election_3301
src_Person_2841,src_Ship_34
src_Water_2907,src_Measurable-Trend_4518
src_Religious-Movement_148,src_Political-Symbol_2680
src_Diplomat_17,src_Religious-Practice_501
src_Commodity_147,src_Head-of-State_1717
src_Time-Dependent-Relation_4399,src_Military-Organisation_2688
src_Architect_1547,src_Intellectual-Construct_2052
src_Measurable-Trend_2963,src_Secular-Movement_4831
src_Secular-Movement_1457,src_Secular-Movement_1043
src_Country_3219,src_Sultan_3866
src_Badge_1462,src_Abbey_1895
src_Intellectual-Movement_4905,src_Cultural-Organisation_2935
src_Ritual_76,src_Politician_4642
src_Commodity_1607,src_Political-Symbol_1522
src_Actor_2463,src_Structure_2351
src_Military-Person_1691,src_Language_1636
src_Economic-Process_757,src_Natural-Object_1681
src_Psychologist_4668,src_Person_1822
src_Object_3805,src_Pope_3681
src_Painting_114,src_Religious-Order_4933
src_Relic_3867,src_Artistic-Style_727
src_Pope_257,src_Economic-Process_149
src_Jurist_874,src_Food_3454
src_Masonic-Lodge_3742,src_Creator_1888
src_Uprising_1976,src_Artistic-Style_3482
src_Disease_520,src_Economic-Organisation_4358
src_Saint_2597,src_Time-Dependent_578
src_Saint_4480,src_Inventor_308
src_Non-Military-Conflict_3987,src_Church_4152
src_Stereotype-Group_3448,src_Abbey_3943
src_Ideology_1335,src_Armament_3317
src_Election_4631,src_Disease_4991
src_Monastery_3926,src_Architect_4888
src_Clerical-Leader_1612,src_International-Alliance_663
src_Engineer_4297,src_Diplomat_4670
src_Food_4646,src_Magnate_3064
src_Religious-Ideology_1865,src_Symbol_304
src_Painter_4754,src_Trades-Union_675
src_League_4690,src_Art-Form_4194
src_Person_2604,src_Management-Organisation_1214
src_Religious-Symbol_660,src_Newspaper_3623
src_Non-Military-Conflict_1435,src_Country_2979
src_Actor_4717,src_Commodity_2856
src_Ideology_2985,src_Illness_4158
src_Economic-Organisation_1183,src_Pollution_2644
src_Sultan_4057,src_Artefact_653
src_Landmark_1504,src_Ideology_1790
src_Geographer_2199,src_Political-Region_1784
src_FuzzyTemporalInterval_4780,src_Public-Oration_4108
src_Military-Unit_3187,src_Public-Oration_1488
src_Religious-Movement_4789,src_Idea_1492
src_Geographical-Discovery_1453,src_Time-Dependent-Relation_3433
src_Scientific-Instrument_4907,src_Geographical-Feature_4583
src_Military-Organisation_858,src_Writing_665
src_Pamphlet_2916,src_Uprising_4560
src_Individual_4925,src_Astronaut_1960
src_Artistic-Style_1468,src_Clerical-Leader_1363
src_Sportsman_2486,src_Fictional-Event_2016
src_Clerical-Leader_613,src_Discoverer_56
src_Commodity_3054,src_Musician_165
src_Time-Dependent-Relation_2984,src_Battle_4303
src_Intra-State-Group_4160,src_International-Organisation_2460
src_Artefact_3986,src_Ethnic-Group_4834
src_Flavour_2786,src_Conductor_4852
src_Representative-Institution_1264,src_Pamphlet_1312
src_Author_2593,src_TemporalInterval_3793
src_Secular-Movement_3258,src_Commodity_4174
src_Geographical-Region_4776,src_Astronaut_262
src_University_4851,src_Armament_1214
src_Economic-Organisation_3473,src_Landmark_4216
src_Trades-Unionist_4462,src_Journal_3737
src_Scandal_673,src_Film-Maker_632
src_Uprising_1266,src_Sportsman_4462
src_Military-Organisation_4352,src_Cathedral_4214
src_Work-of-Art_2839,src_Saint_259
src_Entertainer_2190,src_Ecclesiarch_1000
src_Trades-Unionist_1135,src_Sculptor_1024
src_Geographical-Region_3559,src_Time-Dependent-Relation_1835
src_Landmark_1629,src_Non-Military-Conflict_2537
src_Ship_2152,src_Person-Role_3662
src_War_1984,src_War_4914
src_Animal_4039,src_Event_1228
src_Role_4649,src_Intellectual-Construct_2874
src_Religious-Order_2285,src_Water_1600
src_Person-Role_1104,src_Church_2858
src_Politician_1783,src_Saint_3344
src_Engineer_170,src_Management-Organisation_349
src_Other-Religious-Person_4105,src_Individual_4619
src_Landmark_2598,src_Pollution_4760
src_Religious-Symbol_4177,src_Geographical-Feature_157
src_Abstract-Notion_4970,src_Economist_1408
src_Landmark_4849,src_Public-Oration_4040
src_Jurist_1610,src_Political-Region_792
src_Language_557,src_Event_4883
src_Trades-Unionist_3985,src_Other-Religious-Person_2594
src_War_1000,src_Building_1468
src_Abbey_1334,src_Social-Group_2739
src_Settlement_3611,src_Astronaut_2607
src_Election_3944,src_TemporalInterval_4761
src_Work-of-Art_4382,src_Legislation_126
src_Fictional-Event_2594,src_Cultural-Organisation_2982
src_Architect_84,src_Dynasty_4400
src_Category_3263,src_Scientific-Instrument_140
src_Magnate_443,src_Symbol_2596
src_Natural-Object_3854,src_National-Symbol_2472
src_Cathedral_1897,src_Newspaper_1156
src_Political-Organisation_2302,src_Economic-Enterprise_3704
src_Religious-Community_1784,src_Social-Group_1213
src_International-Alliance_2859,src_Saint_1559
src_Technical-Scientific-Advance_4322,src_Armament_3275
src_Period_3095,src_Liturgical-Object_3918
src_Pastime_2397,src_Conceptual-Object_4343
src_Event_3633,src_Cultural-Agreement_4946
src_Conductor_2951,src_Trades-Unionist_730
src_Physician_4617,src_Ritual_314
src_Foreign-Minister_346,src_Time-Dependent-Relation_3521
src_Public-Oration_1873,src_FuzzyTemporalInterval_3768
src_Pastime_3713,src_Military-Person_1472
src_Event_4109,src_Composer_2397
src_Intellectual-Construct_3753,src_Person-Role_2985
src_Governmental-Organisation_227,src_Religious-Organisation_990
src_Building_4368,src_War_3460
src_Church-Reformer_4124,src_Water_1835
src_Conductor_169,src_Architect_1238
src_Sculptor_1840,src_Election_628
src_Dancer_4790,src_Head-of-Government_3044
src_Time_2885,src_Book_1284
src_Cultural-Organisation_220,src_Newspaper_4222
src_Idea_1017,src_Other-Religious-Person_1648
src_Relic_1946,src_Abbey_222
src_Musician_1355,src_Artistic-Movement_1615
src_Economic-Process_4457,src_Clerical-Leader_1152
src_Commodity_2149,src_Treaty_2784
src_Economic-Symbol_4533,src_Economic-Organisation_978
src_Sculpture_204,src_Social-Group_400
src_Geographer_4905,src_League_2123
src_Pastime_702,src_Pamphlet_4892
src_Conceptual-Object_1223,src_Social-Group_4317
src_Ship_1234,src_Economic-Symbol_9
src_Political-Symbol_4366,src_Educational-Organisation_1300
src_Psychologist_3683,src_Battle_3472
src_Architect_905,src_Film-Maker_4694
src_National-Symbol_3669,src_FuzzyTemporalInterval_3469
src_VicodiOI_702,src_Settlement_4754
src_Building_3054,src_Vehicle_4421
src_Astronaut_3284,src_Artist_2227
src_Philanthropist_2094,src_Secular-Leader_2765
src_Inventor_4379,src_Scandal_2213
src_University_1862,src_Conductor_2728
src_King_3559,src_Village_1884
src_Geographical-Region_3700,src_Saint_3319
src_Environment_2757,src_Food_4145
src_Election_829,src_Physician_3320
src_Sculpture_4876,src_Symbol_2062
src_Artist_2210,src_Vehicle_3841
src_Pastime_4757,src_Pamphlet_1110
src_Political-Region_4955,src_Cultural-Agreement_4531
src_Location-Part-Relation_4235,src_Idea_1112
src_Economic-Organisation_126,src_Abstract-Notion_2833
src_Party_2707,src_War_763
src_Dancer_2808,src_Journalist_3448
src_City_4677,src_Architect_1777
src_Head-of-Government_2034,src_Landmark_4471
src_Writing_3696,src_Field-of-Knowledge_1525
src_Settlement_3005,src_Crime_1262
src_Abstract-Notion_1513,src_Secular-Leader_3478
src_Engineer_1326,src_Geographer_2536
src_Political-Region_1108,src_Population-Movement_436
src_National-Symbol_3306,src_Election_2522
src_Church-Reformer_1449,src_Board_2248
src_Foreign-Minister_4226,src_Trial_731
src_Author_1560,src_Geographical-Feature_1813
src_Religious-Ideology_1496,src_Business-Leader_1908
src_Religious-Ideology_2557,src_Event_1267
src_Pamphlet_328,src_King_815
src_Monastery_1092,src_Professor_384
src_Board_3687,src_Idea_450
src_VicodiOI_4829,src_Functionary_3903
src_Military-Person_3567,src_National-Symbol_4523
src_Religious-Leader_2529,src_Religious-Order_3971
src_Sculptor_2112,src_Politician_2586
src_Time-Dependent-Relation_3266,src_Flavour_1066
src_Sultan_2920,src_Philanthropist_779
src_Sculptor_1702,src_Clerical-Leader_2692
src_Religious-Community_1756,src_Church-Reformer_4299
src_Secular-Movement_4357,src_Location_4962
src_Book_4260,src_Role_3168
src_Religious-Leader_1022,src_Food_4169
src_Armament_4458,src_Trade-Association_4052
src_Other-Religious-Leader_829,src_Architect_3591
src_Secular-Ideology_2843,src_Film-Maker_1104
src_Clothing_1920,src_Author_3650
src_Fictional-Event_980,src_Treaty_4410
src_Head-of-Government_3836,src_Location_4590
src_Flavour_1989,src_Minister_1905
src_Social-Stratum_4188,src_Queen_1709
src_Population-Movement_409,src_Political-Symbol_4101
src_Field-of-Knowledge_2922,src_Political-Symbol_1910
src_Pollution_3052,src_Politician_3514
src_Pamphlet_2604,src_Board_3784
src_Painting_299,src_Vehicle_1715
src_International-Alliance_4352,src_Pamphlet_4541
src_Life-Event_3495,src_Prince_1872
src_Journalist_3759,src_Intra-State-Group_1578
src_International-Organisation_4017,src_Philanthropist_2218
src_Foreign-Minister_2957,src_Sportsman_147
src_Disaster_2583,src_Movement_604
src_Intellectual-Movement_4534,src_Scientist_3745
src_Sculpture_1469,src_Educational-Organisation_2273
src_Intellectual-Construct_4091,src_Political-Organisation_4653
src_Economic-Enterprise_1309,src_Ecclesiarch_4106
src_Religious-Movement_1675,src_Religious-Community_1779
src_Flavour_271,src_Election_1151
src_Legislation_2385,src_Geographical-Feature_3162
src_International-Organisation_4616,src_Economist_1242
src_Newspaper_724,src_Religious-Organisation_1297
src_Church-Reformer_2399,src_Philanthropist_3833
src_Religious-Practice_4938,src_Artist_1545
src_Non-Military-Conflict_475,src_Head-of-State_4035
src_Badge_1835,src_Head-of-Government_495
src_Philanthropist_2238,src_Church_3975
src_Foreign-Minister_2700,src_Sculptor_4544
src_Period_2436,src_Economist_3074
src_Time-Dependent_4008,src_Location_2820
src_Architect_2204,src_Event_1903
src_Conductor_3040,src_Head-of-State_221
src_Abbey_3261,src_Head-of-State_3454
src_Movement_1156,src_Flavour_1911
src_Prince_4362,src_Artefact_4567
src_VicodiOI_432,src_Time_2871
src_Period_518,src_Clerical-Leader_4486
src_Musician_4728,src_Relic_3734
src_Location-Part-Relation_3608,src_Ship_1495
src_Intellectual-Movement_3699,src_Art-Form_1053
src_Social-Stratum_4504,src_Event_1936
src_Secular-Movement_2162,src_Clerical-Leader_3928
src_Author_3607,src_Movement_3843
src_Battle_3202,src_Saint_2517
src_University_2291,src_Sportsman_35
src_Astronaut_3685,src_Painting_3724
src_Journalist_2880,src_Idea_4196
src_Measurable-Trend_1325,src_International-Alliance_1141
src_Conductor_4407,src_Population-Movement_3549
src_Field-of-Knowledge_4881,src_Educational-Organisation_479
src_Individual_3106,src_Church-Reformer_3182
src_Secular-Movement_3229,src_Economist_141
src_Masonic-Lodge_1669,src_Political-Organisation_1148
src_Flavour_734,src_Food_3712
src_Geographical-Region_3999,src_Scientist_1578
src_Economic-Enterprise_4667,src_Board_2818
src_Crime_622,src_Measurable-Trend_4360
src_Entertainer_3517,src_Journal_438
src_Geographical-Feature_3782,src_Ecclesiarch_1733
src_Monastery_2023,src_Commodity_3835
src_Time-Dependent_3434,src_Professor_3118
src_Religious-Community_4454,src_Time_2640
src_Church-Reformer_3601,src_Vehicle_3271
src_Artefact_473,src_Astronaut_1527
src_Foreign-Minister_4674,src_Field-of-Knowledge_2014
src_Religious-Organisation_4593,src_Political-Symbol_3195
src_Writing_1999,src_Professor_3196
src_Ritual_642,src_Head-of-Government_1611
src_Educational-Organisation_1973,src_Intellectual-Construct_2373
src_Jurist_4344,src_Settlement_3695
src_Trade-Association_2322,src_Minister_3253
src_Field-of-Knowledge_4994,src_Non-Military-Conflict_440
src_Technical-Scientific-Advance_774,src_Economic-Enterprise_2978
src_Journal_4058,src_Natural-Object_2289
src_Election_186,src_Artistic-Movement_3246
src_Clerical-Leader_195,src_Journalist_1594
src_Painter_1163,src_Writing_4500
src_Book_3169,src_Religious-Order_345
src_National-Symbol_1919,src_Other-Religious-Person_1760
src_Inventor_2988,src_Social-Stratum_3505
src_Technical-Scientific-Advance_2222,src_Badge_921
src_International-Alliance_1268,src_Economic-Organisation_3004
