src_Sportsman_2973,src_Ecclesiarch_3392
src_Animal_1243,src_Entertainer_2233
src_Structure_667,src_Painting_4835
src_Life-Event_1589,src_Time-Dependent-Relation_3351
src_Creator_3687,src_Legislation_1817
src_Cultural-Organisation_4730,src_Pollution_2402
src_Religious-Leader_4106,src_Person-Role_4061
src_Painter_4845,src_Person-Role_4566
src_Musician_3134,src_National-Symbol_4871
src_Train_2945,src_Illness_3105
src_Ship_2134,src_Creator_1827
src_Author_4539,src_Intra-State-Group_1970
src_Settlement_713,src_Water_1422
src_Foreign-Minister_4273,src_Meeting_2876
src_Prince_4967,src_Cultural-Agreement_4413
src_Structure_1300,src_FuzzyTemporalInterval_4106
src_Structure_1154,src_Creator_2434
src_Time_1673,src_Leader_394
src_Physician_3551,src_Religious-Leader_1352
src_Party_4083,src_League_4237
src_Train_3826,src_TemporalInterval_2484
src_Secular-Leader_4211,src_Professor_2034
src_Pastime_4965,src_Publisher_4004
src_Book_4856,src_Person-Role_1336
src_Environment_433,src_Ship_569
src_Military-Person_1527,src_Life-Event_2306
src_Church_1722,src_Pastime_2742
src_Artefact_4019,src_Philanthropist_3954
src_Object_1222,src_Artistic-Movement_2344
src_Artistic-Style_1485,src_Battle_2425
src_Economic-Organisation_2118,src_Theologian_2813
src_Sculpture_3045,src_Head-of-Government_4090
src_Cleric_3124,src_Food_2567
src_Economic-Process_4054,src_Time-Dependent-Relation_2364
src_Flavour_4315,src_International-Organisation_1288
src_VicodiOI_4205,src_Conceptual-Object_3686
src_Structure_3090,src_National-Symbol_4798
src_Intellectual-Construct_4034,src_Cathedral_763
src_Pollution_3800,src_Clerical-Leader_86
src_Stereotype-Group_4238,src_Treaty_1766
src_Economic-Symbol_2705,src_Geographical-Discovery_4753
src_Management-Organisation_67,src_TemporalInterval_3508
src_League_2255,src_TemporalInterval_267
src_Creator_2815,src_City_4350
src_Head-of-State_2249,src_Work-of-Art_4305
src_Scientific-Instrument_2880,src_Election_3534
src_Scientific-Instrument_4703,src_Art-Form_1704
src_Symbol_720,src_Food_3766
src_Animal_4547,src_Natural-Object_1915
src_Uprising_2442,src_Political-Region_2606
src_Country_1145,src_Painter_4595
src_Military-Person_3795,src_Political-Symbol_3725
src_Painting_4023,src_Economist_3574
src_Economic-Enterprise_281,src_Environment_3100
src_Ideology_565,src_Journal_650
src_Management-Organisation_999,src_Disease_360
src_Religious-Practice_134,src_Saint_3912
src_Secular-Leader_3742,src_Time-Dependent_3431
src_Religious-Community_4925,src_Masonic-Lodge_3067
src_Pamphlet_429,src_Representative-Institution_4895
src_Trade-Association_0,src_Disease_4304
src_Intra-State-Group_1338,src_Actor_3475
src_Geographical-Region_2064,src_Religious-Ideology_4118
src_Population-Movement_1830,src_Period_4504
src_Organisation_3526,src_Fictional-Event_5
src_Category_2661,src_Social-Group_2625
src_Person-Role_4095,src_Philosopher_2640
src_Secular-Leader_4523,src_Philosopher_4424
src_Intellectual-Construct_2785,src_Object_2660
src_Other-Religious-Leader_2079,src_Board_4711
src_Sportsman_2035,src_Economic-Enterprise_1425
src_Pamphlet_1907,src_Ideology_664
src_Structure_1336,src_Monastery_4229
src_Time-Dependent-Relation_153,src_Intellectual-Movement_210
src_Pastime_3876,src_Settlement_1702
src_Military-Organisation_2215,src_Abbey_997
src_Election_2469,src_Life-Event_3310
src_Battle_988,src_Economist_2074
src_Painter_1634,src_Educational-Organisation_1686
src_Environment_4312,src_Geographical-Discovery_4893
src_Scientist_3727,src_Dynasty_3494
src_Diplomat_3167,src_Meeting_4301
src_Ship_4103,src_Military-Organisation_512
src_Painter_4886,src_Train_1496
src_Trades-Union_3688,src_Pamphlet_4266
src_Disaster_2964,src_Writing_1553
src_Magnate_3890,src_Battle_3762
src_Technical-Scientific-Advance_3218,src_Other-Religious-Person_2972
src_Cleric_687,src_Artistic-Style_1850
src_Person_2939,src_Magnate_4958
src_Jurist_1076,src_Emperor_4563
src_Political-Organisation_4524,src_Geographical-Region_255
src_Trades-Unionist_494,src_Symbol_3275
src_Management-Organisation_3076,src_Other-Religious-Person_2313
src_Secular-Movement_2006,src_Crime_33
src_Musician_1365,src_War_1560
src_Scientist_2565,src_Meeting_4117
src_Pollution_1417,src_Uprising_489
src_Treaty_72,src_Religious-Order_235
src_League_2701,src_Measurable-Trend_1685
src_Scientist_308,src_Landmark_1494
src_Public-Oration_3152,src_Intra-State-Group_4660
src_Theologian_3834,src_Treaty_1902
src_Military-Person_3540,src_Management-Organisation_124
src_Cathedral_4396,src_Ideology_1756
src_Sultan_3604,src_Sculpture_1402
src_Fictional-Person_4398,src_Painting_3779
src_Badge_2252,src_Psychologist_134
src_Village_4613,src_Art-Form_2358
src_Public-Oration_52,src_Religious-Symbol_912
src_Election_3267,src_Church-Reformer_4262
src_Author_3013,src_Astronaut_3174
src_Legislation_3680,src_Location_4851
src_Composer_1145,src_Economic-Enterprise_1942
src_Sportsman_3354,src_FuzzyTemporalInterval_3952
src_Journal_3510,src_Diplomat_1774
src_Field-of-Knowledge_85,src_Clerical-Leader_849
src_Economic-Organisation_1779,src_Architect_696
src_Actor_3739,src_Economic-Enterprise_1149
src_Management-Organisation_34,src_Location_4210
src_Queen_1950,src_Astronaut_2158
src_National-Symbol_1956,src_Religious-Organisation_2383
src_Pastime_256,src_Business-Leader_1621
src_Military-Unit_4055,src_Author_1009
src_Person_2945,src_Structure_3896
src_Secular-Leader_3795,src_Sculpture_4817
src_Secular-Leader_4600,src_Economic-Process_2654
src_Train_872,src_Scandal_794
src_FuzzyTemporalInterval_2896,src_Natural-Object_1984
src_Art-Form_4617,src_Musician_2971
src_Role_1253,src_Trial_1671
src_Stereotype-Group_2203,src_Secular-Ideology_267
src_Time-Dependent_372,src_Art-Form_242
src_Philanthropist_3294,src_Foreign-Minister_4781
src_Population-Movement_2702,src_Life-Event_3438
src_Water_394,src_Scandal_1475
src_Social-Stratum_3476,src_Category_3302
src_Building_3403,src_Ideology_3205
src_Geographer_3388,src_Minister_1882
src_Structure_4830,src_Ideology_2017
src_Actor_810,src_Pamphlet_2913
src_Economic-Symbol_3689,src_International-Alliance_3185
src_Intra-State-Group_95,src_Military-Organisation_3033
src_Abstract-Notion_2886,src_Ship_3698
src_Management-Organisation_4686,src_Piece-of-Music_1747
src_War_3079,src_Ethnic-Group_4657
src_Treaty_2793,src_National-Symbol_866
src_Election_2707,src_Cathedral_2814
src_Legislation_1208,src_Ethnic-Group_1026
src_Time-Dependent_2871,src_Technical-Scientific-Advance_3410
src_Geographical-Feature_1009,src_Event_1802
src_Theologian_2230,src_Ideology_450
src_International-Organisation_2608,src_Badge_36
src_Actor_1625,src_Water_363
src_Discoverer_3201,src_Economic-Process_810
src_Piece-of-Music_4103,src_Stereotype-Group_1870
src_Management-Organisation_1792,src_Organisation_560
src_Non-Military-Conflict_1270,src_Leader_1115
src_Economic-Organisation_2224,src_Military-Unit_2750
src_Period-in-Office_3159,src_Saint_199
src_Life-Event_4136,src_Engineer_2325
src_Time-Dependent_4485,src_Head-of-Government_984
src_Cathedral_4990,src_Public-Oration_95
src_Water_3726,src_Theologian_709
src_Structure_2784,src_Management-Organisation_3232
src_Jurist_984,src_Geographical-Region_456
src_Scientific-Instrument_2726,src_Location-Part-Relation_3169
src_Monastery_4573,src_Church-Reformer_2733
src_Relic_4313,src_City_689
src_Food_2695,src_Meeting_4426
src_Religious-Organisation_4967,src_Film-Maker_1660
src_University_1284,src_Geographical-Region_4639
src_Geographical-Feature_1884,src_Badge_2454
src_Water_3770,src_War_3453
src_Publisher_4473,src_Physician_1062
src_Abbey_3923,src_Artistic-Style_712
src_Trades-Union_648,src_Theologian_4197
src_Disease_3474,src_Commodity_2111
src_Monastery_3149,src_Church_838
src_League_3500,src_Election_2608
src_Armament_2750,src_Disease_3614
src_Journalist_1992,src_Stereotype-Group_2318
src_Time-Dependent_1076,src_Religious-Movement_3834
src_Functionary_431,src_Geographer_1997
src_Trades-Unionist_2695,src_Geographer_4157
src_Life-Event_515,src_Philosopher_178
src_Geographical-Discovery_1518,src_Category_4753
src_International-Organisation_3579,src_Pollution_1989
src_Location_3724,src_Secular-Leader_347
src_Geographical-Discovery_997,src_Economist_344
src_Political-Region_2595,src_Animal_4049
src_Badge_4899,src_Musician_4982
src_Village_3077,src_Work-of-Art_733
src_Settlement_4566,src_Architect_447
src_Journal_3957,src_Religious-Leader_2128
src_Work-of-Art_885,src_Pastime_4040
src_Time_2257,src_Politician_4465
src_FuzzyTemporalInterval_535,src_Secular-Ideology_341
src_Economic-Process_555,src_Book_3142
src_Commodity_2420,src_Election_3897
src_Trade-Association_1595,src_Symbol_1016
src_Treaty_4527,src_Population-Movement_4026
src_Artistic-Style_4502,src_Fictional-Event_4257
src_Geographical-Region_3070,src_Creator_4839
src_Field-of-Knowledge_4866,src_King_2822
src_Landmark_4352,src_Meeting_163
src_Object_4470,src_Treaty_166
src_Battle_3029,src_Minister_3329
src_Language_2550,src_Astronaut_1706
src_Secular-Movement_1673,src_Politician_2095
src_Philanthropist_3549,src_Population-Movement_1373
src_Religious-Movement_3826,src_Geographical-Feature_1349
src_Language_1977,src_Cleric_2956
src_Artistic-Movement_597,src_Field-of-Knowledge_3197
src_Ideology_3195,src_Landmark_245
src_Sculpture_2548,src_Other-Religious-Leader_3250
src_Person-Role_1507,src_Clothing_3785
src_Settlement_2914,src_Jurist_3675
src_Measurable-Trend_4255,src_Time-Dependent_2363
src_Meeting_508,src_Dynasty_4718
src_Governmental-Organisation_596,src_Trade-Association_4608
src_Natural-Object_3233,src_Sculpture_4999
src_Flavour_4531,src_Professor_3878
src_Population-Movement_2723,src_Board_1512
src_Military-Person_4845,src_Field-of-Knowledge_3959
src_Treaty_3116,src_Individual_2048
src_Cleric_3247,src_Animal_1757
src_Treaty_4961,src_Ethnic-Group_4791
src_Armament_4031,src_Ideology_1901
src_Battle_2778,src_Journalist_3421
src_Country_2500,src_Representative-Institution_142
src_Board_4263,src_Social-Group_4416
src_Time-Dependent_1473,src_Intellectual-Movement_4048
src_Cathedral_3892,src_Political-Symbol_60
src_Country_4233,src_Secular-Movement_4248
src_Dramaturge_1509,src_City_2658
src_Astronaut_2268,src_Writing_40
src_Head-of-Government_1826,src_Location-Part-Relation_1356
src_Economic-Process_2745,src_Piece-of-Music_1144
src_Trades-Unionist_1060,src_League_284
src_Scientific-Instrument_2321,src_Artist_4850
src_Military-Organisation_3901,src_VicodiOI_3402
src_Intra-State-Group_1330,src_Event_4479
src_Village_980,src_Discoverer_3485
src_Battle_1177,src_Work-of-Art_1325
src_Geographical-Discovery_2478,src_Location-Part-Relation_4326
src_Political-Symbol_2478,src_Film-Maker_4970
src_Person-Role_3117,src_Intra-State-Group_706
src_Battle_2411,src_Role_4415
src_Educational-Organisation_2629,src_Water_1142
src_Prince_413,src_Trades-Unionist_423
src_Pollution_3121,src_Intra-State-Group_4667
src_Country_1001,src_Criminal_2847
src_Flavour_1386,src_Ship_4753
src_Language_2216,src_Person-Role_2581
src_Disease_2560,src_Movement_189
src_Professor_827,src_Badge_3387
src_Book_678,src_Person_4244
src_Disaster_3302,src_Trade-Association_1500
src_Painting_1937,src_Religious-Ideology_1151
src_Meeting_4624,src_Geographical-Region_3227
src_Saint_3049,src_Movement_1064
src_Party_2457,src_Movement_3624
src_Economic-Process_4695,src_Theologian_241
src_Physician_835,src_Cleric_2052
src_Fictional-Event_3413,src_War_1609
src_Stereotype-Group_2138,src_Landmark_3521
src_Military-Organisation_360,src_Discoverer_3800
src_Religious-Leader_539,src_Writing_4549
src_Business-Leader_3849,src_Artistic-Movement_3071
src_Painting_4048,src_Journal_1717
src_Secular-Movement_4863,src_Cathedral_1994
src_Idea_753,src_Sculpture_1860
src_Non-Military-Conflict_3542,src_Scientific-Instrument_175
src_Location-Part-Relation_2251,src_Uprising_1491
src_Monastery_4602,src_Board_1127
src_Economic-Process_3285,src_TemporalInterval_3744
src_Dramaturge_804,src_Sculptor_3954
src_Party_1998,src_Professor_4057
src_Geographical-Discovery_340,src_Monastery_1772
src_Badge_1712,src_Geographical-Discovery_711
src_Village_2860,src_FuzzyTemporalInterval_1604
src_Political-Symbol_1456,src_Movement_174
src_Art-Form_1491,src_Idea_161
src_Geographical-Region_74,src_Abstract-Notion_4305
src_Secular-Leader_2295,src_Disease_2157
src_Technical-Scientific-Advance_4065,src_Non-Military-Conflict_919
src_Educational-Organisation_1673,src_Role_2500
src_Time-Dependent_4820,src_Political-Region_1083
src_Painting_644,src_Physician_2075
src_Crime_1474,src_International-Alliance_757
src_Painting_1838,src_Clothing_2979
src_Cultural-Agreement_1111,src_Scientist_555
src_League_3638,src_Vehicle_3133
src_Role_4420,src_Criminal_3245
src_Conceptual-Object_3667,src_Foreign-Minister_884
src_Geographical-Discovery_4410,src_Writing_962
src_Artist_1739,src_Environment_960
src_Criminal_3086,src_Geographical-Discovery_4213
src_Artistic-Movement_32,src_Ethnic-Group_1687
src_Intellectual-Movement_1631,src_Magnate_3196
src_Time-Dependent-Relation_2732,src_Meeting_4108
src_Trades-Unionist_4499,src_Period_4996
src_Business-Leader_1614,src_Fictional-Event_3962
src_Engineer_957,src_Commodity_208
src_Geographical-Region_2642,src_Military-Organisation_1263
src_Politician_2065,src_Business-Leader_66
src_Professor_1421,src_Masonic-Lodge_4755
src_Painting_2638,src_University_1870
src_Ritual_4214,src_Leader_1000
src_Minister_4354,src_International-Alliance_899
src_Piece-of-Music_414,src_Head-of-State_473
src_Economic-Organisation_2921,src_Stereotype-Group_3626
src_Other-Religious-Person_4056,src_Management-Organisation_1637
src_King_2878,src_Criminal_3487
src_League_921,src_Country_2194
src_Magnate_1064,src_Theologian_893
src_Criminal_32,src_Political-Region_3348
src_Cultural-Organisation_238,src_VicodiOI_3540
src_Functionary_2999,src_Dramaturge_4021
src_Conceptual-Object_555,src_Time-Dependent_2852
src_Armament_2776,src_Architect_4220
src_Ship_2778,src_Economist_4689
src_Dancer_1712,src_Theologian_608
src_Monastery_4978,src_Scientist_1598
src_Other-Religious-Person_3118,src_Dynasty_44
src_Train_1338,src_Writing_3556
src_Party_828,src_Train_531
src_Functionary_4038,src_Musician_2786
src_Time-Dependent-Relation_173,src_Population-Movement_538
src_Geographical-Region_2712,src_Jurist_4883
src_Landmark_4749,src_FuzzyTemporalInterval_4522
src_Symbol_3215,src_Military-Unit_413
src_Military-Organisation_188,src_Relic_1732
src_Population-Movement_2339,src_Dynasty_3238
src_Food_2210,src_Settlement_2893
src_Conceptual-Object_4934,src_Time_1431
src_Dramaturge_4492,src_Badge_386
src_Author_2676,src_Trade-Association_3059
src_Cultural-Organisation_1885,src_Engineer_682
src_Architect_1947,src_Secular-Movement_3278
src_Diplomat_4805,src_Emperor_3465
src_Creator_539,src_Psychologist_519
src_Party_3637,src_Magnate_3153
src_Diplomat_2511,src_Religious-Movement_1448
src_Religious-Ideology_545,src_Public-Oration_3776
src_Governmental-Organisation_370,src_Entertainer_1211
src_Political-Organisation_340,src_Disease_1350
src_Person-Role_1490,src_Representative-Institution_2020
src_Artist_2534,src_Intellectual-Movement_509
src_Conceptual-Object_152,src_Board_1915
src_Philosopher_1241,src_Natural-Object_1881
src_Vehicle_958,src_Animal_3352
src_Clerical-Leader_1999,src_Secular-Ideology_3704
src_Religious-Movement_519,src_Stereotype-Group_391
src_Publisher_4430,src_Politician_1505
src_Religious-Movement_1937,src_Event_308
src_Professor_2987,src_Event_1174
src_Artist_2637,src_Flavour_3421
src_Disaster_3914,src_Religious-Order_3739
src_Illness_3885,src_Symbol_2725
src_Professor_2419,src_Trial_902
src_Military-Person_325,src_National-Symbol_1156
src_Head-of-Government_3110,src_Engineer_2335
src_Military-Person_3491,src_Musician_3449
src_International-Alliance_1664,src_Fictional-Event_487
src_Relic_3551,src_Piece-of-Music_906
src_University_1955,src_Functionary_4690
src_Economic-Enterprise_3787,src_Country_2176
src_Building_4714,src_Pollution_1839
src_Physician_4651,src_Ship_2406
src_Leader_1257,src_Engineer_404
src_Journalist_3460,src_Newspaper_3049
src_Scientific-Instrument_1113,src_Cleric_4540
src_Pope_2857,src_Landmark_3046
src_Professor_3329,src_Trade-Association_938
src_Management-Organisation_3241,src_Monastery_3272
src_Cleric_3518,src_Philanthropist_1813
src_Political-Region_1378,src_Cathedral_4345
src_Trades-Union_283,src_Water_2692
src_Ship_4713,src_Geographical-Discovery_4285
src_Social-Group_3641,src_Secular-Leader_3929
src_Religious-Community_1343,src_Food_925
src_Criminal_3152,src_University_1816
src_Relic_1613,src_Ship_2799
src_Object_43,src_Jurist_2654
src_Scientist_2448,src_Writing_1184
src_National-Symbol_1672,src_Trial_2724
src_Field-of-Knowledge_1197,src_Armament_3996
src_Book_1461,src_Economic-Organisation_1914
src_Inventor_781,src_Governmental-Organisation_4362
src_Prince_3084,src_Person-Role_1558
src_Military-Unit_2554,src_Foreign-Minister_754
src_Leader_4327,src_Event_3749
src_Religious-Organisation_2376,src_Diplomat_2304
src_Life-Event_4315,src_Idea_806
src_Stereotype-Group_2756,src_Dancer_1656
src_Idea_681,src_Animal_3844
src_Economist_1672,src_Military-Unit_1665
src_Ecclesiarch_2600,src_Church-Reformer_4626
src_Food_3884,src_International-Alliance_1324
src_Professor_1956,src_Philosopher_1198
src_Scientific-Instrument_142,src_National-Symbol_2060
src_Trade-Association_306,src_Disaster_1712
src_Book_3771,src_Composer_1294
src_Philanthropist_560,src_Creator_610
src_Diplomat_4323,src_Sculptor_4760
src_Religious-Leader_985,src_Train_447
src_Movement_3560,src_Journal_3291
src_Object_2127,src_Theologian_21
src_Dancer_2622,src_Religious-Organisation_1569
src_Professor_1287,src_Saint_3637
src_Ship_3796,src_Minister_2249
src_Symbol_1488,src_Ritual_2703
src_Illness_90,src_Illness_2737
src_Dancer_4979,src_Religious-Leader_2929
src_Entertainer_2329,src_Life-Event_4368
src_VicodiOI_2884,src_Cultural-Organisation_711
src_Governmental-Organisation_2333,src_War_899
src_Settlement_3263,src_Economic-Process_2969
src_Art-Form_269,src_Artistic-Movement_4382
src_Magnate_107,src_Trade-Association_1137
src_Uprising_1489,src_Clerical-Leader_3080
src_Non-Military-Conflict_1610,src_Sportsman_876
src_Ideology_4643,src_Inventor_4562
src_Individual_110,src_Publisher_2486
src_Secular-Leader_1718,src_Religious-Practice_1070
src_Person-Role_1557,src_Politician_1560
src_Queen_3618,src_Liturgical-Object_369
src_Landmark_870,src_Trades-Unionist_3963
src_Person-Role_3005,src_Category_2258
src_Dramaturge_4386,src_Religious-Organisation_1284
src_Pamphlet_1130,src_Trades-Union_2923
src_Dramaturge_875,src_Liturgical-Object_2784
src_Conductor_4046,src_Symbol_3221
src_Clothing_1935,src_Queen_750
src_Military-Organisation_789,src_Prince_1093
src_Discoverer_149,src_Political-Symbol_1418
src_Building_641,src_International-Organisation_1563
src_Head-of-Government_206,src_Scientist_4894
src_Professor_3227,src_Conceptual-Object_1024
src_Religious-Practice_4173,src_National-Symbol_4800
src_Intellectual-Construct_1255,src_Artefact_3941
src_Structure_927,src_Publisher_4248
src_TemporalInterval_2668,src_Publisher_3128
src_Economic-Symbol_2843,src_Life-Event_2200
src_Sultan_817,src_Engineer_2447
src_Trades-Union_4099,src_Time-Dependent_2044
src_Uprising_4649,src_Church_4020
src_Criminal_1025,src_Pollution_4786
src_Train_4767,src_Clothing_1001
src_Public-Oration_1914,src_Trades-Unionist_1001
src_Movement_186,src_Language_4715
src_Author_886,src_City_2843
src_Organisation_842,src_Symbol_4401
src_Religious-Practice_1973,src_Church-Reformer_1884
src_Religious-Ideology_1376,src_Disease_1132
src_Movement_1563,src_Public-Oration_3474
src_Pollution_1074,src_Country_2958
src_Work-of-Art_3116,src_Category_2332
src_Film-Maker_3508,src_Film-Maker_3437
src_Painting_2072,src_Environment_4157
src_Diplomat_3191,src_Discoverer_1798
src_Public-Oration_4024,src_Food_2137
src_Theologian_365,src_Scandal_4124
src_Country_2286,src_Piece-of-Music_2660
src_Time-Dependent_4218,src_Village_4568
src_Sultan_3632,src_Sculptor_3127
src_Event_3148,src_Vehicle_1024
src_Stereotype-Group_1734,src_Saint_364
src_Scientist_4068,src_League_570
src_Head-of-State_4143,src_Governmental-Organisation_2095
src_Politician_4475,src_Intellectual-Movement_3847
src_Board_3143,src_Category_789
src_Population-Movement_485,src_Dynasty_3362
src_Diplomat_1804,src_Commodity_110
src_Cultural-Agreement_4040,src_Economic-Organisation_1616
src_Role_1499,src_Theologian_3411
src_Political-Region_365,src_Composer_200
src_Object_111,src_Architect_226
src_Head-of-State_2070,src_Vehicle_4378
src_Sculptor_2890,src_Building_4767
src_Religious-Community_382,src_Creator_3929
src_Train_1210,src_Painter_1747
src_Event_716,src_Non-Military-Conflict_1763
src_Cleric_4541,src_International-Organisation_4975
src_Artistic-Movement_4551,src_Intellectual-Construct_149
src_Time_4788,src_FuzzyTemporalInterval_1078
src_Entertainer_3650,src_Train_4273
src_Crime_4275,src_Composer_4840
src_Treaty_3649,src_Public-Oration_4169
src_Governmental-Organisation_1287,src_Disease_4027
src_City_842,src_Military-Organisation_211
src_Movement_614,src_Inventor_1890
src_Trades-Unionist_661,src_Social-Group_1588
src_Board_4442,src_Secular-Leader_4784
src_Painter_3692,src_Abbey_415
src_Cleric_1686,src_Trade-Association_3803
src_Psychologist_339,src_Art-Form_3846
src_Philanthropist_1807,src_Actor_2859
src_Dancer_2176,src_Newspaper_2148
src_International-Alliance_827,src_Queen_4674
src_Philosopher_515,src_Trades-Unionist_3035
src_Category_4429,src_Ideology_4635
src_Economic-Organisation_2223,src_Abstract-Notion_337
src_Category_4846,src_National-Symbol_220
src_Religious-Community_3031,src_Animal_4171
src_Ship_3989,src_War_1270
src_Dancer_2865,src_Cleric_2828
src_Art-Form_1256,src_Composer_4065
src_Monastery_1854,src_International-Organisation_884
src_Fictional-Person_120,src_Structure_4019
src_Minister_3903,src_Water_3075
src_Person-Role_4569,src_Individual_1927
src_Journal_3769,src_Trades-Unionist_628
src_Social-Group_350,src_International-Alliance_4304
src_Illness_1521,src_Religious-Ideology_1989
src_Organisation_3585,src_Clerical-Leader_125
src_King_4529,src_Economic-Enterprise_731
src_Governmental-Organisation_2608,src_International-Alliance_1428
src_International-Alliance_2657,src_Relic_3904
src_Masonic-Lodge_2385,src_Intellectual-Construct_4889
src_Creator_3893,src_Location_2775
src_Treaty_3886,src_Geographical-Discovery_3717
src_Location_2941,src_Writing_3075
src_Building_4057,src_Publisher_2593
src_Intellectual-Movement_4560,src_Physician_2117
src_Religious-Movement_473,src_Representative-Institution_770
src_Military-Unit_3935,src_Religious-Leader_3149
src_Economic-Organisation_754,src_Artistic-Style_2748
src_Conductor_72,src_Liturgical-Object_3094
src_National-Symbol_4769,src_VicodiOI_649
src_Journal_3056,src_Armament_548
src_Newspaper_933,src_Magnate_4745
src_Artistic-Style_1527,src_Philanthropist_4590
src_War_4031,src_Trial_161
src_Art-Form_240,src_Author_1038
src_Village_1210,src_Treaty_382
src_Journalist_4989,src_Battle_3773
src_TemporalInterval_3955,src_Non-Military-Conflict_1056
src_Clothing_1958,src_Abbey_3874
src_Pamphlet_665,src_Ship_682
src_Composer_2195,src_Philanthropist_3954
src_Disaster_1181,src_International-Alliance_3318
src_Event_493,src_Head-of-Government_1222
src_Treaty_1443,src_Disease_34
src_Measurable-Trend_3289,src_Educational-Organisation_2130
src_Abbey_3487,src_Economic-Organisation_1695
src_Liturgical-Object_3732,src_Church_841
src_Scientist_3393,src_Sultan_3942
src_Composer_4639,src_Idea_1724
src_Pamphlet_2905,src_Piece-of-Music_4019
src_Category_3748,src_Fictional-Person_2234
src_Train_3314,src_Other-Religious-Person_508
src_Abstract-Notion_4470,src_Secular-Ideology_4359
