src_Location-Part-Relation_2721,src_Journalist_4145
src_Journal_2733,src_Political-Organisation_4135
src_Trades-Union_3980,src_Physician_4834
src_Board_2400,src_Artefact_160
src_Scientific-Instrument_2382,src_City_340
src_Queen_2019,src_Geographer_4833
src_Political-Region_3411,src_Stereotype-Group_3230
src_Church-Reformer_242,src_Professor_3439
src_City_2563,src_Ideology_1109
src_Economic-Enterprise_2941,src_Structure_3817
src_Entertainer_2486,src_Inventor_4538
src_VicodiOI_1248,src_Representative-Institution_3656
src_Film-Maker_800,src_Other-Religious-Person_4468
src_Commodity_1693,src_Vehicle_3454
src_Art-Form_3029,src_Treaty_1402
src_Business-Leader_131,src_Jurist_4729
src_Period_2365,src_Economist_4207
src_Pastime_370,src_Village_3078
src_Religious-Leader_1073,src_Pastime_4615
src_Cleric_956,src_Pope_3048
src_Religious-Symbol_227,src_Geographical-Feature_4270
src_Dynasty_4981,src_Settlement_4088
src_Technical-Scientific-Advance_866,src_Book_1965
src_Environment_2356,src_Other-Religious-Person_2692
src_Minister_4739,src_Building_1046
src_Relic_4647,src_Ideology_3882
src_Category_2952,src_Uprising_4853
src_Economic-Symbol_2954,src_Political-Organisation_1603
src_Inventor_4549,src_Religious-Symbol_4639
src_Life-Event_4600,src_Military-Organisation_3554
src_Military-Organisation_1661,src_Physician_347
src_Field-of-Knowledge_1568,src_Meeting_1228
src_Scientific-Instrument_4657,src_FuzzyTemporalInterval_3669
src_Structure_2577,src_Other-Religious-Leader_4136
src_Economic-Process_3913,src_Board_2048
src_Social-Group_189,src_Fictional-Person_3678
src_Ecclesiarch_2096,src_Trades-Union_2641
src_Pamphlet_329,src_Discoverer_2177
src_Food_3675,src_Church-Reformer_2497
src_Secular-Ideology_4923,src_Symbol_1271
src_Religious-Order_3738,src_Board_2153
src_Military-Organisation_2082,src_Person_4117
src_International-Alliance_3638,src_Discoverer_964
src_Musician_3762,src_International-Organisation_2733
src_Social-Group_4353,src_Film-Maker_4690
src_Religious-Order_373,src_Religious-Community_3281
src_Flavour_2952,src_Liturgical-Object_4713
src_VicodiOI_4138,src_Natural-Object_1111
src_International-Alliance_4884,src_Language_2332
src_Monastery_2792,src_Language_3612
src_Newspaper_3908,src_International-Organisation_318
src_Artistic-Movement_707,src_King_2067
src_Scientist_1843,src_Water_349
src_Individual_3382,src_Ritual_2557
src_Film-Maker_96,src_Painter_3753
src_Politician_271,src_Building_104
src_Stereotype-Group_153,src_Ecclesiarch_3787
src_Scientific-Instrument_367,src_Church-Reformer_3091
src_Public-Oration_4814,src_Vehicle_1577
src_Relic_2334,src_Composer_3901
src_Organisation_532,src_Social-Group_2310
src_Journalist_3378,src_Political-Organisation_3722
src_Cleric_438,src_Artistic-Movement_3212
src_Ship_4848,src_Public-Oration_2832
src_Newspaper_3973,src_Representative-Institution_3275
src_Ritual_4761,src_Secular-Leader_3291
src_International-Alliance_4337,src_Intellectual-Movement_80
src_Trade-Association_599,src_Board_2527
src_Trial_3518,src_Religious-Practice_1785
src_Location-Part-Relation_4388,src_Engineer_1620
src_Politician_1184,src_Economist_1942
src_Military-Unit_465,src_Disease_4337
src_Location-Part-Relation_134,src_Piece-of-Music_175
src_Field-of-Knowledge_348,src_Pope_1955
src_Criminal_2162,src_Fictional-Event_49
src_Dynasty_2328,src_Economic-Process_1340
src_Water_3782,src_Ritual_3179
src_Journalist_4873,src_Disease_4854
src_Non-Military-Conflict_1944,src_Film-Maker_1987
src_VicodiOI_3677,src_Organisation_3935
src_Clothing_2086,src_Idea_4555
src_Political-Region_3747,src_Economist_453
src_Composer_4683,src_Social-Group_3008
src_Journal_3247,src_Category_3409
src_Film-Maker_3576,src_Artefact_1878
src_Book_108,src_Educational-Organisation_53
src_National-Symbol_2787,src_International-Alliance_3143
src_Secular-Ideology_2375,src_Illness_2120
src_Governmental-Organisation_2698,src_Work-of-Art_3323
src_Church-Reformer_4331,src_Philanthropist_3910
src_Role_3312,src_Period_3463
src_Language_4847,src_Dramaturge_1866
src_Trades-Union_679,src_Trades-Union_3752
src_Religious-Symbol_3281,src_Creator_4589
src_Book_1084,src_Military-Unit_22
src_Fictional-Event_4094,src_Intra-State-Group_1717
src_Settlement_838,src_Village_2515
src_Leader_4198,src_Military-Person_4745
src_Organisation_3975,src_International-Organisation_3003
src_Business-Leader_652,src_Non-Military-Conflict_4242
src_Environment_488,src_Emperor_3452
src_Pollution_4676,src_Geographical-Region_4705
src_Publisher_2633,src_Badge_2349
src_Secular-Leader_1907,src_Field-of-Knowledge_2685
src_Secular-Ideology_2406,src_Philanthropist_1320
src_Leader_3250,src_Water_244
src_Language_2194,src_Liturgical-Object_3817
src_Object_3035,src_Object_2166
src_Treaty_2264,src_Election_1438
src_Head-of-State_2274,src_National-Symbol_1566
src_Badge_2108,src_Life-Event_3983
src_Economic-Enterprise_1396,src_Pope_4394
src_Religious-Symbol_1030,src_Governmental-Organisation_3717
src_Political-Symbol_898,src_Monastery_1784
src_Population-Movement_190,src_International-Alliance_4812
src_National-Symbol_4423,src_Country_1353
src_Religious-Symbol_1080,src_Artist_4682
src_Movement_3549,src_Vehicle_2712
src_Symbol_2794,src_Functionary_175
src_Monastery_484,src_Journal_3313
src_Sculptor_3489,src_Economic-Enterprise_3485
src_Religious-Organisation_3819,src_University_268
src_Technical-Scientific-Advance_3343,src_City_272
src_Sultan_412,src_Armament_481
src_Political-Region_423,src_Organisation_3389
src_Educational-Organisation_3820,src_City_3322
src_VicodiOI_1462,src_Author_1795
src_Ritual_3703,src_Symbol_3182
src_Ideology_2228,src_Party_1958
src_Head-of-Government_752,src_Prince_4146
src_Badge_4481,src_Fictional-Event_4353
src_Trade-Association_3623,src_King_480
src_Country_480,src_Politician_577
src_Minister_656,src_Ecclesiarch_3297
src_Trades-Unionist_358,src_Structure_1839
src_Uprising_562,src_Intellectual-Construct_580
src_Emperor_707,src_Professor_491
src_Ecclesiarch_229,src_Landmark_943
src_Category_1183,src_Ideology_819
src_Masonic-Lodge_2290,src_Ecclesiarch_418
src_Leader_4246,src_Painter_2964
src_Water_3087,src_Educational-Organisation_905
src_League_4332,src_Political-Organisation_1205
src_Journal_3872,src_Election_288
src_Trades-Union_433,src_Settlement_2441
src_Monastery_3054,src_League_438
src_Composer_4150,src_National-Symbol_3619
src_Educational-Organisation_4883,src_Clerical-Leader_4212
src_Religious-Practice_3518,src_Saint_1721
src_Time-Dependent_2812,src_Artistic-Movement_2373
src_Technical-Scientific-Advance_1309,src_Journalist_2578
src_Monastery_1237,src_FuzzyTemporalInterval_3742
src_Village_1652,src_Ship_394
src_International-Organisation_1768,src_Individual_932
src_Management-Organisation_2106,src_Scientist_2699
src_Philosopher_4582,src_Economic-Process_3514
src_Piece-of-Music_4988,src_Individual_4404
src_Other-Religious-Person_4667,src_Geographical-Feature_1570
src_Environment_1269,src_Movement_4643
src_Economic-Process_3262,src_Psychologist_929
src_Scandal_2190,src_Other-Religious-Person_2372
src_Trades-Unionist_2158,src_Politician_4877
src_Religious-Practice_2895,src_Clothing_1073
src_Life-Event_1133,src_Geographer_3192
src_Person_2451,src_National-Symbol_1761
src_Head-of-State_993,src_Crime_1164
src_Village_728,src_League_2923
src_Sculpture_3285,src_Sultan_2678
src_Masonic-Lodge_3076,src_Piece-of-Music_1521
src_Language_1756,src_Geographer_4348
src_Criminal_4224,src_Physician_2248
src_Economic-Enterprise_2038,src_Representative-Institution_817
src_Commodity_192,src_Jurist_300
src_Sportsman_2009,src_Religious-Symbol_2926
src_Idea_4793,src_Meeting_3254
src_Artistic-Movement_1825,src_Country_440
src_Intellectual-Construct_2314,src_Illness_2487
src_Head-of-Government_2271,src_Geographical-Feature_2774
src_Pollution_4659,src_Musician_3780
src_King_1237,src_Abstract-Notion_2266
src_Dramaturge_3296,src_Field-of-Knowledge_1089
src_Intra-State-Group_631,src_Building_1277
src_Role_1197,src_Illness_1880
src_Trade-Association_4835,src_Discoverer_1876
src_Organisation_2723,src_Fictional-Event_3977
src_Flavour_4281,src_Jurist_3391
src_Election_738,src_Representative-Institution_2137
src_Disease_644,src_Organisation_918
src_Pastime_4133,src_Ship_261
src_Dramaturge_4111,src_Field-of-Knowledge_3396
src_Geographical-Region_1368,src_Geographical-Discovery_3181
src_Monastery_2752,src_Non-Military-Conflict_414
src_Trial_2940,src_Inventor_1243
src_Trade-Association_592,src_Actor_4642
src_Environment_162,src_Astronaut_4627
src_Painter_137,src_International-Alliance_3914
src_Criminal_371,src_Measurable-Trend_211
src_Religious-Community_4710,src_Ritual_2856
src_Treaty_3478,src_Fictional-Person_1322
src_Pastime_3637,src_Painting_1018
src_Measurable-Trend_2481,src_Measurable-Trend_2466
src_Journal_3608,src_Cultural-Organisation_269
src_Religious-Movement_1102,src_Liturgical-Object_1695
src_Artistic-Movement_3623,src_Disaster_3770
src_Newspaper_1864,src_Board_4799
src_Geographical-Feature_4487,src_Ecclesiarch_3597
src_Composer_2123,src_Military-Person_2233
src_Saint_334,src_Jurist_1691
src_Cultural-Agreement_374,src_Sultan_3160
src_Dramaturge_827,src_Discoverer_1209
src_Cleric_820,src_Creator_3575
src_Idea_3026,src_Public-Oration_3938
src_Period_406,src_Treaty_781
src_Psychologist_886,src_Newspaper_535
src_Ship_3090,src_Category_464
src_Sculpture_1325,src_Painter_781
src_Theologian_2039,src_Pastime_3267
src_Food_3143,src_Actor_3549
src_Conductor_2166,src_Piece-of-Music_1377
src_Inventor_4303,src_Governmental-Organisation_1893
src_Trial_1082,src_Pope_3113
src_Geographical-Discovery_3328,src_Country_3217
src_Dynasty_2592,src_Religious-Movement_4882
src_Artistic-Style_4128,src_Animal_3670
src_Movement_1903,src_Political-Organisation_2134
src_Trades-Unionist_2071,src_Religious-Practice_4347
src_Leader_1689,src_Disaster_2112
src_Cultural-Organisation_17,src_Cleric_352
src_Disaster_664,src_Structure_263
src_Physician_2759,src_Sculptor_3000
src_National-Symbol_1457,src_War_315
src_Cathedral_746,src_Language_2552
src_Artist_2508,src_Journalist_2125
src_Board_1672,src_Foreign-Minister_2311
src_Object_625,src_Intellectual-Construct_2208
src_Commodity_1652,src_Magnate_3310
src_Abbey_2059,src_Election_4620
src_FuzzyTemporalInterval_4641,src_Professor_975
src_Technical-Scientific-Advance_4321,src_Governmental-Organisation_1159
src_War_4999,src_Political-Symbol_2776
src_Economic-Symbol_1640,src_Emperor_3364
src_Period-in-Office_629,src_Magnate_2558
src_Painting_2081,src_Religious-Symbol_2270
src_Natural-Object_2132,src_Queen_492
src_Meeting_817,src_Pollution_2091
src_Geographical-Region_1114,src_Engineer_3475
src_Dancer_3371,src_Representative-Institution_2683
src_Liturgical-Object_2044,src_University_1457
src_Pamphlet_15,src_City_3863
src_Entertainer_1442,src_Sportsman_1084
src_League_4631,src_Military-Unit_724
src_Military-Person_1726,src_Prince_934
src_Masonic-Lodge_4972,src_Landmark_1800
src_Sportsman_3892,src_Composer_1976
src_Publisher_3724,src_Musician_4833
src_Philanthropist_1115,src_Actor_4944
src_Structure_2399,src_TemporalInterval_787
src_Art-Form_4779,src_Ideology_85
src_Professor_3573,src_Trades-Union_1960
src_Train_4157,src_Film-Maker_1199
src_Technical-Scientific-Advance_4249,src_Legislation_791
src_Publisher_1477,src_Trades-Union_3818
src_Economic-Organisation_4960,src_Religious-Community_2799
src_Religious-Symbol_4523,src_Vehicle_3433
src_Inventor_746,src_Economic-Enterprise_3042
src_Time_1221,src_Functionary_1764
src_Country_368,src_Author_644
src_Church-Reformer_4213,src_Economist_3676
src_Period_3012,src_TemporalInterval_1252
src_Sultan_1017,src_Disaster_1788
src_Dancer_923,src_Discoverer_72
src_Illness_2157,src_Time-Dependent-Relation_911
src_Abstract-Notion_4309,src_Vehicle_418
src_Prince_3826,src_Fictional-Event_2862
src_Period_4739,src_Engineer_4462
src_Object_4747,src_Composer_4097
src_Structure_2160,src_Representative-Institution_1675
src_Sultan_2722,src_Time_466
src_Geographer_3921,src_Masonic-Lodge_2856
src_Physician_4959,src_Fictional-Person_3607
src_Cultural-Organisation_3652,src_Ideology_2694
src_Other-Religious-Leader_1617,src_Actor_2263
src_Disaster_3188,src_Functionary_2345
src_Dramaturge_170,src_TemporalInterval_4009
src_Artistic-Movement_1538,src_Philosopher_2017
src_International-Organisation_1238,src_Commodity_3730
src_University_1781,src_Work-of-Art_499
src_Person-Role_2140,src_Object_1877
src_Economic-Organisation_2979,src_Cleric_3130
src_VicodiOI_227,src_Religious-Organisation_2562
src_Natural-Object_45,src_Church_4642
src_Dancer_158,src_Geographical-Feature_841
src_Actor_3582,src_Trade-Association_1848
src_Military-Person_3208,src_Author_1718
src_Leader_2420,src_Idea_3749
src_Publisher_3176,src_Sculptor_2484
src_Leader_429,src_Illness_3562
src_Measurable-Trend_2662,src_Creator_2828
src_Armament_1011,src_Representative-Institution_539
src_Military-Organisation_4035,src_Film-Maker_1845
src_Conceptual-Object_4368,src_Trial_2510
src_Governmental-Organisation_2204,src_Church-Reformer_3019
src_FuzzyTemporalInterval_4506,src_Entertainer_4034
src_Technical-Scientific-Advance_448,src_Religious-Symbol_673
src_Individual_4928,src_Church-Reformer_1706
src_Clothing_3981,src_Armament_3968
src_Geographical-Region_4106,src_Conceptual-Object_2554
src_Fictional-Event_4830,src_Religious-Leader_1576
src_Movement_4420,src_Sportsman_1310
src_Animal_1207,src_Magnate_1852
src_Newspaper_99,src_Person-Role_439
src_Emperor_294,src_Period_3040
src_Work-of-Art_1406,src_Military-Person_4663
src_Management-Organisation_140,src_Landmark_4348
src_Ethnic-Group_1341,src_Other-Religious-Person_2737
src_TemporalInterval_490,src_Ideology_1087
src_Economic-Organisation_2453,src_Food_4316
src_Economist_2980,src_Artistic-Style_3582
src_Conceptual-Object_1218,src_Sportsman_127
src_Board_2832,src_Abbey_2492
src_Animal_3523,src_Object_444
src_Musician_767,src_Fictional-Person_842
src_Vehicle_106,src_Crime_2838
src_Badge_3291,src_Stereotype-Group_1470
src_Secular-Ideology_4289,src_King_3492
src_Time_2463,src_Fictional-Person_3877
src_Disaster_3797,src_Intra-State-Group_4574
src_Economist_3426,src_Philosopher_4546
src_Publisher_2877,src_Head-of-State_1644
src_Psychologist_2163,src_Building_550
src_Ecclesiarch_4731,src_Head-of-Government_4700
src_Astronaut_54,src_Liturgical-Object_3168
src_Religious-Community_2938,src_Disease_4595
src_Church-Reformer_4357,src_Event_4436
src_Head-of-Government_3670,src_Engineer_3304
src_Treaty_4271,src_Dynasty_1934
src_Piece-of-Music_2590,src_Pastime_789
src_Scientist_4923,src_Geographical-Feature_2821
src_Educational-Organisation_69,src_Economist_1503
src_Publisher_2973,src_Fictional-Person_2882
src_Pamphlet_3324,src_Actor_3595
src_Ideology_960,src_Geographer_4536
src_Religious-Movement_1433,src_Life-Event_1673
src_Trial_3042,src_Organisation_3787
src_Ship_636,src_Diplomat_4171
src_Badge_972,src_Animal_4891
src_Painter_1732,src_Country_3428
src_Fictional-Event_1006,src_Cathedral_4480
src_Foreign-Minister_3717,src_Physician_1162
src_Diplomat_4670,src_Non-Military-Conflict_4269
src_Philosopher_4748,src_Economic-Symbol_2101
src_War_842,src_Secular-Leader_2318
src_Astronaut_1872,src_Water_2360
src_Time_2105,src_Sculpture_1764
src_Battle_2267,src_Jurist_4437
src_Cultural-Agreement_1181,src_Psychologist_3725
src_Food_4903,src_Food_4187
src_Inventor_4787,src_VicodiOI_3470
src_Political-Region_3561,src_Head-of-State_4225
src_Minister_312,src_Fictional-Person_3003
src_Saint_4129,src_TemporalInterval_2865
src_Crime_1869,src_Cleric_2411
src_Dynasty_3183,src_Ship_1728
src_Board_3572,src_Geographer_1198
src_City_671,src_Settlement_2258
src_Astronaut_993,src_Pope_1936
src_Time-Dependent-Relation_1022,src_Leader_1328
src_Masonic-Lodge_3058,src_Cathedral_93
src_Head-of-State_3818,src_Population-Movement_811
src_Person_2327,src_Dancer_4932
src_City_612,src_Election_4128
src_Newspaper_3377,src_Economic-Enterprise_4975
src_Armament_1977,src_National-Symbol_771
src_Other-Religious-Person_1838,src_International-Alliance_4511
src_Meeting_2717,src_Head-of-Government_2046
src_Illness_3179,src_Organisation_4689
src_Battle_2350,src_Actor_3113
src_Animal_1720,src_Author_613
src_Sculpture_2230,src_Author_3032
src_Settlement_3664,src_Military-Organisation_1371
src_Work-of-Art_1345,src_Author_3451
src_Period-in-Office_421,src_Secular-Movement_2334
src_Uprising_1602,src_Newspaper_3759
src_Treaty_4159,src_Food_2731
src_Economic-Enterprise_866,src_Actor_2975
src_Artefact_2566,src_Ecclesiarch_4640
src_Art-Form_241,src_Secular-Leader_4591
src_Discoverer_2795,src_Animal_4631
src_Architect_3914,src_Ecclesiarch_1508
src_Ethnic-Group_2915,src_TemporalInterval_1258
src_Criminal_3147,src_Period-in-Office_3551
src_Geographical-Discovery_4171,src_Disease_3662
src_Idea_1986,src_Newspaper_1529
src_Time-Dependent_4300,src_Engineer_3146
src_Geographer_896,src_Emperor_1310
src_University_4832,src_Cultural-Organisation_3326
src_Ritual_1705,src_Water_2748
src_Dancer_4979,src_Religious-Movement_4662
src_Stereotype-Group_1978,src_Economist_450
src_Discoverer_4730,src_Work-of-Art_1311
src_Economic-Organisation_2705,src_Geographer_2907
src_Conductor_4863,src_Stereotype-Group_4078
src_Dynasty_4673,src_Location-Part-Relation_3970
src_Liturgical-Object_4194,src_Diplomat_166
src_Church-Reformer_1010,src_Diplomat_14
src_Food_2081,src_Jurist_3848
src_Engineer_3340,src_Monastery_1997
src_Head-of-State_4120,src_Illness_33
src_Person-Role_2429,src_University_641
src_Cultural-Agreement_4265,src_Secular-Leader_745
src_Stereotype-Group_1222,src_Religious-Practice_2424
src_Role_1949,src_Settlement_4992
src_Economic-Symbol_4353,src_Jurist_805
src_Physician_2305,src_Field-of-Knowledge_3770
src_Country_3349,src_Party_2090
src_Economic-Organisation_4170,src_Field-of-Knowledge_4834
src_Religious-Organisation_4440,src_Psychologist_1552
src_Magnate_208,src_Village_2431
src_Relic_3627,src_City_2235
src_Religious-Community_2182,src_Leader_4715
src_Economic-Enterprise_1802,src_Physician_1904
src_Animal_1047,src_Artefact_4464
src_Badge_4873,src_Entertainer_463
src_Theologian_1387,src_Composer_395
src_Legislation_751,src_Clothing_427
src_Functionary_2031,src_Other-Religious-Leader_4443
src_Secular-Ideology_2310,src_Treaty_742
src_Trades-Union_3224,src_Astronaut_2369
src_TemporalInterval_752,src_Creator_976
src_Dramaturge_4272,src_Religious-Symbol_1999
src_Book_2339,src_Artist_1135
src_Educational-Organisation_1319,src_Author_2739
src_Queen_262,src_Sculpture_4614
src_Management-Organisation_3067,src_Intra-State-Group_2123
src_Location-Part-Relation_1065,src_Creator_3303
src_War_3559,src_Scandal_943
src_Magnate_3456,src_Liturgical-Object_1306
src_Secular-Movement_2711,src_King_523
src_Country_2576,src_Dramaturge_3030
src_Pollution_1050,src_Non-Military-Conflict_732
src_Economic-Process_832,src_Creator_1573
src_Abstract-Notion_919,src_Film-Maker_96
src_Sultan_3697,src_Dancer_3674
src_Battle_2056,src_Crime_4321
src_Location-Part-Relation_4910,src_Politician_1339
src_Scientific-Instrument_2737,src_Economic-Process_4248
src_Diplomat_1748,src_Structure_4448
src_Secular-Movement_1272,src_Artistic-Movement_3339
src_Military-Person_2907,src_Geographical-Feature_4988
src_Food_3439,src_Scandal_625
src_Musician_2658,src_Ship_4977
src_Board_165,src_Settlement_4058
src_Ship_1318,src_Pope_1398
src_Commodity_4657,src_Religious-Practice_3361
src_Language_747,src_Physician_1586
src_Other-Religious-Leader_3662,src_Individual_4019
src_Non-Military-Conflict_569,src_Landmark_3839
src_Political-Organisation_1151,src_Business-Leader_712
src_King_3816,src_Sculpture_4282
src_Idea_3044,src_Flavour_3687
src_Pamphlet_3787,src_Author_223
src_Actor_4850,src_Disaster_3395
src_Location_3441,src_Philosopher_1854
src_Sportsman_2424,src_Scandal_458
src_Role_3742,src_Public-Oration_1923
src_TemporalInterval_908,src_Country_3305
src_Election_526,src_Sultan_183
src_Political-Organisation_1697,src_Philanthropist_1555
src_Settlement_2603,src_Trial_34
src_National-Symbol_867,src_Religious-Organisation_1
src_Abstract-Notion_137,src_Dramaturge_3418
src_Secular-Ideology_320,src_Location-Part-Relation_2257
src_Clothing_1472,src_Sculpture_3442
src_Uprising_4232,src_Scientific-Instrument_98
src_University_4241,src_Treaty_2518
src_Illness_798,src_University_4843
src_Philanthropist_4560,src_Physician_2763
src_Sultan_1173,src_Other-Religious-Person_2593
src_Cultural-Agreement_4032,src_Cathedral_4657
src_Cleric_2396,src_International-Alliance_1799
src_Art-Form_4050,src_Cultural-Agreement_2162
src_Religious-Symbol_4474,src_Conductor_2877
src_Criminal_2125,src_Monastery_2378
src_Actor_377,src_Cleric_4411
src_Fictional-Event_1286,src_Author_4406
src_Pollution_2054,src_Cathedral_556
src_Time-Dependent_2746,src_Illness_2015
src_Person-Role_4183,src_Educational-Organisation_2118
src_VicodiOI_407,src_Artistic-Style_4998
src_Journal_123,src_Intellectual-Construct_3774
src_Scandal_390,src_Publisher_1551
src_Painting_4525,src_Location-Part-Relation_2582
src_Artistic-Style_91,src_Dancer_1896
src_Political-Region_3217,src_Time-Dependent_3057
src_Political-Symbol_3787,src_Intellectual-Construct_4664
src_Religious-Movement_4077,src_Politician_3355
src_Country_2340,src_Ship_2690
src_FuzzyTemporalInterval_4241,src_King_419
src_Food_456,src_International-Alliance_3617
src_Military-Organisation_191,src_Pamphlet_2297
src_Sculpture_921,src_Animal_1204
src_FuzzyTemporalInterval_3251,src_Criminal_874
src_Conductor_638,src_Building_4313
src_Ethnic-Group_3723,src_Engineer_1225
src_Dynasty_2365,src_Conceptual-Object_3971
src_Election_3975,src_Location_2686
src_Military-Unit_3126,src_Cultural-Agreement_821
src_National-Symbol_4073,src_Technical-Scientific-Advance_3256
src_Person_3022,src_Flavour_4445
src_League_3382,src_Functionary_4532
src_Fictional-Event_4944,src_Uprising_476
src_Relic_1211,src_Uprising_3245
src_Water_4757,src_City_3699
src_Diplomat_3609,src_Geographical-Discovery_4891
src_Crime_3829,src_Painter_3541
src_Field-of-Knowledge_3249,src_Artist_3895
src_Painter_940,src_Ecclesiarch_1738
src_Geographer_552,src_Dynasty_4466
src_Newspaper_2557,src_League_79
src_Dramaturge_1476,src_Building_3739
src_Journal_3209,src_Church-Reformer_4496
src_Masonic-Lodge_3652,src_Armament_2695
src_Writing_3041,src_Scandal_4599
src_Non-Military-Conflict_3235,src_Animal_2777
src_Political-Region_3879,src_Piece-of-Music_2588
src_Time-Dependent-Relation_2972,src_Book_721
src_Head-of-Government_3385,src_Dynasty_2797
src_Criminal_1663,src_Jurist_4710
src_Military-Organisation_1926,src_Inventor_2748
src_Pollution_2787,src_Sportsman_446
src_Abstract-Notion_4254,src_Clerical-Leader_2510
src_International-Organisation_4089,src_Church-Reformer_4338
src_Art-Form_3461,src_Theologian_688
src_Piece-of-Music_4999,src_Sculpture_3333
src_Art-Form_4160,src_Religious-Movement_2746
src_Social-Stratum_2354,src_Clerical-Leader_1571
src_Social-Group_3205,src_Time_2709
src_Psychologist_4234,src_Field-of-Knowledge_1476
src_Head-of-State_1591,src_Religious-Symbol_518
src_Journalist_2073,src_Cleric_3640
src_Military-Unit_1176,src_Trades-Unionist_3114
src_Functionary_1660,src_Country_2113
src_Fictional-Person_133,src_Event_4842
src_Public-Oration_1592,src_King_1366
src_Other-Religious-Person_4821,src_Movement_4022
src_Political-Symbol_4973,src_Population-Movement_1004
src_Dynasty_4969,src_FuzzyTemporalInterval_1875
src_Religious-Movement_1102,src_Ethnic-Group_1413
src_Political-Organisation_605,src_Artistic-Movement_351
src_Pastime_3031,src_Stereotype-Group_2658
src_Prince_917,src_Time_3449
src_Religious-Community_981,src_Sculpture_3274
src_Ritual_2121,src_Cultural-Organisation_988
src_Sultan_601,src_Religious-Symbol_4419
src_Political-Organisation_3144,src_Geographer_2658
src_Fictional-Person_1645,src_Ethnic-Group_693
src_Illness_3104,src_Professor_4778
src_Publisher_4620,src_Sculpture_3644
src_Other-Religious-Person_1196,src_Church_828
src_Sultan_2430,src_Church_1076
src_Religious-Community_2092,src_Religious-Symbol_3905
src_Meeting_2233,src_Non-Military-Conflict_2093
src_International-Alliance_4712,src_Leader_2181
src_Masonic-Lodge_4824,src_Relic_3062
src_Inventor_3533,src_Relic_2151
src_Geographical-Feature_2600,src_Economic-Enterprise_1163
src_Geographical-Discovery_2470,src_Book_1797
src_Battle_2773,src_Saint_1544
src_Dynasty_1875,src_Discoverer_3506
src_Religious-Symbol_3633,src_Saint_3757
src_Military-Person_4293,src_Painter_2842
src_Geographical-Region_853,src_VicodiOI_2690
src_War_3103,src_Fictional-Event_322
src_Trades-Unionist_3286,src_Scientist_698
src_Illness_3190,src_Animal_4146
src_Conceptual-Object_4584,src_Trade-Association_737
src_Uprising_3162,src_Flavour_1116
src_Time-Dependent_4854,src_Governmental-Organisation_360
src_Geographical-Discovery_2074,src_Pastime_3908
src_TemporalInterval_3488,src_International-Alliance_405
src_Trades-Union_3339,src_Measurable-Trend_3119
src_Religious-Community_450,src_Time-Dependent_1677
src_Ecclesiarch_2353,src_Scandal_4438
src_Other-Religious-Person_4859,src_Piece-of-Music_284
src_Secular-Movement_4284,src_Ideology_954
