src_Location_4978,src_Abbey_597
src_Representative-Institution_2630,src_Person_2163
src_Uprising_3896,src_Artist_3988
src_Technical-Scientific-Advance_2373,src_Fictional-Event_2521
src_Structure_3032,src_Discoverer_2916
src_Dramaturge_1487,src_Professor_882
src_Settlement_291,src_Composer_3404
src_Ethnic-Group_1910,src_Entertainer_3850
src_Creator_3969,src_Ethnic-Group_4253
src_Physician_3381,src_Conceptual-Object_855
src_Uprising_2871,src_Economic-Enterprise_3706
src_Location_569,src_Time_1545
src_Newspaper_3931,src_Pastime_1271
src_Economist_3961,src_Person-Role_1786
src_Religious-Symbol_4550,src_Conceptual-Object_2339
src_Criminal_3686,src_Relic_2174
src_Political-Region_1265,src_Military-Organisation_1416
src_King_4611,src_Crime_4257
src_Scientific-Instrument_144,src_Theologian_4000
src_Vehicle_1725,src_Theologian_4525
src_Trades-Union_1489,src_Social-Group_2415
src_Religious-Order_3195,src_Philosopher_251
src_Time_893,src_Secular-Ideology_2005
src_Artefact_278,src_Art-Form_2998
src_Natural-Object_3238,src_Ecclesiarch_3395
src_Conductor_3274,src_Dynasty_326
src_National-Symbol_831,src_Business-Leader_1859
src_Public-Oration_747,src_Election_2744
src_Book_351,src_Time-Dependent-Relation_1889
src_University_2392,src_Politician_2240
src_Environment_3325,src_Person-Role_3446
src_Church_4107,src_Ideology_376
src_Entertainer_804,src_Composer_1417
src_Geographical-Region_391,src_Author_4664
src_Religious-Organisation_385,src_Location-Part-Relation_1006
src_Stereotype-Group_2544,src_Abstract-Notion_1198
src_Geographer_1199,src_Economist_1313
src_Measurable-Trend_958,src_Prince_2061
src_Party_281,src_Diplomat_4273
src_Artist_3713,src_Category_328
src_Astronaut_1728,src_Political-Organisation_3687
src_Measurable-Trend_830,src_Physician_2421
src_Measurable-Trend_3720,src_International-Organisation_3382
src_Ideology_56,src_Pollution_4555
src_Cultural-Agreement_287,src_Crime_2506
src_Water_863,src_Period-in-Office_3846
src_Legislation_4302,src_Dancer_595
src_Religious-Leader_692,src_Economic-Enterprise_4680
src_Queen_181,src_Time-Dependent-Relation_4345
src_City_2378,src_Environment_4463
src_Period-in-Office_4130,src_Disease_1911
src_Art-Form_2438,src_Movement_620
src_Publisher_3259,src_International-Alliance_585
src_Clothing_1176,src_Relic_367
src_Environment_3342,src_Governmental-Organisation_1959
src_Cathedral_4176,src_City_2917
src_Pollution_2992,src_Economic-Process_1498
src_Sculptor_1873,src_King_4508
src_Functionary_563,src_Religious-Organisation_844
src_Criminal_3056,src_National-Symbol_547
src_Fictional-Event_4685,src_FuzzyTemporalInterval_2322
src_Time-Dependent_4357,src_Liturgical-Object_3741
src_Fictional-Person_423,src_Geographical-Feature_4378
src_Political-Organisation_2256,src_Building_3860
src_Pollution_627,src_Natural-Object_79
src_Book_1429,src_Emperor_1879
src_Ship_2389,src_Time-Dependent_2802
src_Cultural-Agreement_4920,src_Minister_4806
src_Non-Military-Conflict_1363,src_Treaty_2536
src_Religious-Community_2065,src_Crime_3466
src_Life-Event_2085,src_Art-Form_1776
src_Social-Group_4193,src_Artist_4944
src_Intellectual-Construct_1908,src_City_403
src_Scientist_915,src_Governmental-Organisation_1444
src_Abstract-Notion_2950,src_Disaster_148
src_Country_4459,src_Ritual_2112
src_Commodity_3080,src_Trades-Union_4936
src_Trades-Unionist_569,src_Art-Form_2428
src_Philosopher_306,src_Armament_2405
src_Scientific-Instrument_3087,src_Liturgical-Object_1869
src_Village_4527,src_Meeting_3980
src_Commodity_934,src_Public-Oration_2960
src_Cultural-Organisation_2065,src_Actor_3600
src_Cultural-Organisation_2861,src_Journal_589
src_Event_4160,src_Artist_45
src_King_3649,src_Professor_4030
src_Individual_3644,src_Piece-of-Music_444
src_Dynasty_4869,src_Head-of-Government_4367
src_Legislation_4294,src_Criminal_1372
src_Pastime_700,src_Individual_4349
src_Sculptor_2195,src_Organisation_1928
src_Dancer_1153,src_Artist_2849
src_Disease_4112,src_Scandal_2581
src_Art-Form_1709,src_Clerical-Leader_4844
src_Geographical-Discovery_4942,src_Pastime_3922
src_Pastime_465,src_Sportsman_986
src_Flavour_71,src_Painting_4887
src_International-Organisation_4119,src_Village_3041
src_Language_1806,src_Religious-Community_3488
src_International-Organisation_4621,src_Economic-Enterprise_3576
src_Management-Organisation_2699,src_Sportsman_3210
src_Clerical-Leader_1369,src_Relic_562
src_Trades-Union_3388,src_Trades-Unionist_4706
src_Pamphlet_621,src_Business-Leader_2827
src_Life-Event_3901,src_Relic_3986
src_Piece-of-Music_1716,src_Politician_3943
src_Business-Leader_1040,src_Other-Religious-Person_1550
src_Secular-Movement_3787,src_Abbey_3047
src_Sculpture_189,src_Organisation_1928
src_Theologian_1800,src_Representative-Institution_2333
src_Professor_3019,src_Musician_1577
src_Geographer_4854,src_Physician_2108
src_Governmental-Organisation_4532,src_Actor_4441
src_Economist_3063,src_Armament_2771
src_Sportsman_3637,src_Publisher_499
src_Movement_143,src_TemporalInterval_1673
src_Battle_3659,src_Representative-Institution_3244
src_Geographical-Region_191,src_Military-Person_3007
src_Art-Form_3398,src_Environment_4963
src_Intra-State-Group_3472,src_Astronaut_4691
src_Badge_3849,src_Non-Military-Conflict_752
src_Politician_859,src_Event_4257
src_Secular-Ideology_3047,src_Disaster_38
src_Geographical-Feature_207,src_Politician_2777
src_Religious-Practice_359,src_Clerical-Leader_2442
src_Religious-Movement_4362,src_Battle_2702
src_Time-Dependent_801,src_Individual_2867
src_Head-of-Government_598,src_Pollution_3371
src_International-Alliance_3039,src_Artistic-Style_962
src_Individual_2414,src_Sportsman_3285
src_Musician_1980,src_Environment_4713
src_Actor_4853,src_Theologian_45
src_Politician_383,src_Language_1358
src_Period-in-Office_45,src_Art-Form_4269
src_Secular-Ideology_3745,src_Flavour_1702
src_Architect_149,src_Business-Leader_2832
src_Religious-Order_2618,src_Social-Group_1900
src_Cultural-Agreement_4122,src_Time_1036
src_Religious-Order_719,src_Monastery_2793
src_Governmental-Organisation_1983,src_Artefact_2256
src_Jurist_3559,src_Crime_2123
src_Treaty_2892,src_Party_4968
src_Ideology_1976,src_Engineer_3312
src_Conductor_234,src_Military-Unit_4966
src_League_430,src_Disease_2889
src_Pollution_4292,src_Journalist_1760
src_Village_765,src_Artistic-Style_2370
src_Publisher_1223,src_Sultan_1879
src_Role_1177,src_Non-Military-Conflict_3534
src_National-Symbol_2162,src_VicodiOI_4403
src_Trial_4149,src_Intra-State-Group_2308
src_Movement_1318,src_Composer_2609
src_Geographical-Region_1488,src_Public-Oration_3814
src_Economic-Symbol_3431,src_Painter_3623
src_Dynasty_4416,src_FuzzyTemporalInterval_3151
src_Ideology_1961,src_Trades-Unionist_820
src_Uprising_2363,src_Field-of-Knowledge_2274
src_Management-Organisation_364,src_Idea_3122
src_Piece-of-Music_4897,src_Organisation_1487
src_Treaty_3768,src_Movement_942
src_Architect_2803,src_Category_3135
src_Event_177,src_Flavour_2468
src_Pastime_622,src_Economic-Enterprise_893
src_Role_2603,src_Newspaper_2869
src_Criminal_2568,src_Geographical-Feature_4876
src_Pastime_4574,src_Scandal_3962
src_Writing_3433,src_Sportsman_2021
src_Uprising_499,src_Time-Dependent_3655
src_Person-Role_4116,src_Technical-Scientific-Advance_2016
src_Composer_2516,src_Intra-State-Group_3299
src_Piece-of-Music_1363,src_Author_3871
src_Painter_3967,src_Art-Form_1404
src_Fictional-Person_4005,src_Military-Person_2776
src_Object_2892,src_Scandal_2166
src_Stereotype-Group_2362,src_Author_2673
src_Language_4410,src_Professor_4082
src_Person-Role_2133,src_Trades-Union_3404
src_Flavour_3581,src_Sultan_2392
src_Art-Form_1465,src_Trial_2530
src_Animal_2562,src_Painting_3391
src_Technical-Scientific-Advance_4021,src_International-Organisation_3514
src_Clothing_689,src_Piece-of-Music_2305
src_Stereotype-Group_304,src_Vehicle_2976
src_Scientist_2418,src_Object_1090
src_Journalist_4444,src_Painting_4112
src_Religious-Order_568,src_Scandal_1176
src_Abbey_1382,src_Emperor_2522
src_Religious-Leader_3536,src_Trial_4993
src_Intra-State-Group_948,src_Film-Maker_2325
src_Military-Person_1994,src_Location_1401
src_Publisher_1093,src_Conductor_2062
src_Cultural-Agreement_3727,src_Religious-Organisation_3995
src_Population-Movement_460,src_Movement_367
src_Natural-Object_1872,src_Scientific-Instrument_2221
src_Astronaut_3269,src_Church_795
src_Social-Stratum_3781,src_Liturgical-Object_3879
src_Treaty_2486,src_Train_821
src_Social-Group_4315,src_Geographical-Discovery_3178
src_Person-Role_31,src_Piece-of-Music_230
src_Newspaper_108,src_Publisher_3186
src_Ideology_4458,src_Building_1902
src_Legislation_2227,src_Author_4173
src_Natural-Object_3674,src_Population-Movement_200
src_Writing_1732,src_Religious-Leader_2331
src_Sportsman_1432,src_Organisation_3232
src_Badge_4544,src_National-Symbol_3238
src_Representative-Institution_2521,src_Secular-Leader_3877
src_Trial_550,src_Ideology_1113
src_Conductor_4576,src_Liturgical-Object_4513
src_Artistic-Movement_1715,src_Abbey_1083
src_Queen_1418,src_Journal_1742
src_Church-Reformer_4083,src_Language_1515
src_Entertainer_3532,src_Minister_4856
src_Discoverer_3708,src_Professor_4842
src_Head-of-State_2999,src_Emperor_1271
src_Time_82,src_Person-Role_3998
src_Secular-Ideology_1212,src_Battle_3859
src_Economic-Symbol_2125,src_Management-Organisation_2035
src_Sportsman_3432,src_Symbol_624
src_Trial_412,src_Artist_3841
src_Work-of-Art_4577,src_Time-Dependent_4842
src_Trade-Association_101,src_Engineer_603
src_Theologian_3550,src_Politician_463
src_Board_3905,src_Person_1603
src_Ethnic-Group_3794,src_Field-of-Knowledge_441
src_Person_13,src_Illness_713
src_Population-Movement_256,src_FuzzyTemporalInterval_475
src_Physician_3099,src_Organisation_3787
src_National-Symbol_2720,src_Head-of-Government_641
src_Fictional-Person_4365,src_Cultural-Agreement_3428
src_Economic-Symbol_4569,src_Conductor_3330
src_Ship_3010,src_Head-of-Government_4614
src_Movement_3172,src_Social-Stratum_4055
src_Jurist_4398,src_National-Symbol_1073
src_Publisher_439,src_Saint_1499
src_Location-Part-Relation_1918,src_Measurable-Trend_3164
src_Period-in-Office_47,src_Head-of-State_2858
src_Fictional-Person_385,src_Armament_2033
src_Economic-Symbol_116,src_Illness_3228
src_Social-Group_496,src_Criminal_4546
src_Cleric_2400,src_Writing_1184
src_Geographical-Feature_4285,src_Movement_664
src_Illness_2424,src_Dancer_195
src_Train_3367,src_Economic-Enterprise_248
src_Representative-Institution_313,src_Category_4889
src_Location-Part-Relation_300,src_Trade-Association_2998
src_Sculpture_3555,src_Structure_3368
src_Clothing_3966,src_Emperor_3556
src_Settlement_2713,src_Religious-Organisation_1465
src_Cultural-Agreement_4055,src_Conceptual-Object_3824
src_Church_215,src_Queen_1376
src_Psychologist_3468,src_Person-Role_251
src_Saint_4978,src_Language_1473
src_Saint_4788,src_Head-of-State_1855
src_Person-Role_179,src_Food_3147
src_Ritual_401,src_Person_22
src_City_2900,src_Category_4790
src_Building_2733,src_Film-Maker_3351
src_Legislation_2472,src_Legislation_1750
src_Astronaut_4222,src_Pope_4650
src_Ship_1366,src_Legislation_407
src_Actor_427,src_Newspaper_2608
src_Religious-Symbol_3103,src_Conceptual-Object_3152
src_Other-Religious-Leader_3981,src_International-Organisation_4846
src_Religious-Order_3875,src_Time_4779
src_Badge_1550,src_Head-of-Government_3800
src_Pollution_3088,src_Party_2432
src_Clerical-Leader_2316,src_Environment_4024
src_Fictional-Event_3170,src_Geographical-Feature_3983
src_Category_1670,src_Non-Military-Conflict_3046
src_Pollution_1403,src_Educational-Organisation_293
src_Trades-Unionist_445,src_Masonic-Lodge_406
src_Language_2052,src_Period_1002
src_Disease_1436,src_Author_1087
src_Economic-Enterprise_3026,src_Movement_3691
src_Religious-Leader_1481,src_Commodity_4880
src_VicodiOI_1729,src_Trades-Union_3588
src_Church-Reformer_4489,src_Scandal_4963
src_Governmental-Organisation_2748,src_Sportsman_3363
src_Educational-Organisation_2111,src_Trial_1996
src_Ecclesiarch_2506,src_Time-Dependent_4466
src_Writing_4093,src_Intra-State-Group_81
src_Time-Dependent_810,src_Military-Unit_2675
src_Engineer_4672,src_University_400
src_Individual_4248,src_Magnate_4035
src_Idea_1104,src_Religious-Ideology_53
src_Location_3268,src_Geographer_217
src_Fictional-Event_1717,src_Prince_3395
src_Organisation_4586,src_Religious-Movement_2781
src_Village_3947,src_Secular-Leader_248
src_Religious-Ideology_628,src_Clerical-Leader_947
src_Prince_1398,src_Secular-Leader_4219
src_Fictional-Person_2249,src_Other-Religious-Person_2400
src_Secular-Leader_1670,src_Work-of-Art_1647
src_Vehicle_170,src_Stereotype-Group_1721
src_Actor_1524,src_Business-Leader_3847
src_Train_4079,src_Time-Dependent-Relation_3472
src_Public-Oration_1098,src_Secular-Ideology_3890
src_Election_1917,src_International-Alliance_2432
src_Meeting_3095,src_Religious-Practice_4078
src_Creator_210,src_Geographical-Feature_4422
src_Location-Part-Relation_3528,src_International-Organisation_4421
src_Secular-Leader_4687,src_Architect_2192
src_University_2055,src_Location-Part-Relation_4717
src_Intellectual-Construct_4709,src_Emperor_2103
src_Country_3552,src_Time_2833
src_Geographical-Discovery_4672,src_Commodity_2518
src_Actor_2174,src_Trades-Unionist_2155
src_Composer_1191,src_Conceptual-Object_4346
src_Settlement_114,src_Writing_900
src_Economic-Symbol_3321,src_Religious-Organisation_3097
src_Military-Person_684,src_Flavour_3079
src_Religious-Symbol_2008,src_Religious-Movement_3405
src_Secular-Ideology_1503,src_Head-of-State_2307
src_Author_297,src_Cultural-Organisation_2032
src_Political-Region_473,src_Building_4328
src_Religious-Order_1826,src_Economic-Organisation_1504
src_Time-Dependent_3784,src_Military-Unit_382
src_Economic-Organisation_3883,src_Church-Reformer_2826
src_Secular-Leader_4453,src_Minister_275
src_Political-Organisation_4349,src_Actor_1951
src_TemporalInterval_4564,src_Scientist_1515
src_Political-Region_2773,src_International-Alliance_4267
src_Disaster_1498,src_Location_3407
src_Public-Oration_4729,src_Prince_3987
src_Piece-of-Music_3301,src_Environment_1025
src_Movement_4409,src_Social-Group_4060
src_Religious-Order_4911,src_City_1172
src_Person-Role_2703,src_Scientific-Instrument_1105
src_Dynasty_507,src_King_4373
src_Painter_2247,src_Uprising_931
src_Ideology_598,src_Journal_4006
src_Political-Region_1063,src_Theologian_3120
src_Symbol_238,src_Leader_416
src_Governmental-Organisation_1887,src_Building_3830
src_Newspaper_2718,src_University_150
src_Foreign-Minister_3786,src_Magnate_2054
src_Scientist_1944,src_Train_1670
src_Population-Movement_1523,src_Economic-Organisation_2091
src_Governmental-Organisation_817,src_Military-Person_2328
src_Ritual_2544,src_Book_3666
src_League_3688,src_Ideology_4990
src_Secular-Ideology_3850,src_Journal_1034
src_Uprising_206,src_Location_1445
src_Natural-Object_3003,src_TemporalInterval_715
src_Religious-Order_3710,src_Prince_680
src_Time-Dependent-Relation_4157,src_Stereotype-Group_2752
src_Physician_3430,src_Painter_4881
src_Disease_3897,src_Ritual_3895
src_Journalist_1588,src_Religious-Order_1314
src_Scandal_189,src_Trades-Unionist_2053
src_Architect_3994,src_Party_4861
src_Representative-Institution_3476,src_Pamphlet_3236
src_Country_354,src_Ideology_2841
src_Period_4098,src_Clerical-Leader_1534
src_Armament_3762,src_Head-of-Government_1990
src_Military-Organisation_677,src_Magnate_560
src_Creator_1313,src_Battle_1069
src_Discoverer_4725,src_Scientific-Instrument_4906
src_Educational-Organisation_4871,src_Secular-Leader_3546
src_Economic-Symbol_4347,src_Religious-Practice_1260
src_Book_272,src_Illness_2244
src_Other-Religious-Leader_989,src_Vehicle_4352
src_Philosopher_3033,src_Religious-Ideology_1705
src_Representative-Institution_4032,src_Time_3620
src_Painter_921,src_Period-in-Office_2508
src_Economic-Process_2404,src_League_1774
src_Scandal_3953,src_Creator_4841
src_Pope_3804,src_Religious-Community_4440
src_Church-Reformer_1836,src_Creator_4357
src_Structure_4723,src_Educational-Organisation_483
src_Public-Oration_1839,src_Time_3520
src_National-Symbol_3407,src_Life-Event_989
src_Entertainer_1970,src_Queen_3852
src_Individual_1256,src_Head-of-State_1957
src_Abbey_2460,src_Fictional-Event_3317
src_Intellectual-Movement_1505,src_Pollution_1355
src_Cathedral_4690,src_Physician_4216
src_Masonic-Lodge_246,src_International-Alliance_2275
src_Economic-Process_1016,src_Magnate_3830
src_Head-of-Government_3068,src_Writing_4792
src_Clothing_2990,src_National-Symbol_4368
src_Flavour_3212,src_Language_1026
src_Philosopher_3844,src_Sportsman_4873
src_Religious-Symbol_3320,src_Settlement_1202
src_Structure_2221,src_Painter_4025
src_Educational-Organisation_2564,src_Life-Event_4667
src_Pastime_1431,src_Religious-Organisation_663
src_Military-Person_1581,src_Person-Role_2121
src_Abstract-Notion_2225,src_Settlement_2123
src_Language_2797,src_Ecclesiarch_2050
src_Train_628,src_Cathedral_4099
src_Natural-Object_4100,src_Clerical-Leader_3609
src_Movement_962,src_Clerical-Leader_3749
src_Sportsman_512,src_Management-Organisation_3640
src_Emperor_754,src_Dramaturge_695
src_Religious-Movement_3750,src_Political-Region_1059
src_Engineer_3337,src_International-Alliance_3347
src_Disease_4686,src_Religious-Community_3545
src_Time_1153,src_Politician_1743
src_Discoverer_1546,src_TemporalInterval_1796
src_Symbol_221,src_Country_1110
src_Art-Form_2614,src_Meeting_2709
src_Population-Movement_2667,src_Journalist_530
src_War_3617,src_Stereotype-Group_1627
src_Building_768,src_Cultural-Agreement_2644
src_Clothing_2371,src_Economic-Process_1386
src_Scientist_4959,src_Artist_3023
src_Sculptor_1629,src_Actor_4398
src_Time_658,src_Artistic-Style_2418
src_Battle_1307,src_Diplomat_239
src_Representative-Institution_2246,src_Ecclesiarch_1620
src_Election_1420,src_Cathedral_3340
src_Economic-Enterprise_3211,src_Sculptor_4816
src_Dancer_2456,src_Secular-Leader_970
src_Astronaut_4425,src_Geographical-Feature_4553
src_Clerical-Leader_4161,src_Prince_4284
src_Religious-Order_4188,src_Liturgical-Object_4556
src_Population-Movement_1410,src_Inventor_4266
src_Technical-Scientific-Advance_2841,src_Astronaut_4450
src_Head-of-State_1058,src_Engineer_803
src_Trial_662,src_Religious-Leader_252
src_Ecclesiarch_1946,src_Journal_3869
src_National-Symbol_589,src_Intellectual-Construct_4951
src_Inventor_2754,src_Politician_1849
src_Inventor_3905,src_Fictional-Person_912
src_Entertainer_1151,src_Period-in-Office_3138
src_Functionary_2758,src_Trades-Unionist_2175
src_Author_3280,src_Sportsman_2396
src_Philosopher_2813,src_Intra-State-Group_4621
src_King_628,src_Battle_2439
src_Dynasty_213,src_Building_3791
src_Trades-Unionist_1685,src_Musician_3138
src_International-Alliance_323,src_Trades-Unionist_3602
src_Person_2847,src_Entertainer_554
src_Religious-Ideology_1162,src_Pastime_4191
src_Geographical-Region_4105,src_Armament_3346
src_Scandal_3867,src_Legislation_4422
src_Relic_98,src_League_1626
src_Religious-Order_150,src_Idea_2884
src_Religious-Community_2148,src_Clerical-Leader_147
src_Disaster_1166,src_Military-Organisation_1391
src_Military-Person_2485,src_Legislation_2239
src_Category_3369,src_Disaster_3086
src_Dynasty_1129,src_Period_1771
src_Village_2621,src_Other-Religious-Person_4147
src_Field-of-Knowledge_712,src_Organisation_3733
src_Secular-Ideology_660,src_King_3474
src_Piece-of-Music_2310,src_National-Symbol_4063
src_Flavour_2200,src_Fictional-Event_2961
src_Secular-Leader_2613,src_Discoverer_3900
src_Architect_1703,src_Political-Organisation_2872
src_Religious-Practice_4532,src_Minister_2464
src_Conductor_855,src_League_2944
src_Political-Region_51,src_Scientist_3610
src_Discoverer_4386,src_Ritual_3733
src_Country_4316,src_Social-Stratum_3932
src_Religious-Practice_1875,src_Queen_886
src_Journalist_2371,src_Dramaturge_2174
src_King_4271,src_Church_1137
src_Artistic-Style_3391,src_Ecclesiarch_2592
src_Politician_4285,src_Fictional-Person_3705
src_Natural-Object_4310,src_Prince_4518
src_Ideology_926,src_Abstract-Notion_1498
src_Intra-State-Group_236,src_Artistic-Movement_547
src_Stereotype-Group_3509,src_Religious-Organisation_2425
src_Clerical-Leader_3940,src_Pastime_4561
src_Ideology_4967,src_Person_1126
src_Train_4804,src_Time-Dependent_4309
src_Journalist_4123,src_Art-Form_1251
src_Organisation_3629,src_Discoverer_1589
src_Scandal_3402,src_Movement_2843
src_Environment_4961,src_Uprising_4835
src_Minister_1680,src_Head-of-Government_894
src_Pollution_187,src_Economic-Enterprise_3289
src_Book_4905,src_Intellectual-Movement_2201
src_Religious-Movement_3330,src_Liturgical-Object_4283
src_Musician_4716,src_Board_768
src_Vehicle_4277,src_Writing_666
src_Governmental-Organisation_1707,src_Ecclesiarch_1846
src_Train_3439,src_Cathedral_1454
src_Ecclesiarch_2104,src_Religious-Practice_2513
src_War_2508,src_Artistic-Style_3985
src_Philosopher_2257,src_Disease_2536
src_Person_3226,src_Idea_968
src_Military-Organisation_1925,src_Philanthropist_1574
src_Category_4361,src_Trades-Unionist_570
src_Architect_4917,src_Pope_4294
src_Trade-Association_2579,src_Actor_0
src_Trades-Union_3843,src_Ecclesiarch_1654
src_Painting_4740,src_Measurable-Trend_701
src_Dramaturge_133,src_Author_2070
src_Secular-Movement_1010,src_Secular-Movement_3894
src_Foreign-Minister_4746,src_Uprising_2480
src_Magnate_989,src_Philanthropist_3849
src_Sculptor_1723,src_Sculpture_4471
src_Composer_4776,src_Social-Stratum_2103
src_Village_3219,src_University_498
src_Business-Leader_909,src_Secular-Leader_211
src_Animal_831,src_Intellectual-Movement_3511
src_Military-Organisation_4469,src_Cathedral_186
src_Geographical-Discovery_3207,src_Sportsman_4906
src_Water_3661,src_University_2026
src_Physician_986,src_Object_4005
src_Minister_3002,src_Ritual_1797
src_Work-of-Art_2373,src_Art-Form_1807
src_Crime_4597,src_Idea_2117
src_Actor_2740,src_Musician_3200
src_Saint_4279,src_Newspaper_1335
src_Piece-of-Music_3159,src_Field-of-Knowledge_3416
src_Treaty_3166,src_Social-Group_2858
src_Ideology_710,src_Pope_2029
src_Secular-Leader_3333,src_Fictional-Event_2335
src_Cultural-Agreement_341,src_Religious-Movement_4635
src_Musician_248,src_Economic-Enterprise_4312
src_Location_496,src_Ship_3659
src_Flavour_1548,src_FuzzyTemporalInterval_4362
src_Dramaturge_1271,src_International-Alliance_3463
src_FuzzyTemporalInterval_1707,src_Ecclesiarch_732
src_Church_4027,src_Time_3753
src_Non-Military-Conflict_2278,src_International-Alliance_3568
src_Musician_1599,src_Cultural-Organisation_2201
src_Trial_680,src_Social-Stratum_1415
src_International-Alliance_895,src_Disease_70
src_Location_1201,src_International-Alliance_3775
src_Publisher_2171,src_Conductor_3977
src_Scientific-Instrument_424,src_Cultural-Agreement_2318
src_Life-Event_2253,src_Architect_3471
src_Sculptor_3304,src_Meeting_765
src_Scientist_4302,src_Monastery_4717
src_Secular-Ideology_3315,src_Foreign-Minister_2207
src_Religious-Ideology_2068,src_Artistic-Style_3428
src_Train_881,src_Religious-Movement_3857
src_Church_2831,src_Landmark_1636
src_Monastery_2202,src_Journalist_2522
src_Economic-Process_3471,src_Idea_154
src_Prince_1815,src_Diplomat_3058
src_Politician_1119,src_Trades-Unionist_1428
src_Battle_301,src_Disaster_988
src_Language_3413,src_Building_865
src_Train_569,src_Conductor_3517
src_Train_2879,src_Philanthropist_915
src_Artistic-Movement_924,src_Political-Symbol_3124
src_Political-Region_1430,src_Disaster_2478
src_Social-Group_2159,src_Pope_3730
src_Cultural-Agreement_4630,src_Creator_2720
src_Painting_720,src_Time_3337
src_Clerical-Leader_2964,src_Time-Dependent-Relation_3065
src_International-Alliance_139,src_Natural-Object_4167
src_Author_1206,src_Trade-Association_2578
src_Religious-Practice_2370,src_Sculpture_2945
src_Geographical-Feature_3206,src_Dynasty_911
src_Clothing_4309,src_Pope_2154
src_Structure_3559,src_Piece-of-Music_2807
src_Engineer_1042,src_Minister_1747
src_Sportsman_1750,src_Masonic-Lodge_1544
src_Armament_213,src_Country_2458
src_Inventor_2969,src_Crime_3901
src_Journal_3040,src_Battle_2981
src_Foreign-Minister_4883,src_Water_1113
src_Person_4460,src_Language_4605
src_Movement_461,src_Individual_1531
src_Other-Religious-Leader_2238,src_Educational-Organisation_2006
src_Armament_2478,src_Representative-Institution_322
src_Battle_1075,src_King_4291
src_Military-Person_3548,src_Trades-Unionist_1920
src_Pamphlet_1843,src_Social-Stratum_2260
src_Religious-Ideology_4112,src_King_1161
src_Astronaut_305,src_Painting_4969
src_Cathedral_4582,src_Ethnic-Group_4986
src_Abstract-Notion_4328,src_Period-in-Office_4045
src_Writing_1146,src_Functionary_2052
src_Environment_1639,src_Technical-Scientific-Advance_1789
src_Abstract-Notion_3995,src_Painting_2880
src_VicodiOI_3894,src_Abstract-Notion_1777
src_Fictional-Person_1635,src_Idea_3321
src_Dancer_3334,src_Geographical-Feature_392
src_Location_68,src_Author_127
src_Criminal_2061,src_Vehicle_1117
src_Field-of-Knowledge_2444,src_Dramaturge_296
src_Head-of-Government_551,src_Trade-Association_1550
src_Person-Role_1809,src_Individual_4295
src_Intra-State-Group_3941,src_Military-Person_1856
src_Geographical-Region_622,src_Masonic-Lodge_4655
src_Legislation_4593,src_Technical-Scientific-Advance_1166
src_Dancer_4636,src_City_214
src_Actor_1664,src_Commodity_1802
src_Architect_2681,src_National-Symbol_2620
src_Category_1510,src_Business-Leader_448
src_Criminal_3612,src_Role_4571
