src_Religious-Organisation_1208,src_Politician_919
src_Work-of-Art_4415,src_Military-Person_4451
src_Religious-Practice_2807,src_City_1284
src_Board_4324,src_Trade-Association_1873
src_Monastery_210,src_Secular-Movement_2379
src_Religious-Practice_2991,src_Pastime_1807
src_Disease_4609,src_Creator_2875
src_Relic_4439,src_Train_3098
src_Trial_49,src_Environment_718
src_Political-Organisation_4588,src_International-Alliance_4817
src_Musician_2317,src_Newspaper_344
src_Trade-Association_4559,src_Person-Role_13
src_Church_2008,src_Sculptor_159
src_Painting_4637,src_Sculptor_4352
src_Journalist_702,src_Book_979
src_Secular-Leader_1845,src_Art-Form_135
src_Idea_1607,src_Disaster_1349
src_Publisher_653,src_Art-Form_618
src_Abstract-Notion_364,src_Object_3033
src_Artistic-Movement_2480,src_Work-of-Art_977
src_Pamphlet_2232,src_Relic_3453
src_Religious-Movement_2322,src_Natural-Object_1230
src_Film-Maker_2447,src_Political-Organisation_3602
src_Creator_113,src_Ethnic-Group_3294
src_Social-Stratum_3289,src_Scandal_1072
src_Country_1982,src_Ideology_546
src_Pamphlet_1199,src_Location-Part-Relation_1003
src_Diplomat_4122,src_Commodity_4368
src_Fictional-Event_133,src_Water_266
src_Vehicle_241,src_Ship_1284
src_Political-Region_406,src_Journal_4916
src_Geographical-Feature_3977,src_Stereotype-Group_4859
src_Conceptual-Object_179,src_Economic-Process_2859
src_Economic-Enterprise_2291,src_Cultural-Organisation_3868
src_Treaty_2084,src_Language_1658
src_Trades-Unionist_609,src_Sportsman_3607
src_Religious-Practice_3004,src_Journal_2745
src_Economist_2862,src_Geographical-Discovery_4167
src_Social-Stratum_416,src_Organisation_3325
src_Artistic-Movement_1913,src_Landmark_1970
src_Category_2160,src_Environment_2354
src_Engineer_4185,src_League_1381
src_Non-Military-Conflict_2781,src_Writing_4995
src_Train_3497,src_Uprising_4546
src_Economic-Process_353,src_Military-Unit_4693
src_University_2573,src_Geographical-Region_2195
src_Leader_4265,src_Ritual_1770
src_Meeting_4739,src_Clerical-Leader_4182
src_Head-of-Government_3078,src_Pastime_1889
src_Period_3731,src_Philanthropist_320
src_Clothing_3287,src_Publisher_4112
src_Art-Form_3847,src_Actor_3844
src_Author_4319,src_Political-Symbol_444
src_Book_827,src_Military-Unit_595
src_Landmark_3293,src_Artistic-Style_2357
src_Environment_4805,src_Battle_3587
src_Period-in-Office_2327,src_Magnate_2717
src_Sportsman_1205,src_Author_2762
src_Art-Form_1461,src_Ecclesiarch_2727
src_Architect_2918,src_Armament_2170
src_Magnate_3844,src_Religious-Community_1657
src_Cathedral_3939,src_Dancer_396
src_Ship_4847,src_Scandal_3220
src_Economist_4466,src_Sculptor_1207
src_Animal_3407,src_Work-of-Art_2841
src_Role_1996,src_Treaty_3391
src_Time-Dependent_245,src_Public-Oration_3931
src_Religious-Practice_4834,src_Magnate_4176
src_Category_2242,src_Trade-Association_4001
src_Prince_497,src_Author_242
src_Inventor_4085,src_Economic-Symbol_106
src_Conceptual-Object_3926,src_Political-Symbol_2700
src_Book_2332,src_VicodiOI_3880
src_Location-Part-Relation_971,src_Geographical-Feature_3587
src_Country_1129,src_Minister_4320
src_Management-Organisation_2224,src_Time_3705
src_Train_1774,src_City_534
src_Leader_313,src_Liturgical-Object_2608
src_Pope_793,src_Economic-Enterprise_2491
src_Artistic-Style_3246,src_Newspaper_1294
src_Religious-Symbol_4344,src_Time-Dependent-Relation_3256
src_Religious-Practice_3766,src_Magnate_1105
src_Leader_4510,src_Trial_2890
src_Uprising_1530,src_Life-Event_1594
src_Conductor_3916,src_Pope_4974
src_Work-of-Art_4040,src_Emperor_1243
src_Business-Leader_1560,src_Professor_1315
src_Social-Stratum_597,src_Social-Group_4626
src_Secular-Ideology_368,src_International-Alliance_3925
src_Commodity_1537,src_Musician_4854
src_Political-Organisation_2647,src_Piece-of-Music_2189
src_Role_4542,src_Leader_3422
src_Journalist_4327,src_Secular-Leader_2883
src_Cultural-Agreement_3921,src_Religious-Order_303
src_War_3853,src_Composer_167
src_Art-Form_1039,src_Newspaper_3668
src_Pope_4192,src_Artist_3081
src_Category_1281,src_Film-Maker_3373
src_Social-Group_4506,src_Art-Form_54
src_Work-of-Art_2296,src_Jurist_3787
src_Monastery_3933,src_Politician_4227
src_Educational-Organisation_2376,src_Sultan_1063
src_Time-Dependent-Relation_2206,src_Dynasty_2809
src_Writing_2897,src_Secular-Movement_2992
src_Governmental-Organisation_3844,src_Military-Organisation_2065
src_Politician_969,src_Economist_1524
src_Architect_2257,src_Writing_1431
src_Crime_4659,src_TemporalInterval_2819
src_Individual_2528,src_Painter_2089
src_Religious-Ideology_906,src_Economist_4792
src_Board_4549,src_Board_4975
src_Economic-Symbol_1006,src_Treaty_3937
src_Vehicle_4112,src_Role_234
src_Crime_3493,src_Ritual_1540
src_Village_4793,src_Location-Part-Relation_1198
src_Writing_3770,src_Composer_4354
src_Philosopher_668,src_Pollution_3442
src_City_3178,src_Sculpture_622
src_Religious-Symbol_4175,src_Trades-Union_3852
src_Sculptor_4858,src_Disease_3172
src_Economic-Symbol_4327,src_Religious-Ideology_975
src_Dynasty_3538,src_Landmark_4340
src_Art-Form_4534,src_Measurable-Trend_2470
src_Architect_3572,src_Intellectual-Movement_1222
src_Movement_2327,src_Secular-Leader_3096
src_League_1140,src_Art-Form_3100
src_Secular-Leader_3327,src_Sultan_2372
src_Queen_4561,src_Non-Military-Conflict_229
src_Economic-Symbol_3518,src_Political-Organisation_4804
src_Category_554,src_Country_4374
src_Religious-Ideology_2724,src_Intra-State-Group_3739
src_Dancer_1834,src_Piece-of-Music_4472
src_Art-Form_4476,src_Life-Event_3352
src_Writing_3965,src_Object_2039
src_International-Alliance_1067,src_Location_1067
src_Scientist_216,src_Trades-Unionist_2063
src_Intellectual-Construct_4881,src_Relic_141
src_Scandal_1019,src_Engineer_271
src_Legislation_318,src_Emperor_26
src_Sultan_42,src_Abstract-Notion_2031
src_Prince_1902,src_Artefact_1167
src_Political-Organisation_4071,src_Treaty_283
src_Disease_341,src_Structure_2149
src_Geographical-Region_2882,src_Military-Person_3479
src_Conceptual-Object_4635,src_Technical-Scientific-Advance_3334
src_Musician_1385,src_Pastime_4842
src_Legislation_4529,src_VicodiOI_2981
src_Structure_1311,src_Ideology_2637
src_Sculptor_3138,src_Ideology_328
src_Criminal_1520,src_Individual_2291
src_Intellectual-Movement_1754,src_City_3327
src_Painter_1131,src_Dancer_2408
src_Armament_3186,src_Artistic-Movement_547
src_Religious-Leader_2070,src_Magnate_3988
src_Physician_2849,src_Relic_4882
src_Engineer_213,src_Movement_3799
src_Emperor_676,src_Secular-Leader_4263
src_Church-Reformer_1300,src_Magnate_1716
src_Art-Form_598,src_Party_1547
src_Cleric_1079,src_Dancer_4040
src_Intra-State-Group_3904,src_Head-of-Government_2545
src_Creator_1744,src_Geographical-Feature_1985
src_Artist_2322,src_Social-Stratum_1163
src_Country_1049,src_Religious-Organisation_2209
src_Object_3647,src_Relic_3320
src_Language_2221,src_Movement_1426
src_Category_4637,src_Criminal_2551
src_Artistic-Movement_3763,src_Clothing_1280
src_Geographical-Discovery_2458,src_Political-Region_3915
src_Public-Oration_3051,src_Saint_3244
src_Animal_3463,src_Category_3734
src_Church_3150,src_Landmark_2350
src_Functionary_3441,src_Creator_3215
src_Abstract-Notion_3713,src_Crime_4944
src_Movement_2450,src_Religious-Symbol_4686
src_Functionary_586,src_Functionary_959
src_Governmental-Organisation_4172,src_Person_853
src_War_3217,src_Food_2754
src_Illness_782,src_Artist_2294
src_Dramaturge_856,src_Building_2571
src_Publisher_428,src_Economic-Organisation_2545
src_International-Organisation_3275,src_Vehicle_2099
src_Religious-Organisation_4290,src_Masonic-Lodge_2308
src_Treaty_1112,src_Masonic-Lodge_287
src_Diplomat_4633,src_Religious-Community_963
src_Field-of-Knowledge_1520,src_Flavour_2583
src_Saint_2665,src_Church_1431
src_Journalist_2820,src_Movement_4219
src_Cathedral_1741,src_Prince_2280
src_Commodity_2776,src_Philanthropist_142
src_Religious-Leader_2273,src_Philanthropist_3854
src_Movement_4746,src_Professor_4597
src_Piece-of-Music_630,src_Geographical-Discovery_4857
src_Cathedral_4867,src_Scientist_1118
src_VicodiOI_445,src_Artistic-Style_1670
src_Population-Movement_4756,src_Stereotype-Group_3907
src_Engineer_1639,src_Artefact_3386
src_Conceptual-Object_2170,src_Fictional-Event_4614
src_Religious-Movement_251,src_King_846
src_Religious-Symbol_827,src_Emperor_2636
src_Inventor_4872,src_Military-Unit_4771
src_Meeting_2942,src_Location-Part-Relation_4724
src_Uprising_885,src_Commodity_1293
src_Prince_4510,src_Pastime_2767
src_Saint_4688,src_Church_3842
src_Prince_4895,src_City_143
src_Church-Reformer_4780,src_Psychologist_2114
src_Organisation_4783,src_War_3138
src_Leader_4016,src_Public-Oration_2686
src_City_2286,src_Trial_4429
src_Theologian_271,src_Ethnic-Group_3474
src_Religious-Practice_2046,src_Illness_2483
src_Person_578,src_Period_956
src_Person-Role_3795,src_Pastime_4229
src_Religious-Order_1839,src_Politician_1516
src_Illness_811,src_Abstract-Notion_2056
src_Scandal_2509,src_Liturgical-Object_4108
src_Economic-Process_3302,src_Social-Group_3268
src_Astronaut_4085,src_Physician_1880
src_Cleric_4046,src_Role_4794
src_Secular-Movement_4058,src_Professor_1732
src_International-Organisation_1832,src_Badge_1371
src_Idea_3169,src_Religious-Ideology_2362
src_Sculpture_1273,src_Secular-Leader_2029
src_Publisher_4185,src_Disease_1363
src_Sportsman_1482,src_Cleric_3942
src_Disaster_3292,src_Representative-Institution_3883
src_Stereotype-Group_3316,src_Church_4944
src_Landmark_2452,src_Composer_1231
src_Board_3060,src_Period_3422
src_Settlement_3358,src_Armament_335
src_Engineer_1559,src_Geographer_2091
src_Social-Group_2386,src_Philanthropist_782
src_Journalist_3038,src_Clerical-Leader_4143
src_Pope_4448,src_Building_1839
src_Ritual_2915,src_Composer_1307
src_Economist_1931,src_Badge_4519
src_Head-of-State_4594,src_City_2041
src_Cultural-Agreement_2082,src_Painting_3520
src_Settlement_3417,src_Psychologist_2319
src_Representative-Institution_3786,src_Prince_1977
src_Church_159,src_Musician_714
src_Economic-Symbol_468,src_Event_2784
src_Management-Organisation_504,src_Clerical-Leader_1781
src_Natural-Object_2605,src_Measurable-Trend_2026
src_Battle_4790,src_VicodiOI_4673
src_TemporalInterval_1560,src_Pope_935
src_Book_1705,src_Political-Organisation_492
src_Intellectual-Construct_733,src_Train_736
src_Creator_2432,src_Religious-Order_132
src_Uprising_638,src_International-Organisation_2147
src_Fictional-Event_2421,src_Politician_3131
src_Entertainer_4372,src_Stereotype-Group_1595
src_Head-of-State_4725,src_Criminal_4922
src_Liturgical-Object_3757,src_Person-Role_2761
src_VicodiOI_2205,src_Public-Oration_975
src_Public-Oration_2305,src_Journal_1168
src_Political-Region_317,src_Geographer_4705
src_Creator_456,src_Artistic-Style_2762
src_Scientific-Instrument_4328,src_Relic_2096
src_Population-Movement_4173,src_Ideology_2718
src_Pope_3578,src_Period_4559
src_National-Symbol_3205,src_Commodity_4483
src_Idea_2304,src_Monastery_748
src_Foreign-Minister_2920,src_Meeting_4172
src_Political-Region_2363,src_Criminal_908
src_Train_4783,src_Management-Organisation_75
src_Field-of-Knowledge_2933,src_Natural-Object_793
src_Event_3188,src_War_991
src_Head-of-Government_4617,src_Artist_2766
src_Geographical-Discovery_4164,src_Religious-Movement_2720
src_Monastery_2463,src_Economist_4286
src_Election_1567,src_Social-Stratum_1231
src_Social-Group_4061,src_Head-of-State_3034
src_Prince_3934,src_Entertainer_3585
src_Economic-Organisation_1166,src_Foreign-Minister_3890
src_Military-Unit_4484,src_Economic-Symbol_1634
src_Pope_4143,src_Artistic-Style_112
src_Engineer_3406,src_City_924
src_Time_3668,src_Time-Dependent-Relation_1538
src_Intra-State-Group_3458,src_Stereotype-Group_223
src_Abbey_983,src_Church_327
src_Church-Reformer_907,src_Pastime_1368
src_Religious-Organisation_1209,src_Event_606
src_Book_3730,src_Train_2292
src_Journal_4678,src_Idea_2484
src_Building_4094,src_Emperor_411
src_Jurist_2429,src_Professor_820
src_Movement_4309,src_Criminal_319
src_Secular-Ideology_725,src_Psychologist_374
src_FuzzyTemporalInterval_608,src_International-Organisation_4364
src_Entertainer_3665,src_Artist_4714
src_TemporalInterval_2778,src_Head-of-Government_304
src_Theologian_717,src_Queen_1628
src_Pollution_3121,src_Category_721
src_Writing_4590,src_Intellectual-Construct_2791
src_Painting_3683,src_Clothing_3907
src_Astronaut_484,src_Ship_3692
src_Language_1978,src_War_4273
src_Party_2827,src_Business-Leader_4490
src_Religious-Organisation_2536,src_Jurist_3977
src_Flavour_4117,src_Functionary_2405
src_Work-of-Art_3059,src_Pollution_851
src_Book_1145,src_Publisher_3536
src_Religious-Practice_4202,src_Time-Dependent_2072
src_Category_2215,src_Trade-Association_4972
src_Party_4005,src_Philanthropist_276
src_Flavour_4441,src_Board_3777
src_Scientist_4248,src_Business-Leader_373
src_Environment_172,src_Life-Event_1258
src_Commodity_3512,src_Actor_219
src_TemporalInterval_3828,src_Political-Organisation_75
src_Symbol_4940,src_Dynasty_2624
src_Battle_1002,src_Trades-Union_116
src_Military-Unit_3277,src_Structure_1656
src_Person-Role_2273,src_Ship_708
src_Person_61,src_Person-Role_3159
src_Engineer_340,src_Treaty_2736
src_Functionary_1267,src_Category_2807
src_Trades-Union_4042,src_Population-Movement_4979
src_Village_3142,src_Person_2105
src_University_4250,src_Liturgical-Object_869
src_Church-Reformer_1245,src_Conductor_193
src_King_1223,src_Dramaturge_3071
src_Educational-Organisation_1469,src_Psychologist_1036
src_International-Organisation_2284,src_Non-Military-Conflict_2643
src_Film-Maker_2018,src_Cathedral_618
src_Religious-Movement_215,src_Treaty_4365
src_Religious-Symbol_2675,src_Life-Event_1278
src_Economic-Process_2322,src_Military-Unit_2014
src_Social-Stratum_3562,src_Functionary_3739
src_Movement_3013,src_Head-of-State_2685
src_Entertainer_3922,src_Other-Religious-Person_4342
src_Queen_1157,src_Artist_182
src_Monastery_3583,src_Art-Form_4240
src_Theologian_4856,src_Public-Oration_3509
src_Location-Part-Relation_1616,src_Population-Movement_3651
src_War_3526,src_Role_1153
src_Inventor_480,src_TemporalInterval_3874
src_Philanthropist_1017,src_Economic-Symbol_4947
src_Philosopher_4320,src_Field-of-Knowledge_3715
src_Religious-Organisation_3741,src_Journalist_2678
src_Conductor_3534,src_Person_1102
src_Educational-Organisation_1376,src_International-Organisation_2318
src_Intellectual-Construct_98,src_Leader_3844
src_Economic-Symbol_1082,src_Saint_1995
src_Religious-Practice_2971,src_Uprising_154
src_Functionary_4942,src_Architect_2509
src_Criminal_3325,src_Conductor_445
src_Vehicle_3703,src_Clerical-Leader_1991
src_Cleric_3733,src_Engineer_3934
src_Military-Unit_1155,src_Composer_725
src_Pollution_1059,src_Ideology_3573
src_Minister_2139,src_Journal_2943
src_Meeting_3022,src_Ideology_3720
src_Abbey_1136,src_Pope_478
src_Composer_2299,src_Ethnic-Group_3074
src_Conductor_4823,src_Military-Unit_1620
src_Cultural-Agreement_3318,src_Location-Part-Relation_989
src_Publisher_2950,src_Representative-Institution_1510
src_Idea_4911,src_Professor_2483
src_Trades-Union_3772,src_Economic-Enterprise_123
src_Relic_1950,src_Trades-Unionist_3158
src_Geographical-Region_332,src_Business-Leader_1571
src_Sportsman_79,src_Sculpture_3389
src_Ecclesiarch_1170,src_Disease_2394
src_Work-of-Art_1855,src_Object_2408
src_Military-Organisation_1316,src_Actor_4524
src_International-Organisation_1980,src_Actor_648
src_Time_1977,src_Religious-Organisation_176
src_Functionary_4368,src_Ethnic-Group_1898
src_Economic-Enterprise_1133,src_Field-of-Knowledge_1560
src_Management-Organisation_2205,src_Period-in-Office_419
src_Building_235,src_Settlement_4381
src_Movement_2690,src_Conceptual-Object_1042
src_Flavour_489,src_Military-Organisation_2940
src_Criminal_4388,src_Language_4578
src_Inventor_2111,src_Public-Oration_3037
src_Architect_1389,src_Scientist_3799
src_Foreign-Minister_2167,src_Intellectual-Movement_3600
src_Person_2145,src_Physician_2478
src_Cathedral_3558,src_Religious-Community_3072
src_Natural-Object_4707,src_Other-Religious-Person_4023
src_Economic-Process_3225,src_Politician_3882
src_Secular-Leader_316,src_Representative-Institution_1236
src_Ethnic-Group_561,src_Trades-Unionist_1764
src_Individual_3148,src_Cleric_1625
src_War_4703,src_Musician_2984
src_Religious-Movement_4982,src_Representative-Institution_2339
src_Treaty_719,src_Movement_160
src_Management-Organisation_4704,src_Liturgical-Object_2843
src_Settlement_4153,src_Leader_4041
src_Artefact_1224,src_Person-Role_1506
src_Geographical-Discovery_163,src_Badge_1282
src_Individual_4727,src_Trade-Association_68
src_Structure_1503,src_Emperor_3475
src_Psychologist_2281,src_Life-Event_3975
src_Individual_1227,src_Functionary_4936
src_Disease_1803,src_Geographical-Feature_2827
src_Artefact_788,src_Other-Religious-Leader_3606
src_Governmental-Organisation_627,src_Clothing_3440
src_Monastery_4961,src_Intellectual-Construct_1202
src_Idea_2220,src_City_3949
src_Country_3446,src_Settlement_3127
src_Trades-Unionist_3878,src_King_533
src_Author_3013,src_Physician_3806
src_Illness_3441,src_Discoverer_169
src_Economic-Symbol_1486,src_Structure_708
src_Religious-Ideology_4899,src_Painting_2779
src_Sculpture_4248,src_Military-Organisation_3361
src_Military-Person_4501,src_City_2726
src_Ideology_2093,src_Cultural-Organisation_4381
src_Dynasty_3553,src_Psychologist_4961
src_Entertainer_1121,src_Event_3252
