src_Non-Military-Conflict_2618,src_Measurable-Trend_215
src_Period-in-Office_3635,src_Composer_1975
src_Astronaut_4721,src_League_230
src_Fictional-Person_3958,src_Train_4761
src_Political-Region_2751,src_Sculptor_1099
src_Dynasty_2195,src_Church-Reformer_2133
src_Prince_615,src_Economic-Symbol_4643
src_Individual_1039,src_Period_1950
src_Field-of-Knowledge_2103,src_Election_2150
src_Liturgical-Object_3631,src_Social-Group_4801
src_Role_4861,src_TemporalInterval_3380
src_Other-Religious-Person_4420,src_Natural-Object_3940
src_Creator_3666,src_Book_4706
src_Jurist_4679,src_Newspaper_3129
src_Prince_705,src_Economic-Enterprise_1429
src_Painting_2757,src_Queen_50
src_Architect_3519,src_Disease_318
src_Liturgical-Object_3459,src_Film-Maker_4860
src_Period-in-Office_2389,src_Conceptual-Object_4142
src_Party_4634,src_Building_366
src_Crime_1033,src_Party_4113
src_Emperor_252,src_Queen_2512
src_Masonic-Lodge_3368,src_Emperor_77
src_Structure_3924,src_Astronaut_2670
src_Uprising_1719,src_Treaty_161
src_Building_2786,src_Dancer_749
src_Trade-Association_380,src_Entertainer_3440
src_Composer_2140,src_Diplomat_2234
src_Time-Dependent_833,src_Movement_1621
src_Other-Religious-Person_2566,src_Cultural-Agreement_4168
src_Management-Organisation_1121,src_Business-Leader_2014
src_Religious-Movement_4762,src_Political-Organisation_16
src_Dynasty_1665,src_Disease_2612
src_Ethnic-Group_648,src_Scientist_3903
src_Religious-Order_4640,src_Board_2510
src_Social-Stratum_943,src_Cathedral_2205
src_Life-Event_3982,src_Fictional-Person_4139
src_Battle_4457,src_Educational-Organisation_954
src_Structure_2560,src_Cathedral_3894
src_Composer_2027,src_Entertainer_522
src_Election_4482,src_Country_1377
src_Criminal_3985,src_Minister_1015
src_Painting_4227,src_National-Symbol_2325
src_Painter_4830,src_Party_3555
src_City_1404,src_Philanthropist_4821
src_Monastery_3906,src_Disaster_1525
src_Relic_2320,src_Election_2089
src_Criminal_57,src_Military-Unit_520
src_Badge_629,src_Animal_1062
src_Geographical-Discovery_2834,src_Management-Organisation_361
src_Artist_4010,src_Actor_2328
src_Sculpture_4029,src_Relic_631
src_Ship_1710,src_Time-Dependent_3601
src_National-Symbol_2028,src_Astronaut_3851
src_Economic-Enterprise_1679,src_Board_4425
src_City_4978,src_Meeting_599
src_Dramaturge_2824,src_Crime_4270
src_Field-of-Knowledge_4814,src_Uprising_1569
src_Dramaturge_120,src_Economic-Process_27
src_Creator_3096,src_Minister_1510
src_Geographical-Discovery_1706,src_Trades-Unionist_4906
src_Event_867,src_Country_4585
src_Professor_4855,src_Person-Role_731
src_Philosopher_4305,src_Foreign-Minister_2651
src_Individual_3765,src_Geographer_333
src_Object_4794,src_Fictional-Person_4018
src_Trades-Unionist_2971,src_Cultural-Agreement_842
src_King_4308,src_Disease_3604
src_Physician_2074,src_Conductor_3861
src_Ritual_387,src_Trial_410
src_Functionary_421,src_Disease_4268
src_Religious-Organisation_3762,src_Leader_1448
src_Painter_2129,src_Work-of-Art_3967
src_Religious-Practice_1960,src_Village_849
src_Food_3989,src_Intellectual-Movement_3273
src_Management-Organisation_4988,src_Political-Organisation_653
src_Prince_3851,src_Religious-Practice_4548
src_Magnate_1617,src_Other-Religious-Person_2116
src_Organisation_2061,src_Social-Stratum_207
src_Fictional-Person_578,src_Conceptual-Object_2313
src_Inventor_1608,src_Composer_553
src_Artistic-Style_4494,src_Art-Form_3897
src_Masonic-Lodge_2619,src_Religious-Practice_1212
src_Political-Symbol_3173,src_Film-Maker_4836
src_International-Organisation_1304,src_Village_2828
src_International-Alliance_3176,src_Pamphlet_2952
src_Political-Organisation_4562,src_Abbey_4464
src_Train_3324,src_Architect_83
src_Engineer_1861,src_FuzzyTemporalInterval_3101
src_Building_1647,src_Cultural-Agreement_4647
src_Period_2169,src_Dynasty_632
src_Queen_3969,src_Trades-Union_4325
src_Economist_1007,src_Intellectual-Construct_1090
src_Time-Dependent-Relation_308,src_Governmental-Organisation_1069
src_Organisation_2681,src_Film-Maker_1059
src_TemporalInterval_2012,src_Pamphlet_1585
src_Church-Reformer_3870,src_Other-Religious-Person_2737
src_Discoverer_1408,src_Theologian_3943
src_Relic_795,src_Professor_3007
src_Military-Unit_1958,src_Crime_3382
src_Physician_1090,src_Economic-Process_793
src_Pamphlet_4466,src_Field-of-Knowledge_2581
src_Scandal_1998,src_Time_3756
src_Economic-Organisation_2439,src_Life-Event_3336
src_Religious-Ideology_4901,src_Artistic-Style_1272
src_Secular-Leader_2587,src_Crime_829
src_Book_4572,src_Artefact_823
src_Economic-Process_1583,src_Building_57
src_Secular-Leader_1158,src_Religious-Movement_3301
src_Abbey_933,src_Queen_69
src_Person_2773,src_Artistic-Movement_7
src_Population-Movement_2544,src_Theologian_588
src_Inventor_1527,src_Structure_942
src_Criminal_1550,src_Social-Stratum_556
src_Architect_3001,src_Art-Form_627
src_International-Organisation_3177,src_Theologian_4146
src_Dancer_4679,src_Liturgical-Object_4858
src_Intellectual-Construct_2945,src_Ethnic-Group_4008
src_Professor_2146,src_Object_3233
src_Sultan_851,src_Ecclesiarch_2001
src_Management-Organisation_4551,src_Movement_2183
src_Religious-Practice_2829,src_Physician_2793
src_Creator_1062,src_Piece-of-Music_2887
src_Clerical-Leader_4143,src_Sculpture_990
src_Functionary_144,src_Representative-Institution_3092
src_Ritual_4666,src_Location-Part-Relation_4627
src_League_3800,src_International-Alliance_2813
src_Vehicle_444,src_Dramaturge_666
src_Water_4691,src_Sculpture_3976
src_Professor_3562,src_Clothing_2391
src_Leader_591,src_Cultural-Agreement_4271
src_Philosopher_4957,src_Idea_1465
src_Diplomat_4839,src_Discoverer_3888
src_Book_2957,src_Sculpture_1698
src_Flavour_4212,src_Artist_4710
src_Village_3264,src_Piece-of-Music_2644
src_Landmark_1109,src_Monastery_2227
src_Language_1291,src_Social-Stratum_611
src_Dancer_504,src_Fictional-Event_4024
src_Criminal_3031,src_Ritual_4991
src_Legislation_1838,src_Religious-Leader_4504
src_Political-Organisation_2181,src_Location_1512
src_Cultural-Organisation_418,src_Film-Maker_2106
src_Author_1826,src_Film-Maker_1722
src_Stereotype-Group_170,src_Intra-State-Group_2614
src_Religious-Order_1515,src_Village_1481
src_Religious-Order_1212,src_Sculpture_1005
src_Saint_449,src_Stereotype-Group_3323
src_Pastime_1378,src_Monastery_178
src_Publisher_918,src_FuzzyTemporalInterval_3275
src_Artistic-Movement_2606,src_League_3957
src_Social-Group_4246,src_Architect_3577
src_Geographical-Discovery_1230,src_Religious-Order_2684
src_Architect_4143,src_Train_4964
src_Cathedral_3960,src_Religious-Ideology_1993
src_Treaty_2808,src_Sculptor_3306
src_Legislation_174,src_Author_489
src_Party_3885,src_Architect_2140
src_National-Symbol_4987,src_Geographer_729
src_Sculptor_3705,src_Actor_341
src_Population-Movement_4404,src_VicodiOI_841
src_Country_929,src_Educational-Organisation_4449
src_Governmental-Organisation_2872,src_Cleric_4434
src_Creator_2743,src_Prince_816
src_Astronaut_4040,src_Movement_1225
src_Jurist_4125,src_Disease_730
src_Field-of-Knowledge_1495,src_Engineer_4547
src_Period-in-Office_2565,src_Religious-Organisation_4849
src_Person-Role_378,src_Composer_3649
src_Building_4103,src_Discoverer_508
src_Military-Unit_2864,src_Painting_4371
src_King_4691,src_Trade-Association_1904
src_Ecclesiarch_4394,src_Author_1830
src_Person_2170,src_Scandal_3767
src_Person-Role_2996,src_Pastime_976
src_Book_2568,src_Artist_3538
src_Clothing_1370,src_Military-Person_4888
src_Monastery_3405,src_Fictional-Event_4512
src_Head-of-State_1211,src_Organisation_3952
src_Diplomat_3799,src_Trades-Union_4599
src_Church_4553,src_Composer_2813
src_Time-Dependent-Relation_1288,src_Food_3359
src_Sculpture_3391,src_Journalist_1155
src_Work-of-Art_2102,src_Head-of-State_2796
src_Criminal_3073,src_Train_4003
src_Environment_2293,src_Legislation_2986
src_Sportsman_1742,src_Artistic-Style_1830
src_Role_1479,src_Military-Organisation_3849
src_Sportsman_2897,src_Dancer_4808
src_Environment_236,src_City_3352
src_Conductor_1283,src_Field-of-Knowledge_4224
src_Board_4137,src_Composer_4651
src_Fictional-Event_4226,src_Armament_1708
src_Trial_405,src_Period-in-Office_3166
src_Conductor_4981,src_Sculptor_2591
src_Philanthropist_239,src_TemporalInterval_3065
src_Economic-Symbol_1886,src_Vehicle_3421
src_Battle_1689,src_National-Symbol_3908
src_Geographical-Region_2830,src_Train_99
src_Abstract-Notion_2063,src_Religious-Symbol_3746
src_Military-Unit_2163,src_Diplomat_1753
src_Art-Form_3824,src_Psychologist_3071
src_Artefact_4564,src_Representative-Institution_1921
src_Trades-Unionist_4619,src_Cultural-Organisation_1516
src_Author_715,src_TemporalInterval_4775
src_Monastery_1699,src_Conceptual-Object_4631
src_Idea_4346,src_Religious-Order_2944
src_Food_4292,src_Author_133
src_Dynasty_2750,src_Musician_781
src_Geographical-Region_4715,src_Environment_362
src_Astronaut_3255,src_Economic-Organisation_4847
src_Train_56,src_Book_1021
src_Liturgical-Object_1525,src_Trial_2378
src_Geographer_367,src_Secular-Ideology_2511
src_Scandal_2724,src_Painting_3644
src_Religious-Ideology_1482,src_Trades-Union_3098
src_Emperor_4544,src_Flavour_292
src_Ship_2008,src_Period_299
src_Election_641,src_Battle_2421
src_Pamphlet_553,src_Governmental-Organisation_2145
src_Political-Organisation_2488,src_Treaty_3754
src_Theologian_296,src_Train_4750
src_Masonic-Lodge_736,src_Idea_3505
src_Legislation_655,src_Dynasty_107
src_Flavour_3157,src_Role_762
src_Publisher_4157,src_Location-Part-Relation_2077
src_Economic-Enterprise_1375,src_Sculptor_543
src_Water_2523,src_Pastime_3340
src_Journal_264,src_Artist_2443
src_Newspaper_3154,src_Fictional-Event_3720
src_VicodiOI_3385,src_Economist_2781
src_Disease_2734,src_Educational-Organisation_1260
src_Ship_3609,src_Church_1508
src_Theologian_3885,src_Astronaut_2381
src_Engineer_1445,src_Economist_3697
src_Emperor_1896,src_Armament_3234
src_Role_3112,src_Religious-Community_1250
src_Diplomat_369,src_Conceptual-Object_2210
src_Relic_2132,src_Person-Role_1363
src_Economist_3459,src_Actor_627
src_Commodity_3711,src_Political-Organisation_4468
src_Environment_821,src_Entertainer_551
src_Monastery_2287,src_Social-Stratum_296
src_International-Alliance_2534,src_Cultural-Organisation_2222
src_Prince_950,src_Location-Part-Relation_1137
src_VicodiOI_2746,src_Landmark_384
src_Food_1238,src_Artistic-Style_1999
src_National-Symbol_4083,src_Painter_3202
src_Politician_1788,src_Social-Stratum_3864
src_Disease_1256,src_Religious-Order_2726
src_Illness_3337,src_Individual_1582
src_Criminal_1425,src_Pastime_1261
src_Film-Maker_3892,src_Sportsman_4206
src_Abbey_2048,src_Artistic-Movement_4390
src_Trial_4680,src_Saint_1629
src_Actor_2193,src_Film-Maker_3221
src_Philosopher_20,src_Cultural-Agreement_4643
src_University_1602,src_Professor_3143
src_Artefact_3366,src_Publisher_3497
src_TemporalInterval_587,src_Building_906
src_Creator_1798,src_Writing_4204
src_Disaster_2855,src_Psychologist_735
src_Illness_3313,src_Ideology_1593
src_League_4617,src_Person-Role_2153
src_Time-Dependent-Relation_3475,src_Publisher_1393
src_Vehicle_2623,src_Relic_2517
src_Intellectual-Construct_1611,src_Economic-Symbol_2100
src_Political-Region_2378,src_Author_4850
src_Cleric_10,src_Idea_47
src_Artistic-Style_4499,src_Sculptor_552
src_Movement_828,src_Location-Part-Relation_1904
src_Leader_47,src_Church_2226
src_Astronaut_2468,src_Settlement_1582
src_Fictional-Event_1956,src_Economic-Enterprise_2638
src_Abbey_924,src_Newspaper_2899
src_Physician_3945,src_Leader_4113
src_Event_2970,src_Architect_2412
src_Relic_1513,src_Non-Military-Conflict_4093
src_Crime_4956,src_Painting_4261
src_Trade-Association_1856,src_TemporalInterval_44
src_Water_205,src_Geographical-Discovery_4542
src_Trade-Association_2812,src_Natural-Object_4116
src_Period_3292,src_Liturgical-Object_4682
src_Cultural-Agreement_3860,src_Geographical-Feature_2082
src_Publisher_4860,src_Work-of-Art_1573
src_TemporalInterval_100,src_Professor_2945
src_Abstract-Notion_190,src_Structure_1555
src_Sportsman_4279,src_Art-Form_1146
src_Badge_1448,src_Economic-Organisation_3558
src_Governmental-Organisation_1915,src_Location-Part-Relation_627
src_Liturgical-Object_1161,src_Time-Dependent_4830
src_Economic-Symbol_1552,src_Organisation_1690
src_Commodity_2,src_Object_2783
src_Water_289,src_Professor_1537
src_Abbey_3030,src_International-Alliance_2880
src_Sportsman_2032,src_Monastery_4785
src_Theologian_3234,src_Representative-Institution_1400
src_Scandal_381,src_Composer_2256
src_Social-Stratum_4765,src_Religious-Practice_1961
src_Discoverer_672,src_Fictional-Event_3717
src_Theologian_2984,src_Composer_3303
src_Painter_2346,src_Ritual_1232
src_Other-Religious-Leader_511,src_Sculptor_4080
src_Book_4648,src_Intra-State-Group_2221
src_Geographical-Region_798,src_Art-Form_4378
src_Intellectual-Movement_4367,src_Ecclesiarch_2751
src_Movement_2845,src_Geographical-Feature_601
src_Battle_2560,src_Emperor_1415
src_Educational-Organisation_3556,src_League_1688
src_Management-Organisation_1173,src_Creator_4379
src_Treaty_1798,src_Pollution_4341
src_Trades-Unionist_2762,src_University_3065
src_Foreign-Minister_954,src_Religious-Community_3071
src_Book_4068,src_Location_4276
src_Business-Leader_4093,src_Time-Dependent_3457
src_Legislation_3645,src_Period-in-Office_3147
src_Water_3936,src_Actor_1310
src_Structure_3605,src_Pamphlet_822
src_Philanthropist_4408,src_Publisher_4556
src_Party_194,src_Sportsman_554
src_Organisation_4328,src_Educational-Organisation_1987
src_Newspaper_1545,src_Theologian_3090
src_Party_496,src_Criminal_3549
src_Person-Role_3882,src_Governmental-Organisation_1221
src_Prince_2793,src_Cultural-Agreement_4781
src_Conceptual-Object_3567,src_Time_3013
src_Ecclesiarch_4310,src_Dramaturge_90
src_Cultural-Agreement_148,src_Geographical-Discovery_3515
src_Author_3701,src_War_907
src_Secular-Ideology_4728,src_Language_2190
src_Stereotype-Group_1011,src_Physician_3953
src_Clothing_2243,src_National-Symbol_3331
src_War_4747,src_Trades-Union_442
src_Discoverer_3909,src_Intellectual-Construct_3179
src_Food_2151,src_Religious-Symbol_186
src_Disease_1797,src_Sultan_3210
src_City_2021,src_Dynasty_2441
src_Intellectual-Movement_1479,src_Ethnic-Group_3931
src_Stereotype-Group_2130,src_Religious-Movement_506
src_Prince_132,src_Liturgical-Object_183
src_League_1538,src_Governmental-Organisation_975
src_Abstract-Notion_4749,src_Role_3557
src_Liturgical-Object_1454,src_Emperor_3136
src_Ethnic-Group_3688,src_Military-Person_2680
src_Entertainer_2587,src_Secular-Ideology_2227
src_Minister_3601,src_Clothing_2446
src_Cleric_537,src_Business-Leader_1306
src_Dynasty_4962,src_Cultural-Organisation_2629
src_Saint_2905,src_FuzzyTemporalInterval_570
src_Artefact_1067,src_Treaty_1510
src_Military-Unit_3886,src_Category_3624
src_Crime_3889,src_Relic_1516
src_Badge_4732,src_Actor_3443
src_Abstract-Notion_371,src_Settlement_2803
src_Military-Unit_3732,src_Object_3239
src_Emperor_3951,src_Stereotype-Group_3507
src_Journalist_3061,src_Sculptor_966
src_Movement_4633,src_Political-Region_2179
src_Religious-Order_4220,src_Location-Part-Relation_4478
src_Cultural-Organisation_2493,src_Theologian_416
src_Pamphlet_1133,src_Trades-Unionist_3967
src_Clothing_4727,src_Journalist_3070
src_FuzzyTemporalInterval_2078,src_Liturgical-Object_4348
src_Treaty_3626,src_Philosopher_1267
src_Painting_2946,src_Secular-Leader_1047
src_Piece-of-Music_3445,src_Political-Region_4664
src_Uprising_996,src_Publisher_4526
src_Country_2079,src_Public-Oration_1985
src_Ritual_335,src_Disease_4738
src_Artistic-Style_1811,src_Governmental-Organisation_954
src_Sculpture_4357,src_Cultural-Organisation_1877
src_Non-Military-Conflict_2644,src_Sultan_2097
src_Religious-Leader_244,src_Theologian_1265
src_King_1706,src_Uprising_3977
src_Animal_529,src_Religious-Organisation_581
src_Monastery_2019,src_Event_2274
src_Train_4033,src_Representative-Institution_3873
src_Trades-Unionist_35,src_King_643
src_Board_3923,src_Religious-Organisation_3462
src_Landmark_1147,src_Intellectual-Movement_875
src_Village_2071,src_Sculpture_3368
src_Armament_4205,src_Water_2345
src_Treaty_2033,src_Liturgical-Object_3230
src_Dramaturge_3445,src_Musician_1792
src_Piece-of-Music_1718,src_Location_230
src_Geographer_2329,src_Ideology_3151
src_Head-of-Government_540,src_Pamphlet_3579
src_Trade-Association_858,src_Economic-Symbol_323
src_Journalist_4478,src_Population-Movement_3201
src_Social-Group_1777,src_Location_4116
src_Illness_2966,src_Management-Organisation_2572
src_Non-Military-Conflict_3466,src_Election_4023
src_Journal_1561,src_Religious-Community_430
src_Military-Person_1691,src_Work-of-Art_632
src_Work-of-Art_1470,src_Religious-Symbol_720
src_Military-Organisation_349,src_Settlement_4005
src_Political-Organisation_446,src_Secular-Movement_1510
src_Commodity_2794,src_Religious-Ideology_4480
src_Social-Group_3613,src_Individual_2357
src_Liturgical-Object_989,src_Election_3819
src_Painting_1919,src_Cleric_2086
src_Illness_1492,src_Secular-Movement_4211
src_Governmental-Organisation_3227,src_Abbey_898
src_Business-Leader_4993,src_Trades-Union_2398
src_Environment_1299,src_Abstract-Notion_1885
src_Astronaut_4516,src_Sculpture_1783
src_Pastime_4186,src_Country_5
src_Landmark_2738,src_War_4375
src_Settlement_4748,src_Time-Dependent_3721
src_Artefact_905,src_Sculpture_4835
src_Church-Reformer_840,src_Ship_3636
src_Fictional-Person_1257,src_Role_1978
src_Business-Leader_1,src_Armament_3177
src_Saint_1819,src_Economist_558
src_Landmark_3984,src_Church-Reformer_30
src_Political-Organisation_1693,src_Clothing_3008
src_Church-Reformer_3955,src_Secular-Ideology_2795
src_Scientist_220,src_Abstract-Notion_2101
src_Business-Leader_2241,src_Settlement_2402
src_Abstract-Notion_2577,src_Leader_1037
src_Non-Military-Conflict_4763,src_Individual_2982
src_Village_2548,src_Prince_1256
src_City_3772,src_Religious-Ideology_4173
src_Criminal_4907,src_National-Symbol_4161
src_Educational-Organisation_3778,src_Abbey_2992
src_Cultural-Agreement_4803,src_Social-Group_1237
src_Religious-Organisation_4746,src_Water_3064
src_Jurist_389,src_Commodity_274
src_Entertainer_4663,src_Art-Form_2496
src_Time-Dependent_3074,src_Public-Oration_2578
src_Social-Group_4930,src_Artefact_3703
src_Role_503,src_Philanthropist_2287
src_Non-Military-Conflict_1963,src_Discoverer_148
src_Sculptor_3122,src_Military-Unit_3054
src_Location-Part-Relation_1262,src_Diplomat_4082
src_Landmark_1738,src_Church-Reformer_3358
src_Head-of-Government_1255,src_Trades-Unionist_3907
src_Religious-Practice_762,src_Life-Event_1328
src_Person-Role_3174,src_Dynasty_3295
src_Creator_4054,src_Functionary_4942
src_Pastime_2291,src_TemporalInterval_4332
src_Management-Organisation_2467,src_Dramaturge_4229
src_King_3459,src_Engineer_2836
src_Pope_283,src_Water_1317
src_Religious-Practice_4215,src_Badge_2148
src_Person-Role_415,src_Journalist_4453
src_VicodiOI_3516,src_Leader_1681
src_Dynasty_1970,src_Jurist_2641
src_Political-Region_4069,src_Stereotype-Group_4898
src_Village_4572,src_Location-Part-Relation_1494
src_Political-Region_2899,src_Masonic-Lodge_43
src_Saint_644,src_Secular-Movement_954
src_Architect_149,src_Scientist_3366
src_Publisher_3572,src_Intellectual-Movement_3206
src_Film-Maker_3031,src_Saint_2113
src_Saint_905,src_Fictional-Event_4469
src_Architect_4487,src_Politician_4660
