?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Abbey>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Artefact>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Artefact>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Artefact>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Artefact>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Badge>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Badge>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Badge>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Badge>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Badge>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Book>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Book>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Book>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Book>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Book>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Building>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Building>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Building>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Building>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Building>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Cathedral>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Cathedral>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Cathedral>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Cathedral>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Cathedral>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Church>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Church>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Church>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Church>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Church>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Clothing>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Clothing>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Clothing>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Clothing>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Clothing>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Commodity>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Commodity>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Commodity>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Commodity>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Commodity>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Conceptual-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Conceptual-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Conceptual-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Conceptual-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Conceptual-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Disease>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Disease>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Disease>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Disease>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Disease>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Environment>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Environment>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Environment>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Environment>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Environment>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Food>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Food>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Food>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Food>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Food>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Journal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Journal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Journal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Journal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Journal>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Liturgical-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Liturgical-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Liturgical-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Liturgical-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Liturgical-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Monastery>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Monastery>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Monastery>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Monastery>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Monastery>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Natural-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Natural-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Natural-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Natural-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Natural-Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Newspaper>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Newspaper>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Newspaper>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Newspaper>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Newspaper>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Object>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Painting>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Painting>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Painting>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Painting>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Painting>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pamphlet>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pamphlet>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pamphlet>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pamphlet>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pamphlet>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pastime>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pastime>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pastime>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pastime>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pastime>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Piece-of-Music>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Piece-of-Music>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Piece-of-Music>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Piece-of-Music>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Piece-of-Music>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pollution>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pollution>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pollution>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pollution>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Pollution>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Relic>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Economic-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Relic>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#National-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Relic>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Political-Symbol>(VAR_1).
?(VAR_0,VAR_1) :- <http://vicodi.org/ontology#Relic>(VAR_0), <http://vicodi.org/ontology#hasRole>(VAR_0, VAR_1), <http://vicodi.org/ontology#Religious-Symbol>(VAR_1).
