src_Dancer_321,src_Location_312
src_Newspaper_418,src_Representative-Institution_224
src_Animal_245,src_Village_62
src_Ideology_265,src_Astronaut_244
src_Ship_209,src_Religious-Movement_156
src_Theologian_198,src_Creator_277
src_Philosopher_389,src_Sportsman_41
src_Settlement_448,src_Food_187
src_Sportsman_363,src_Country_356
src_Technical-Scientific-Advance_79,src_Saint_100
src_Cleric_43,src_Environment_85
src_Book_195,src_Treaty_128
src_Measurable-Trend_486,src_Time-Dependent-Relation_432
src_Writing_231,src_Scandal_451
src_League_36,src_Other-Religious-Person_125
src_Scientific-Instrument_212,src_Leader_352
src_Individual_100,src_Train_331
src_Category_369,src_Dramaturge_143
src_Technical-Scientific-Advance_436,src_Cultural-Agreement_15
src_Geographical-Region_458,src_Animal_124
src_Uprising_99,src_Publisher_361
src_Geographical-Discovery_179,src_Masonic-Lodge_334
src_Language_160,src_Publisher_163
src_Entertainer_132,src_Educational-Organisation_96
src_Book_122,src_King_56
src_Flavour_43,src_Religious-Practice_234
src_Sculptor_428,src_League_6
src_VicodiOI_63,src_Monastery_69
src_Trades-Unionist_180,src_Film-Maker_275
src_Pollution_381,src_Time-Dependent-Relation_150
src_Religious-Practice_470,src_Party_351
src_Clerical-Leader_239,src_Political-Symbol_19
src_Disease_359,src_Scientific-Instrument_4
src_Author_403,src_Geographical-Discovery_401
src_National-Symbol_84,src_Building_5
src_Pope_77,src_National-Symbol_174
src_Language_409,src_Management-Organisation_135
src_Fictional-Person_390,src_Pastime_108
src_Political-Region_180,src_Saint_494
src_Intellectual-Movement_118,src_Secular-Movement_11
src_Movement_10,src_Disease_103
src_Commodity_366,src_Fictional-Person_331
src_Ideology_146,src_Actor_207
src_Artistic-Style_382,src_Professor_124
src_Pamphlet_263,src_Technical-Scientific-Advance_167
src_Pope_490,src_Train_439
src_Ideology_160,src_Legislation_106
src_Non-Military-Conflict_156,src_Person-Role_139
src_Organisation_339,src_Foreign-Minister_378
src_Head-of-Government_71,src_King_433
src_Journalist_192,src_Individual_454
src_Prince_15,src_Structure_230
src_Head-of-State_109,src_Minister_296
src_Book_204,src_Politician_400
src_Meeting_201,src_Church_468
src_Political-Symbol_270,src_Pamphlet_81
src_Politician_410,src_Individual_287
src_Person-Role_364,src_Religious-Order_158
src_Military-Organisation_357,src_Religious-Ideology_449
src_Secular-Ideology_355,src_Election_253
src_Location-Part-Relation_10,src_Battle_407
src_Structure_413,src_Board_299
src_Representative-Institution_3,src_Prince_244
src_Political-Symbol_128,src_Trial_469
src_Trade-Association_204,src_Representative-Institution_259
src_Prince_286,src_Inventor_411
src_Political-Organisation_97,src_Magnate_143
src_Organisation_200,src_International-Alliance_372
src_Pamphlet_400,src_Trades-Unionist_394
src_Engineer_13,src_Management-Organisation_463
src_Disease_26,src_Period-in-Office_15
src_Geographical-Region_177,src_Time-Dependent_360
src_Masonic-Lodge_399,src_Church_15
src_Pastime_132,src_Commodity_403
src_Leader_116,src_Architect_318
src_Trades-Union_191,src_Art-Form_452
src_Physician_107,src_Artefact_478
src_Representative-Institution_387,src_Journalist_32
src_Artistic-Movement_90,src_Period_339
src_Art-Form_82,src_Economic-Organisation_98
src_Pollution_245,src_Relic_137
src_Newspaper_355,src_University_79
src_Liturgical-Object_31,src_Religious-Practice_177
src_Art-Form_431,src_Non-Military-Conflict_328
src_Technical-Scientific-Advance_81,src_Disaster_232
src_Trade-Association_256,src_Water_212
src_Natural-Object_420,src_Diplomat_249
src_Work-of-Art_407,src_Religious-Ideology_482
src_Movement_129,src_Saint_51
src_Saint_11,src_Professor_150
src_Liturgical-Object_108,src_Period_416
src_Object_89,src_Scientist_389
src_Criminal_299,src_Liturgical-Object_458
src_Political-Symbol_96,src_Psychologist_120
src_Journal_26,src_Leader_350
src_Foreign-Minister_24,src_Social-Stratum_457
src_Foreign-Minister_179,src_Location-Part-Relation_19
src_Sculpture_172,src_Geographer_481
src_Clerical-Leader_337,src_Entertainer_31
src_War_205,src_Saint_66
src_Natural-Object_306,src_Trades-Union_234
src_Clerical-Leader_46,src_Religious-Organisation_330
src_Ethnic-Group_74,src_Cathedral_140
src_Relic_452,src_Film-Maker_326
src_Role_439,src_Head-of-State_71
src_Pamphlet_405,src_Author_268
src_Symbol_365,src_Organisation_338
src_Functionary_382,src_Technical-Scientific-Advance_324
src_Life-Event_337,src_Newspaper_354
src_Secular-Movement_223,src_Economic-Enterprise_334
src_Newspaper_139,src_Psychologist_40
src_Fictional-Event_71,src_Political-Organisation_414
src_Political-Organisation_17,src_Composer_389
src_Monastery_367,src_Clothing_362
src_Structure_120,src_Trades-Union_289
src_Philosopher_281,src_Fictional-Event_59
src_Board_419,src_Geographical-Feature_388
src_Meeting_74,src_Leader_103
src_Field-of-Knowledge_321,src_Cultural-Agreement_491
src_King_491,src_Intra-State-Group_420
src_Entertainer_234,src_Trades-Unionist_75
src_Symbol_33,src_Intellectual-Construct_263
src_Saint_414,src_Physician_388
src_Legislation_494,src_Author_458
src_Inventor_279,src_Painter_247
src_Religious-Community_493,src_Person-Role_230
src_Public-Oration_472,src_Flavour_159
src_Election_6,src_Church-Reformer_165
src_TemporalInterval_280,src_Ecclesiarch_483
src_Intra-State-Group_232,src_Religious-Ideology_328
src_Disease_171,src_Engineer_163
src_Jurist_128,src_City_253
src_Abbey_398,src_Military-Organisation_194
src_Time_118,src_Symbol_102
src_Professor_333,src_Musician_22
src_Religious-Community_384,src_Person-Role_232
src_Other-Religious-Leader_453,src_Population-Movement_471
src_Food_408,src_Author_109
src_Philanthropist_323,src_Pope_90
src_Jurist_312,src_Vehicle_229
src_War_481,src_Social-Group_395
src_Queen_249,src_Illness_180
src_War_358,src_Religious-Movement_290
src_Artistic-Movement_335,src_Physician_446
src_TemporalInterval_156,src_Commodity_478
src_Board_256,src_Flavour_465
src_Population-Movement_147,src_Philanthropist_313
src_Cathedral_222,src_Ethnic-Group_458
src_Abbey_1,src_Economist_229
src_Film-Maker_99,src_International-Organisation_436
src_Foreign-Minister_417,src_Meeting_177
src_Geographical-Feature_353,src_Social-Stratum_394
src_Scientist_181,src_Ecclesiarch_164
src_Ship_317,src_Time-Dependent-Relation_105
src_Dynasty_378,src_Artistic-Movement_224
src_Clerical-Leader_417,src_Entertainer_399
src_Religious-Movement_416,src_Theologian_55
src_Discoverer_60,src_Geographical-Discovery_245
src_Architect_457,src_VicodiOI_450
src_Saint_458,src_Ideology_249
src_Artistic-Movement_185,src_Ethnic-Group_328
src_Psychologist_51,src_Abbey_432
src_Settlement_284,src_Armament_431
src_Representative-Institution_406,src_Intra-State-Group_101
src_Animal_392,src_International-Organisation_211
src_Board_440,src_City_111
src_Political-Symbol_430,src_Dancer_232
src_Church-Reformer_88,src_Foreign-Minister_171
src_Country_90,src_Scientist_348
src_League_237,src_Publisher_434
src_Trades-Unionist_445,src_Clerical-Leader_106
src_Queen_425,src_Scientific-Instrument_59
src_Time-Dependent_184,src_Film-Maker_468
src_Abstract-Notion_290,src_Structure_175
src_Inventor_40,src_Engineer_21
src_Ship_5,src_Person_211
src_Leader_186,src_Relic_283
src_Fictional-Person_176,src_Religious-Movement_345
src_Intra-State-Group_229,src_Military-Person_145
src_Queen_277,src_Person-Role_30
src_Geographical-Region_172,src_Time_6
src_Life-Event_91,src_Water_312
src_VicodiOI_99,src_Location_280
src_Organisation_109,src_Symbol_5
src_Social-Group_75,src_National-Symbol_93
src_Cultural-Agreement_472,src_Sultan_262
src_Educational-Organisation_180,src_Structure_412
src_Politician_151,src_Work-of-Art_297
src_Armament_417,src_Journal_292
src_Criminal_470,src_Building_111
src_Artefact_152,src_Building_28
src_Economic-Enterprise_42,src_Book_58
src_Dramaturge_119,src_Writing_454
src_Management-Organisation_244,src_Artistic-Movement_256
src_Intra-State-Group_195,src_Author_224
src_Inventor_459,src_Disease_393
src_Pope_413,src_Composer_12
src_Scandal_96,src_Painting_292
src_Magnate_113,src_King_11
src_Commodity_109,src_Politician_370
src_Economic-Organisation_377,src_Journal_253
src_Structure_149,src_Educational-Organisation_1
src_Cleric_165,src_Dancer_227
src_Church_76,src_TemporalInterval_33
src_Social-Group_58,src_Stereotype-Group_217
src_Religious-Leader_289,src_Secular-Ideology_466
src_Religious-Ideology_328,src_Other-Religious-Leader_80
src_Actor_13,src_Functionary_360
src_University_97,src_Jurist_152
src_Relic_159,src_University_61
src_Period_114,src_Measurable-Trend_302
src_Dancer_367,src_Battle_78
src_Pastime_71,src_Cleric_175
src_Dancer_417,src_Religious-Organisation_266
src_Art-Form_28,src_Church_323
src_Person-Role_280,src_Person_228
src_Functionary_336,src_Economic-Process_470
src_Object_445,src_Governmental-Organisation_285
src_Sportsman_338,src_Cultural-Organisation_134
src_Monastery_424,src_Work-of-Art_303
src_Clothing_239,src_Pollution_330
src_Location-Part-Relation_251,src_Structure_183
src_Functionary_377,src_Work-of-Art_336
src_Minister_387,src_Ritual_260
src_Trades-Unionist_308,src_Physician_435
src_Flavour_452,src_Sculptor_136
src_Person_409,src_Musician_321
src_Board_366,src_Dramaturge_305
src_Idea_49,src_Board_70
src_Monastery_163,src_Secular-Movement_425
src_Educational-Organisation_67,src_Uprising_127
src_Book_426,src_Trades-Unionist_469
src_Individual_39,src_Creator_167
src_Book_292,src_Object_327
src_Business-Leader_459,src_Economic-Process_404
src_Time-Dependent-Relation_118,src_War_476
src_Discoverer_294,src_Trial_51
src_Philosopher_283,src_Water_114
src_Location_127,src_Settlement_367
src_Professor_324,src_Flavour_49
src_Uprising_260,src_Head-of-State_114
src_Minister_144,src_Economic-Process_498
src_Location_237,src_Piece-of-Music_372
src_Entertainer_95,src_Sculptor_39
src_Trial_379,src_Technical-Scientific-Advance_181
src_Disease_489,src_Emperor_271
src_Clerical-Leader_207,src_Religious-Organisation_278
src_Fictional-Event_226,src_Technical-Scientific-Advance_44
src_Liturgical-Object_51,src_Professor_225
src_Intra-State-Group_277,src_Theologian_104
src_King_313,src_Pollution_451
src_War_74,src_Flavour_62
src_Astronaut_249,src_Inventor_68
src_Village_18,src_Language_343
src_Religious-Organisation_473,src_Party_99
src_Crime_479,src_FuzzyTemporalInterval_173
src_Emperor_232,src_Pope_478
src_Meeting_162,src_Head-of-State_445
src_Trial_377,src_Clerical-Leader_107
src_Dynasty_359,src_Engineer_366
src_Artist_111,src_FuzzyTemporalInterval_257
src_Disease_53,src_Period_447
src_Battle_412,src_Dynasty_66
src_Pamphlet_469,src_Location_409
src_Secular-Leader_143,src_Educational-Organisation_450
src_TemporalInterval_85,src_Work-of-Art_438
src_Meeting_48,src_Relic_98
src_Symbol_334,src_Writing_499
src_Queen_220,src_Pastime_2
src_Philanthropist_483,src_Scandal_182
src_Event_156,src_Sculpture_251
src_Prince_17,src_Clothing_328
src_Building_85,src_Vehicle_477
src_Category_119,src_Location-Part-Relation_47
src_Intra-State-Group_390,src_Scandal_318
src_Building_426,src_Trial_88
src_Piece-of-Music_126,src_Fictional-Person_20
src_Religious-Community_440,src_University_138
src_Economist_281,src_Geographical-Discovery_315
src_Time_286,src_Religious-Practice_360
src_Technical-Scientific-Advance_88,src_Train_371
src_Scientific-Instrument_367,src_Pope_163
src_Time-Dependent-Relation_463,src_Leader_62
src_Disease_288,src_Economic-Process_42
src_City_29,src_Abstract-Notion_275
src_Conceptual-Object_355,src_Pollution_431
src_Environment_244,src_Jurist_140
src_Environment_330,src_Jurist_140
src_Sculpture_442,src_Structure_420
src_Badge_407,src_Time-Dependent_423
src_Diplomat_0,src_Religious-Order_317
src_Representative-Institution_147,src_Artistic-Movement_456
src_Conceptual-Object_43,src_Criminal_295
src_Artistic-Movement_393,src_Religious-Practice_190
src_Journal_167,src_Liturgical-Object_47
src_Trades-Unionist_62,src_Event_390
src_Pastime_66,src_Vehicle_293
src_Architect_156,src_Political-Region_230
src_Composer_359,src_Saint_285
src_Relic_376,src_Abbey_18
src_Writing_413,src_Environment_381
src_Religious-Symbol_418,src_Ship_198
src_Musician_64,src_Painter_260
src_Religious-Organisation_373,src_Religious-Order_150
src_Period-in-Office_176,src_Composer_132
src_Religious-Symbol_149,src_Psychologist_384
src_Military-Organisation_166,src_Train_285
src_Symbol_175,src_Relic_290
src_FuzzyTemporalInterval_204,src_Train_191
src_Election_113,src_Artist_76
src_Theologian_146,src_Trades-Unionist_7
src_Head-of-State_400,src_Crime_345
src_Economic-Process_244,src_Inventor_2
src_Landmark_264,src_Other-Religious-Person_195
src_Time-Dependent-Relation_260,src_Musician_356
src_Geographical-Discovery_436,src_Organisation_105
src_Religious-Ideology_383,src_Relic_446
src_Fictional-Person_47,src_Trades-Unionist_428
src_FuzzyTemporalInterval_124,src_Geographical-Region_60
src_Pamphlet_267,src_Language_203
src_Leader_63,src_Category_228
src_Social-Group_178,src_Jurist_305
src_Artistic-Movement_441,src_Stereotype-Group_84
src_Prince_406,src_Scientist_210
src_Population-Movement_70,src_Pamphlet_455
src_Religious-Order_260,src_Trade-Association_397
src_Conceptual-Object_309,src_Art-Form_260
src_Public-Oration_154,src_Fictional-Event_111
src_Cleric_47,src_War_264
src_Uprising_74,src_Social-Stratum_302
src_Settlement_85,src_Scientist_408
src_Sportsman_385,src_Location-Part-Relation_291
src_Diplomat_197,src_Ecclesiarch_472
src_War_403,src_Object_248
src_Technical-Scientific-Advance_426,src_Architect_89
src_Head-of-Government_104,src_Dramaturge_213
src_Engineer_442,src_Population-Movement_396
src_Ecclesiarch_458,src_Badge_487
src_Cultural-Agreement_477,src_Legislation_436
src_Head-of-State_483,src_Uprising_260
src_Economist_368,src_Religious-Leader_187
src_Functionary_185,src_Cathedral_424
src_Sultan_208,src_Inventor_180
src_Film-Maker_157,src_Pastime_147
src_Treaty_115,src_Physician_146
src_Church_451,src_Scandal_495
src_International-Alliance_291,src_Field-of-Knowledge_116
src_Conductor_346,src_Animal_290
src_Musician_448,src_Emperor_258
src_University_70,src_Language_321
src_Inventor_240,src_Vehicle_258
src_Religious-Order_19,src_Dramaturge_182
src_Landmark_50,src_Musician_200
src_Economist_328,src_Monastery_99
src_Flavour_37,src_Astronaut_499
src_Foreign-Minister_455,src_Liturgical-Object_316
src_Functionary_419,src_Animal_111
src_Publisher_57,src_Environment_112
src_Minister_325,src_Crime_177
src_Pastime_196,src_Period_492
src_Water_99,src_Disease_76
src_Publisher_226,src_Actor_178
src_Secular-Leader_182,src_Location-Part-Relation_423
src_Jurist_389,src_Pollution_131
src_Astronaut_107,src_Queen_336
src_Time-Dependent-Relation_35,src_Period-in-Office_281
src_Painting_63,src_Church-Reformer_203
src_Dancer_233,src_Cleric_81
src_Religious-Order_354,src_Work-of-Art_128
src_Religious-Ideology_13,src_Engineer_73
src_Intellectual-Construct_202,src_Individual_223
src_Natural-Object_305,src_Battle_295
src_VicodiOI_55,src_Publisher_111
src_Politician_212,src_Actor_379
src_Armament_390,src_National-Symbol_266
src_Water_61,src_Disease_76
src_Church_244,src_Head-of-State_162
src_Country_173,src_Village_52
src_Head-of-Government_317,src_Ecclesiarch_311
src_Business-Leader_443,src_Journal_135
src_Church_247,src_Social-Stratum_110
src_Abstract-Notion_359,src_Movement_439
src_Cathedral_106,src_Disease_223
src_Politician_93,src_Pamphlet_450
src_Foreign-Minister_303,src_Life-Event_276
src_Religious-Order_189,src_Public-Oration_362
src_Political-Organisation_147,src_Religious-Order_455
src_Magnate_490,src_Dramaturge_327
src_Philosopher_119,src_Social-Group_439
src_Symbol_305,src_Scientific-Instrument_344
src_Saint_475,src_Economic-Enterprise_3
src_Fictional-Person_433,src_Work-of-Art_302
src_Symbol_61,src_Ecclesiarch_17
src_Vehicle_109,src_Architect_491
src_Abstract-Notion_93,src_Battle_455
src_Work-of-Art_219,src_Illness_44
src_Physician_300,src_Painting_465
src_Monastery_69,src_Church-Reformer_155
src_Actor_38,src_Population-Movement_377
src_Movement_384,src_Architect_405
src_Dancer_449,src_Pastime_368
src_Writing_259,src_Food_69
src_Intellectual-Construct_209,src_Uprising_23
src_Ritual_90,src_Crime_498
src_Musician_324,src_Fictional-Event_167
src_Board_396,src_Disease_172
src_Writing_142,src_Geographical-Feature_496
src_Uprising_23,src_Painting_479
src_Clerical-Leader_383,src_Astronaut_47
src_Social-Stratum_17,src_Relic_469
src_Commodity_233,src_Economist_411
src_Structure_182,src_Economist_108
src_Clerical-Leader_305,src_Illness_135
src_Theologian_6,src_Conductor_374
src_Cultural-Organisation_242,src_War_238
src_Leader_158,src_Composer_263
src_Military-Organisation_315,src_Settlement_173
src_Trades-Unionist_7,src_Trades-Union_121
src_Stereotype-Group_212,src_Economic-Enterprise_356
src_Religious-Symbol_224,src_Painting_343
src_Philanthropist_462,src_Board_72
src_Journalist_19,src_National-Symbol_397
src_Liturgical-Object_52,src_Prince_365
src_Creator_76,src_Military-Person_433
src_Category_362,src_Military-Person_13
src_Cathedral_355,src_Publisher_201
src_Economic-Organisation_342,src_Ritual_452
src_Politician_208,src_Commodity_350
src_Cathedral_403,src_Newspaper_382
src_Commodity_450,src_Other-Religious-Leader_406
src_Party_476,src_Building_115
src_Journalist_162,src_Architect_462
src_Secular-Leader_494,src_Head-of-State_345
src_League_347,src_Person-Role_136
src_Category_95,src_Meeting_348
src_Clerical-Leader_269,src_Artistic-Style_410
src_Ecclesiarch_84,src_Geographical-Region_169
src_Natural-Object_288,src_Location_240
src_Field-of-Knowledge_96,src_Ship_319
src_Cultural-Agreement_392,src_TemporalInterval_61
src_Field-of-Knowledge_401,src_Trial_236
src_Religious-Community_407,src_Scientist_447
src_Religious-Practice_72,src_Religious-Community_128
src_Creator_228,src_Geographical-Region_326
src_Animal_349,src_Cleric_92
src_Cultural-Agreement_436,src_Physician_108
src_Geographical-Region_25,src_Architect_433
src_Role_385,src_Religious-Symbol_479
src_Conductor_338,src_Political-Organisation_206
src_Musician_89,src_Publisher_209
src_Engineer_419,src_Geographical-Discovery_308
src_Head-of-Government_209,src_Ideology_287
src_Military-Organisation_3,src_King_253
src_Meeting_295,src_Religious-Practice_202
src_Geographical-Region_380,src_Idea_288
src_Crime_298,src_Location_28
src_Armament_277,src_Economist_235
src_War_19,src_Discoverer_279
src_Location_498,src_Trial_229
src_Geographical-Region_363,src_Cathedral_312
src_Religious-Ideology_332,src_Psychologist_187
src_Structure_301,src_Pamphlet_173
src_Abbey_264,src_Period_286
src_Field-of-Knowledge_30,src_Flavour_19
src_Landmark_286,src_Educational-Organisation_75
src_Board_221,src_Scandal_104
src_Cleric_112,src_Animal_93
src_Religious-Ideology_27,src_Social-Group_282
src_Geographical-Feature_238,src_Saint_430
src_FuzzyTemporalInterval_250,src_Cultural-Organisation_162
src_Social-Group_325,src_Religious-Symbol_386
src_Treaty_443,src_Stereotype-Group_25
src_Religious-Symbol_42,src_Secular-Leader_206
src_Sportsman_225,src_Person_57
src_Scientist_465,src_Trial_369
src_Church_240,src_Military-Person_292
src_Symbol_368,src_Public-Oration_82
src_Artefact_137,src_Public-Oration_92
src_Queen_151,src_Village_484
src_Governmental-Organisation_71,src_Economic-Enterprise_397
src_Trades-Union_235,src_Disease_20
src_Liturgical-Object_61,src_Pastime_130
src_Location-Part-Relation_353,src_Pamphlet_134
src_Emperor_476,src_Individual_331
src_Meeting_82,src_Secular-Movement_327
src_Art-Form_191,src_Public-Oration_188
src_City_278,src_International-Alliance_420
src_Other-Religious-Leader_202,src_Armament_260
src_Creator_79,src_Painting_485
src_Business-Leader_257,src_Masonic-Lodge_226
src_Political-Organisation_284,src_Entertainer_126
src_Painter_453,src_Business-Leader_63
src_Sculptor_440,src_Prince_473
src_Professor_251,src_Fictional-Event_125
src_Ritual_110,src_Inventor_186
src_Political-Organisation_101,src_Landmark_317
src_Head-of-State_373,src_Foreign-Minister_165
src_Ideology_350,src_Pastime_93
src_Conceptual-Object_407,src_Armament_343
src_Monastery_199,src_Economist_3
src_Individual_391,src_Jurist_132
src_Armament_102,src_Religious-Practice_71
src_Structure_396,src_Event_414
src_Political-Region_148,src_Animal_132
src_Cultural-Agreement_129,src_Geographical-Feature_16
src_Abstract-Notion_148,src_Politician_464
src_Economic-Process_53,src_Saint_395
src_Economic-Enterprise_255,src_Legislation_359
src_Theologian_221,src_City_32
src_Saint_300,src_Philosopher_124
src_National-Symbol_395,src_Economic-Organisation_268
src_Head-of-Government_275,src_Governmental-Organisation_319
src_Scientific-Instrument_391,src_Scandal_58
src_Symbol_127,src_Educational-Organisation_299
src_Cathedral_161,src_Psychologist_464
src_Treaty_269,src_Secular-Leader_376
src_Event_268,src_Religious-Community_154
src_Measurable-Trend_156,src_Educational-Organisation_110
src_Geographical-Discovery_323,src_Movement_152
src_Masonic-Lodge_169,src_Intellectual-Construct_252
src_Flavour_259,src_Inventor_415
src_VicodiOI_114,src_Professor_457
src_Entertainer_229,src_Flavour_256
src_Ritual_89,src_Cleric_378
src_Functionary_35,src_Sculptor_312
src_Newspaper_71,src_Illness_289
src_Religious-Community_304,src_Illness_82
src_Emperor_367,src_Pastime_343
src_Secular-Ideology_294,src_Psychologist_415
src_Fictional-Person_458,src_Language_86
src_Military-Person_396,src_Cleric_61
src_Symbol_42,src_Psychologist_76
src_Scientific-Instrument_70,src_Secular-Movement_215
src_Ethnic-Group_149,src_Saint_350
src_Entertainer_42,src_Head-of-Government_78
src_Water_20,src_Minister_341
src_Ideology_326,src_Legislation_375
src_Trades-Unionist_483,src_Head-of-State_163
src_Clerical-Leader_483,src_Intra-State-Group_361
src_Other-Religious-Person_65,src_Ideology_170
src_Idea_401,src_Artist_411
src_Time-Dependent-Relation_145,src_Abbey_20
src_Structure_261,src_Field-of-Knowledge_108
src_Water_349,src_Cultural-Organisation_389
src_Sculptor_321,src_Sculpture_405
src_Economic-Process_132,src_Technical-Scientific-Advance_356
src_Individual_0,src_Public-Oration_342
src_Painter_221,src_Jurist_122
src_Water_376,src_Religious-Community_300
src_Life-Event_124,src_Astronaut_272
src_Journal_346,src_Social-Stratum_312
src_Religious-Symbol_326,src_Treaty_116
src_VicodiOI_122,src_Population-Movement_14
src_Sculptor_254,src_Saint_320
src_Journal_185,src_Head-of-State_11
src_Piece-of-Music_459,src_Actor_453
src_Professor_176,src_Educational-Organisation_263
src_Location_2,src_Clerical-Leader_329
src_Military-Unit_415,src_Fictional-Person_222
src_Criminal_79,src_Artistic-Style_314
src_Political-Region_249,src_Dynasty_67
src_Crime_312,src_Pamphlet_468
src_Ship_60,src_Uprising_359
src_Monastery_427,src_Language_341
src_Settlement_468,src_Period_478
src_Meeting_318,src_Organisation_340
src_National-Symbol_102,src_City_170
src_Uprising_491,src_Location_426
src_Artistic-Movement_398,src_Journal_386
src_Book_295,src_Monastery_443
src_Book_283,src_Trial_328
src_Church-Reformer_60,src_Technical-Scientific-Advance_474
src_Astronaut_327,src_Election_270
src_Painter_357,src_Religious-Organisation_93
src_Secular-Leader_94,src_League_433
src_Creator_431,src_Author_164
src_Structure_378,src_VicodiOI_384
src_Meeting_255,src_Building_54
src_Fictional-Person_53,src_Religious-Community_325
src_Sultan_492,src_Other-Religious-Person_48
src_Measurable-Trend_119,src_University_404
src_Secular-Movement_331,src_Idea_63
src_War_251,src_Train_265
src_Leader_190,src_Sultan_61
src_Time-Dependent-Relation_451,src_Entertainer_318
src_National-Symbol_340,src_Fictional-Person_336
src_War_475,src_Intellectual-Movement_458
src_Crime_208,src_Church-Reformer_89
src_Entertainer_491,src_International-Organisation_474
src_Discoverer_95,src_Sculpture_471
src_Ritual_470,src_Non-Military-Conflict_27
src_Idea_481,src_University_393
src_Public-Oration_359,src_Disease_10
src_Object_49,src_Actor_186
src_Social-Group_111,src_Population-Movement_134
src_Religious-Symbol_259,src_Ship_364
src_Secular-Leader_108,src_Role_238
src_National-Symbol_134,src_Sculpture_480
src_Religious-Symbol_193,src_Queen_348
src_Ritual_496,src_Prince_259
src_International-Organisation_61,src_Masonic-Lodge_242
src_Ethnic-Group_94,src_Symbol_476
src_Language_102,src_Intra-State-Group_7
src_Business-Leader_355,src_Ecclesiarch_159
src_Governmental-Organisation_220,src_Population-Movement_458
src_Badge_224,src_Religious-Community_482
src_Train_394,src_Social-Group_374
src_Category_58,src_Cultural-Agreement_183
src_Movement_9,src_Journal_420
src_Badge_41,src_Category_273
src_Ritual_237,src_Symbol_192
src_Dynasty_149,src_Psychologist_190
src_Religious-Movement_273,src_Business-Leader_212
src_Monastery_12,src_Geographical-Discovery_27
src_Other-Religious-Person_163,src_Saint_122
src_Geographical-Feature_44,src_Treaty_39
src_Armament_11,src_Scientific-Instrument_306
src_Secular-Leader_472,src_Period-in-Office_305
src_University_155,src_Flavour_441
