src_Intra-State-Group_32,src_Journal_109
src_Pamphlet_428,src_Country_417
src_Liturgical-Object_339,src_Non-Military-Conflict_405
src_Building_39,src_Politician_156
src_Flavour_212,src_Non-Military-Conflict_103
src_Meeting_229,src_Writing_423
src_Board_176,src_Life-Event_380
src_Conductor_265,src_Disaster_242
src_Book_492,src_Person-Role_13
src_Geographical-Discovery_29,src_International-Organisation_421
src_Illness_96,src_Representative-Institution_252
src_Political-Region_290,src_Settlement_202
src_Head-of-State_7,src_Battle_475
src_Individual_50,src_Economic-Organisation_439
src_Church_428,src_Public-Oration_52
src_Sculpture_208,src_Economic-Enterprise_54
src_Movement_272,src_Country_443
src_Religious-Movement_109,src_Functionary_194
src_Clerical-Leader_244,src_Queen_285
src_Political-Symbol_250,src_Philanthropist_404
src_Treaty_14,src_Church-Reformer_263
src_Diplomat_110,src_Relic_79
src_Secular-Ideology_56,src_Geographer_304
src_Population-Movement_378,src_Leader_327
src_Location-Part-Relation_234,src_Geographical-Feature_418
src_Secular-Movement_344,src_Disease_7
src_Head-of-Government_450,src_Trades-Unionist_42
src_Structure_371,src_Church_58
src_Geographical-Feature_167,src_Ethnic-Group_11
src_Board_495,src_Composer_281
src_Jurist_420,src_Economist_26
src_Piece-of-Music_251,src_Object_306
src_Painting_444,src_International-Organisation_120
src_Life-Event_216,src_Actor_198
src_Other-Religious-Person_346,src_Population-Movement_266
src_Professor_44,src_International-Organisation_355
src_Philosopher_160,src_Dramaturge_359
src_Vehicle_409,src_Cleric_482
src_Armament_433,src_Painter_257
src_Artefact_218,src_Clerical-Leader_146
src_Ship_280,src_Life-Event_115
src_Train_171,src_Author_435
src_Location_52,src_Uprising_56
src_Category_382,src_Foreign-Minister_139
src_King_152,src_Uprising_283
src_Location-Part-Relation_50,src_Trades-Union_148
src_Clerical-Leader_205,src_Actor_353
src_Pastime_228,src_Emperor_116
src_Prince_57,src_Legislation_409
src_Military-Organisation_141,src_Discoverer_363
src_Relic_136,src_Commodity_42
src_Pamphlet_53,src_Settlement_360
src_Philosopher_67,src_Vehicle_315
src_Relic_188,src_Illness_459
src_Population-Movement_342,src_Functionary_85
src_Cleric_172,src_Meeting_71
src_Emperor_107,src_Settlement_457
src_Ritual_88,src_City_145
src_Technical-Scientific-Advance_426,src_Film-Maker_271
src_Sportsman_388,src_Ethnic-Group_319
src_Symbol_209,src_Social-Group_347
src_Conductor_83,src_Monastery_442
src_Settlement_219,src_Artistic-Style_263
src_Sculptor_272,src_War_476
src_Secular-Leader_138,src_Trade-Association_194
src_Crime_22,src_Uprising_86
src_National-Symbol_75,src_Social-Stratum_479
src_VicodiOI_196,src_Animal_479
src_Creator_370,src_Time_395
src_Social-Group_365,src_Population-Movement_278
src_Crime_36,src_Vehicle_10
src_Food_409,src_Person_495
src_Geographical-Feature_482,src_Time-Dependent-Relation_218
src_Location_243,src_Educational-Organisation_426
src_Person_250,src_League_261
src_Inventor_381,src_Election_497
src_Author_90,src_Individual_263
src_Flavour_124,src_Ecclesiarch_134
src_Economic-Enterprise_266,src_Geographical-Feature_342
src_Armament_226,src_Economic-Symbol_499
src_Politician_296,src_Badge_256
src_Pastime_96,src_Life-Event_376
src_Religious-Community_247,src_Relic_291
src_Period-in-Office_46,src_Individual_144
src_Object_430,src_Writing_112
src_Queen_424,src_International-Alliance_83
src_Economic-Symbol_427,src_Object_219
src_Disease_141,src_Dramaturge_220
src_Trades-Union_239,src_Artist_328
src_Military-Unit_65,src_Theologian_112
src_Religious-Symbol_230,src_Masonic-Lodge_176
src_Natural-Object_424,src_Religious-Practice_369
src_TemporalInterval_281,src_Disease_16
src_Author_342,src_Sultan_344
src_Time-Dependent_445,src_Religious-Movement_485
src_Composer_99,src_Animal_375
src_Animal_494,src_Diplomat_177
src_Journalist_74,src_Journal_451
src_National-Symbol_223,src_Cultural-Agreement_272
src_League_11,src_Composer_179
src_Newspaper_190,src_Scandal_452
src_Physician_10,src_Inventor_18
src_Treaty_147,src_Ship_432
src_Trades-Unionist_391,src_Philosopher_156
src_Minister_235,src_Architect_229
src_Journal_462,src_Author_109
src_Non-Military-Conflict_306,src_Artefact_379
src_Religious-Symbol_470,src_Abstract-Notion_200
src_Military-Person_283,src_Sportsman_493
src_Crime_284,src_Engineer_33
src_Party_85,src_Religious-Symbol_215
src_Structure_350,src_Treaty_118
src_Other-Religious-Leader_277,src_Jurist_91
src_Head-of-State_90,src_Public-Oration_73
src_Astronaut_488,src_Idea_241
src_Party_134,src_Abbey_288
src_Masonic-Lodge_44,src_Settlement_261
src_Psychologist_83,src_International-Organisation_283
src_Trial_407,src_Educational-Organisation_377
src_International-Alliance_28,src_Military-Unit_290
src_Secular-Ideology_365,src_Intellectual-Movement_287
src_Astronaut_26,src_Diplomat_4
src_Psychologist_355,src_Saint_98
src_Composer_235,src_Location-Part-Relation_116
src_Religious-Leader_231,src_Saint_25
src_Engineer_300,src_Artefact_103
src_Religious-Symbol_289,src_Category_323
src_Musician_225,src_Person-Role_139
src_Governmental-Organisation_313,src_Composer_149
src_Environment_157,src_Intellectual-Movement_225
src_Disease_329,src_Time_410
src_Geographical-Region_84,src_Cultural-Agreement_103
src_Professor_273,src_Artefact_50
src_Prince_359,src_Astronaut_47
src_Secular-Movement_31,src_Art-Form_474
src_Economic-Enterprise_468,src_Intra-State-Group_206
src_Philanthropist_227,src_Armament_417
src_Religious-Ideology_444,src_Economic-Enterprise_321
src_League_213,src_Piece-of-Music_153
src_Psychologist_78,src_Vehicle_262
src_Treaty_495,src_Geographical-Feature_46
src_Geographical-Discovery_123,src_Legislation_179
src_Painter_454,src_Location_350
src_Newspaper_305,src_Trade-Association_482
src_Dynasty_109,src_Field-of-Knowledge_315
src_Religious-Leader_298,src_Location-Part-Relation_7
src_Time-Dependent_291,src_Life-Event_195
src_Intra-State-Group_388,src_Political-Symbol_385
src_Intra-State-Group_152,src_Settlement_239
src_Publisher_437,src_Ship_416
src_Language_105,src_Ecclesiarch_339
src_Art-Form_122,src_Landmark_124
src_Location_421,src_Composer_427
src_War_436,src_Psychologist_164
src_Technical-Scientific-Advance_260,src_Monastery_21
src_Military-Unit_260,src_Work-of-Art_419
src_Population-Movement_268,src_Location_155
src_Saint_420,src_Religious-Order_126
src_Philosopher_435,src_Social-Stratum_1
src_Period_229,src_City_59
src_Social-Stratum_122,src_Trades-Unionist_253
src_Minister_174,src_Foreign-Minister_495
src_Architect_482,src_Language_405
src_Election_360,src_Other-Religious-Person_61
src_Village_39,src_Sportsman_348
src_Religious-Order_101,src_Minister_176
src_Educational-Organisation_270,src_Intra-State-Group_496
src_Armament_483,src_Cultural-Organisation_408
src_Dancer_196,src_Language_213
src_Population-Movement_492,src_Management-Organisation_385
src_Person_359,src_Economic-Process_32
src_Composer_404,src_International-Organisation_478
src_Monastery_405,src_Publisher_249
src_Uprising_488,src_Religious-Organisation_147
src_Geographical-Discovery_94,src_Landmark_160
src_Settlement_471,src_Vehicle_318
src_Religious-Community_240,src_Individual_35
src_Representative-Institution_393,src_Legislation_161
src_Journalist_314,src_Abstract-Notion_394
src_Head-of-Government_133,src_Scientist_250
src_Village_267,src_Painter_377
src_International-Organisation_145,src_Jurist_490
src_Artistic-Movement_297,src_Abbey_150
src_Food_190,src_Management-Organisation_318
src_Artefact_8,src_Inventor_479
src_Piece-of-Music_274,src_Religious-Order_368
src_Food_470,src_Cultural-Organisation_320
src_King_263,src_Cultural-Organisation_35
src_International-Organisation_219,src_Composer_262
src_Economic-Enterprise_95,src_Politician_242
src_Cultural-Organisation_432,src_Religious-Practice_176
src_Artistic-Movement_68,src_National-Symbol_360
src_League_382,src_Legislation_113
src_Magnate_198,src_Astronaut_466
src_Party_78,src_Clerical-Leader_60
src_Public-Oration_30,src_Head-of-State_110
src_National-Symbol_267,src_Pope_451
src_Food_435,src_Masonic-Lodge_406
src_Social-Stratum_16,src_VicodiOI_423
src_Painting_144,src_Inventor_47
src_Trade-Association_401,src_VicodiOI_314
src_Trial_182,src_Religious-Organisation_2
src_Art-Form_323,src_Cleric_395
src_Ethnic-Group_265,src_Dancer_42
src_Landmark_110,src_Artefact_475
src_Cleric_476,src_Period_19
src_Other-Religious-Leader_264,src_Sculpture_0
src_Scientist_395,src_Economic-Process_259
src_Philanthropist_253,src_Musician_56
src_Conductor_422,src_Pope_488
src_Time-Dependent_306,src_Religious-Practice_78
src_Party_121,src_Illness_108
src_Writing_20,src_Geographical-Region_280
src_Religious-Symbol_451,src_Religious-Movement_440
src_Trial_156,src_Sultan_13
src_Event_305,src_Time_497
src_Writing_390,src_Party_268
src_Journalist_494,src_Public-Oration_101
src_Actor_440,src_Scandal_67
src_Pollution_157,src_Language_427
src_Astronaut_33,src_Management-Organisation_229
src_Sportsman_24,src_Scientific-Instrument_382
src_Train_136,src_Ritual_296
src_Pamphlet_101,src_Scientist_177
src_Population-Movement_356,src_Party_435
src_Politician_441,src_Trial_49
src_City_79,src_Journal_71
src_Other-Religious-Person_6,src_Public-Oration_229
src_Philosopher_470,src_Organisation_42
src_Animal_346,src_Religious-Practice_404
src_Location_400,src_Time_195
src_Illness_16,src_Period-in-Office_146
src_Philosopher_168,src_Artefact_427
src_Natural-Object_39,src_Person-Role_59
src_Location-Part-Relation_45,src_Church-Reformer_379
src_Dramaturge_472,src_Cultural-Organisation_422
src_Jurist_493,src_Ethnic-Group_107
src_Idea_254,src_Relic_315
src_Cleric_265,src_League_459
src_Ecclesiarch_321,src_Religious-Leader_5
src_Dramaturge_332,src_Non-Military-Conflict_441
src_Badge_98,src_Cultural-Agreement_276
src_Non-Military-Conflict_357,src_Engineer_177
src_Journalist_466,src_Water_71
src_Church_332,src_Religious-Order_459
src_League_100,src_Category_462
src_Dynasty_9,src_Masonic-Lodge_301
src_Pollution_390,src_Clerical-Leader_145
src_Badge_310,src_Person_254
src_Scientist_24,src_Book_331
src_Battle_7,src_Military-Person_427
src_Church_494,src_Social-Group_303
src_Queen_446,src_Religious-Symbol_420
src_VicodiOI_4,src_Religious-Organisation_246
src_Relic_230,src_Military-Organisation_348
src_Discoverer_29,src_Engineer_187
src_Treaty_353,src_Water_248
src_Category_42,src_Economic-Symbol_85
src_Time_20,src_Technical-Scientific-Advance_35
src_Movement_5,src_Author_287
src_Ideology_95,src_Psychologist_5
src_Artist_53,src_Artefact_135
src_Church_295,src_Symbol_163
src_Sportsman_398,src_Religious-Ideology_450
src_Painter_157,src_Ship_133
src_Ideology_27,src_Monastery_21
src_Economist_326,src_Settlement_11
src_Water_306,src_Religious-Ideology_43
src_Pollution_467,src_Board_274
src_Religious-Community_147,src_Economic-Symbol_416
src_Life-Event_48,src_Election_324
src_Management-Organisation_126,src_Cathedral_7
src_Election_22,src_Food_3
src_Minister_324,src_Ideology_480
src_Clothing_115,src_Symbol_326
src_Social-Stratum_383,src_Natural-Object_6
src_Scandal_206,src_Social-Stratum_455
src_Abbey_236,src_Fictional-Person_381
src_Astronaut_157,src_King_301
src_Journal_137,src_Saint_269
src_Symbol_345,src_Stereotype-Group_244
src_Functionary_145,src_Armament_137
src_Religious-Ideology_50,src_Discoverer_367
src_International-Alliance_436,src_Illness_484
src_Religious-Ideology_480,src_Military-Organisation_428
src_Secular-Ideology_102,src_International-Organisation_43
src_Building_79,src_National-Symbol_460
src_Work-of-Art_123,src_Animal_177
src_Food_300,src_Period_14
src_Prince_153,src_Social-Stratum_413
src_Crime_371,src_Idea_344
src_Other-Religious-Person_483,src_Structure_386
src_Fictional-Person_82,src_Film-Maker_117
src_Economic-Symbol_377,src_Military-Organisation_78
src_Abstract-Notion_108,src_Economic-Enterprise_248
src_Treaty_151,src_Trades-Unionist_50
src_Professor_213,src_Educational-Organisation_427
src_Cathedral_373,src_Natural-Object_351
src_Economic-Organisation_438,src_Intellectual-Construct_16
src_Geographical-Feature_414,src_Country_60
src_Physician_195,src_Disaster_74
src_Geographical-Feature_71,src_Dramaturge_393
src_Secular-Ideology_478,src_Social-Stratum_464
src_Party_198,src_Crime_97
src_Religious-Organisation_79,src_Prince_13
src_Cleric_429,src_Public-Oration_352
src_Philosopher_231,src_Public-Oration_250
src_Military-Organisation_466,src_Trades-Union_369
src_Measurable-Trend_491,src_Location_268
src_Painting_318,src_Discoverer_129
src_Armament_20,src_TemporalInterval_466
src_Cultural-Organisation_55,src_League_197
src_Scientific-Instrument_310,src_Military-Person_86
src_Economic-Process_368,src_Astronaut_284
src_Clerical-Leader_498,src_Military-Unit_352
src_Organisation_254,src_Water_290
src_Piece-of-Music_414,src_Artistic-Style_81
src_Politician_38,src_Life-Event_5
src_Church-Reformer_282,src_Language_205
src_Ethnic-Group_108,src_Settlement_175
src_Religious-Leader_486,src_Newspaper_277
src_Religious-Ideology_115,src_Pastime_262
src_Cleric_136,src_Management-Organisation_137
src_City_367,src_Treaty_18
src_Emperor_124,src_Creator_146
src_Monastery_133,src_Professor_266
src_Governmental-Organisation_212,src_Period_241
src_Discoverer_242,src_Other-Religious-Person_255
src_Pope_327,src_Cathedral_25
src_Dynasty_358,src_Intellectual-Construct_438
src_Painting_180,src_Dynasty_173
src_Professor_81,src_Stereotype-Group_82
src_Stereotype-Group_242,src_Legislation_351
src_Economic-Enterprise_468,src_Management-Organisation_435
src_Cultural-Organisation_182,src_Military-Person_54
src_Meeting_20,src_Politician_208
src_Crime_230,src_Dramaturge_304
src_University_452,src_Economic-Enterprise_309
src_Religious-Practice_382,src_Religious-Organisation_136
src_Church_371,src_Artist_333
src_Country_46,src_Publisher_272
src_Astronaut_318,src_Art-Form_429
src_Journal_397,src_Time-Dependent_124
src_Entertainer_88,src_Abbey_334
src_Head-of-Government_225,src_Business-Leader_381
src_Newspaper_374,src_Sculpture_403
src_City_490,src_Composer_146
src_Language_494,src_Saint_204
src_Newspaper_274,src_Trades-Unionist_486
src_Technical-Scientific-Advance_381,src_Secular-Ideology_219
src_Entertainer_287,src_Jurist_199
src_Stereotype-Group_299,src_Secular-Ideology_226
src_Flavour_430,src_Population-Movement_468
src_City_299,src_Ethnic-Group_263
src_Time_224,src_Clothing_163
src_Role_438,src_Uprising_362
src_Philosopher_17,src_Political-Organisation_211
src_Queen_202,src_Clothing_2
src_Fictional-Person_182,src_Sculptor_350
src_Relic_220,src_Religious-Symbol_124
src_Role_344,src_Artefact_20
src_Political-Region_45,src_Building_369
src_Actor_344,src_Political-Symbol_159
src_Technical-Scientific-Advance_218,src_Ideology_204
src_Geographer_479,src_Legislation_464
src_Symbol_285,src_Social-Group_473
src_Head-of-Government_17,src_Social-Stratum_403
src_Dancer_256,src_Criminal_55
src_Geographical-Feature_435,src_Language_15
src_Time-Dependent-Relation_173,src_Author_466
src_Jurist_415,src_Journal_462
src_VicodiOI_251,src_Badge_154
src_Trade-Association_392,src_Sculpture_266
src_Disaster_397,src_University_109
src_Disease_284,src_Head-of-Government_113
src_Person-Role_107,src_Other-Religious-Person_400
src_Symbol_111,src_Sculpture_468
src_Emperor_94,src_Animal_10
src_Trades-Unionist_475,src_Fictional-Event_264
src_Dynasty_328,src_Object_411
src_King_156,src_Church-Reformer_39
src_Pope_167,src_Pollution_350
src_Architect_447,src_Creator_52
src_Social-Stratum_77,src_Political-Region_222
src_Sculptor_33,src_Philanthropist_247
src_Newspaper_26,src_Abstract-Notion_80
src_Individual_390,src_Illness_413
src_FuzzyTemporalInterval_115,src_Economist_43
src_Symbol_476,src_Book_273
src_Time-Dependent-Relation_330,src_Journal_287
src_Natural-Object_263,src_Leader_357
src_International-Alliance_149,src_Author_98
src_Monastery_219,src_Liturgical-Object_220
src_Fictional-Person_366,src_Emperor_117
src_Emperor_307,src_Technical-Scientific-Advance_405
src_Period-in-Office_42,src_Abbey_379
src_Trade-Association_402,src_Book_334
