src_Intra-State-Group_3,src_Religious-Order_22
src_Movement_213,src_Artistic-Movement_28
src_Secular-Leader_406,src_Secular-Movement_296
src_International-Alliance_498,src_Actor_342
src_Psychologist_195,src_Theologian_402
src_Sculpture_174,src_Sportsman_81
src_Trade-Association_321,src_Governmental-Organisation_31
src_Dancer_57,src_Piece-of-Music_319
src_Educational-Organisation_281,src_Management-Organisation_24
src_Country_336,src_Composer_431
src_Event_193,src_Artefact_222
src_Train_157,src_Social-Group_440
src_Food_471,src_Work-of-Art_492
src_Diplomat_480,src_Dancer_112
src_Structure_204,src_Book_109
src_Geographical-Feature_302,src_Educational-Organisation_317
src_Fictional-Event_283,src_Ritual_378
src_Sultan_287,src_Economic-Symbol_430
src_Movement_49,src_Cultural-Agreement_453
src_Head-of-Government_488,src_Leader_14
src_Time-Dependent_249,src_Trades-Unionist_86
src_Dancer_371,src_Field-of-Knowledge_160
src_Trade-Association_83,src_Journal_442
src_Artist_336,src_Symbol_369
src_Artistic-Style_426,src_Geographer_387
src_Philosopher_424,src_Philosopher_113
src_Engineer_444,src_Technical-Scientific-Advance_337
src_Cleric_232,src_Newspaper_86
src_Idea_202,src_Food_455
src_Battle_131,src_Film-Maker_259
src_FuzzyTemporalInterval_426,src_Actor_445
src_Religious-Order_461,src_Clerical-Leader_257
src_Population-Movement_314,src_Meeting_187
src_Cleric_408,src_Educational-Organisation_316
src_Writing_28,src_Prince_273
src_Food_419,src_Sultan_219
src_Religious-Practice_105,src_Treaty_393
src_FuzzyTemporalInterval_353,src_Economic-Organisation_331
src_Economist_364,src_Secular-Ideology_39
src_Uprising_456,src_Conceptual-Object_308
src_University_103,src_Secular-Leader_35
src_Trial_8,src_Movement_55
src_Professor_25,src_Psychologist_13
src_Symbol_339,src_Social-Stratum_272
src_International-Organisation_304,src_Armament_432
src_Economic-Enterprise_180,src_Language_338
src_Party_50,src_Geographical-Feature_144
src_Individual_205,src_Abbey_5
src_Artist_472,src_Treaty_23
src_Actor_335,src_Movement_247
src_Pollution_153,src_Other-Religious-Person_106
src_Crime_190,src_Physician_287
src_Fictional-Person_153,src_Ethnic-Group_169
src_FuzzyTemporalInterval_224,src_Architect_246
src_Leader_32,src_Movement_470
src_VicodiOI_236,src_Ship_142
src_Film-Maker_209,src_University_158
src_Environment_149,src_Conceptual-Object_90
src_Pollution_98,src_Clerical-Leader_48
src_Organisation_422,src_Geographical-Discovery_451
src_Geographical-Feature_192,src_Event_199
src_Economic-Enterprise_37,src_Secular-Movement_213
src_Other-Religious-Leader_117,src_Population-Movement_456
src_Ideology_98,src_Educational-Organisation_318
src_Person-Role_104,src_Social-Stratum_373
src_Journal_314,src_Village_481
src_Pamphlet_32,src_Artist_190
src_Social-Stratum_146,src_Secular-Leader_292
src_Entertainer_186,src_Work-of-Art_415
src_Piece-of-Music_219,src_Trades-Union_126
src_Party_54,src_Astronaut_284
src_Organisation_93,src_Economic-Symbol_429
src_Politician_3,src_International-Organisation_7
src_Party_190,src_Religious-Symbol_424
src_Stereotype-Group_277,src_Village_357
src_Masonic-Lodge_86,src_Writing_65
src_Publisher_187,src_Representative-Institution_113
src_Sportsman_154,src_Secular-Leader_116
src_Religious-Movement_219,src_Environment_106
src_Location-Part-Relation_39,src_Inventor_114
src_Water_90,src_War_109
src_Fictional-Event_253,src_Cathedral_79
src_Religious-Ideology_291,src_Composer_160
src_Conceptual-Object_127,src_Clothing_72
src_Animal_283,src_Scientific-Instrument_16
src_Election_163,src_Religious-Organisation_233
src_Badge_43,src_Emperor_59
src_Settlement_251,src_Representative-Institution_139
src_Time-Dependent-Relation_163,src_Secular-Leader_266
src_Pope_448,src_Discoverer_275
src_Ideology_430,src_Secular-Ideology_468
src_National-Symbol_19,src_Country_352
src_Minister_313,src_Ship_0
src_Train_408,src_Meeting_80
src_Location-Part-Relation_175,src_Secular-Movement_307
src_Journal_89,src_Prince_267
src_Trade-Association_416,src_Politician_459
src_Representative-Institution_98,src_Scandal_322
src_Theologian_179,src_Clerical-Leader_36
src_Environment_396,src_Election_161
src_Location_250,src_Country_86
src_Stereotype-Group_483,src_Idea_321
src_Economic-Process_414,src_Symbol_289
src_Dynasty_345,src_Crime_146
src_Abstract-Notion_217,src_Church_275
src_Sportsman_479,src_Location-Part-Relation_221
src_Cultural-Organisation_182,src_Jurist_441
src_Masonic-Lodge_256,src_Newspaper_495
src_Intra-State-Group_325,src_Individual_150
src_Religious-Community_451,src_Military-Unit_244
src_International-Alliance_30,src_Other-Religious-Leader_462
src_Uprising_372,src_Ecclesiarch_428
src_Uprising_111,src_Location-Part-Relation_75
src_Church_171,src_Landmark_336
src_Sportsman_67,src_Time-Dependent-Relation_211
src_Water_481,src_Scandal_430
src_Illness_415,src_FuzzyTemporalInterval_327
src_Governmental-Organisation_252,src_Other-Religious-Leader_96
src_Idea_313,src_Business-Leader_129
src_Technical-Scientific-Advance_312,src_Philosopher_25
src_Business-Leader_250,src_Cleric_350
src_Magnate_498,src_Pope_200
src_Ethnic-Group_69,src_Trial_277
src_Person_98,src_Representative-Institution_10
src_Other-Religious-Person_300,src_Economic-Symbol_194
src_Measurable-Trend_30,src_Inventor_371
src_Author_51,src_Idea_154
src_Theologian_427,src_Diplomat_141
src_Population-Movement_190,src_Monastery_385
src_Jurist_376,src_Other-Religious-Leader_343
src_Environment_281,src_Leader_107
src_Measurable-Trend_464,src_Natural-Object_395
src_Sculptor_255,src_War_46
src_Crime_470,src_International-Alliance_232
src_Event_445,src_Disease_491
src_Category_316,src_Sculpture_456
src_Flavour_242,src_Public-Oration_204
src_Economic-Symbol_362,src_Water_55
src_League_219,src_Time-Dependent-Relation_326
src_Location_141,src_Legislation_77
src_Management-Organisation_317,src_Treaty_160
src_Journalist_202,src_Train_19
src_VicodiOI_347,src_Party_177
src_Disaster_235,src_Conceptual-Object_254
src_Functionary_135,src_Cultural-Organisation_42
src_Battle_162,src_Ecclesiarch_310
src_Ideology_310,src_Art-Form_198
src_Religious-Leader_399,src_Geographical-Discovery_40
src_Journal_62,src_Secular-Ideology_335
src_Newspaper_224,src_Role_304
src_Vehicle_185,src_Minister_195
src_Newspaper_312,src_Masonic-Lodge_499
src_Writing_397,src_Business-Leader_87
src_Illness_274,src_Scandal_390
src_Actor_239,src_Social-Group_414
src_Educational-Organisation_164,src_Church-Reformer_192
src_Saint_77,src_Monastery_180
src_Period_31,src_Settlement_431
src_Clerical-Leader_154,src_Business-Leader_47
src_Representative-Institution_151,src_Jurist_300
src_Disease_139,src_Monastery_40
src_Geographical-Discovery_157,src_Political-Region_113
src_Abstract-Notion_229,src_Measurable-Trend_282
src_Head-of-Government_282,src_Economic-Enterprise_38
src_Book_192,src_Location_474
src_Idea_115,src_Commodity_236
src_Ritual_319,src_Movement_13
src_Social-Stratum_449,src_Vehicle_431
src_Flavour_418,src_Religious-Community_369
src_Individual_331,src_Fictional-Event_205
src_Trades-Union_221,src_Artist_275
src_Category_488,src_Diplomat_28
src_National-Symbol_428,src_Church-Reformer_182
src_Geographical-Region_32,src_Architect_235
src_Religious-Movement_311,src_Event_354
src_Foreign-Minister_144,src_Political-Symbol_433
src_Philanthropist_29,src_Professor_197
src_Magnate_400,src_Country_128
src_Leader_135,src_Economic-Process_385
src_Organisation_391,src_Clerical-Leader_359
src_Secular-Ideology_408,src_Theologian_431
src_Measurable-Trend_478,src_Criminal_360
src_Creator_235,src_Commodity_201
src_Time-Dependent_158,src_Management-Organisation_434
src_Religious-Symbol_106,src_Painting_21
src_Leader_405,src_Discoverer_220
src_Legislation_47,src_Church-Reformer_411
src_Movement_297,src_Painting_315
src_Person_286,src_Minister_50
src_Religious-Practice_438,src_Language_368
src_Disease_283,src_National-Symbol_51
src_Population-Movement_110,src_Economic-Enterprise_287
src_Board_34,src_Queen_240
src_Journal_304,src_Magnate_364
src_Writing_432,src_FuzzyTemporalInterval_450
src_Geographical-Discovery_475,src_Religious-Order_357
src_Trades-Unionist_454,src_Criminal_479
src_Flavour_135,src_Geographer_277
src_Inventor_351,src_TemporalInterval_184
src_Pope_84,src_Religious-Order_22
src_Political-Symbol_364,src_Dramaturge_167
src_Creator_327,src_Abstract-Notion_131
src_Religious-Community_471,src_Individual_237
src_Diplomat_354,src_Ecclesiarch_419
src_Sculpture_190,src_Functionary_161
src_Secular-Ideology_20,src_Economist_240
src_Location_14,src_Train_443
src_Field-of-Knowledge_192,src_Time-Dependent_436
src_Landmark_366,src_FuzzyTemporalInterval_313
src_Artistic-Style_265,src_Pope_467
src_Economic-Organisation_143,src_Inventor_377
src_Country_485,src_Water_162
src_Religious-Practice_484,src_Philosopher_36
src_Religious-Ideology_195,src_Architect_405
src_Geographical-Discovery_209,src_Queen_92
src_Queen_239,src_Work-of-Art_290
src_Cleric_157,src_Physician_191
src_VicodiOI_430,src_Sportsman_19
src_Population-Movement_309,src_Disease_317
src_Secular-Movement_116,src_Economic-Enterprise_99
src_Trade-Association_308,src_Organisation_161
src_Sportsman_32,src_Foreign-Minister_228
src_Board_363,src_Cultural-Organisation_180
src_Ecclesiarch_163,src_Pollution_78
src_Minister_180,src_Geographical-Region_96
src_Magnate_446,src_Field-of-Knowledge_443
src_Pope_137,src_Relic_134
src_Trades-Unionist_175,src_Saint_92
src_Artist_488,src_Trial_260
src_Meeting_377,src_Stereotype-Group_410
src_University_141,src_Artistic-Style_479
src_Piece-of-Music_14,src_Non-Military-Conflict_217
src_Architect_8,src_Criminal_461
src_Representative-Institution_462,src_Functionary_222
src_Armament_182,src_Criminal_303
src_City_362,src_Art-Form_167
src_Secular-Ideology_114,src_Animal_424
src_Art-Form_351,src_Fictional-Person_481
src_Uprising_343,src_Ship_284
src_Religious-Movement_271,src_King_468
src_Illness_337,src_Time_429
src_Intellectual-Movement_308,src_Book_482
src_Pamphlet_297,src_Professor_209
src_Person_450,src_Animal_462
src_VicodiOI_162,src_Architect_42
src_War_39,src_Pope_222
src_Period_44,src_Relic_87
src_Pastime_366,src_Sportsman_305
src_Representative-Institution_227,src_Art-Form_261
src_Cathedral_6,src_Meeting_222
src_Political-Region_42,src_Social-Stratum_323
src_Stereotype-Group_485,src_Emperor_111
src_Legislation_61,src_Business-Leader_261
src_League_456,src_Creator_230
src_International-Alliance_173,src_Journalist_18
src_Sculptor_295,src_Symbol_330
src_Inventor_165,src_Population-Movement_405
src_Magnate_179,src_Flavour_210
src_Economic-Organisation_129,src_Author_418
src_Natural-Object_317,src_Water_168
src_Economic-Enterprise_459,src_Role_293
src_Scientist_26,src_Uprising_107
src_Masonic-Lodge_158,src_Clothing_186
src_Life-Event_242,src_Field-of-Knowledge_437
src_Educational-Organisation_24,src_Abstract-Notion_44
src_Military-Unit_19,src_Magnate_42
src_Leader_481,src_Newspaper_6
src_Population-Movement_409,src_Liturgical-Object_391
src_Creator_388,src_Ideology_52
src_Conceptual-Object_333,src_Economic-Organisation_367
src_Field-of-Knowledge_102,src_Vehicle_326
src_Period-in-Office_72,src_Religious-Movement_416
src_Pope_7,src_Train_74
src_Population-Movement_402,src_Uprising_430
src_Journal_306,src_Economic-Organisation_366
src_Economist_237,src_Sultan_438
src_Other-Religious-Person_479,src_Criminal_419
src_Vehicle_121,src_Piece-of-Music_192
src_Idea_314,src_Church-Reformer_163
src_Religious-Organisation_295,src_Book_306
src_Sultan_175,src_Non-Military-Conflict_388
src_Film-Maker_368,src_Trade-Association_362
src_Symbol_138,src_Geographical-Feature_190
src_Building_477,src_Stereotype-Group_127
src_City_225,src_Scientist_173
src_Geographical-Feature_478,src_Stereotype-Group_228
src_Disaster_82,src_Professor_292
src_Field-of-Knowledge_169,src_Astronaut_238
src_City_220,src_National-Symbol_310
src_Minister_30,src_Secular-Leader_250
src_Governmental-Organisation_51,src_Economic-Symbol_280
src_Journalist_310,src_Disaster_33
src_Emperor_198,src_Cleric_164
src_Religious-Community_417,src_Trades-Union_413
src_International-Alliance_209,src_Film-Maker_387
src_Politician_41,src_Pope_190
src_Religious-Order_57,src_Church_171
src_Ecclesiarch_306,src_Battle_338
src_FuzzyTemporalInterval_185,src_VicodiOI_481
src_Prince_274,src_Water_219
src_Battle_109,src_Life-Event_208
src_Clothing_192,src_Legislation_253
src_Geographical-Discovery_208,src_Animal_400
src_Landmark_143,src_Pastime_157
src_Trades-Union_431,src_Liturgical-Object_391
src_Intellectual-Construct_202,src_National-Symbol_6
src_Artist_206,src_Discoverer_203
src_Inventor_299,src_Object_411
src_Trades-Unionist_275,src_Scandal_462
src_Clothing_1,src_Building_131
src_Period-in-Office_455,src_Professor_124
src_Other-Religious-Leader_283,src_Religious-Movement_354
src_Cathedral_334,src_Painting_256
src_Dynasty_333,src_Painter_186
src_Professor_152,src_Vehicle_78
src_Psychologist_372,src_Geographical-Region_324
src_Economic-Enterprise_475,src_Party_461
src_Head-of-Government_343,src_Flavour_150
src_Role_481,src_Social-Group_262
src_Masonic-Lodge_334,src_Author_83
src_Scientific-Instrument_121,src_Painter_191
src_Disaster_311,src_Cultural-Organisation_63
src_Board_287,src_Language_305
src_Sultan_237,src_Liturgical-Object_166
src_Role_70,src_Symbol_22
src_War_94,src_Church_340
src_Dancer_287,src_Ecclesiarch_227
src_Relic_210,src_Trades-Unionist_263
src_Cultural-Agreement_317,src_Armament_487
src_Clothing_380,src_Animal_439
src_Technical-Scientific-Advance_45,src_Pope_301
src_Technical-Scientific-Advance_178,src_Creator_184
src_Trades-Unionist_104,src_Economic-Symbol_121
src_Author_43,src_Person-Role_64
src_Clerical-Leader_13,src_Trades-Unionist_407
src_Illness_149,src_War_450
src_King_150,src_Queen_325
src_Artefact_57,src_Commodity_355
src_Head-of-Government_91,src_Functionary_41
src_Military-Unit_87,src_Ritual_272
src_Object_221,src_Location_149
src_Armament_356,src_Artistic-Movement_57
src_Creator_146,src_Dramaturge_81
src_Governmental-Organisation_438,src_Relic_300
src_Religious-Order_331,src_Role_0
src_Actor_464,src_Pamphlet_147
src_National-Symbol_184,src_Painter_62
src_Foreign-Minister_417,src_Journal_489
src_Idea_420,src_Period_114
src_Social-Stratum_383,src_Sculptor_117
src_Clerical-Leader_315,src_Leader_33
src_Geographical-Discovery_185,src_Political-Region_33
src_Dancer_217,src_Pastime_33
src_Politician_231,src_Relic_219
src_Pamphlet_158,src_Dramaturge_231
src_Economist_414,src_Intellectual-Construct_383
src_Event_126,src_Country_385
src_Symbol_311,src_Measurable-Trend_467
src_Legislation_448,src_Ecclesiarch_404
src_Trial_134,src_FuzzyTemporalInterval_345
src_Field-of-Knowledge_100,src_Food_299
src_Intellectual-Movement_137,src_Armament_260
src_Saint_114,src_Disease_397
src_Military-Organisation_40,src_Governmental-Organisation_26
src_Military-Person_426,src_Religious-Ideology_98
src_Disaster_288,src_Social-Stratum_223
src_Piece-of-Music_36,src_Military-Organisation_330
src_Astronaut_130,src_Political-Organisation_448
src_Intellectual-Construct_363,src_Sportsman_488
src_Theologian_358,src_Trades-Union_464
src_Representative-Institution_408,src_Church-Reformer_419
src_International-Organisation_370,src_Scientific-Instrument_254
src_Intellectual-Construct_53,src_Treaty_128
src_Treaty_422,src_Architect_333
src_Engineer_100,src_Economic-Organisation_82
src_International-Organisation_183,src_Religious-Symbol_282
src_Country_231,src_Book_132
src_Crime_370,src_Non-Military-Conflict_57
src_Sculptor_259,src_International-Organisation_374
src_Representative-Institution_440,src_Philosopher_67
src_Sportsman_127,src_Business-Leader_24
src_Religious-Order_425,src_Cleric_280
src_Abstract-Notion_16,src_Religious-Community_293
src_Masonic-Lodge_171,src_Political-Region_447
src_Religious-Order_104,src_Theologian_256
src_Armament_97,src_Geographical-Feature_317
src_Head-of-State_188,src_Movement_458
src_Inventor_298,src_Physician_29
src_Category_211,src_Ship_93
src_Economic-Organisation_341,src_Writing_154
src_Engineer_43,src_Representative-Institution_234
src_Art-Form_189,src_Cathedral_103
src_Monastery_281,src_National-Symbol_151
src_Leader_276,src_Commodity_349
src_Period_250,src_Social-Stratum_394
src_Location_333,src_Dynasty_144
src_Religious-Leader_230,src_Military-Organisation_416
src_Battle_31,src_Party_70
src_Book_254,src_Category_274
src_Painter_409,src_Sculpture_442
src_Liturgical-Object_163,src_Religious-Organisation_286
src_Economic-Enterprise_357,src_Engineer_174
src_Idea_123,src_Physician_42
src_Politician_287,src_Cleric_472
src_Intellectual-Construct_212,src_Leader_196
src_Disease_366,src_Head-of-State_368
src_Idea_440,src_Musician_480
src_Clothing_315,src_FuzzyTemporalInterval_480
src_Stereotype-Group_61,src_Party_465
src_Religious-Order_18,src_Philanthropist_390
src_Saint_317,src_TemporalInterval_271
src_Intra-State-Group_202,src_Artistic-Movement_461
src_Idea_357,src_Sportsman_354
src_League_350,src_Village_128
src_Business-Leader_438,src_Disaster_329
src_Symbol_199,src_Geographical-Discovery_125
src_Pope_469,src_Astronaut_139
src_Economic-Enterprise_78,src_Individual_223
src_Engineer_244,src_Governmental-Organisation_381
src_Environment_301,src_Political-Region_336
src_Armament_24,src_Landmark_49
src_Ethnic-Group_247,src_Period_382
src_FuzzyTemporalInterval_248,src_International-Organisation_132
src_Board_354,src_Idea_453
src_Landmark_436,src_Relic_213
src_Writing_61,src_Trial_395
src_Idea_81,src_Secular-Leader_123
src_Settlement_396,src_Artistic-Style_347
src_Composer_305,src_Other-Religious-Leader_334
src_Religious-Order_281,src_Physician_407
src_Ideology_182,src_Geographical-Region_182
src_Professor_94,src_Clothing_316
src_Writing_321,src_Religious-Leader_54
src_Clothing_168,src_Settlement_72
src_Conceptual-Object_312,src_Representative-Institution_294
src_Economist_55,src_Role_175
src_Social-Group_18,src_Language_164
src_Time-Dependent_436,src_Board_81
src_Landmark_435,src_Art-Form_22
src_Other-Religious-Person_353,src_Disease_271
src_Theologian_398,src_Educational-Organisation_498
src_Ecclesiarch_497,src_Symbol_185
src_Intellectual-Movement_333,src_Social-Stratum_161
src_Church-Reformer_6,src_Population-Movement_488
src_Management-Organisation_349,src_Political-Region_372
src_Head-of-Government_145,src_Church_437
src_Disaster_188,src_Discoverer_9
src_Social-Group_250,src_Pamphlet_112
src_Head-of-Government_416,src_Religious-Order_451
src_Prince_462,src_War_85
src_Management-Organisation_271,src_Technical-Scientific-Advance_465
src_Public-Oration_382,src_Cleric_375
src_Religious-Symbol_430,src_Geographical-Region_34
src_Election_18,src_Governmental-Organisation_55
src_Battle_408,src_University_187
src_Jurist_361,src_VicodiOI_252
src_Other-Religious-Leader_38,src_Economist_142
src_Badge_25,src_Election_474
src_Time_442,src_Economist_161
src_Piece-of-Music_289,src_Ritual_358
src_Pope_415,src_Dramaturge_485
src_Non-Military-Conflict_357,src_Flavour_499
src_Religious-Leader_52,src_Emperor_171
src_Disease_246,src_Politician_0
src_Astronaut_226,src_Relic_26
src_Musician_76,src_International-Alliance_299
src_Life-Event_448,src_Military-Person_218
src_Clerical-Leader_225,src_Abbey_250
src_Trades-Union_50,src_City_397
src_Geographical-Feature_73,src_Sculptor_81
src_Secular-Leader_228,src_Military-Unit_461
src_Magnate_414,src_Time-Dependent_418
src_Trade-Association_301,src_Religious-Community_436
src_Military-Person_310,src_Country_192
src_Geographical-Discovery_163,src_Business-Leader_231
src_Religious-Symbol_461,src_Secular-Leader_328
src_Engineer_407,src_Cultural-Agreement_375
src_Economic-Organisation_18,src_Meeting_74
src_Piece-of-Music_107,src_Social-Group_466
src_Country_375,src_Individual_443
