src_Scientist_373,src_Disease_115
src_Clerical-Leader_76,src_Scientist_388
src_Religious-Movement_182,src_Category_416
src_Actor_40,src_Disease_405
src_Foreign-Minister_77,src_Inventor_82
src_Church-Reformer_345,src_Animal_386
src_FuzzyTemporalInterval_209,src_Work-of-Art_253
src_Natural-Object_24,src_Social-Group_416
src_Professor_376,src_Cultural-Agreement_472
src_Ethnic-Group_3,src_Professor_451
src_Head-of-State_188,src_Theologian_53
src_Relic_61,src_Secular-Leader_51
src_Geographical-Region_18,src_Scandal_285
src_Magnate_440,src_Educational-Organisation_189
src_Writing_376,src_Writing_282
src_Idea_368,src_Uprising_151
src_Category_205,src_Geographical-Feature_317
src_Idea_46,src_Economic-Organisation_31
src_International-Organisation_297,src_Population-Movement_56
src_International-Alliance_464,src_Queen_448
src_Other-Religious-Person_256,src_Military-Person_176
src_Piece-of-Music_262,src_City_308
src_Ecclesiarch_101,src_Head-of-State_487
src_Journalist_268,src_Population-Movement_323
src_Religious-Community_140,src_Military-Organisation_387
src_Person_331,src_Ethnic-Group_290
src_Stereotype-Group_219,src_Representative-Institution_405
src_Religious-Community_394,src_Religious-Leader_96
src_Secular-Movement_262,src_Election_11
src_Geographical-Discovery_375,src_International-Organisation_300
src_Animal_168,src_Economist_402
src_Magnate_312,src_Trial_39
src_Monastery_483,src_Role_151
src_Event_178,src_Conductor_34
src_Landmark_155,src_Public-Oration_1
src_Animal_141,src_Cathedral_106
src_Sultan_313,src_Food_61
src_Symbol_215,src_Clerical-Leader_339
src_Trade-Association_384,src_Vehicle_296
src_Ritual_4,src_Vehicle_161
src_Stereotype-Group_87,src_Election_353
src_Geographical-Feature_421,src_Psychologist_37
src_Secular-Ideology_340,src_Scandal_188
src_University_115,src_Animal_124
src_Publisher_293,src_Sculpture_499
src_Person_310,src_Period-in-Office_58
src_Period-in-Office_306,src_Water_176
src_Political-Region_264,src_Period_292
src_Trades-Union_475,src_Economic-Symbol_472
src_Monastery_425,src_Queen_402
src_Sculpture_320,src_Landmark_1
src_Natural-Object_207,src_Intellectual-Construct_269
src_Party_293,src_Ethnic-Group_52
src_Pastime_329,src_Geographical-Feature_177
src_Politician_466,src_Vehicle_327
src_Time_389,src_Movement_300
src_Pollution_129,src_Composer_216
src_Sculpture_483,src_Relic_65
src_Emperor_204,src_Social-Group_444
src_Movement_161,src_Political-Organisation_413
src_Governmental-Organisation_486,src_Crime_181
src_Environment_407,src_Piece-of-Music_441
src_Economic-Symbol_371,src_Fictional-Person_372
src_Battle_162,src_Magnate_25
src_Period-in-Office_202,src_Pamphlet_247
src_Cultural-Agreement_462,src_Painting_381
src_Inventor_420,src_Economic-Symbol_154
src_Engineer_229,src_Sculpture_368
src_Structure_256,src_Representative-Institution_25
src_Abstract-Notion_487,src_Diplomat_52
src_Board_178,src_Representative-Institution_221
src_Artefact_38,src_Illness_15
src_Cultural-Agreement_465,src_Representative-Institution_450
src_Population-Movement_26,src_Magnate_312
src_Clerical-Leader_355,src_War_223
src_Ritual_88,src_Film-Maker_34
src_Jurist_138,src_Emperor_133
src_Treaty_167,src_Leader_119
src_Sportsman_170,src_Military-Person_386
src_Animal_19,src_Foreign-Minister_154
src_Author_371,src_Field-of-Knowledge_431
src_Religious-Practice_67,src_Time-Dependent_377
src_Geographer_34,src_Liturgical-Object_390
src_Creator_132,src_Newspaper_443
src_Life-Event_429,src_Economic-Symbol_349
src_Fictional-Event_291,src_Conceptual-Object_395
src_Meeting_377,src_Conductor_404
src_Time-Dependent-Relation_352,src_Symbol_262
src_Astronaut_284,src_Religious-Symbol_310
src_Flavour_61,src_Abstract-Notion_136
src_Discoverer_173,src_Magnate_100
src_Monastery_387,src_Trades-Union_447
src_Geographical-Feature_44,src_Scandal_0
src_Intellectual-Construct_141,src_Sculpture_466
src_Leader_84,src_Governmental-Organisation_198
src_Composer_426,src_Saint_235
src_Intellectual-Movement_452,src_Church-Reformer_438
src_Symbol_469,src_Film-Maker_161
src_Sculptor_67,src_Geographer_240
src_Religious-Symbol_144,src_Artistic-Style_246
src_Functionary_457,src_Religious-Leader_374
src_Badge_202,src_Crime_449
src_Period_382,src_Church_265
src_Conceptual-Object_435,src_Painter_65
src_Ecclesiarch_242,src_Flavour_464
src_Film-Maker_429,src_Economic-Enterprise_144
src_Technical-Scientific-Advance_249,src_Flavour_467
src_Head-of-State_159,src_Ship_172
src_Object_178,src_Armament_404
src_Stereotype-Group_143,src_University_97
src_Pamphlet_25,src_Intellectual-Movement_445
src_Physician_205,src_Armament_400
src_Ethnic-Group_451,src_Role_423
src_Natural-Object_95,src_Musician_461
src_Trades-Unionist_50,src_Social-Group_492
src_Military-Organisation_340,src_Village_257
src_Uprising_467,src_Ethnic-Group_102
src_Artist_443,src_Prince_328
src_Time-Dependent_106,src_Head-of-Government_365
src_Geographer_150,src_Astronaut_20
src_Dynasty_338,src_Geographical-Region_328
src_Business-Leader_146,src_Geographical-Discovery_388
src_Inventor_359,src_Discoverer_436
src_Food_435,src_Saint_261
src_Military-Person_293,src_Location-Part-Relation_71
src_Cultural-Organisation_226,src_Board_200
src_Journal_457,src_Geographical-Feature_233
src_Abbey_436,src_Food_169
src_Sculpture_496,src_Military-Person_78
src_Actor_54,src_Badge_109
src_Illness_452,src_Pope_50
src_Queen_212,src_Intra-State-Group_429
src_Economic-Symbol_460,src_Scientist_403
src_Head-of-State_496,src_Military-Person_36
src_Entertainer_57,src_Disaster_431
src_Prince_310,src_Uprising_452
src_Magnate_73,src_Clerical-Leader_370
src_Creator_439,src_Diplomat_356
src_Geographical-Region_461,src_Artistic-Style_155
src_Badge_288,src_Object_351
src_Religious-Symbol_192,src_Pope_391
src_Author_225,src_Jurist_403
src_Public-Oration_475,src_Other-Religious-Person_356
src_Governmental-Organisation_204,src_Military-Unit_119
src_Theologian_496,src_Film-Maker_336
src_National-Symbol_5,src_Person-Role_193
src_Dynasty_157,src_Representative-Institution_150
src_National-Symbol_298,src_Water_24
src_Non-Military-Conflict_292,src_University_307
src_Political-Region_438,src_Engineer_51
src_Structure_254,src_Creator_450
src_Book_55,src_Time-Dependent_239
src_Secular-Leader_90,src_Settlement_271
src_Ideology_421,src_Secular-Movement_340
src_Cleric_41,src_Governmental-Organisation_332
src_International-Alliance_274,src_Clothing_252
src_Movement_93,src_Ecclesiarch_74
src_Non-Military-Conflict_313,src_Time_278
src_Uprising_151,src_Sculptor_133
src_Journal_125,src_Symbol_256
src_Ship_303,src_Measurable-Trend_243
src_Uprising_353,src_Masonic-Lodge_30
src_War_336,src_Event_397
src_King_160,src_Dynasty_336
src_Trade-Association_238,src_Management-Organisation_45
src_Newspaper_64,src_Water_234
src_Minister_2,src_Time-Dependent-Relation_288
src_Technical-Scientific-Advance_180,src_Environment_411
src_Location-Part-Relation_270,src_Trades-Union_401
src_Social-Group_411,src_Artefact_217
src_Ecclesiarch_87,src_National-Symbol_432
src_Other-Religious-Person_68,src_Political-Organisation_422
src_Ecclesiarch_368,src_Political-Organisation_203
src_Church_258,src_Period_238
src_Foreign-Minister_346,src_Symbol_428
src_Trial_31,src_Religious-Order_274
src_League_288,src_War_492
src_Magnate_166,src_Meeting_102
src_Commodity_310,src_Discoverer_357
src_Time-Dependent-Relation_398,src_Scientific-Instrument_143
src_Discoverer_359,src_Musician_161
src_King_43,src_Trade-Association_382
src_Scandal_333,src_Geographer_212
src_Animal_378,src_Entertainer_34
src_Board_437,src_Intellectual-Construct_106
src_Newspaper_174,src_Governmental-Organisation_229
src_Magnate_264,src_Social-Group_465
src_Intellectual-Movement_87,src_Commodity_396
src_Time-Dependent-Relation_95,src_Movement_394
src_Military-Unit_115,src_Structure_305
src_Philosopher_376,src_Relic_189
src_Jurist_25,src_Fictional-Person_396
src_Journalist_388,src_Social-Group_360
src_Criminal_80,src_Ritual_395
src_Social-Group_355,src_Trades-Union_276
src_Theologian_310,src_Water_367
src_Scandal_479,src_Trades-Union_87
src_Pastime_367,src_Governmental-Organisation_101
src_Economic-Enterprise_102,src_Political-Region_222
src_League_388,src_Dancer_486
src_City_34,src_Dramaturge_264
src_Dynasty_418,src_Settlement_150
src_Meeting_112,src_Religious-Symbol_273
src_Business-Leader_187,src_Religious-Ideology_118
src_Journal_368,src_Actor_476
src_Creator_53,src_Artistic-Style_393
src_Food_389,src_Church-Reformer_84
src_Badge_176,src_Work-of-Art_306
src_Political-Organisation_447,src_Monastery_226
src_Political-Region_190,src_Monastery_359
src_Leader_218,src_Publisher_289
src_Village_218,src_Relic_295
src_Emperor_77,src_University_428
src_Vehicle_87,src_Population-Movement_397
src_Life-Event_54,src_Pope_403
src_Trades-Union_471,src_Secular-Leader_370
src_Party_454,src_Natural-Object_193
src_Discoverer_207,src_Building_479
src_Ritual_139,src_Functionary_83
src_Measurable-Trend_127,src_Artist_404
src_Legislation_123,src_Saint_487
src_Environment_368,src_Artistic-Style_249
src_King_172,src_Illness_458
src_Election_323,src_Religious-Order_468
src_Saint_344,src_Philosopher_430
src_Religious-Practice_188,src_Author_184
src_Water_363,src_Settlement_256
src_Church_402,src_Food_207
src_Painting_2,src_Psychologist_154
src_War_184,src_International-Alliance_369
src_Secular-Ideology_0,src_War_241
src_Dramaturge_143,src_Board_166
src_Geographical-Region_388,src_Period-in-Office_180
src_Vehicle_340,src_Military-Person_336
src_Masonic-Lodge_196,src_Cultural-Agreement_263
src_Non-Military-Conflict_132,src_Church_2
src_Non-Military-Conflict_221,src_Prince_424
src_Philanthropist_95,src_Pope_353
src_Crime_94,src_Economic-Enterprise_253
src_Non-Military-Conflict_223,src_Military-Unit_434
src_Geographical-Discovery_108,src_Location_412
src_Philosopher_228,src_Ship_177
src_Relic_312,src_Sculptor_117
src_Military-Unit_219,src_Professor_243
src_Saint_185,src_Election_418
src_Geographer_329,src_Pastime_177
src_Entertainer_5,src_Intra-State-Group_490
src_Economist_99,src_Religious-Order_67
src_League_333,src_Social-Stratum_413
src_Settlement_89,src_Country_337
src_Entertainer_8,src_Vehicle_225
src_Intra-State-Group_29,src_University_472
src_Religious-Order_54,src_Actor_416
src_Organisation_34,src_Ecclesiarch_245
src_Secular-Leader_86,src_Military-Unit_387
src_Ecclesiarch_31,src_Ideology_432
src_Military-Person_70,src_International-Organisation_4
src_Battle_84,src_Period-in-Office_6
src_Sculpture_411,src_Legislation_140
src_Building_445,src_Crime_332
src_Piece-of-Music_216,src_Dramaturge_129
src_Language_431,src_Life-Event_305
src_Commodity_37,src_Population-Movement_12
src_Illness_240,src_Clothing_151
src_Ritual_413,src_Flavour_44
src_Social-Group_291,src_Intellectual-Construct_458
src_Scientist_54,src_Engineer_277
src_Liturgical-Object_395,src_Badge_127
src_Food_102,src_Architect_142
src_International-Alliance_151,src_Disease_245
src_Conceptual-Object_225,src_Measurable-Trend_143
src_Individual_497,src_Life-Event_55
src_Disease_7,src_National-Symbol_486
src_Public-Oration_140,src_Sultan_463
src_Non-Military-Conflict_445,src_Minister_249
src_Religious-Organisation_367,src_Symbol_492
src_Food_192,src_Non-Military-Conflict_474
src_Artist_314,src_Monastery_109
src_Queen_235,src_Philanthropist_285
src_Election_177,src_City_400
src_Prince_264,src_Entertainer_294
src_Artistic-Movement_222,src_Philanthropist_439
src_League_387,src_Church-Reformer_316
src_Sculptor_314,src_Political-Symbol_233
src_Settlement_308,src_Technical-Scientific-Advance_278
src_Armament_216,src_International-Organisation_49
src_Flavour_19,src_Armament_480
src_Intellectual-Construct_338,src_Scientist_77
src_National-Symbol_211,src_Food_463
src_Prince_377,src_Painter_233
src_Ethnic-Group_229,src_Piece-of-Music_4
src_Object_418,src_Landmark_293
src_Vehicle_328,src_Sportsman_285
src_Foreign-Minister_105,src_Church_405
src_War_480,src_Field-of-Knowledge_344
src_Cultural-Agreement_268,src_Book_192
src_Political-Organisation_125,src_Other-Religious-Person_373
src_Disaster_366,src_Piece-of-Music_212
src_Professor_338,src_Trades-Union_0
src_Time-Dependent-Relation_493,src_Secular-Ideology_132
src_Queen_16,src_Composer_56
src_Location_34,src_Artistic-Movement_442
src_Life-Event_219,src_Technical-Scientific-Advance_256
src_Dynasty_81,src_Scientist_452
src_Religious-Ideology_65,src_Military-Unit_129
src_Politician_87,src_Discoverer_70
src_Secular-Leader_8,src_International-Alliance_198
src_Symbol_330,src_Category_330
src_Foreign-Minister_310,src_Building_182
src_War_277,src_Location-Part-Relation_138
src_Inventor_39,src_Representative-Institution_277
src_Religious-Community_350,src_Journalist_201
src_Time_456,src_National-Symbol_83
src_Masonic-Lodge_298,src_Publisher_446
src_Criminal_401,src_Religious-Community_123
src_Disaster_201,src_Head-of-Government_410
src_Discoverer_320,src_Foreign-Minister_124
src_Scientist_408,src_FuzzyTemporalInterval_194
src_Philanthropist_490,src_Governmental-Organisation_95
src_International-Alliance_460,src_Board_175
src_Flavour_34,src_Environment_438
src_Religious-Order_38,src_Time_8
src_Environment_261,src_Organisation_418
src_City_294,src_Author_42
src_Secular-Leader_42,src_Church_409
src_FuzzyTemporalInterval_358,src_Political-Organisation_403
src_Crime_110,src_Animal_348
src_Journal_458,src_Entertainer_454
src_Religious-Symbol_58,src_FuzzyTemporalInterval_206
src_Political-Symbol_95,src_Symbol_148
src_Cleric_73,src_Journal_107
src_Economic-Enterprise_410,src_Sportsman_345
src_Geographer_77,src_Dynasty_374
src_Religious-Leader_395,src_Animal_363
src_Conceptual-Object_395,src_Location-Part-Relation_339
src_Structure_172,src_Intra-State-Group_138
src_Conceptual-Object_118,src_Legislation_336
src_Individual_105,src_Pope_449
src_Journalist_129,src_Journalist_411
src_Piece-of-Music_91,src_Board_483
src_Trades-Unionist_129,src_Period_358
src_Trades-Union_203,src_Religious-Leader_123
src_Artist_138,src_Economic-Organisation_54
src_Entertainer_82,src_Foreign-Minister_311
src_Scientist_195,src_Category_228
src_Ethnic-Group_244,src_Role_365
src_Sculptor_457,src_Board_146
src_Category_407,src_Battle_12
src_Other-Religious-Person_182,src_Individual_238
src_Economic-Enterprise_2,src_Disaster_476
src_Church_483,src_Intra-State-Group_249
src_Psychologist_160,src_Role_229
src_Secular-Movement_164,src_Psychologist_497
src_Economic-Enterprise_464,src_Painter_51
src_University_396,src_Representative-Institution_123
src_Writing_481,src_Journal_364
src_Social-Stratum_235,src_Sculptor_26
src_Saint_385,src_Author_12
src_Clerical-Leader_246,src_Painter_329
src_Book_151,src_Location-Part-Relation_204
src_Leader_355,src_Business-Leader_256
src_Intellectual-Movement_414,src_Object_227
src_Criminal_183,src_Ecclesiarch_487
src_Intra-State-Group_413,src_Category_440
src_Settlement_401,src_Vehicle_193
src_Illness_450,src_Time-Dependent_281
src_Author_6,src_Inventor_334
src_Scandal_485,src_Trades-Union_360
src_Artistic-Movement_149,src_Village_48
src_Governmental-Organisation_253,src_Newspaper_49
src_Train_294,src_Trade-Association_345
src_Pollution_303,src_Ideology_278
src_Psychologist_356,src_Armament_471
src_Natural-Object_435,src_Trades-Union_477
src_Trade-Association_464,src_International-Alliance_79
src_Cleric_176,src_Cultural-Organisation_381
src_League_49,src_King_358
src_Journalist_448,src_Water_429
src_Scandal_36,src_Governmental-Organisation_338
src_Water_15,src_Painter_395
src_Life-Event_23,src_Politician_321
src_Publisher_455,src_Armament_222
src_Train_327,src_Religious-Order_460
src_Religious-Movement_47,src_Fictional-Person_131
src_Technical-Scientific-Advance_368,src_Composer_365
src_Religious-Order_82,src_Artistic-Style_55
src_Idea_254,src_Work-of-Art_113
src_Dancer_489,src_Geographical-Discovery_439
src_Geographical-Feature_391,src_Country_431
src_Economic-Enterprise_2,src_Scandal_442
src_Election_389,src_Time_354
src_Pamphlet_350,src_Field-of-Knowledge_174
src_Management-Organisation_342,src_Pollution_70
src_Piece-of-Music_164,src_Crime_431
src_Masonic-Lodge_187,src_Illness_275
src_Stereotype-Group_110,src_Trial_474
src_Trades-Unionist_23,src_Economic-Enterprise_440
src_Person-Role_72,src_Piece-of-Music_11
src_Clerical-Leader_411,src_Pope_69
src_Trades-Union_165,src_Artistic-Movement_351
src_Representative-Institution_430,src_Saint_129
src_Head-of-Government_23,src_International-Organisation_117
src_Sculptor_184,src_Public-Oration_444
src_Time-Dependent_249,src_Theologian_324
src_Meeting_297,src_Sculptor_121
src_Queen_382,src_Religious-Symbol_135
src_Discoverer_392,src_Board_264
src_Other-Religious-Person_424,src_Physician_272
src_Creator_473,src_Armament_1
src_Political-Symbol_408,src_Period_270
src_Book_217,src_Geographical-Feature_83
src_Fictional-Event_422,src_Cultural-Organisation_102
src_Cultural-Organisation_238,src_Inventor_153
src_Landmark_195,src_Role_280
src_Measurable-Trend_222,src_Disease_164
src_Church-Reformer_36,src_Environment_410
src_Theologian_235,src_Dynasty_198
src_Field-of-Knowledge_449,src_Pollution_488
src_Period-in-Office_9,src_Political-Organisation_52
src_Astronaut_141,src_Church_238
src_Leader_185,src_Party_265
src_Prince_442,src_Religious-Symbol_85
src_Uprising_98,src_Event_180
src_Artistic-Movement_131,src_Country_458
src_Geographical-Feature_415,src_Functionary_13
src_Piece-of-Music_496,src_Publisher_244
src_Sportsman_118,src_Food_76
src_Disaster_358,src_Foreign-Minister_53
