src_Event_157,src_Party_168
src_Ecclesiarch_310,src_Emperor_491
src_Politician_63,src_Country_353
src_Animal_27,src_Political-Symbol_202
src_Engineer_464,src_Abstract-Notion_27
src_Cathedral_30,src_Economic-Enterprise_50
src_Philosopher_327,src_Management-Organisation_149
src_Crime_12,src_Saint_110
src_Entertainer_313,src_Person-Role_250
src_League_297,src_University_90
src_International-Alliance_155,src_Object_438
src_Political-Region_239,src_Village_281
src_Functionary_414,src_Dramaturge_289
src_Conceptual-Object_46,src_Artistic-Movement_449
src_Geographical-Discovery_104,src_Political-Region_274
src_Stereotype-Group_407,src_Time-Dependent-Relation_387
src_Trade-Association_258,src_Other-Religious-Person_165
src_Dancer_274,src_National-Symbol_78
src_Geographical-Feature_271,src_Time_42
src_Work-of-Art_294,src_Vehicle_300
src_Military-Organisation_423,src_Film-Maker_111
src_Jurist_249,src_Stereotype-Group_104
src_Location_195,src_Political-Region_273
src_Diplomat_178,src_Object_309
src_Writing_433,src_Technical-Scientific-Advance_491
src_Artistic-Style_440,src_Artist_488
src_Scandal_434,src_Trade-Association_440
src_Diplomat_190,src_Business-Leader_285
src_Religious-Organisation_150,src_Crime_272
src_Economic-Organisation_231,src_Village_135
src_Actor_480,src_Ecclesiarch_48
src_Foreign-Minister_265,src_Conductor_147
src_Object_399,src_Religious-Community_405
src_Composer_303,src_Ritual_113
src_Pope_261,src_Sculpture_201
src_Uprising_385,src_Church_130
src_Composer_145,src_Disaster_9
src_Symbol_496,src_Pamphlet_482
src_Animal_170,src_Life-Event_132
src_Ideology_236,src_Governmental-Organisation_363
src_Disaster_88,src_Leader_306
src_Social-Group_28,src_Painting_203
src_Economic-Process_308,src_Person-Role_392
src_Sculpture_385,src_Political-Organisation_214
src_Artefact_261,src_Religious-Order_438
src_Measurable-Trend_497,src_Educational-Organisation_245
src_Stereotype-Group_82,src_Public-Oration_128
src_Animal_71,src_Conceptual-Object_455
src_Commodity_336,src_Emperor_495
src_Fictional-Person_85,src_Relic_132
src_VicodiOI_31,src_Stereotype-Group_106
src_International-Organisation_244,src_Saint_312
src_Inventor_109,src_War_378
src_Political-Organisation_88,src_Minister_44
src_Management-Organisation_44,src_Geographer_344
src_Social-Stratum_35,src_Time_273
src_Geographer_106,src_International-Alliance_7
src_Political-Symbol_92,src_University_479
src_Philosopher_289,src_University_138
src_Queen_238,src_Minister_410
src_Religious-Community_330,src_International-Alliance_478
src_Ideology_471,src_Religious-Leader_107
src_Economist_407,src_Theologian_201
src_Public-Oration_423,src_Disaster_488
src_Abstract-Notion_435,src_Art-Form_168
src_Illness_484,src_Party_355
src_Party_222,src_Social-Stratum_189
src_Cleric_165,src_Diplomat_443
src_Secular-Ideology_232,src_War_181
src_Foreign-Minister_85,src_Sportsman_231
src_Head-of-Government_380,src_Time-Dependent_179
src_Trial_490,src_Economic-Enterprise_472
src_Prince_102,src_Entertainer_298
src_Meeting_25,src_Military-Organisation_86
src_Village_411,src_Cleric_499
src_City_58,src_Time-Dependent-Relation_411
src_Discoverer_34,src_Political-Symbol_404
src_Intra-State-Group_418,src_League_282
src_Building_243,src_Musician_225
src_Artistic-Movement_38,src_University_136
src_Sultan_265,src_Sultan_394
src_Election_231,src_Crime_251
src_Jurist_464,src_Secular-Leader_463
src_Philosopher_382,src_Artistic-Movement_402
src_Painter_225,src_Social-Group_442
src_Musician_158,src_Entertainer_1
src_Philanthropist_195,src_Water_372
src_Monastery_99,src_Religious-Order_174
src_Settlement_185,src_Country_200
src_Leader_142,src_Badge_197
src_Management-Organisation_297,src_Board_113
src_War_28,src_Animal_355
src_Liturgical-Object_281,src_Religious-Community_200
src_Religious-Symbol_146,src_Liturgical-Object_420
src_Individual_425,src_Ethnic-Group_495
src_Period_279,src_Trade-Association_113
src_Intellectual-Construct_261,src_Political-Symbol_415
src_Object_235,src_Ideology_418
src_Masonic-Lodge_117,src_Treaty_318
src_Saint_415,src_Painter_72
src_Physician_405,src_Geographer_297
src_Trade-Association_244,src_TemporalInterval_3
src_Animal_493,src_Film-Maker_99
src_Physician_83,src_Life-Event_273
src_Ship_403,src_TemporalInterval_235
src_Social-Stratum_125,src_Business-Leader_281
src_Ecclesiarch_233,src_Non-Military-Conflict_290
src_Cleric_277,src_Head-of-Government_368
src_VicodiOI_262,src_Film-Maker_238
src_Clothing_86,src_Military-Organisation_131
src_Composer_414,src_Food_427
src_Philanthropist_312,src_Sculptor_94
src_Food_420,src_Social-Stratum_289
src_Book_299,src_Other-Religious-Person_442
src_Political-Symbol_137,src_Painter_184
src_Psychologist_194,src_Badge_327
src_League_488,src_Professor_274
src_Minister_255,src_Building_190
src_King_361,src_Book_64
src_Commodity_457,src_Movement_252
src_Religious-Practice_31,src_Theologian_89
src_Sculpture_367,src_Structure_296
src_Battle_172,src_Clothing_377
src_Other-Religious-Leader_36,src_Stereotype-Group_145
src_Environment_158,src_Artefact_310
src_Physician_287,src_Geographical-Feature_457
src_Sultan_465,src_Election_250
src_Person-Role_158,src_Scientist_499
src_Liturgical-Object_457,src_Location-Part-Relation_250
src_Object_52,src_University_133
src_University_91,src_Book_352
src_Psychologist_181,src_Ethnic-Group_126
src_Economic-Enterprise_17,src_Language_373
src_Other-Religious-Person_350,src_Painting_105
src_FuzzyTemporalInterval_0,src_Trades-Unionist_443
src_Management-Organisation_379,src_National-Symbol_107
src_Public-Oration_438,src_Food_413
src_Other-Religious-Leader_191,src_Foreign-Minister_360
src_Sportsman_174,src_Trades-Unionist_173
src_Religious-Ideology_443,src_Pamphlet_10
src_Jurist_216,src_Other-Religious-Leader_16
src_Musician_112,src_Governmental-Organisation_476
src_Social-Stratum_31,src_TemporalInterval_106
src_Geographer_328,src_Cultural-Agreement_164
src_Magnate_66,src_Food_77
src_Artist_342,src_Monastery_321
src_Philosopher_348,src_Sportsman_402
src_Population-Movement_452,src_Ecclesiarch_121
src_Sculpture_429,src_Minister_23
src_Food_270,src_Illness_492
src_City_233,src_Period-in-Office_205
src_Piece-of-Music_394,src_Art-Form_438
src_Monastery_48,src_Physician_103
src_Painter_71,src_Treaty_172
src_Public-Oration_226,src_Public-Oration_92
src_Geographical-Region_463,src_Pollution_179
src_Geographical-Discovery_394,src_Individual_269
src_Social-Stratum_115,src_Piece-of-Music_191
src_Philosopher_368,src_Head-of-Government_424
src_Author_343,src_Functionary_241
src_Dynasty_396,src_Inventor_218
src_Clerical-Leader_192,src_Intra-State-Group_417
src_Jurist_379,src_Painting_206
src_Technical-Scientific-Advance_316,src_Church_136
src_Language_267,src_Religious-Symbol_426
src_Structure_430,src_Cultural-Agreement_91
src_Economist_101,src_City_376
src_Cultural-Agreement_317,src_Geographical-Region_101
src_Pastime_288,src_Time-Dependent_191
src_Event_375,src_Social-Stratum_60
src_Cultural-Agreement_32,src_Fictional-Person_393
src_Ecclesiarch_115,src_Dramaturge_288
src_Artistic-Style_145,src_Meeting_411
src_Language_57,src_Economic-Symbol_214
src_Natural-Object_56,src_Political-Organisation_105
src_Relic_103,src_City_102
src_Geographical-Feature_198,src_Board_249
src_Political-Organisation_23,src_International-Alliance_473
src_Scientist_161,src_Magnate_84
src_University_213,src_Fictional-Event_96
src_Artistic-Movement_220,src_Representative-Institution_344
src_Book_191,src_Economic-Symbol_70
src_Abstract-Notion_216,src_Population-Movement_282
src_Role_445,src_City_217
src_Economic-Symbol_63,src_Composer_389
src_Religious-Community_456,src_Prince_324
src_Military-Unit_342,src_Book_57
src_Religious-Movement_233,src_Religious-Order_38
src_Geographical-Feature_392,src_Conceptual-Object_344
src_Natural-Object_57,src_Armament_281
src_Geographer_226,src_Entertainer_304
src_Structure_431,src_Painter_360
src_Period_66,src_Landmark_466
src_Uprising_431,src_Actor_277
src_Religious-Leader_6,src_Battle_20
src_Business-Leader_398,src_Professor_123
src_Minister_48,src_City_432
src_Non-Military-Conflict_165,src_Religious-Organisation_461
src_Period-in-Office_269,src_Economic-Symbol_98
src_Landmark_469,src_Piece-of-Music_292
src_Sculptor_396,src_Functionary_65
src_Physician_230,src_Cathedral_400
src_Dramaturge_58,src_Dancer_10
src_Structure_254,src_Intellectual-Movement_487
src_Film-Maker_97,src_Monastery_171
src_Composer_337,src_Secular-Leader_405
src_Cultural-Agreement_462,src_Scientist_241
src_Vehicle_456,src_Population-Movement_241
src_Social-Group_221,src_Ethnic-Group_170
src_Economist_231,src_Disaster_290
src_Time_489,src_Religious-Symbol_458
src_Role_280,src_Church_499
src_Relic_462,src_Head-of-State_474
src_Journal_363,src_Political-Organisation_8
src_Building_213,src_Ship_208
src_Board_306,src_Queen_168
src_Time_60,src_Disease_204
src_Magnate_481,src_Illness_49
src_Organisation_356,src_Representative-Institution_269
src_Uprising_105,src_Ecclesiarch_81
src_Liturgical-Object_148,src_Building_444
src_Ecclesiarch_45,src_Social-Stratum_324
src_Election_205,src_Sultan_68
src_Geographical-Region_293,src_Scientist_47
src_Cathedral_62,src_Fictional-Event_79
src_Ethnic-Group_472,src_Dynasty_358
src_Economic-Process_107,src_National-Symbol_83
src_Piece-of-Music_223,src_Diplomat_82
src_Art-Form_267,src_Minister_214
src_Architect_442,src_Author_76
src_Economic-Enterprise_444,src_City_380
src_Military-Unit_244,src_Church-Reformer_112
src_Conductor_155,src_Category_204
src_Ecclesiarch_264,src_Cleric_377
src_Writing_65,src_Secular-Ideology_287
src_Military-Unit_331,src_Relic_471
src_University_263,src_Artistic-Movement_191
src_Trial_279,src_Abstract-Notion_372
src_Entertainer_123,src_Ecclesiarch_353
src_Monastery_251,src_Composer_441
src_Ritual_234,src_Political-Symbol_499
src_Actor_41,src_FuzzyTemporalInterval_331
src_Engineer_28,src_Secular-Leader_346
src_Magnate_58,src_Movement_150
src_International-Alliance_267,src_FuzzyTemporalInterval_356
src_Journal_302,src_Village_23
src_Political-Region_157,src_Sculptor_2
src_Intellectual-Construct_391,src_Sculptor_327
src_International-Alliance_264,src_Journalist_279
src_Economic-Enterprise_352,src_Painter_2
src_Person_253,src_Publisher_267
src_League_287,src_Geographical-Region_457
src_Environment_96,src_Political-Organisation_188
src_Artistic-Style_481,src_Jurist_7
src_Leader_340,src_Film-Maker_68
src_Ecclesiarch_282,src_Life-Event_379
src_Secular-Movement_209,src_Cathedral_352
src_Flavour_59,src_War_447
src_Structure_219,src_Magnate_14
src_Vehicle_418,src_Liturgical-Object_494
src_Author_285,src_Composer_368
src_Actor_322,src_Measurable-Trend_143
src_Period-in-Office_209,src_Jurist_434
src_Liturgical-Object_146,src_Religious-Community_43
src_Geographical-Region_192,src_Population-Movement_168
src_Actor_348,src_Uprising_63
src_Liturgical-Object_432,src_Film-Maker_449
src_Religious-Ideology_147,src_Engineer_339
src_Location_211,src_Meeting_52
src_Geographical-Discovery_383,src_FuzzyTemporalInterval_155
src_Board_39,src_Masonic-Lodge_249
src_Intellectual-Construct_269,src_Election_337
src_Film-Maker_414,src_Leader_24
src_Sultan_14,src_Painting_424
src_Masonic-Lodge_284,src_Treaty_229
src_Pollution_15,src_Magnate_266
src_Ritual_138,src_Religious-Symbol_419
src_Actor_287,src_Badge_359
src_Religious-Ideology_443,src_Other-Religious-Leader_217
src_Time-Dependent-Relation_381,src_TemporalInterval_84
src_Sculpture_166,src_Religious-Practice_359
src_Battle_105,src_Stereotype-Group_40
src_Military-Unit_81,src_Sultan_192
src_Educational-Organisation_380,src_Meeting_89
src_Emperor_425,src_Military-Organisation_93
src_Sportsman_286,src_Animal_415
src_Train_109,src_Environment_13
src_Musician_341,src_Treaty_155
src_Geographer_402,src_University_70
src_Magnate_477,src_Economic-Organisation_373
src_Cultural-Agreement_9,src_Inventor_134
src_Functionary_204,src_Newspaper_275
src_Trades-Union_145,src_Train_39
src_Book_388,src_Clerical-Leader_431
src_Artist_80,src_Economic-Enterprise_393
src_Language_330,src_Technical-Scientific-Advance_428
src_Ideology_491,src_Building_332
src_Flavour_275,src_Cultural-Organisation_409
src_Economic-Process_121,src_Location-Part-Relation_327
src_Dynasty_125,src_Secular-Leader_175
src_Philosopher_358,src_Religious-Symbol_33
src_Secular-Leader_26,src_Religious-Symbol_167
src_Trades-Unionist_273,src_Artefact_130
src_Artist_2,src_Economic-Organisation_293
src_Entertainer_244,src_Movement_382
src_Functionary_213,src_Minister_62
src_League_368,src_Church-Reformer_237
src_Flavour_237,src_Public-Oration_243
src_Liturgical-Object_259,src_Psychologist_350
src_Intellectual-Movement_235,src_Jurist_387
src_Village_312,src_Religious-Order_8
src_Natural-Object_346,src_Military-Organisation_424
src_King_19,src_Illness_363
src_Theologian_345,src_Category_226
src_Cultural-Organisation_351,src_Scientist_75
src_Journal_396,src_Intellectual-Construct_446
src_Vehicle_82,src_Saint_86
src_Commodity_22,src_Religious-Ideology_219
src_Intellectual-Movement_468,src_Musician_130
src_FuzzyTemporalInterval_359,src_Public-Oration_204
src_Meeting_137,src_Professor_281
src_Intellectual-Movement_366,src_Conceptual-Object_159
src_Physician_306,src_Sultan_443
src_Other-Religious-Leader_300,src_Population-Movement_375
src_Secular-Movement_160,src_Physician_343
src_Disaster_213,src_War_107
src_Fictional-Event_478,src_Disease_437
src_Environment_68,src_Symbol_209
src_Measurable-Trend_238,src_Ecclesiarch_424
src_Astronaut_164,src_International-Organisation_255
src_Journalist_416,src_Legislation_173
src_Musician_130,src_Work-of-Art_148
src_Trial_460,src_Religious-Order_446
src_Church-Reformer_423,src_Philosopher_383
src_Landmark_186,src_Religious-Community_104
src_Work-of-Art_25,src_Social-Stratum_206
src_Geographical-Discovery_305,src_Relic_93
src_Political-Organisation_355,src_Religious-Symbol_261
src_VicodiOI_14,src_Uprising_66
src_Conceptual-Object_139,src_Location_460
src_Secular-Leader_116,src_Religious-Practice_429
src_Intellectual-Construct_345,src_Cultural-Agreement_468
src_Entertainer_431,src_TemporalInterval_320
src_Crime_498,src_Public-Oration_297
src_Journalist_363,src_Legislation_276
src_Educational-Organisation_59,src_Conceptual-Object_432
src_Minister_307,src_Business-Leader_362
src_Engineer_18,src_Time-Dependent_379
src_Time-Dependent_380,src_Food_44
src_Crime_33,src_Religious-Community_392
src_Magnate_434,src_Category_260
src_Cleric_279,src_Role_37
src_Party_243,src_Battle_276
src_Legislation_425,src_Military-Organisation_422
src_Cleric_237,src_Pope_100
src_Head-of-State_426,src_Ecclesiarch_89
src_Village_142,src_Population-Movement_198
src_Criminal_357,src_Art-Form_156
src_Scientist_274,src_Ideology_217
src_Discoverer_397,src_Psychologist_386
src_Animal_46,src_League_393
src_Artistic-Movement_75,src_Geographer_318
src_Inventor_358,src_Magnate_140
src_Sportsman_373,src_Ecclesiarch_222
src_Building_48,src_Intellectual-Construct_412
src_Cathedral_131,src_Politician_204
src_Field-of-Knowledge_109,src_Governmental-Organisation_74
src_Organisation_91,src_Professor_104
src_Location_96,src_Clerical-Leader_224
src_Cultural-Organisation_419,src_Life-Event_456
src_Geographical-Region_374,src_Ethnic-Group_107
src_Actor_67,src_Fictional-Event_142
src_King_38,src_Educational-Organisation_46
src_Entertainer_65,src_Political-Organisation_141
src_King_277,src_Cultural-Organisation_308
src_Fictional-Event_340,src_Art-Form_211
src_Publisher_52,src_Ritual_421
src_Composer_28,src_Queen_88
src_Trade-Association_270,src_Intellectual-Movement_381
src_Building_194,src_Educational-Organisation_280
src_VicodiOI_353,src_Creator_362
src_Scientist_466,src_Religious-Leader_249
src_Idea_18,src_Pastime_166
src_Abstract-Notion_158,src_Religious-Movement_451
src_National-Symbol_168,src_Structure_163
src_Dancer_266,src_Event_81
src_Management-Organisation_258,src_Composer_349
src_Object_324,src_Treaty_90
src_Diplomat_485,src_Clothing_51
src_Symbol_182,src_Idea_365
src_Geographical-Discovery_117,src_Economic-Symbol_133
src_Journalist_432,src_Animal_24
src_Ideology_289,src_Trades-Union_387
src_Secular-Movement_361,src_Book_253
src_Author_178,src_Geographical-Region_260
src_Discoverer_211,src_Sculptor_439
src_Management-Organisation_50,src_Musician_283
src_Governmental-Organisation_10,src_Dancer_406
src_Intellectual-Construct_338,src_Emperor_165
src_Abbey_499,src_Journalist_98
src_Illness_178,src_Settlement_428
src_Battle_262,src_Other-Religious-Leader_455
src_Building_341,src_Fictional-Event_169
src_Trial_361,src_Leader_252
src_Functionary_235,src_Monastery_82
src_Sportsman_352,src_Trade-Association_486
src_Prince_273,src_Magnate_413
src_Ship_189,src_Cathedral_129
src_Head-of-State_253,src_Category_127
src_National-Symbol_379,src_Pastime_35
src_Professor_108,src_Disease_137
src_Dancer_213,src_Category_479
src_Management-Organisation_481,src_Life-Event_233
src_Treaty_422,src_Person-Role_311
src_Ritual_461,src_Military-Person_221
src_Psychologist_72,src_Cleric_125
src_Religious-Leader_303,src_Monastery_143
src_Food_286,src_Military-Organisation_349
src_Religious-Order_239,src_Artefact_91
src_Functionary_47,src_City_357
src_Trade-Association_200,src_Party_200
src_Abstract-Notion_7,src_Jurist_39
src_Educational-Organisation_459,src_Dramaturge_314
src_Environment_74,src_Life-Event_386
src_Trades-Unionist_439,src_Fictional-Event_177
src_Artist_130,src_Minister_53
src_Entertainer_69,src_Cultural-Organisation_368
src_Movement_71,src_Ritual_398
src_Economic-Process_339,src_Liturgical-Object_122
src_Settlement_131,src_Natural-Object_480
src_Commodity_366,src_Cathedral_144
src_Board_41,src_Political-Region_336
src_Painter_402,src_Language_364
src_Jurist_115,src_Natural-Object_243
src_Head-of-Government_391,src_Secular-Ideology_67
src_Idea_262,src_Pope_242
src_Disaster_467,src_Object_288
src_Uprising_318,src_Magnate_464
src_Treaty_320,src_Architect_42
src_Economic-Enterprise_468,src_Religious-Symbol_424
src_Book_112,src_Cleric_169
src_Geographical-Feature_201,src_Military-Organisation_79
src_Author_432,src_Person-Role_269
src_Inventor_498,src_Armament_153
src_Pamphlet_367,src_Event_125
src_Person_416,src_Dramaturge_289
src_Ideology_406,src_Population-Movement_385
src_Ethnic-Group_23,src_Movement_76
src_Disease_328,src_Geographical-Feature_339
src_Musician_257,src_Political-Symbol_442
src_Psychologist_189,src_Journal_65
src_Representative-Institution_285,src_City_96
src_Trade-Association_397,src_Religious-Organisation_77
src_Prince_469,src_Journal_42
src_Political-Organisation_251,src_Trades-Union_188
src_Trades-Union_267,src_Leader_57
src_Trades-Unionist_391,src_Educational-Organisation_343
src_Building_393,src_Artistic-Movement_498
src_Journalist_286,src_National-Symbol_232
src_Journalist_194,src_Cultural-Organisation_325
src_Cleric_498,src_Meeting_333
src_Art-Form_278,src_Commodity_254
src_Religious-Organisation_205,src_Legislation_199
src_Political-Symbol_226,src_Abstract-Notion_103
src_War_441,src_Secular-Ideology_477
src_Economic-Enterprise_495,src_Language_432
src_Animal_258,src_Writing_438
src_Language_21,src_Person_61
src_Ritual_333,src_Treaty_105
src_Book_194,src_Pope_183
src_Military-Organisation_173,src_Non-Military-Conflict_292
src_Technical-Scientific-Advance_378,src_Commodity_235
src_Person-Role_197,src_Foreign-Minister_232
src_Dynasty_338,src_Disaster_436
src_Religious-Practice_367,src_Board_386
src_Language_222,src_Minister_121
src_Period-in-Office_176,src_Legislation_204
src_Crime_437,src_Structure_152
src_Organisation_98,src_Period-in-Office_16
src_Minister_410,src_Organisation_403
src_King_184,src_Conceptual-Object_76
src_Geographical-Feature_345,src_Publisher_326
src_League_202,src_Sculptor_276
src_Military-Unit_414,src_Armament_367
src_Head-of-Government_116,src_Astronaut_467
src_Ship_275,src_Natural-Object_100
src_Actor_269,src_Artist_166
src_Organisation_54,src_Ship_132
src_Animal_458,src_Location-Part-Relation_438
src_Artistic-Style_87,src_Fictional-Person_255
src_Time_66,src_Flavour_477
src_Other-Religious-Person_95,src_Individual_52
src_Economic-Process_168,src_Organisation_382
src_Religious-Community_468,src_Trades-Unionist_177
src_Artistic-Style_378,src_Environment_68
src_City_18,src_FuzzyTemporalInterval_123
src_Educational-Organisation_74,src_Ideology_122
src_Foreign-Minister_221,src_Object_305
src_Religious-Practice_173,src_Crime_217
src_Trial_51,src_Geographer_105
src_Military-Organisation_413,src_Armament_247
src_FuzzyTemporalInterval_444,src_Location_182
src_Flavour_85,src_VicodiOI_278
src_Water_246,src_Religious-Community_14
src_Time-Dependent-Relation_229,src_King_147
src_Emperor_112,src_Economic-Process_241
src_Trades-Union_244,src_Disease_247
src_Intra-State-Group_213,src_Abbey_192
src_Abstract-Notion_419,src_Ritual_469
src_Writing_296,src_Other-Religious-Person_75
src_Work-of-Art_353,src_Natural-Object_377
src_Film-Maker_258,src_Journal_355
src_Intellectual-Construct_359,src_Inventor_246
src_Food_117,src_Scandal_324
src_Social-Stratum_330,src_Party_64
src_Period-in-Office_201,src_Prince_275
src_Field-of-Knowledge_114,src_Population-Movement_246
src_Role_266,src_Technical-Scientific-Advance_316
src_Foreign-Minister_494,src_Illness_160
src_Period-in-Office_283,src_Uprising_468
src_Representative-Institution_487,src_Vehicle_78
src_Structure_423,src_Conceptual-Object_36
src_Board_264,src_Geographical-Discovery_359
src_Period_327,src_Church-Reformer_4
src_Religious-Community_277,src_Other-Religious-Person_122
src_Clothing_244,src_Conceptual-Object_29
src_Actor_302,src_Artistic-Movement_364
src_Representative-Institution_208,src_Organisation_307
src_Secular-Ideology_274,src_Political-Symbol_491
src_Dynasty_158,src_Philosopher_382
src_Religious-Leader_142,src_Organisation_473
src_Work-of-Art_240,src_Country_57
src_Ship_185,src_Painter_378
src_Cleric_413,src_Stereotype-Group_350
src_Piece-of-Music_127,src_Engineer_209
src_Trade-Association_437,src_Natural-Object_330
src_Trade-Association_311,src_Engineer_467
src_Cathedral_478,src_Ecclesiarch_95
src_Foreign-Minister_427,src_Village_281
src_Pastime_10,src_Idea_480
src_Abbey_281,src_Journalist_462
src_Military-Person_149,src_Foreign-Minister_79
src_Public-Oration_289,src_Professor_326
src_Object_362,src_Time-Dependent-Relation_111
src_Pollution_324,src_Inventor_47
src_Organisation_495,src_Political-Region_409
src_Conductor_316,src_Emperor_140
src_Sculpture_67,src_Military-Unit_419
src_Object_390,src_Business-Leader_341
src_Political-Region_21,src_Prince_148
src_Other-Religious-Leader_102,src_Actor_267
src_Cultural-Agreement_275,src_Religious-Ideology_393
src_Politician_207,src_Representative-Institution_254
src_Composer_241,src_Train_494
src_Party_89,src_Leader_97
src_Conceptual-Object_385,src_Location-Part-Relation_353
src_Political-Organisation_12,src_Meeting_227
src_Commodity_143,src_Foreign-Minister_21
src_Social-Group_368,src_Intellectual-Movement_101
src_Time-Dependent_268,src_Actor_411
src_Language_176,src_Ritual_242
src_Governmental-Organisation_85,src_Social-Stratum_408
src_Other-Religious-Leader_129,src_Life-Event_273
src_Creator_358,src_Artistic-Style_9
src_Clothing_66,src_Head-of-State_129
src_Battle_289,src_Masonic-Lodge_114
src_Conductor_184,src_Work-of-Art_12
src_Secular-Ideology_110,src_Location_115
src_Public-Oration_164,src_Time-Dependent-Relation_183
src_Natural-Object_70,src_Food_217
src_Conceptual-Object_453,src_Public-Oration_415
src_Social-Stratum_477,src_University_145
src_Psychologist_405,src_Technical-Scientific-Advance_15
src_Geographical-Region_294,src_Time-Dependent_351
src_Landmark_325,src_War_471
src_Religious-Leader_312,src_Period_200
src_Measurable-Trend_211,src_Person-Role_450
src_War_263,src_TemporalInterval_316
src_Emperor_33,src_Management-Organisation_104
src_Clerical-Leader_399,src_Scandal_200
src_Trades-Union_477,src_Philosopher_472
src_Intra-State-Group_13,src_International-Organisation_480
src_Language_492,src_Religious-Order_247
src_Functionary_321,src_Armament_398
src_King_105,src_Religious-Community_18
src_Ritual_30,src_Economist_228
src_Conductor_332,src_Technical-Scientific-Advance_447
src_Vehicle_414,src_Journal_118
src_Individual_369,src_Artist_165
src_Environment_453,src_Psychologist_45
src_Movement_472,src_Geographical-Discovery_19
src_Role_259,src_Train_432
