src_Settlement_0,src_Dynasty_447
src_Person-Role_264,src_Management-Organisation_471
src_Religious-Ideology_261,src_Dynasty_390
src_Entertainer_393,src_Inventor_116
src_Secular-Leader_498,src_University_342
src_City_77,src_Abbey_396
src_Artefact_418,src_Journal_471
src_Flavour_5,src_Educational-Organisation_422
src_Representative-Institution_480,src_Scientific-Instrument_360
src_Time-Dependent-Relation_401,src_Person_47
src_Sultan_494,src_Publisher_240
src_Journal_400,src_Category_99
src_Business-Leader_476,src_Leader_172
src_Philanthropist_479,src_Fictional-Event_228
src_Cultural-Organisation_174,src_Legislation_358
src_Engineer_108,src_VicodiOI_409
src_Abbey_344,src_Person_227
src_Prince_174,src_Food_28
src_Person_345,src_Military-Unit_133
src_Military-Organisation_227,src_Time_228
src_TemporalInterval_114,src_Disease_372
src_Political-Symbol_416,src_Ecclesiarch_119
src_Book_474,src_Meeting_88
src_War_473,src_Church-Reformer_53
src_Foreign-Minister_186,src_Cultural-Organisation_290
src_Commodity_368,src_Prince_98
src_Fictional-Person_15,src_TemporalInterval_378
src_Event_256,src_Fictional-Person_483
src_Pope_112,src_Publisher_355
src_International-Organisation_115,src_Military-Organisation_361
src_Artistic-Style_155,src_Idea_406
src_Village_258,src_Prince_440
src_Meeting_173,src_Military-Unit_389
src_Work-of-Art_73,src_Inventor_489
src_Geographical-Discovery_28,src_Artist_146
src_Ecclesiarch_321,src_Period-in-Office_240
src_Category_462,src_Sultan_376
src_Sculptor_16,src_Artist_15
src_Educational-Organisation_465,src_Inventor_96
src_TemporalInterval_437,src_Train_476
src_Individual_182,src_Economic-Organisation_413
src_Scientist_359,src_Sculpture_125
src_Period-in-Office_303,src_Engineer_418
src_Movement_84,src_Battle_191
src_Geographical-Feature_223,src_Fictional-Person_148
src_Treaty_200,src_Abbey_399
src_Idea_115,src_Actor_437
src_Vehicle_364,src_Disease_419
src_VicodiOI_404,src_Trades-Union_498
src_Abbey_73,src_Management-Organisation_231
src_Queen_82,src_Geographer_37
src_Scientist_440,src_Minister_296
src_Dancer_336,src_Population-Movement_98
src_Field-of-Knowledge_177,src_Journal_330
src_Role_226,src_Time-Dependent-Relation_454
src_Individual_223,src_Economic-Symbol_3
src_Secular-Ideology_256,src_Astronaut_119
src_Sportsman_475,src_Fictional-Person_97
src_Intellectual-Movement_202,src_Structure_33
src_Engineer_26,src_Commodity_71
src_Newspaper_200,src_Legislation_327
src_Writing_313,src_Religious-Symbol_60
src_Pamphlet_297,src_Commodity_274
src_Party_248,src_Philanthropist_126
src_TemporalInterval_318,src_Religious-Ideology_292
src_Trade-Association_393,src_Criminal_408
src_Conceptual-Object_162,src_Social-Group_490
src_Scientific-Instrument_356,src_Religious-Organisation_429
src_Professor_256,src_Train_395
src_Meeting_198,src_Badge_109
src_Journalist_370,src_National-Symbol_409
src_Cultural-Organisation_88,src_Scientific-Instrument_258
src_Village_370,src_Publisher_335
src_Philanthropist_395,src_Country_20
src_Building_156,src_Clothing_293
src_Abbey_207,src_Religious-Symbol_148
src_Period_72,src_Dancer_65
src_Commodity_382,src_Conceptual-Object_430
src_Disaster_26,src_Pamphlet_133
src_Theologian_224,src_Functionary_10
src_Idea_331,src_Scientist_321
src_Creator_150,src_Political-Region_150
src_Artistic-Movement_176,src_Clothing_177
src_Ideology_96,src_Trade-Association_381
src_Physician_488,src_Religious-Ideology_325
src_King_420,src_FuzzyTemporalInterval_1
src_Economic-Symbol_476,src_Food_491
src_Writing_83,src_Intra-State-Group_321
src_Badge_222,src_Commodity_53
src_Art-Form_264,src_TemporalInterval_276
src_Liturgical-Object_4,src_Country_39
src_League_126,src_War_364
src_Settlement_471,src_Jurist_364
src_Newspaper_5,src_Professor_367
src_Geographical-Discovery_382,src_Foreign-Minister_386
src_Military-Organisation_364,src_Astronaut_193
src_Intellectual-Construct_398,src_Time-Dependent-Relation_68
src_Settlement_371,src_Intra-State-Group_491
src_Business-Leader_158,src_Time-Dependent_455
src_Political-Symbol_105,src_Church-Reformer_141
src_Geographical-Region_454,src_Landmark_138
src_Period_267,src_Military-Organisation_33
src_Management-Organisation_365,src_Population-Movement_79
src_Village_322,src_Inventor_137
src_Discoverer_344,src_Composer_337
src_Piece-of-Music_226,src_Military-Person_268
src_Disease_134,src_Commodity_272
src_Meeting_473,src_Economic-Organisation_313
src_Pastime_364,src_Scientist_318
src_Church_380,src_Foreign-Minister_389
src_Jurist_456,src_Artist_273
src_Social-Group_78,src_Masonic-Lodge_45
src_Political-Symbol_388,src_Inventor_121
src_Ship_369,src_Saint_485
src_Person_158,src_Sculptor_394
src_Architect_350,src_Piece-of-Music_34
src_Religious-Ideology_378,src_Pope_92
src_Conductor_18,src_Trades-Unionist_392
src_Country_280,src_Clothing_166
src_Journal_313,src_International-Organisation_149
src_Book_345,src_Work-of-Art_227
src_Geographer_485,src_Religious-Leader_44
src_Business-Leader_11,src_Religious-Practice_399
src_Movement_193,src_Geographer_189
src_Sultan_348,src_Building_13
src_Queen_251,src_Criminal_403
src_King_169,src_Architect_26
src_Abbey_396,src_Religious-Symbol_100
src_Stereotype-Group_160,src_Disaster_477
src_National-Symbol_228,src_Trades-Union_423
src_Technical-Scientific-Advance_444,src_Head-of-Government_192
src_Cultural-Agreement_216,src_Sculpture_279
src_Military-Person_173,src_Movement_121
src_Piece-of-Music_438,src_Writing_28
src_Pollution_79,src_Political-Organisation_250
src_Geographer_469,src_Economist_476
src_Individual_289,src_Time-Dependent_275
src_Other-Religious-Person_16,src_Military-Person_160
src_Election_151,src_Animal_451
src_Country_393,src_Queen_310
src_Individual_146,src_Physician_23
src_Religious-Order_19,src_Natural-Object_469
src_Language_181,src_Inventor_369
src_Scandal_286,src_Water_12
src_Author_319,src_Head-of-State_86
src_Military-Organisation_55,src_War_361
src_Badge_425,src_Water_248
src_Battle_195,src_Technical-Scientific-Advance_315
src_TemporalInterval_423,src_Queen_364
src_Environment_55,src_Natural-Object_105
src_Queen_440,src_Prince_276
src_Role_50,src_Architect_116
src_Religious-Community_152,src_Location_162
src_Jurist_155,src_Minister_420
src_Ethnic-Group_382,src_Category_362
src_Engineer_374,src_Time-Dependent_131
src_Book_283,src_Symbol_431
src_Religious-Movement_208,src_Ethnic-Group_63
src_King_439,src_Time-Dependent_467
src_Trade-Association_357,src_Period-in-Office_148
src_Party_5,src_Psychologist_430
src_Ritual_331,src_Geographical-Feature_371
src_Village_317,src_City_138
src_Vehicle_286,src_Environment_132
src_Conductor_223,src_Election_265
src_Party_224,src_Animal_73
src_Train_379,src_Religious-Movement_57
src_Conceptual-Object_296,src_Pope_200
src_City_25,src_Individual_74
src_Criminal_432,src_Discoverer_84
src_Secular-Leader_235,src_Political-Organisation_151
src_Newspaper_456,src_Pamphlet_144
src_Minister_259,src_Legislation_145
src_Time_254,src_Public-Oration_253
src_Masonic-Lodge_176,src_City_338
src_Architect_141,src_Clothing_216
src_Time-Dependent-Relation_230,src_Inventor_443
src_Journalist_152,src_Person-Role_38
src_Pope_392,src_Social-Group_258
src_Artistic-Style_126,src_Trades-Unionist_61
src_Ship_194,src_Cultural-Organisation_136
src_Party_381,src_Disease_213
src_Structure_81,src_Sportsman_383
src_Educational-Organisation_306,src_Symbol_76
src_Philosopher_360,src_Artist_333
src_Art-Form_329,src_Election_172
src_Masonic-Lodge_31,src_Geographical-Feature_175
src_Geographical-Region_294,src_Political-Region_277
src_Astronaut_137,src_Organisation_157
src_Jurist_444,src_Geographical-Discovery_140
src_Piece-of-Music_315,src_Secular-Leader_244
src_King_141,src_VicodiOI_132
src_Life-Event_253,src_Book_63
src_Party_141,src_Entertainer_384
src_Geographical-Feature_25,src_Social-Stratum_140
src_Secular-Movement_359,src_Dancer_487
src_Economic-Enterprise_164,src_Meeting_169
src_Treaty_284,src_Economic-Process_326
src_Art-Form_346,src_Badge_16
src_Time_144,src_Category_336
src_Stereotype-Group_183,src_Management-Organisation_206
src_Management-Organisation_202,src_Structure_293
src_Country_57,src_Emperor_488
src_Professor_477,src_Psychologist_2
src_Landmark_158,src_Saint_124
src_Disaster_326,src_Economist_58
src_Country_53,src_Economic-Enterprise_424
src_Jurist_70,src_Religious-Leader_377
src_Landmark_222,src_Time_33
src_Criminal_75,src_Stereotype-Group_251
src_Professor_212,src_Event_365
src_Politician_440,src_Relic_372
src_Painting_40,src_Functionary_381
src_Pollution_379,src_Stereotype-Group_390
src_Dramaturge_189,src_Piece-of-Music_83
src_Religious-Symbol_136,src_Village_369
src_Economic-Organisation_267,src_Pope_152
src_Psychologist_52,src_Film-Maker_177
src_Intellectual-Construct_162,src_Leader_179
src_Period-in-Office_312,src_International-Alliance_24
src_Landmark_2,src_Philanthropist_300
src_Animal_438,src_Time-Dependent_105
src_Intellectual-Construct_498,src_Painting_46
src_Abstract-Notion_332,src_Representative-Institution_241
src_Fictional-Event_338,src_Natural-Object_217
src_International-Organisation_174,src_International-Organisation_489
src_Pamphlet_499,src_Military-Unit_495
src_Saint_38,src_Ethnic-Group_477
src_Stereotype-Group_263,src_Religious-Symbol_94
src_Functionary_130,src_Writing_139
src_Economic-Organisation_263,src_Pastime_40
src_Conductor_404,src_Painting_321
src_Train_383,src_Measurable-Trend_466
src_Other-Religious-Leader_375,src_Crime_38
src_Period-in-Office_370,src_Religious-Movement_149
src_Economic-Enterprise_8,src_Election_5
src_VicodiOI_112,src_Astronaut_299
src_Architect_274,src_Ship_144
src_Geographical-Region_405,src_Theologian_178
src_Time-Dependent-Relation_342,src_Religious-Community_194
src_Sultan_21,src_Newspaper_139
src_Dancer_233,src_Composer_220
src_Religious-Organisation_168,src_Abbey_168
src_Clerical-Leader_400,src_Treaty_323
src_Religious-Leader_169,src_Conceptual-Object_62
src_Actor_11,src_Settlement_392
src_Piece-of-Music_40,src_Conceptual-Object_191
src_Artefact_436,src_Stereotype-Group_70
src_Symbol_385,src_Village_393
src_Church_314,src_Legislation_371
src_Pollution_148,src_Public-Oration_413
src_Movement_377,src_Train_379
src_Diplomat_45,src_City_404
src_Artistic-Movement_46,src_Dancer_323
src_Monastery_403,src_Population-Movement_172
src_Ideology_317,src_Religious-Order_62
src_National-Symbol_343,src_Vehicle_415
src_Monastery_56,src_Work-of-Art_147
src_Crime_87,src_Disaster_111
src_Economic-Organisation_395,src_Category_81
src_Dramaturge_209,src_Symbol_180
src_Prince_92,src_Professor_101
src_Natural-Object_147,src_Sculptor_473
src_Emperor_357,src_Masonic-Lodge_7
src_Building_282,src_Individual_398
src_Entertainer_226,src_Head-of-Government_136
src_Life-Event_441,src_Management-Organisation_170
src_Piece-of-Music_246,src_Representative-Institution_9
src_Intra-State-Group_469,src_Economic-Symbol_38
src_Organisation_35,src_Life-Event_406
src_Artistic-Movement_16,src_Minister_441
src_Organisation_381,src_Emperor_279
src_Scientific-Instrument_19,src_Armament_265
src_Engineer_413,src_Ritual_46
src_Governmental-Organisation_189,src_Publisher_148
src_Newspaper_443,src_Economic-Organisation_11
src_Location-Part-Relation_140,src_Philosopher_320
src_Event_381,src_Work-of-Art_214
src_Artefact_433,src_Sculpture_408
src_Work-of-Art_259,src_Musician_387
src_Church-Reformer_413,src_Economist_313
src_Leader_415,src_Discoverer_145
src_Ethnic-Group_316,src_Liturgical-Object_322
src_Diplomat_136,src_Organisation_210
src_University_335,src_Flavour_75
src_Language_261,src_Leader_149
src_Fictional-Event_395,src_Flavour_275
src_Architect_233,src_Sportsman_480
src_Geographer_370,src_Technical-Scientific-Advance_234
src_Location-Part-Relation_290,src_Economic-Symbol_53
src_Badge_286,src_Politician_43
src_Trial_231,src_Engineer_176
src_Work-of-Art_9,src_Location-Part-Relation_278
src_Economic-Organisation_367,src_Economic-Symbol_43
src_Train_477,src_Crime_458
src_International-Organisation_354,src_Politician_296
src_Masonic-Lodge_488,src_Political-Organisation_71
src_Population-Movement_316,src_Foreign-Minister_158
src_Theologian_27,src_Ritual_268
src_Philosopher_291,src_Time_352
src_Painter_351,src_Conceptual-Object_366
src_Head-of-State_216,src_Actor_180
src_Church_317,src_Animal_208
src_Sculptor_470,src_Time-Dependent-Relation_277
src_FuzzyTemporalInterval_43,src_Treaty_61
src_Ecclesiarch_63,src_Saint_273
src_Secular-Leader_410,src_Abbey_88
src_Clothing_380,src_FuzzyTemporalInterval_207
src_Battle_485,src_Relic_486
src_Pope_198,src_Publisher_100
src_Vehicle_276,src_Business-Leader_353
src_Inventor_73,src_Badge_466
src_Measurable-Trend_232,src_Location-Part-Relation_87
src_Inventor_262,src_Cultural-Organisation_4
src_Entertainer_127,src_Publisher_397
src_Scientist_142,src_Film-Maker_347
src_Treaty_331,src_Cultural-Agreement_172
src_Journal_359,src_Work-of-Art_32
src_Journalist_405,src_Period-in-Office_282
src_Psychologist_131,src_International-Alliance_182
src_Film-Maker_187,src_Settlement_485
src_Cleric_97,src_Time-Dependent_92
src_Ethnic-Group_324,src_Artistic-Movement_215
src_Pastime_278,src_Clerical-Leader_93
src_National-Symbol_112,src_Legislation_376
src_Entertainer_437,src_Sportsman_290
src_Minister_134,src_Economic-Symbol_123
src_Monastery_100,src_Flavour_415
src_Flavour_255,src_Trades-Union_260
src_Trade-Association_45,src_Newspaper_441
src_Trial_215,src_Cultural-Organisation_207
src_Fictional-Person_54,src_Artist_369
src_Flavour_337,src_National-Symbol_35
src_Ethnic-Group_230,src_Battle_399
src_Time-Dependent_100,src_Pastime_463
src_Food_105,src_Art-Form_203
src_Management-Organisation_54,src_Diplomat_444
src_Philosopher_32,src_Economic-Enterprise_172
src_Geographer_76,src_Population-Movement_112
src_Religious-Symbol_216,src_Meeting_311
src_Political-Organisation_405,src_Liturgical-Object_472
src_Artist_125,src_Battle_179
src_Language_466,src_Actor_343
src_Pamphlet_57,src_Film-Maker_392
src_Trial_77,src_Economic-Symbol_332
src_Water_244,src_Professor_163
src_Head-of-Government_165,src_Criminal_383
src_Person-Role_315,src_Public-Oration_231
src_Time_357,src_Intra-State-Group_16
src_Minister_215,src_Management-Organisation_259
src_Inventor_38,src_Cathedral_470
src_Sultan_240,src_Religious-Symbol_353
src_Magnate_199,src_Geographer_493
src_Intellectual-Movement_96,src_Ecclesiarch_231
src_Landmark_244,src_TemporalInterval_104
src_Church-Reformer_255,src_Abbey_410
src_Armament_45,src_Architect_227
src_Politician_266,src_Economic-Enterprise_109
src_Engineer_277,src_Water_301
src_Conductor_334,src_Population-Movement_98
src_Cathedral_314,src_Religious-Leader_114
src_Party_468,src_Geographical-Discovery_333
src_Structure_453,src_Emperor_334
src_International-Alliance_112,src_Other-Religious-Person_278
src_Professor_332,src_Public-Oration_4
src_Religious-Ideology_476,src_Battle_339
src_Secular-Leader_214,src_Religious-Symbol_159
src_Economic-Enterprise_367,src_Water_306
src_Object_115,src_Ethnic-Group_32
src_Stereotype-Group_236,src_Technical-Scientific-Advance_307
src_Economist_250,src_Functionary_201
src_Creator_442,src_Cleric_248
src_Criminal_387,src_Religious-Symbol_492
src_Monastery_395,src_VicodiOI_231
src_Illness_379,src_Philosopher_461
src_Artistic-Style_123,src_Other-Religious-Person_243
src_TemporalInterval_329,src_Religious-Community_227
src_Flavour_468,src_FuzzyTemporalInterval_355
src_Water_313,src_Party_383
src_Landmark_441,src_Liturgical-Object_24
src_Pamphlet_94,src_Military-Unit_474
src_Election_9,src_Diplomat_318
src_International-Alliance_133,src_Minister_90
src_Economic-Symbol_259,src_Cathedral_88
src_Trial_493,src_Scientist_461
src_Symbol_293,src_Ship_179
src_Journal_286,src_Jurist_105
src_Sportsman_38,src_Illness_59
src_Abstract-Notion_445,src_Party_122
src_Disaster_61,src_Trades-Union_461
src_Train_487,src_Time-Dependent-Relation_359
src_Battle_170,src_Journalist_249
src_Symbol_3,src_Object_393
src_Pamphlet_445,src_Theologian_145
src_Trades-Unionist_282,src_Religious-Ideology_449
src_Armament_168,src_Journal_139
src_Prince_71,src_Painter_70
src_Intellectual-Movement_235,src_Non-Military-Conflict_422
src_Language_90,src_Conceptual-Object_232
src_Military-Organisation_11,src_Publisher_258
src_Armament_34,src_Creator_321
src_Category_10,src_Other-Religious-Leader_487
src_Cleric_421,src_Period-in-Office_227
src_Category_411,src_Book_122
src_Church-Reformer_52,src_Building_183
src_Animal_12,src_Clothing_379
src_Event_434,src_Time-Dependent-Relation_40
src_Work-of-Art_120,src_International-Alliance_35
src_Location_95,src_Time-Dependent-Relation_1
src_Political-Symbol_487,src_Dancer_223
src_Dancer_191,src_Representative-Institution_306
src_Pamphlet_495,src_Pamphlet_54
src_Economic-Process_254,src_Composer_188
src_Inventor_338,src_Person-Role_443
src_Legislation_259,src_Religious-Practice_499
src_Fictional-Person_29,src_Physician_328
src_War_406,src_Artefact_66
src_Ship_292,src_Geographical-Discovery_187
src_Pamphlet_175,src_War_219
src_Pope_252,src_Journalist_185
src_Engineer_491,src_Social-Stratum_170
src_Composer_91,src_Entertainer_209
src_Astronaut_32,src_Physician_126
src_Meeting_160,src_Creator_189
src_Individual_450,src_Painter_336
src_Category_105,src_King_309
src_Church_270,src_Physician_137
src_Trial_110,src_Movement_361
src_Trades-Union_431,src_Ritual_436
src_Sportsman_182,src_Art-Form_267
src_Religious-Movement_181,src_Pollution_489
src_Economic-Enterprise_138,src_Movement_14
src_City_448,src_Professor_350
src_Economic-Process_426,src_Social-Group_456
src_Economic-Process_212,src_Organisation_321
src_Vehicle_482,src_War_168
src_Functionary_328,src_Representative-Institution_391
src_Social-Group_158,src_Liturgical-Object_248
src_Book_200,src_Dancer_83
src_Village_184,src_Entertainer_231
src_Secular-Movement_36,src_Church-Reformer_53
src_Piece-of-Music_444,src_Measurable-Trend_183
src_TemporalInterval_332,src_VicodiOI_267
src_Election_483,src_International-Organisation_212
src_Meeting_72,src_Artefact_394
src_Role_66,src_Religious-Practice_115
src_Period_295,src_Writing_137
src_Religious-Movement_289,src_Religious-Organisation_328
src_Period-in-Office_421,src_Ritual_64
src_Artefact_166,src_Social-Group_300
src_Ship_443,src_Board_418
src_Military-Unit_492,src_Religious-Movement_427
src_Illness_195,src_Election_423
src_Language_423,src_Landmark_462
src_Clothing_266,src_Time_314
src_Religious-Order_109,src_Artefact_105
src_Piece-of-Music_360,src_VicodiOI_439
src_Clothing_48,src_Party_70
src_Economic-Organisation_392,src_Animal_190
src_Sportsman_419,src_Leader_187
src_Geographical-Region_83,src_Ethnic-Group_46
src_Creator_134,src_Battle_244
src_Scandal_339,src_FuzzyTemporalInterval_478
src_Economist_248,src_Uprising_62
src_Journalist_293,src_Ritual_444
src_Life-Event_90,src_Economist_401
src_Military-Unit_192,src_Geographical-Discovery_356
src_Religious-Leader_136,src_Secular-Movement_206
src_Settlement_330,src_Economic-Enterprise_496
src_Flavour_164,src_Pope_357
src_Saint_12,src_VicodiOI_247
src_Geographical-Discovery_258,src_Liturgical-Object_84
src_Abbey_3,src_Head-of-State_272
src_Election_188,src_Emperor_264
src_Leader_375,src_Fictional-Person_443
src_Scientist_5,src_Vehicle_167
src_Pope_76,src_Management-Organisation_161
src_Settlement_288,src_Journal_116
src_Management-Organisation_109,src_Period_394
src_Conductor_475,src_Jurist_297
src_Business-Leader_495,src_Military-Organisation_86
src_Artistic-Style_250,src_Religious-Symbol_249
src_Water_273,src_Politician_32
src_Organisation_475,src_Jurist_42
src_Sculpture_171,src_Intellectual-Movement_448
src_Fictional-Event_1,src_Composer_431
src_Cathedral_52,src_Economist_54
src_Film-Maker_220,src_Liturgical-Object_62
src_Economic-Process_393,src_Scandal_139
src_Cultural-Organisation_456,src_Architect_195
src_Astronaut_117,src_Geographer_87
src_Religious-Movement_75,src_Saint_318
src_VicodiOI_305,src_Intellectual-Movement_157
src_Location_174,src_Clothing_173
src_Ethnic-Group_195,src_Armament_173
