src_Settlement_442,src_Head-of-State_270
src_King_24,src_Ideology_285
src_Technical-Scientific-Advance_447,src_Scientist_365
src_Object_128,src_Geographical-Discovery_122
src_Philosopher_243,src_Astronaut_1
src_Economic-Symbol_470,src_Saint_204
src_Art-Form_214,src_Representative-Institution_53
src_Ship_446,src_Church-Reformer_483
src_Secular-Ideology_483,src_Creator_425
src_Movement_325,src_Entertainer_436
src_Book_306,src_Food_30
src_City_81,src_Politician_20
src_Economic-Organisation_127,src_Jurist_164
src_Religious-Movement_277,src_Secular-Ideology_103
src_Governmental-Organisation_401,src_Pope_66
src_Organisation_136,src_Religious-Ideology_405
src_Religious-Symbol_17,src_Church-Reformer_369
src_Theologian_461,src_Intellectual-Movement_12
src_Writing_303,src_Sultan_247
src_Pollution_498,src_Intra-State-Group_31
src_Trades-Union_405,src_Diplomat_137
src_Social-Stratum_199,src_Economic-Organisation_452
src_Masonic-Lodge_496,src_Liturgical-Object_445
src_Structure_209,src_Foreign-Minister_194
src_Cultural-Agreement_40,src_Economic-Enterprise_89
src_Geographical-Discovery_476,src_Business-Leader_475
src_Trial_301,src_Other-Religious-Leader_241
src_Clothing_431,src_Church-Reformer_439
src_Scientist_121,src_Political-Organisation_240
src_Representative-Institution_377,src_Work-of-Art_15
src_Theologian_99,src_Musician_475
src_Commodity_479,src_Time-Dependent_358
src_Masonic-Lodge_252,src_Conductor_20
src_Measurable-Trend_35,src_Military-Organisation_123
src_Badge_5,src_Economic-Enterprise_87
src_Treaty_292,src_Dancer_0
src_Secular-Leader_249,src_Religious-Ideology_148
src_Painter_292,src_Functionary_32
src_Pamphlet_177,src_Work-of-Art_167
src_Author_16,src_Landmark_118
src_Clothing_328,src_Architect_2
src_Person-Role_152,src_Discoverer_246
src_Musician_414,src_Time-Dependent-Relation_334
src_Leader_30,src_Movement_490
src_Philanthropist_359,src_Election_394
src_Diplomat_373,src_Scandal_334
src_Functionary_47,src_Journal_114
src_Diplomat_399,src_Badge_160
src_Dynasty_117,src_Philosopher_84
src_Geographical-Region_117,src_Fictional-Person_65
src_Election_165,src_Geographer_394
src_TemporalInterval_87,src_Time-Dependent_238
src_Country_404,src_Diplomat_465
src_Representative-Institution_447,src_Disease_347
src_Ritual_352,src_Cultural-Agreement_191
src_Dramaturge_28,src_Language_33
src_Ethnic-Group_486,src_Commodity_226
src_Disaster_329,src_Educational-Organisation_437
src_Trial_430,src_Journal_14
src_TemporalInterval_489,src_Foreign-Minister_34
src_Natural-Object_279,src_Disaster_386
src_Individual_137,src_Natural-Object_127
src_Uprising_258,src_Clerical-Leader_347
src_Fictional-Person_452,src_Legislation_497
src_Time-Dependent_349,src_Field-of-Knowledge_303
src_Astronaut_216,src_University_293
src_Sportsman_441,src_Religious-Practice_486
src_Ethnic-Group_467,src_Geographical-Discovery_271
src_Sculptor_313,src_War_432
src_Economist_213,src_Journal_488
src_Philosopher_490,src_Pope_185
src_Theologian_405,src_Field-of-Knowledge_12
src_Population-Movement_315,src_Cleric_215
src_Journalist_90,src_Writing_4
src_Painting_73,src_Scientific-Instrument_28
src_Symbol_65,src_Entertainer_33
src_Scientist_222,src_Uprising_496
src_Creator_247,src_Battle_27
src_Illness_155,src_Ethnic-Group_98
src_Political-Symbol_373,src_Flavour_18
src_Disease_367,src_Location_423
src_Theologian_263,src_Stereotype-Group_72
src_Object_111,src_Social-Stratum_189
src_FuzzyTemporalInterval_491,src_Village_300
src_Event_45,src_Role_66
src_Religious-Community_245,src_Role_376
src_Language_319,src_Ship_25
src_Saint_286,src_Book_372
src_Diplomat_315,src_Philosopher_311
src_TemporalInterval_399,src_City_255
src_Ritual_14,src_Cultural-Organisation_111
src_Settlement_129,src_Other-Religious-Person_293
src_Functionary_255,src_Film-Maker_205
src_Musician_448,src_Military-Organisation_203
src_Language_243,src_Measurable-Trend_79
src_Role_374,src_Treaty_72
src_Military-Organisation_152,src_Religious-Community_330
src_Military-Person_259,src_Professor_195
src_Church_219,src_League_434
src_Commodity_412,src_Minister_298
src_Sculpture_344,src_Relic_21
src_Painting_281,src_Theologian_244
src_Religious-Practice_142,src_Population-Movement_388
src_Magnate_92,src_Cleric_479
src_Geographer_341,src_Social-Group_341
src_Geographer_286,src_Time_459
src_Economic-Enterprise_350,src_Religious-Practice_309
src_Person-Role_351,src_Sculpture_436
src_Religious-Organisation_27,src_Functionary_355
src_Economic-Enterprise_339,src_Time-Dependent_431
src_Social-Group_461,src_Event_191
src_Jurist_77,src_Cathedral_286
src_Clothing_180,src_Stereotype-Group_11
src_Dramaturge_256,src_Architect_318
src_Entertainer_443,src_Abbey_277
src_Commodity_21,src_Event_444
src_Uprising_225,src_Art-Form_327
src_Book_162,src_Individual_461
src_Vehicle_256,src_Painter_436
src_Ideology_11,src_Philanthropist_327
src_Composer_174,src_Conceptual-Object_265
src_Structure_85,src_Management-Organisation_46
src_Criminal_397,src_Artistic-Movement_37
src_Intellectual-Construct_228,src_Abstract-Notion_208
src_Pollution_122,src_Sculptor_196
src_Election_450,src_FuzzyTemporalInterval_140
src_Ecclesiarch_123,src_City_256
src_Cultural-Agreement_480,src_Trial_39
src_Geographical-Discovery_270,src_Sultan_66
src_Artistic-Movement_269,src_Work-of-Art_142
src_Abbey_496,src_Religious-Leader_234
src_Astronaut_487,src_Geographical-Discovery_325
src_Geographical-Region_445,src_Foreign-Minister_378
src_Monastery_435,src_Economist_233
src_Village_497,src_Geographical-Feature_91
src_Fictional-Event_270,src_Military-Person_15
src_Magnate_54,src_Period_215
src_National-Symbol_152,src_Idea_138
src_Ecclesiarch_286,src_Functionary_283
src_Legislation_63,src_Ritual_240
src_Dramaturge_327,src_Flavour_182
src_King_102,src_Party_252
src_Armament_146,src_Organisation_452
src_Life-Event_219,src_Settlement_53
src_International-Alliance_403,src_Landmark_388
src_Publisher_327,src_Physician_482
src_Idea_329,src_Inventor_121
src_Painter_378,src_Physician_71
src_Environment_124,src_Abstract-Notion_496
src_Time-Dependent_101,src_Environment_114
src_Dancer_72,src_Person_40
src_Village_62,src_Village_351
src_Social-Group_16,src_Abbey_372
src_Clerical-Leader_340,src_Church_33
src_Badge_326,src_Other-Religious-Person_292
src_Environment_110,src_International-Organisation_324
src_Abstract-Notion_279,src_University_343
src_Work-of-Art_258,src_Jurist_261
src_Geographical-Discovery_469,src_Psychologist_330
src_Diplomat_67,src_Newspaper_295
src_Fictional-Person_186,src_Clothing_103
src_Philanthropist_169,src_Trade-Association_365
src_Ideology_408,src_Time_307
src_Category_118,src_Other-Religious-Leader_21
src_Leader_445,src_Geographical-Discovery_96
src_Badge_248,src_Business-Leader_211
src_Military-Unit_138,src_Secular-Leader_479
src_Religious-Symbol_435,src_Individual_103
src_Psychologist_401,src_Time_10
src_Business-Leader_273,src_Time-Dependent-Relation_301
src_Church-Reformer_384,src_Business-Leader_86
src_Religious-Order_261,src_Sculptor_392
src_Measurable-Trend_145,src_Artistic-Style_350
src_Prince_55,src_Trial_98
src_Military-Person_158,src_Prince_50
src_Criminal_12,src_Author_245
src_Geographical-Region_497,src_Political-Region_432
src_Scientific-Instrument_120,src_Secular-Leader_133
src_Painter_182,src_Military-Person_486
src_Water_445,src_Legislation_220
src_Intellectual-Construct_493,src_Meeting_14
src_Minister_63,src_Prince_240
src_Village_306,src_Animal_4
src_Language_392,src_Architect_479
src_Event_125,src_Vehicle_166
src_Psychologist_55,src_Sculptor_149
src_Country_73,src_Secular-Ideology_91
src_Object_250,src_Armament_484
src_Settlement_95,src_Intellectual-Construct_59
src_National-Symbol_297,src_Business-Leader_123
src_Book_442,src_Sculptor_100
src_Cultural-Agreement_26,src_Sultan_220
src_Treaty_381,src_Badge_492
src_Engineer_112,src_Art-Form_209
src_Saint_450,src_Diplomat_408
src_Pamphlet_142,src_Economist_282
src_Work-of-Art_183,src_Fictional-Person_466
src_Ritual_147,src_Leader_449
src_Relic_45,src_Party_175
src_Category_258,src_Location_407
src_Role_455,src_Population-Movement_305
src_International-Organisation_165,src_Head-of-State_337
src_Role_197,src_Time_365
src_Social-Group_335,src_Educational-Organisation_441
src_Party_62,src_Flavour_110
src_Social-Stratum_343,src_Armament_432
src_Politician_352,src_Secular-Movement_388
src_Governmental-Organisation_376,src_Leader_70
src_Fictional-Event_117,src_Scientist_142
src_FuzzyTemporalInterval_325,src_Ecclesiarch_434
src_Philosopher_93,src_Commodity_416
src_Journal_459,src_Geographical-Discovery_100
src_Badge_128,src_League_436
src_Religious-Organisation_200,src_Leader_290
src_Clothing_11,src_Crime_28
src_Trade-Association_100,src_Architect_284
src_Stereotype-Group_255,src_Publisher_10
src_Political-Organisation_195,src_Cultural-Agreement_78
src_Structure_223,src_Location-Part-Relation_402
src_Public-Oration_36,src_Physician_341
src_Life-Event_433,src_Functionary_496
src_Cultural-Organisation_78,src_League_113
src_Philosopher_225,src_Individual_343
src_Artefact_422,src_University_129
src_Cultural-Agreement_83,src_Non-Military-Conflict_410
src_Sultan_90,src_Artist_46
src_Painting_267,src_TemporalInterval_109
src_Composer_225,src_Functionary_387
src_Election_392,src_International-Organisation_109
src_Role_213,src_Journalist_483
src_Symbol_475,src_Natural-Object_371
src_Party_31,src_Economic-Organisation_132
src_Time_143,src_Trades-Unionist_421
src_Board_127,src_Train_418
src_University_0,src_Religious-Order_445
src_Saint_258,src_Clothing_190
src_Building_94,src_Vehicle_427
src_Church-Reformer_289,src_Person_379
src_Functionary_373,src_Leader_383
src_Settlement_346,src_Criminal_27
src_Sculptor_51,src_Social-Stratum_460
src_Abbey_59,src_Educational-Organisation_194
src_Structure_215,src_Painting_157
src_Journal_304,src_Disaster_258
src_Secular-Movement_66,src_University_303
src_Structure_223,src_VicodiOI_457
src_Theologian_334,src_International-Alliance_121
src_Event_343,src_Governmental-Organisation_325
src_Election_109,src_Treaty_10
src_Election_127,src_Religious-Community_263
src_Organisation_256,src_Armament_110
src_Writing_29,src_Clerical-Leader_306
src_Work-of-Art_33,src_Piece-of-Music_433
src_Badge_349,src_Theologian_52
src_Art-Form_407,src_Clothing_234
src_Liturgical-Object_174,src_Structure_374
src_Scientist_183,src_Period_44
src_Category_433,src_Treaty_411
src_Cleric_30,src_Publisher_428
src_Astronaut_319,src_Language_396
src_Sultan_223,src_Ship_452
src_Relic_437,src_Painting_382
src_Sultan_303,src_Scientist_13
src_Religious-Symbol_335,src_Clerical-Leader_270
src_Economic-Organisation_241,src_Treaty_489
src_Natural-Object_59,src_Geographer_395
src_Other-Religious-Person_434,src_Art-Form_269
src_Illness_60,src_Trades-Union_151
src_Cultural-Organisation_276,src_Philanthropist_400
src_Painting_66,src_Politician_470
src_Population-Movement_384,src_Head-of-State_238
src_Religious-Leader_482,src_Sportsman_101
src_Theologian_45,src_Criminal_146
src_Structure_396,src_FuzzyTemporalInterval_423
src_Geographical-Region_343,src_Political-Region_384
src_Head-of-State_234,src_Magnate_167
src_Religious-Movement_55,src_Military-Person_378
src_Ritual_460,src_Diplomat_236
src_Period_104,src_Vehicle_374
src_Stereotype-Group_36,src_Engineer_455
src_Functionary_173,src_Crime_206
src_Badge_461,src_Natural-Object_360
src_Religious-Organisation_75,src_Economic-Organisation_255
src_Event_461,src_Commodity_244
src_Magnate_153,src_Trades-Union_146
src_Pope_152,src_Sculpture_496
src_Saint_211,src_Philosopher_181
src_Geographical-Region_247,src_Movement_204
src_Stereotype-Group_81,src_Religious-Order_314
src_Treaty_280,src_Intellectual-Construct_216
src_Creator_320,src_Intellectual-Movement_42
src_Inventor_163,src_Entertainer_454
src_Movement_445,src_Trial_451
src_Actor_40,src_Inventor_326
src_Clerical-Leader_294,src_Head-of-Government_106
src_Journal_93,src_Journal_404
src_Water_142,src_Train_286
src_Idea_166,src_Secular-Ideology_13
src_Theologian_30,src_TemporalInterval_214
src_Meeting_321,src_Economic-Symbol_349
src_Social-Group_452,src_Piece-of-Music_190
src_Painting_138,src_Population-Movement_98
src_Engineer_5,src_Abbey_130
src_Educational-Organisation_425,src_Dancer_119
src_Inventor_344,src_Other-Religious-Person_165
src_Architect_64,src_Pamphlet_73
src_Election_354,src_Symbol_135
src_Fictional-Event_268,src_Scientific-Instrument_246
src_Governmental-Organisation_194,src_Monastery_222
src_Professor_468,src_Board_268
src_Pamphlet_264,src_Building_184
src_Religious-Order_171,src_Life-Event_9
src_Settlement_251,src_Secular-Ideology_291
src_Dramaturge_317,src_Natural-Object_134
src_University_352,src_Trades-Union_196
src_Dynasty_402,src_Legislation_183
src_Ship_386,src_Diplomat_92
src_Intellectual-Movement_76,src_Magnate_336
src_Sultan_434,src_Inventor_341
src_Church-Reformer_424,src_Cultural-Organisation_398
src_Flavour_10,src_Event_1
src_Period-in-Office_273,src_Commodity_498
src_Newspaper_208,src_Social-Stratum_37
src_Journal_45,src_Newspaper_93
src_Sculptor_209,src_Discoverer_219
src_Uprising_61,src_Economic-Process_78
src_Ship_148,src_Other-Religious-Leader_112
src_Economist_426,src_Art-Form_107
src_Composer_50,src_Economic-Symbol_99
src_National-Symbol_12,src_Church-Reformer_99
src_Period-in-Office_297,src_Economic-Symbol_271
src_Event_340,src_Illness_68
src_Cathedral_99,src_Religious-Ideology_200
src_Conductor_427,src_Trades-Union_318
src_Village_193,src_Economic-Enterprise_222
src_Military-Organisation_359,src_Intellectual-Movement_2
src_Painting_471,src_Philanthropist_496
src_Geographical-Feature_2,src_Psychologist_399
src_Meeting_28,src_Trade-Association_222
src_Dancer_256,src_Piece-of-Music_336
src_Professor_111,src_Pope_59
src_Religious-Community_383,src_Crime_492
src_Public-Oration_346,src_Geographical-Region_343
src_Dramaturge_169,src_Train_76
src_Church_140,src_Religious-Organisation_385
src_Legislation_232,src_Sculpture_316
src_Queen_240,src_Magnate_149
src_Prince_415,src_Philosopher_62
src_Dancer_162,src_Conductor_423
src_Country_379,src_Scientific-Instrument_456
src_Trades-Union_323,src_Business-Leader_6
src_Uprising_202,src_Liturgical-Object_93
src_Life-Event_174,src_Clerical-Leader_77
src_Secular-Movement_28,src_Military-Organisation_221
src_Geographical-Discovery_46,src_Natural-Object_157
src_Pamphlet_118,src_Military-Unit_128
src_Artistic-Movement_192,src_Object_356
src_International-Alliance_289,src_Geographer_122
src_Journalist_120,src_Magnate_367
src_Trade-Association_465,src_Vehicle_150
src_Prince_360,src_King_117
src_Artist_280,src_Fictional-Event_221
src_Cultural-Organisation_302,src_Category_325
src_Intellectual-Movement_82,src_Natural-Object_99
src_Sculptor_112,src_Theologian_447
src_Ideology_172,src_Religious-Community_450
src_Philosopher_472,src_Conductor_499
src_Masonic-Lodge_11,src_Ideology_213
src_Pollution_3,src_Actor_228
src_Newspaper_271,src_Person_358
src_Flavour_187,src_Professor_174
src_Religious-Movement_34,src_Artistic-Style_128
src_Dynasty_103,src_Criminal_16
src_Artist_236,src_University_453
src_Party_168,src_Building_350
src_Political-Symbol_434,src_Animal_131
src_Piece-of-Music_323,src_Economist_219
src_Pamphlet_65,src_Foreign-Minister_447
src_Secular-Movement_179,src_Trade-Association_463
src_Political-Organisation_362,src_Physician_333
src_Astronaut_417,src_Ecclesiarch_78
src_Pollution_333,src_Painting_425
src_Time_367,src_Economic-Enterprise_323
src_Religious-Ideology_156,src_Geographer_305
src_Ritual_128,src_League_369
src_Ethnic-Group_430,src_League_172
src_Cleric_143,src_Measurable-Trend_101
src_Business-Leader_342,src_Religious-Community_315
src_Sultan_381,src_Fictional-Person_169
src_Economic-Enterprise_499,src_Magnate_375
src_Emperor_162,src_VicodiOI_154
src_Cultural-Agreement_59,src_Geographical-Discovery_141
src_International-Alliance_337,src_International-Alliance_443
src_Masonic-Lodge_330,src_Foreign-Minister_436
src_Technical-Scientific-Advance_406,src_Clothing_75
src_Measurable-Trend_46,src_Public-Oration_455
src_Sculpture_40,src_Writing_390
src_Ecclesiarch_31,src_Monastery_180
src_Astronaut_369,src_Symbol_188
src_Artefact_117,src_King_9
src_Board_18,src_Emperor_72
src_Military-Unit_14,src_Secular-Movement_261
src_Location-Part-Relation_490,src_Economic-Enterprise_306
src_Religious-Organisation_479,src_Food_47
src_Intellectual-Movement_14,src_Location-Part-Relation_141
src_Functionary_103,src_Board_250
src_Military-Organisation_299,src_Flavour_245
src_Relic_169,src_Abstract-Notion_399
src_Economic-Organisation_149,src_Ritual_5
src_Sportsman_409,src_Religious-Leader_86
src_Economist_460,src_Flavour_134
src_Film-Maker_115,src_Newspaper_413
src_Management-Organisation_382,src_Work-of-Art_245
src_International-Organisation_133,src_Abbey_206
src_Badge_265,src_Life-Event_220
src_Movement_243,src_Country_309
src_Religious-Symbol_216,src_Landmark_154
src_Foreign-Minister_2,src_Person-Role_119
src_Psychologist_199,src_Trade-Association_246
src_Uprising_152,src_Country_99
src_Religious-Organisation_197,src_Political-Organisation_359
src_National-Symbol_272,src_Settlement_377
src_Economist_303,src_Artefact_38
src_Country_476,src_Election_293
src_Badge_252,src_Economist_282
src_Sculpture_163,src_Clothing_92
src_Work-of-Art_492,src_Criminal_166
src_Population-Movement_65,src_Religious-Practice_59
src_Election_167,src_Uprising_210
src_Political-Organisation_292,src_Clerical-Leader_209
src_Management-Organisation_296,src_Party_94
src_Person_422,src_Event_149
src_Pollution_320,src_Painting_289
src_King_460,src_Secular-Movement_173
src_Secular-Ideology_487,src_Intellectual-Construct_443
src_Philanthropist_322,src_Painter_307
src_Sultan_115,src_Inventor_439
src_Intellectual-Construct_273,src_TemporalInterval_232
src_Dancer_61,src_Dramaturge_237
src_Artist_27,src_Geographical-Feature_247
src_Religious-Ideology_357,src_Treaty_268
src_Abstract-Notion_439,src_Abstract-Notion_62
src_VicodiOI_15,src_Religious-Practice_45
src_City_259,src_Saint_485
src_Diplomat_262,src_Trades-Union_101
src_Economic-Enterprise_215,src_Sultan_352
src_Commodity_126,src_Religious-Ideology_442
src_Person-Role_166,src_Meeting_17
src_Secular-Leader_43,src_Battle_319
src_Illness_409,src_Non-Military-Conflict_263
src_Philanthropist_389,src_Piece-of-Music_363
src_Cultural-Organisation_165,src_Monastery_120
src_Author_483,src_Emperor_33
src_TemporalInterval_399,src_Scientist_355
src_Scientific-Instrument_434,src_Other-Religious-Leader_490
src_Military-Unit_219,src_Cultural-Agreement_262
src_Cleric_117,src_Artistic-Movement_157
src_Head-of-Government_215,src_Time_336
src_Religious-Leader_405,src_Military-Organisation_313
src_Trial_470,src_Composer_52
src_Ship_391,src_Secular-Ideology_230
src_Fictional-Person_484,src_Psychologist_307
src_Head-of-Government_486,src_Fictional-Event_317
src_Disaster_50,src_Scientist_33
src_Functionary_116,src_FuzzyTemporalInterval_130
src_Natural-Object_180,src_Painting_65
src_Illness_82,src_Political-Symbol_452
src_Time-Dependent-Relation_356,src_Non-Military-Conflict_320
src_Clerical-Leader_394,src_Actor_33
src_Economic-Organisation_394,src_Geographical-Region_410
src_Foreign-Minister_494,src_Sculpture_273
src_Representative-Institution_423,src_Religious-Order_400
src_Ritual_424,src_Legislation_268
src_Political-Region_84,src_Religious-Symbol_274
src_Clothing_57,src_Landmark_40
src_Battle_258,src_Creator_250
src_International-Organisation_224,src_TemporalInterval_326
src_Newspaper_201,src_Uprising_67
src_Film-Maker_85,src_Queen_269
src_Religious-Symbol_326,src_Role_302
src_Cultural-Agreement_168,src_Leader_400
src_Geographical-Feature_159,src_Armament_188
src_Geographical-Discovery_394,src_Non-Military-Conflict_304
src_Cultural-Agreement_232,src_Pamphlet_257
src_Flavour_240,src_Disease_392
src_Village_293,src_Scientific-Instrument_361
src_Pamphlet_136,src_Secular-Ideology_111
src_Secular-Movement_176,src_Ethnic-Group_7
src_Pollution_361,src_Legislation_96
src_Author_377,src_Philosopher_105
src_Business-Leader_476,src_Publisher_377
src_Religious-Practice_242,src_Period-in-Office_445
src_Abstract-Notion_167,src_Composer_47
src_Philanthropist_226,src_Criminal_370
src_Political-Region_371,src_Economic-Organisation_83
src_Cathedral_244,src_Intellectual-Construct_471
src_Economic-Organisation_11,src_Entertainer_96
src_Masonic-Lodge_202,src_Landmark_418
src_Representative-Institution_448,src_Author_466
src_Book_136,src_Author_185
src_Disease_84,src_Economist_56
src_Artistic-Movement_437,src_Painter_301
src_Period_201,src_Architect_226
src_International-Alliance_38,src_Intra-State-Group_426
src_Abbey_181,src_Geographical-Region_127
src_Inventor_375,src_League_35
src_Individual_49,src_Painting_292
src_Period-in-Office_251,src_International-Organisation_227
src_International-Alliance_224,src_Armament_287
src_Dynasty_412,src_Time-Dependent-Relation_194
src_Vehicle_3,src_Relic_292
src_Sculptor_130,src_Management-Organisation_75
src_Political-Symbol_136,src_Pollution_246
src_Cultural-Organisation_271,src_TemporalInterval_404
src_Jurist_389,src_Flavour_278
src_Period-in-Office_405,src_Monastery_434
src_Professor_355,src_Treaty_207
src_Settlement_337,src_Head-of-State_40
src_Foreign-Minister_317,src_Psychologist_256
src_Trade-Association_140,src_Commodity_484
src_Other-Religious-Leader_172,src_Badge_353
src_Idea_350,src_Trade-Association_130
src_Life-Event_110,src_Crime_45
src_Trade-Association_472,src_Trades-Union_370
src_Business-Leader_25,src_Scientist_8
src_Category_47,src_Time_205
src_Measurable-Trend_314,src_Saint_323
src_Illness_388,src_Head-of-State_164
src_Writing_32,src_Military-Unit_470
src_Musician_364,src_Organisation_319
src_Abstract-Notion_164,src_Individual_361
src_Armament_447,src_Symbol_255
