src_Object_305,src_Ethnic-Group_139
src_Political-Symbol_438,src_International-Alliance_130
src_Building_2,src_Flavour_290
src_Intra-State-Group_275,src_International-Organisation_67
src_Period_427,src_Painting_168
src_Fictional-Event_344,src_Minister_384
src_Intra-State-Group_421,src_Geographical-Feature_130
src_Time-Dependent-Relation_127,src_Queen_264
src_Head-of-Government_479,src_Piece-of-Music_265
src_Sultan_111,src_Animal_61
src_Religious-Practice_354,src_Natural-Object_464
src_Economic-Enterprise_150,src_Technical-Scientific-Advance_194
src_Train_21,src_Treaty_46
src_Dramaturge_216,src_Composer_126
src_Period-in-Office_417,src_Intellectual-Construct_435
src_Disease_239,src_Political-Symbol_255
src_Fictional-Event_420,src_Pastime_207
src_Religious-Practice_479,src_King_240
src_FuzzyTemporalInterval_319,src_Diplomat_58
src_FuzzyTemporalInterval_445,src_Inventor_99
src_Painting_474,src_Professor_342
src_Head-of-State_225,src_Religious-Leader_467
src_Head-of-Government_121,src_Meeting_251
src_Functionary_377,src_Astronaut_190
src_Party_394,src_Ship_193
src_Settlement_274,src_Military-Person_391
src_Sultan_370,src_Economic-Organisation_4
src_Object_436,src_Flavour_368
src_Crime_26,src_Secular-Leader_303
src_Sculpture_411,src_Intellectual-Movement_33
src_Trades-Unionist_32,src_Monastery_65
src_Saint_170,src_Minister_443
src_Governmental-Organisation_172,src_Painting_499
src_Technical-Scientific-Advance_84,src_University_6
src_Author_399,src_Symbol_323
src_Idea_247,src_Period_35
src_Economic-Symbol_288,src_Architect_90
src_Religious-Movement_122,src_Dancer_314
src_Journalist_447,src_Environment_126
src_Military-Unit_297,src_Commodity_424
src_Dancer_75,src_Conductor_76
src_League_229,src_Non-Military-Conflict_113
src_Dramaturge_6,src_Disaster_395
src_Military-Organisation_378,src_Astronaut_231
src_Building_105,src_Cultural-Organisation_302
src_VicodiOI_391,src_Flavour_348
src_Economic-Enterprise_2,src_Journal_214
src_Object_333,src_Journalist_260
src_Uprising_439,src_Military-Organisation_96
src_Structure_214,src_League_496
src_Religious-Leader_354,src_Secular-Movement_151
src_Cultural-Organisation_461,src_Clerical-Leader_235
src_Settlement_408,src_Artistic-Movement_108
src_Public-Oration_260,src_Party_193
src_Diplomat_344,src_Legislation_135
src_Queen_292,src_Natural-Object_290
src_Psychologist_215,src_Film-Maker_248
src_Movement_61,src_City_323
src_Governmental-Organisation_143,src_Artistic-Movement_367
src_Business-Leader_253,src_Geographical-Region_201
src_Intellectual-Movement_470,src_Building_423
src_Party_335,src_Symbol_499
src_Artist_74,src_Liturgical-Object_48
src_Ship_13,src_Artistic-Style_0
src_Dynasty_304,src_Economic-Symbol_444
src_Vehicle_320,src_Pamphlet_318
src_Diplomat_59,src_Ideology_117
src_Geographer_261,src_Object_304
src_Religious-Practice_171,src_International-Alliance_120
src_Piece-of-Music_447,src_Person-Role_108
src_Badge_128,src_Cleric_15
src_King_141,src_Location_289
src_Legislation_370,src_Military-Unit_55
src_Church-Reformer_450,src_Philosopher_193
src_Foreign-Minister_312,src_Religious-Organisation_58
src_VicodiOI_404,src_Governmental-Organisation_443
src_TemporalInterval_291,src_Conceptual-Object_434
src_Geographical-Region_284,src_Ethnic-Group_347
src_Landmark_485,src_Country_24
src_Physician_62,src_Musician_204
src_Clerical-Leader_260,src_Composer_62
src_Inventor_195,src_Cultural-Agreement_272
src_Business-Leader_294,src_Clerical-Leader_320
src_Pollution_108,src_Religious-Practice_464
src_Country_225,src_Social-Stratum_290
src_Geographical-Feature_230,src_Dancer_363
src_Economist_62,src_Religious-Order_132
src_Settlement_322,src_Train_255
src_Crime_243,src_Religious-Symbol_100
src_Philosopher_411,src_Other-Religious-Leader_24
src_Military-Unit_250,src_Masonic-Lodge_179
src_Discoverer_481,src_King_458
src_King_134,src_Disaster_232
src_Organisation_129,src_Philosopher_498
src_Non-Military-Conflict_74,src_National-Symbol_415
src_Dancer_459,src_Politician_273
src_Conductor_199,src_Geographer_346
src_FuzzyTemporalInterval_251,src_Professor_99
src_Intra-State-Group_408,src_Public-Oration_458
src_Non-Military-Conflict_73,src_Role_109
src_Environment_253,src_Time-Dependent-Relation_11
src_Publisher_298,src_Dramaturge_299
src_Trades-Unionist_255,src_Musician_344
src_Actor_119,src_Geographical-Region_230
src_Cultural-Organisation_423,src_Ship_59
src_Person_41,src_Representative-Institution_2
src_Geographer_152,src_Illness_378
src_Criminal_173,src_Population-Movement_121
src_Clothing_436,src_Object_211
src_Representative-Institution_183,src_Village_466
src_Religious-Ideology_315,src_Film-Maker_267
src_Philanthropist_213,src_Meeting_438
src_Foreign-Minister_56,src_National-Symbol_428
src_Religious-Organisation_431,src_Abbey_397
src_International-Alliance_281,src_Treaty_47
src_Landmark_494,src_Business-Leader_406
src_Writing_20,src_Pastime_341
src_Publisher_346,src_Psychologist_142
src_Conceptual-Object_226,src_Landmark_389
src_Professor_338,src_Astronaut_201
src_League_102,src_Writing_348
src_Crime_24,src_Abbey_377
src_Water_220,src_Trades-Unionist_383
src_Geographical-Discovery_75,src_Masonic-Lodge_452
src_Musician_64,src_Religious-Community_185
src_Philanthropist_346,src_Dancer_101
src_Prince_102,src_Person_166
src_Clerical-Leader_484,src_Economic-Organisation_463
src_Symbol_276,src_Geographical-Feature_116
src_Abbey_20,src_Ethnic-Group_460
src_Artistic-Style_461,src_Scandal_317
src_Structure_232,src_Movement_263
src_Religious-Ideology_66,src_Theologian_270
src_Religious-Symbol_63,src_Event_106
src_Conceptual-Object_128,src_Business-Leader_277
src_Trial_132,src_Entertainer_444
src_City_467,src_Saint_112
src_Battle_459,src_Fictional-Event_39
src_Landmark_419,src_Monastery_207
src_Legislation_93,src_Piece-of-Music_91
src_Management-Organisation_203,src_Conceptual-Object_485
src_Scientific-Instrument_258,src_Queen_373
src_Educational-Organisation_163,src_Monastery_311
src_Creator_363,src_Newspaper_88
src_Queen_39,src_Economic-Symbol_431
src_Business-Leader_25,src_Composer_311
src_Period-in-Office_155,src_Emperor_469
src_Head-of-Government_454,src_Object_408
src_Journalist_482,src_Relic_329
src_Time-Dependent_173,src_Engineer_266
src_Discoverer_377,src_Pastime_263
src_Monastery_144,src_Geographical-Feature_331
src_Church_119,src_TemporalInterval_269
src_Stereotype-Group_139,src_International-Alliance_430
src_VicodiOI_264,src_Inventor_296
src_Artefact_483,src_Other-Religious-Leader_334
src_International-Alliance_148,src_Social-Stratum_443
src_Psychologist_178,src_Church-Reformer_33
src_Non-Military-Conflict_267,src_Conceptual-Object_306
src_Commodity_231,src_Meeting_497
src_Movement_288,src_Intra-State-Group_255
src_Environment_311,src_Language_158
src_Painter_192,src_Intellectual-Movement_96
src_Time-Dependent-Relation_301,src_Board_141
src_Conductor_229,src_Philanthropist_234
src_Secular-Leader_243,src_Emperor_186
src_Event_253,src_Person-Role_335
src_Diplomat_300,src_Scandal_106
src_Treaty_82,src_Sportsman_477
src_Water_403,src_Economic-Enterprise_297
src_Trades-Unionist_452,src_Sultan_268
src_Military-Person_443,src_Cleric_285
src_Natural-Object_276,src_Pollution_227
src_Conceptual-Object_18,src_Intellectual-Movement_309
src_Ship_10,src_Event_415
src_Public-Oration_191,src_Period-in-Office_254
src_Magnate_396,src_Period_310
src_Event_122,src_Fictional-Person_165
src_Ecclesiarch_335,src_Writing_404
src_Ideology_461,src_TemporalInterval_182
src_National-Symbol_30,src_Politician_269
src_Population-Movement_146,src_Ideology_122
src_Disaster_115,src_Trades-Unionist_445
src_Illness_33,src_King_369
src_Military-Person_79,src_Sultan_498
src_Water_92,src_Entertainer_16
src_Pollution_11,src_Ritual_85
src_Country_259,src_Church_12
src_Stereotype-Group_403,src_Dramaturge_293
src_Cultural-Organisation_103,src_Economic-Organisation_213
src_Event_51,src_Social-Stratum_118
src_Period_272,src_Geographical-Region_484
src_Life-Event_254,src_King_274
src_King_314,src_Psychologist_228
src_Military-Organisation_273,src_Magnate_171
src_Cathedral_453,src_Business-Leader_248
src_Sultan_478,src_City_250
src_Food_154,src_Economic-Enterprise_378
src_Philosopher_67,src_Religious-Symbol_57
src_Diplomat_202,src_Relic_473
src_Management-Organisation_334,src_Dynasty_490
src_Other-Religious-Person_226,src_Scientist_28
src_Astronaut_272,src_Abbey_117
src_Engineer_283,src_Other-Religious-Leader_80
src_Vehicle_168,src_Theologian_397
src_Time-Dependent_173,src_Legislation_241
src_Publisher_375,src_Queen_451
src_Flavour_130,src_Other-Religious-Leader_277
src_League_319,src_Technical-Scientific-Advance_381
src_Architect_74,src_Writing_71
src_TemporalInterval_54,src_Engineer_84
src_Author_382,src_Conductor_221
src_Commodity_345,src_Clothing_494
src_Sculpture_222,src_Military-Person_18
src_Politician_295,src_Liturgical-Object_444
src_Scientist_340,src_Event_329
src_Art-Form_81,src_Political-Region_400
src_Disaster_132,src_Ethnic-Group_387
src_Artist_384,src_Piece-of-Music_195
src_Religious-Movement_408,src_Church_288
src_Flavour_92,src_Foreign-Minister_372
src_Relic_412,src_Category_266
src_Religious-Leader_498,src_Theologian_239
src_Uprising_368,src_International-Alliance_311
src_Painter_139,src_Representative-Institution_122
src_Landmark_422,src_Work-of-Art_199
src_Entertainer_305,src_Economic-Enterprise_19
src_Journalist_191,src_Natural-Object_111
src_Landmark_306,src_Magnate_399
src_Person_299,src_Dancer_215
src_Painting_68,src_Dancer_280
src_Masonic-Lodge_47,src_Governmental-Organisation_332
src_Church_218,src_Entertainer_428
src_Ritual_395,src_Geographical-Discovery_379
src_Psychologist_163,src_Pastime_235
src_Dynasty_214,src_Structure_7
src_Magnate_79,src_Conductor_220
src_Sculpture_35,src_Other-Religious-Leader_114
src_Vehicle_255,src_Art-Form_496
src_Political-Symbol_123,src_Physician_373
src_Military-Unit_497,src_Artistic-Style_461
src_Party_200,src_Queen_314
src_Intellectual-Construct_143,src_Object_320
src_Secular-Ideology_389,src_Astronaut_45
src_Jurist_394,src_Stereotype-Group_391
src_Religious-Order_44,src_Book_79
src_Location_297,src_Ideology_303
src_Educational-Organisation_206,src_Creator_348
src_Business-Leader_145,src_Intra-State-Group_398
src_Economic-Process_419,src_Board_278
src_Writing_484,src_League_29
src_Field-of-Knowledge_212,src_Military-Unit_415
src_Newspaper_480,src_Musician_403
src_City_143,src_Political-Organisation_471
src_Physician_39,src_Pastime_44
src_Philosopher_115,src_Discoverer_451
src_Political-Region_138,src_Geographer_162
src_Functionary_149,src_Legislation_42
src_Church-Reformer_455,src_Natural-Object_287
src_Church-Reformer_92,src_Symbol_291
src_Artistic-Movement_137,src_Functionary_29
src_Dancer_110,src_Idea_224
src_Object_208,src_Person_228
src_Theologian_318,src_Disease_104
src_Object_415,src_Train_190
src_Economic-Process_143,src_Management-Organisation_402
src_Political-Symbol_52,src_Religious-Leader_190
src_Leader_228,src_Other-Religious-Leader_299
src_Pollution_92,src_Village_16
src_Psychologist_131,src_Church-Reformer_448
src_Church_1,src_Geographer_290
src_Population-Movement_91,src_Treaty_141
src_Book_382,src_Cultural-Organisation_290
src_Treaty_84,src_Commodity_486
src_Queen_6,src_Military-Organisation_41
src_Newspaper_163,src_Economic-Enterprise_393
src_FuzzyTemporalInterval_482,src_Engineer_421
src_Religious-Community_241,src_Religious-Leader_289
src_Newspaper_222,src_Religious-Order_435
src_Political-Region_482,src_Fictional-Person_352
src_King_128,src_Economic-Organisation_49
src_Sculptor_136,src_Religious-Community_46
src_Professor_374,src_Trades-Union_468
src_Artefact_19,src_Landmark_355
src_Party_395,src_Piece-of-Music_159
src_Creator_312,src_Party_456
src_Dynasty_226,src_Professor_166
src_Religious-Movement_464,src_Leader_59
src_Religious-Ideology_264,src_Religious-Ideology_99
src_Religious-Practice_383,src_Measurable-Trend_70
src_Symbol_284,src_Creator_128
src_Organisation_27,src_Ecclesiarch_15
src_Masonic-Lodge_114,src_Technical-Scientific-Advance_215
src_FuzzyTemporalInterval_320,src_Non-Military-Conflict_66
src_TemporalInterval_14,src_Creator_416
src_Party_0,src_Structure_144
src_Other-Religious-Leader_56,src_Head-of-State_225
src_Creator_429,src_FuzzyTemporalInterval_6
src_Category_299,src_Person_173
src_Dynasty_375,src_Sportsman_136
src_Discoverer_408,src_Pope_124
src_Other-Religious-Leader_409,src_Treaty_345
src_Educational-Organisation_202,src_Category_476
src_Dancer_281,src_Political-Symbol_369
src_Engineer_385,src_Inventor_215
src_Economic-Enterprise_39,src_Artistic-Movement_106
src_Piece-of-Music_168,src_Natural-Object_214
src_Armament_300,src_Religious-Leader_493
src_Commodity_312,src_Uprising_391
src_Field-of-Knowledge_296,src_Election_55
src_Train_65,src_Economic-Symbol_339
src_Astronaut_289,src_Language_205
src_Theologian_418,src_Trade-Association_20
src_Ethnic-Group_195,src_TemporalInterval_138
src_Train_167,src_Geographical-Discovery_255
src_Dancer_116,src_Trades-Unionist_316
src_Monastery_72,src_International-Alliance_199
src_Landmark_4,src_Illness_411
src_Jurist_168,src_Vehicle_472
src_Flavour_75,src_Cultural-Agreement_427
src_Liturgical-Object_224,src_War_105
src_Fictional-Event_91,src_Scientist_34
src_Board_327,src_Field-of-Knowledge_65
src_Trial_165,src_National-Symbol_4
src_University_481,src_Foreign-Minister_409
src_Jurist_109,src_Symbol_4
src_Musician_435,src_Conceptual-Object_152
src_Actor_316,src_International-Organisation_493
src_Economic-Process_479,src_Queen_453
src_Food_498,src_Newspaper_258
src_Astronaut_225,src_Time-Dependent-Relation_16
src_Religious-Ideology_214,src_Party_412
src_Scientist_370,src_Religious-Movement_180
src_Water_499,src_Location_96
src_Economic-Organisation_469,src_Philosopher_470
src_King_178,src_Religious-Ideology_282
src_Life-Event_258,src_Legislation_116
src_Journalist_420,src_Natural-Object_54
src_Animal_245,src_Meeting_67
src_Religious-Order_127,src_Badge_198
src_Commodity_37,src_Political-Organisation_141
src_Movement_142,src_Political-Symbol_254
src_Disaster_451,src_Inventor_139
src_Economist_275,src_Book_254
src_Geographer_54,src_Category_220
src_Non-Military-Conflict_350,src_Measurable-Trend_378
src_Disaster_50,src_Religious-Community_163
src_Idea_324,src_Religious-Organisation_21
src_Diplomat_387,src_Jurist_444
src_Inventor_390,src_Stereotype-Group_181
src_Piece-of-Music_317,src_Clerical-Leader_195
src_Role_225,src_Illness_437
src_Trade-Association_303,src_Geographer_94
src_Scandal_82,src_Secular-Movement_487
src_Author_237,src_Engineer_31
src_Economist_173,src_Water_197
src_Sultan_167,src_Party_48
src_Meeting_420,src_Abstract-Notion_395
src_Clothing_106,src_Trial_145
src_Technical-Scientific-Advance_398,src_Fictional-Event_234
src_Psychologist_376,src_Engineer_245
src_Organisation_137,src_Ship_79
src_Crime_342,src_War_432
src_Sculptor_323,src_Period-in-Office_174
src_Economic-Organisation_403,src_Commodity_41
src_Clerical-Leader_410,src_Book_67
src_Religious-Community_171,src_Painter_237
src_Stereotype-Group_261,src_Individual_287
src_Management-Organisation_66,src_Time_331
src_Functionary_220,src_Intellectual-Movement_339
src_Secular-Ideology_176,src_TemporalInterval_477
src_Scandal_0,src_Ritual_196
src_Social-Stratum_432,src_League_117
src_Secular-Movement_30,src_Crime_33
src_Clothing_68,src_Person-Role_101
src_Sculptor_171,src_Illness_283
src_Conductor_73,src_Environment_16
src_City_98,src_Dancer_475
src_Economic-Organisation_372,src_Creator_231
src_Social-Stratum_366,src_Event_495
src_Church-Reformer_33,src_Criminal_97
src_Public-Oration_379,src_Animal_172
src_Head-of-Government_236,src_Ethnic-Group_58
src_Geographical-Region_214,src_Church_6
src_Social-Stratum_352,src_Event_357
src_Jurist_467,src_Diplomat_28
src_Conceptual-Object_310,src_FuzzyTemporalInterval_234
src_Dancer_240,src_Geographical-Feature_227
src_Artistic-Style_164,src_Architect_235
src_Representative-Institution_109,src_Armament_286
src_Political-Organisation_400,src_Military-Organisation_186
src_Field-of-Knowledge_195,src_Ideology_484
src_Leader_320,src_Fictional-Event_53
src_Ideology_383,src_Population-Movement_304
src_VicodiOI_493,src_Sculptor_381
src_Election_158,src_Secular-Leader_28
src_Cleric_242,src_Geographical-Region_319
src_Social-Stratum_356,src_Saint_10
src_Political-Symbol_459,src_Economic-Symbol_473
src_Religious-Practice_267,src_Work-of-Art_41
src_Artefact_288,src_Diplomat_277
src_Social-Stratum_439,src_Legislation_437
src_Artistic-Style_218,src_Jurist_336
src_Location_120,src_Architect_54
src_Actor_130,src_Environment_492
src_Management-Organisation_181,src_Country_264
src_King_103,src_Food_14
src_Political-Organisation_201,src_Economic-Process_373
src_Prince_386,src_Psychologist_421
src_Time-Dependent_393,src_Diplomat_325
src_Armament_224,src_Train_432
src_Economic-Enterprise_223,src_Church-Reformer_273
src_Election_157,src_TemporalInterval_479
src_Minister_282,src_Period_0
src_Geographer_1,src_Work-of-Art_146
src_Public-Oration_421,src_Object_344
src_Other-Religious-Person_116,src_Economic-Enterprise_476
src_League_107,src_Musician_54
src_Author_12,src_Category_192
src_Person_17,src_Newspaper_405
src_Philanthropist_315,src_Natural-Object_223
src_Period_465,src_Commodity_186
src_Engineer_100,src_Ecclesiarch_280
src_Inventor_323,src_Monastery_307
src_Non-Military-Conflict_402,src_Religious-Order_278
src_TemporalInterval_428,src_Population-Movement_378
src_Publisher_30,src_Ideology_142
src_Sculptor_460,src_Object_338
src_Life-Event_167,src_Ritual_45
src_Engineer_249,src_Cultural-Agreement_218
src_Physician_410,src_Pamphlet_29
src_Crime_187,src_Trial_436
src_Philanthropist_181,src_Intellectual-Construct_236
src_Military-Person_27,src_Social-Stratum_151
src_Author_414,src_Pope_327
src_Governmental-Organisation_235,src_War_284
src_Dancer_54,src_Party_248
src_Publisher_98,src_Dynasty_292
src_Ritual_364,src_Scientist_68
src_Conceptual-Object_490,src_Religious-Organisation_444
src_Pastime_105,src_Event_162
src_Artist_47,src_Category_111
src_Politician_175,src_Piece-of-Music_353
src_Military-Person_186,src_Trades-Unionist_151
src_International-Alliance_448,src_Film-Maker_393
src_Cathedral_464,src_Religious-Order_92
src_Business-Leader_321,src_Intellectual-Movement_290
src_Jurist_270,src_Settlement_103
src_Film-Maker_462,src_International-Organisation_311
src_Dynasty_481,src_Cultural-Agreement_60
src_Organisation_126,src_Religious-Leader_460
src_Party_289,src_Time-Dependent-Relation_84
src_Intellectual-Movement_344,src_Intellectual-Construct_132
src_Ritual_207,src_Secular-Ideology_142
src_Badge_79,src_Church-Reformer_419
src_Sculptor_29,src_Movement_201
src_Dynasty_263,src_Time-Dependent-Relation_8
src_Engineer_434,src_Religious-Movement_360
src_Ship_194,src_Ideology_203
src_Structure_161,src_Organisation_233
src_Ship_440,src_Creator_207
src_Country_256,src_Political-Region_270
src_Badge_51,src_Painter_134
src_Theologian_86,src_Category_255
src_Publisher_177,src_Author_476
src_Abbey_467,src_Intra-State-Group_361
src_Journalist_88,src_Sculpture_315
src_Book_252,src_Physician_423
src_Economic-Process_153,src_Scientific-Instrument_353
src_Field-of-Knowledge_366,src_Economic-Organisation_89
src_Religious-Movement_180,src_Foreign-Minister_271
src_Cultural-Agreement_321,src_City_207
src_Religious-Organisation_91,src_Military-Person_311
src_TemporalInterval_343,src_Theologian_54
src_Trial_204,src_Political-Organisation_327
src_Religious-Ideology_416,src_Artistic-Style_138
src_Economic-Process_254,src_Prince_164
src_Food_304,src_Economist_493
src_Technical-Scientific-Advance_324,src_Time-Dependent_439
src_Economist_378,src_Liturgical-Object_330
src_Role_78,src_Business-Leader_71
src_Fictional-Person_486,src_Composer_94
src_Church-Reformer_326,src_Public-Oration_44
src_Pamphlet_324,src_Other-Religious-Person_495
src_Religious-Symbol_145,src_Meeting_280
src_Theologian_192,src_Monastery_159
src_Writing_344,src_Public-Oration_302
src_Geographical-Region_46,src_Landmark_169
src_Time-Dependent_470,src_Military-Organisation_182
src_Symbol_336,src_Period_471
src_Artistic-Style_309,src_Battle_333
src_Architect_496,src_Building_204
src_League_326,src_Leader_470
src_Animal_470,src_Animal_283
src_Economic-Enterprise_95,src_Party_223
src_Village_451,src_Secular-Ideology_330
src_Religious-Community_355,src_Event_28
src_Individual_153,src_Food_124
src_Time_374,src_Intellectual-Movement_451
src_Diplomat_92,src_Trade-Association_59
src_Other-Religious-Leader_278,src_Head-of-Government_482
src_Conceptual-Object_20,src_Time-Dependent-Relation_2
src_Religious-Ideology_166,src_Representative-Institution_338
src_Theologian_343,src_Painting_119
src_Period_424,src_Creator_414
src_Time-Dependent-Relation_93,src_Artistic-Movement_65
src_Musician_232,src_Dancer_297
src_Head-of-Government_460,src_Cultural-Agreement_110
src_Trial_333,src_Cultural-Organisation_59
src_FuzzyTemporalInterval_255,src_Geographical-Region_406
src_Composer_493,src_Professor_340
src_Geographical-Discovery_221,src_Painter_14
src_War_38,src_Conceptual-Object_291
src_Symbol_101,src_Environment_62
src_Time-Dependent_156,src_FuzzyTemporalInterval_92
src_Religious-Organisation_132,src_Person-Role_371
src_Settlement_451,src_Religious-Leader_114
src_Economic-Organisation_80,src_Board_296
src_Object_11,src_Period-in-Office_225
src_Religious-Order_201,src_Other-Religious-Leader_400
src_Crime_160,src_Symbol_276
src_Ethnic-Group_443,src_Commodity_451
src_Abstract-Notion_50,src_Technical-Scientific-Advance_151
src_Social-Stratum_5,src_Functionary_356
src_Movement_187,src_Representative-Institution_210
src_Work-of-Art_258,src_Train_121
src_Public-Oration_225,src_Cathedral_420
src_Scandal_159,src_Military-Person_290
src_Other-Religious-Leader_231,src_Cultural-Organisation_464
src_Ideology_121,src_Dramaturge_123
src_Time_89,src_Sultan_471
src_Painter_298,src_Business-Leader_59
src_Engineer_122,src_Natural-Object_204
src_Writing_345,src_Composer_263
src_Psychologist_219,src_League_62
src_Management-Organisation_179,src_Functionary_35
src_Psychologist_283,src_Politician_56
src_Sportsman_342,src_Sportsman_200
src_Period-in-Office_350,src_Disease_356
src_Criminal_495,src_Flavour_150
src_Discoverer_424,src_Location_363
src_Foreign-Minister_249,src_Trades-Unionist_112
src_Actor_493,src_Person-Role_58
src_Fictional-Event_134,src_Event_442
src_Object_343,src_Time_464
src_Movement_390,src_Governmental-Organisation_117
src_Ritual_77,src_Period_317
src_Building_232,src_Conceptual-Object_23
src_Language_132,src_Writing_124
src_Publisher_186,src_Liturgical-Object_214
src_Trade-Association_38,src_Crime_449
src_Cultural-Agreement_327,src_Person-Role_437
src_Creator_360,src_City_375
src_Religious-Symbol_266,src_Clothing_454
src_Secular-Movement_85,src_Public-Oration_314
src_Cathedral_349,src_League_60
src_Religious-Movement_115,src_Scandal_326
src_Author_116,src_War_383
src_Economic-Process_274,src_Religious-Order_258
src_Newspaper_473,src_Geographical-Discovery_306
src_Jurist_342,src_Secular-Movement_377
src_Publisher_344,src_Functionary_475
src_Crime_87,src_Sculpture_9
src_Economist_94,src_Movement_487
src_Book_448,src_Technical-Scientific-Advance_494
src_Settlement_40,src_Category_329
src_Geographer_43,src_Queen_290
src_King_134,src_Diplomat_107
src_Management-Organisation_349,src_Role_204
src_Management-Organisation_478,src_Legislation_204
src_Book_463,src_Publisher_315
src_Uprising_48,src_Disease_319
