src_TemporalInterval_103,src_Election_387
src_Secular-Leader_139,src_Psychologist_9
src_Cleric_135,src_Vehicle_89
src_Queen_65,src_Criminal_301
src_Painter_116,src_Board_475
src_International-Organisation_244,src_National-Symbol_378
src_Other-Religious-Leader_129,src_Secular-Ideology_424
src_Cultural-Organisation_82,src_Trades-Union_43
src_Military-Organisation_196,src_Social-Stratum_184
src_Time-Dependent_267,src_Landmark_182
src_Person_47,src_Illness_345
src_Illness_211,src_Book_343
src_Religious-Symbol_371,src_Work-of-Art_105
src_Military-Organisation_445,src_King_411
src_Location-Part-Relation_455,src_Location-Part-Relation_385
src_Other-Religious-Person_200,src_Painting_41
src_Secular-Ideology_105,src_Natural-Object_114
src_Water_482,src_Pollution_432
src_Other-Religious-Leader_165,src_Painter_63
src_Musician_267,src_Sculpture_282
src_Organisation_406,src_Theologian_321
src_Economic-Symbol_232,src_Political-Region_150
src_Painting_151,src_Stereotype-Group_345
src_Religious-Leader_142,src_Structure_459
src_Sculptor_259,src_Painter_157
src_Military-Person_133,src_Book_59
src_Ideology_250,src_Public-Oration_247
src_Social-Stratum_435,src_Ethnic-Group_208
src_Sculpture_453,src_Sculpture_183
src_Military-Organisation_453,src_Psychologist_485
src_Location-Part-Relation_495,src_Pastime_297
src_King_222,src_Relic_450
src_Election_335,src_Secular-Leader_20
src_Newspaper_325,src_Astronaut_299
src_Illness_234,src_Board_36
src_Individual_437,src_Leader_472
src_Politician_380,src_Board_420
src_Legislation_40,src_FuzzyTemporalInterval_355
src_Category_459,src_Trade-Association_280
src_Country_370,src_Military-Unit_96
src_Professor_133,src_Piece-of-Music_72
src_Religious-Ideology_217,src_Time-Dependent_448
src_Dancer_217,src_Publisher_406
src_Election_420,src_Business-Leader_242
src_Psychologist_318,src_Settlement_360
src_Art-Form_321,src_Religious-Movement_416
src_Meeting_377,src_Writing_35
src_Diplomat_273,src_Philosopher_486
src_Diplomat_121,src_Legislation_368
src_Politician_461,src_Geographical-Discovery_98
src_Economic-Organisation_310,src_Publisher_83
src_Painter_84,src_Disaster_30
src_Professor_292,src_Economist_158
src_International-Organisation_249,src_Political-Organisation_100
src_Artistic-Movement_407,src_Engineer_369
src_Head-of-State_315,src_Trades-Union_209
src_National-Symbol_370,src_Sultan_389
src_Measurable-Trend_133,src_Food_309
src_Vehicle_174,src_Creator_148
src_Person_433,src_Artistic-Style_76
src_Building_354,src_Painting_203
src_Inventor_315,src_Environment_431
src_Stereotype-Group_181,src_Saint_491
src_Conceptual-Object_461,src_Head-of-Government_375
src_Trades-Union_489,src_Religious-Order_327
src_Artist_133,src_Religious-Leader_413
src_Creator_384,src_Commodity_131
src_Economic-Enterprise_72,src_Educational-Organisation_208
src_Vehicle_275,src_Person-Role_38
src_Painter_123,src_Religious-Organisation_457
src_Cultural-Organisation_488,src_City_429
src_Painting_353,src_Economic-Enterprise_330
src_Meeting_390,src_Jurist_137
src_City_489,src_Pastime_366
src_Abstract-Notion_45,src_Language_196
src_Clerical-Leader_387,src_Composer_58
src_Time_100,src_Cleric_204
src_Secular-Leader_36,src_Period_70
src_Public-Oration_96,src_Composer_322
src_National-Symbol_161,src_Governmental-Organisation_216
src_City_404,src_Painting_179
src_Ship_166,src_Discoverer_304
src_Journal_13,src_Artefact_490
src_Public-Oration_280,src_Disaster_494
src_Battle_140,src_Military-Organisation_336
src_Management-Organisation_61,src_Psychologist_331
src_Educational-Organisation_413,src_VicodiOI_318
src_Illness_24,src_Treaty_343
src_Other-Religious-Leader_348,src_Artistic-Style_86
src_Scandal_387,src_Head-of-Government_167
src_Architect_215,src_Religious-Practice_214
src_Inventor_74,src_Commodity_464
src_Location_240,src_Time-Dependent-Relation_147
src_Newspaper_367,src_Religious-Movement_66
src_Building_322,src_Painter_326
src_Abstract-Notion_154,src_Ship_405
src_Event_469,src_Ritual_106
src_Animal_372,src_Measurable-Trend_323
src_Stereotype-Group_156,src_Jurist_140
src_Person-Role_325,src_Disaster_56
src_Economic-Enterprise_484,src_Settlement_256
src_Other-Religious-Person_167,src_Religious-Movement_496
src_Person-Role_376,src_Time_54
src_Economic-Symbol_95,src_International-Organisation_304
src_Political-Region_400,src_Measurable-Trend_286
src_Monastery_69,src_International-Organisation_148
src_Fictional-Event_0,src_Food_54
src_Religious-Organisation_165,src_Disaster_378
src_Meeting_80,src_Time_312
src_Sportsman_50,src_TemporalInterval_225
src_Ethnic-Group_367,src_Minister_313
src_Period-in-Office_115,src_Environment_114
src_Person_381,src_Discoverer_375
src_Journal_354,src_Professor_479
src_Magnate_170,src_Economist_47
src_International-Alliance_191,src_Commodity_42
src_Religious-Practice_315,src_Religious-Order_202
src_Religious-Organisation_27,src_Animal_497
src_Intellectual-Construct_214,src_Relic_0
src_Armament_334,src_Landmark_117
src_Economist_212,src_International-Alliance_264
src_Stereotype-Group_487,src_Economic-Enterprise_498
src_Publisher_179,src_Non-Military-Conflict_325
src_Object_181,src_Religious-Ideology_172
src_Professor_210,src_Disease_407
src_Flavour_66,src_Cultural-Organisation_489
src_Magnate_386,src_Relic_246
src_Event_317,src_Economic-Organisation_424
src_Film-Maker_456,src_Philosopher_353
src_Management-Organisation_37,src_Masonic-Lodge_462
src_Badge_231,src_Social-Group_228
src_Individual_421,src_Landmark_164
src_Food_184,src_Pamphlet_407
src_Ritual_39,src_Train_103
src_Religious-Ideology_150,src_Head-of-State_360
src_Actor_399,src_Religious-Order_346
src_Landmark_282,src_Time-Dependent_292
src_Board_390,src_Publisher_304
src_Dancer_145,src_Discoverer_313
src_Food_201,src_FuzzyTemporalInterval_26
src_Religious-Organisation_218,src_Fictional-Event_357
src_Painter_338,src_Disease_248
src_Economic-Organisation_415,src_Actor_453
src_Piece-of-Music_444,src_Conceptual-Object_441
src_Geographical-Region_349,src_Political-Region_266
src_Language_144,src_Theologian_458
src_Cultural-Organisation_410,src_Economic-Enterprise_388
src_Religious-Community_223,src_Actor_471
src_Party_436,src_Other-Religious-Person_285
src_Work-of-Art_223,src_Time-Dependent_229
src_Ethnic-Group_365,src_Treaty_194
src_Artist_372,src_Minister_272
src_Disaster_334,src_Board_450
src_Secular-Leader_450,src_Architect_297
src_Relic_110,src_Leader_120
src_Election_271,src_Population-Movement_269
src_Artistic-Style_70,src_King_56
src_Writing_375,src_Fictional-Person_116
src_Field-of-Knowledge_368,src_Pamphlet_282
src_Geographical-Discovery_171,src_Geographer_259
src_Philanthropist_465,src_Minister_290
src_National-Symbol_312,src_Philanthropist_378
src_International-Organisation_16,src_Movement_153
src_Location-Part-Relation_247,src_Emperor_289
src_Abbey_367,src_Economic-Enterprise_242
src_Liturgical-Object_437,src_Conceptual-Object_127
src_Criminal_383,src_Illness_142
src_Theologian_329,src_Military-Unit_5
src_Meeting_469,src_Crime_122
src_Trades-Unionist_139,src_Period-in-Office_123
src_Idea_373,src_Other-Religious-Person_220
src_Intellectual-Movement_136,src_Pope_423
src_Politician_451,src_TemporalInterval_282
src_Head-of-Government_60,src_Military-Person_328
src_Other-Religious-Person_198,src_Dancer_41
src_Role_103,src_Management-Organisation_136
src_Ritual_499,src_Philosopher_427
src_Other-Religious-Leader_77,src_Public-Oration_346
src_Clerical-Leader_289,src_Movement_393
src_Geographer_7,src_Building_48
src_Clerical-Leader_352,src_Secular-Leader_237
src_Natural-Object_294,src_Cultural-Organisation_372
src_Trade-Association_407,src_Landmark_96
src_Religious-Community_259,src_Dramaturge_187
src_Battle_23,src_Painting_144
src_Leader_124,src_Train_405
src_Masonic-Lodge_263,src_Inventor_367
src_Composer_163,src_Election_134
src_Discoverer_72,src_Period-in-Office_474
src_Uprising_267,src_Object_336
src_University_24,src_Pollution_183
src_Functionary_287,src_Astronaut_246
src_Military-Unit_376,src_Party_134
src_Cultural-Agreement_126,src_Measurable-Trend_278
src_Artistic-Movement_380,src_Magnate_479
src_Business-Leader_228,src_Musician_135
src_Sportsman_276,src_Ship_322
src_Disaster_213,src_Business-Leader_139
src_Book_182,src_Artistic-Movement_121
src_Social-Stratum_450,src_FuzzyTemporalInterval_185
src_Journalist_248,src_Military-Person_13
src_Piece-of-Music_265,src_Location_339
src_Illness_432,src_Public-Oration_272
src_Religious-Movement_414,src_Art-Form_129
src_Economic-Process_479,src_Religious-Ideology_376
src_Ecclesiarch_265,src_Disaster_128
src_Category_316,src_National-Symbol_306
src_Intellectual-Construct_364,src_Leader_420
src_Political-Symbol_412,src_Secular-Ideology_20
src_King_112,src_Dynasty_114
src_International-Alliance_114,src_Field-of-Knowledge_223
src_Ecclesiarch_1,src_Professor_134
src_Architect_334,src_Election_441
src_Professor_212,src_Pollution_301
src_Trades-Union_3,src_Environment_187
src_Intellectual-Construct_86,src_Geographical-Feature_243
src_Category_199,src_Military-Person_59
src_Cathedral_95,src_Legislation_197
src_VicodiOI_155,src_National-Symbol_443
src_Creator_481,src_Artist_320
src_Scientist_441,src_Head-of-Government_180
src_Animal_425,src_Journalist_108
src_Social-Stratum_251,src_Liturgical-Object_132
src_Political-Organisation_258,src_Symbol_478
src_Conductor_75,src_Disaster_235
src_Secular-Ideology_319,src_Clerical-Leader_390
src_Scientist_142,src_Religious-Movement_317
src_Event_63,src_Painter_65
src_Period-in-Office_491,src_Management-Organisation_234
src_Conceptual-Object_224,src_University_183
src_Time_311,src_Cathedral_216
src_Minister_254,src_Person-Role_117
src_Idea_184,src_Military-Organisation_244
src_Artistic-Style_286,src_Period-in-Office_132
src_Village_65,src_Location_432
src_Settlement_246,src_Physician_295
src_Badge_89,src_Battle_454
src_Discoverer_93,src_Treaty_333
src_Church-Reformer_60,src_Train_475
src_Ideology_317,src_Minister_392
src_Illness_28,src_Secular-Leader_317
src_Film-Maker_2,src_Musician_295
src_Public-Oration_85,src_Pastime_389
src_Illness_109,src_Role_408
src_Monastery_255,src_Other-Religious-Person_457
src_Economist_332,src_Cultural-Agreement_454
src_Intra-State-Group_322,src_Queen_303
src_Pope_366,src_Life-Event_307
src_VicodiOI_33,src_Pamphlet_191
src_Conductor_306,src_Category_150
src_Artistic-Style_125,src_Artist_404
src_Political-Symbol_322,src_Pope_95
src_Religious-Order_216,src_Population-Movement_54
src_League_266,src_Symbol_269
src_Pastime_20,src_Legislation_489
src_Leader_252,src_Religious-Organisation_50
src_Religious-Ideology_419,src_Conductor_493
src_Uprising_290,src_Sculpture_211
src_Social-Stratum_251,src_Sultan_84
src_International-Organisation_305,src_Organisation_499
src_Inventor_161,src_Painting_222
src_Animal_293,src_Intra-State-Group_80
src_Building_239,src_Cultural-Agreement_120
src_Location_400,src_Period-in-Office_202
src_Period-in-Office_363,src_Ecclesiarch_268
src_Writing_154,src_Management-Organisation_117
src_Sculpture_188,src_Pope_409
src_Astronaut_408,src_Secular-Movement_322
src_Role_297,src_Period_229
src_Pope_443,src_Other-Religious-Leader_154
src_Painting_183,src_Dancer_17
src_Writing_475,src_Military-Organisation_189
src_Musician_489,src_Illness_291
src_Artefact_438,src_Sultan_248
src_TemporalInterval_267,src_Settlement_32
src_Ethnic-Group_328,src_Environment_139
src_Magnate_22,src_University_186
src_Politician_7,src_City_403
src_Painter_119,src_Dynasty_375
src_Religious-Order_490,src_Secular-Ideology_244
src_Clerical-Leader_329,src_Actor_243
src_Diplomat_251,src_Time-Dependent-Relation_180
src_Intellectual-Construct_442,src_War_21
src_Dynasty_402,src_Scientist_97
src_Governmental-Organisation_374,src_Ecclesiarch_262
src_Idea_233,src_Meeting_427
src_Location-Part-Relation_168,src_Architect_307
src_Trade-Association_363,src_Time_423
src_Representative-Institution_442,src_Measurable-Trend_283
src_Artistic-Style_259,src_Artistic-Style_457
src_Technical-Scientific-Advance_366,src_Writing_499
src_Meeting_301,src_Physician_366
src_VicodiOI_233,src_Village_316
src_League_213,src_Cultural-Agreement_26
src_Abstract-Notion_406,src_Ethnic-Group_480
src_Disaster_88,src_Trial_255
src_Minister_265,src_Painter_336
src_Movement_496,src_Clerical-Leader_59
src_Work-of-Art_382,src_Sportsman_190
src_Illness_113,src_Trades-Union_253
src_Scientist_81,src_Political-Organisation_492
src_Person_123,src_Idea_24
src_Conductor_388,src_Sculpture_100
src_Building_248,src_Vehicle_174
src_Person_322,src_Painting_73
src_Cultural-Agreement_109,src_Sultan_298
src_Work-of-Art_488,src_Conceptual-Object_344
src_Legislation_210,src_Pamphlet_282
src_Object_255,src_TemporalInterval_51
src_Cultural-Agreement_436,src_Field-of-Knowledge_397
src_VicodiOI_471,src_Newspaper_95
src_Religious-Community_236,src_Film-Maker_217
src_Food_404,src_Intra-State-Group_459
src_Pastime_186,src_Pastime_298
src_Queen_161,src_Management-Organisation_2
src_Religious-Organisation_20,src_Country_293
src_Language_318,src_Theologian_137
src_Head-of-Government_263,src_Life-Event_173
src_Trades-Unionist_163,src_Artistic-Style_458
src_Pollution_378,src_Cultural-Agreement_261
src_Criminal_468,src_Clothing_346
src_Creator_232,src_Monastery_15
src_Intellectual-Movement_444,src_Trades-Union_490
src_Fictional-Event_11,src_Public-Oration_406
src_Intra-State-Group_188,src_Public-Oration_249
src_Food_59,src_Entertainer_192
src_Period_419,src_International-Organisation_268
src_Battle_3,src_Intra-State-Group_424
src_Ideology_201,src_Sculptor_277
src_Person-Role_341,src_Trades-Unionist_321
src_Publisher_362,src_Book_60
src_Economist_452,src_Economic-Organisation_433
src_Religious-Organisation_106,src_Painter_40
src_International-Organisation_110,src_Pope_362
src_Art-Form_212,src_Film-Maker_182
src_Jurist_28,src_Language_356
src_Field-of-Knowledge_13,src_Secular-Ideology_344
src_Party_367,src_Head-of-State_240
src_Village_51,src_Painter_103
src_Book_474,src_Monastery_174
src_Sportsman_428,src_Individual_221
src_Flavour_484,src_Treaty_311
src_Church_358,src_Foreign-Minister_100
src_Time-Dependent_480,src_Language_291
src_Disaster_373,src_Physician_492
src_Pollution_148,src_Person-Role_416
src_Astronaut_378,src_Religious-Symbol_268
src_Measurable-Trend_117,src_Journalist_421
src_Time_113,src_Cleric_409
src_Ecclesiarch_339,src_Composer_71
src_Individual_4,src_Field-of-Knowledge_465
src_Event_231,src_Clerical-Leader_495
src_Queen_456,src_Population-Movement_245
src_Management-Organisation_290,src_Badge_193
src_Architect_116,src_Philanthropist_139
src_Philanthropist_213,src_Vehicle_270
src_Other-Religious-Person_122,src_Trades-Unionist_447
src_Intra-State-Group_340,src_Time_382
src_International-Alliance_379,src_Religious-Order_466
src_Pope_185,src_TemporalInterval_326
src_Politician_400,src_Pollution_270
src_Theologian_468,src_King_411
src_Monastery_269,src_Piece-of-Music_282
src_Social-Stratum_362,src_Dynasty_105
src_Magnate_410,src_International-Alliance_244
src_Event_12,src_Psychologist_361
src_Work-of-Art_310,src_Publisher_182
src_Geographical-Region_414,src_Actor_374
src_Landmark_394,src_Governmental-Organisation_403
src_Religious-Order_226,src_Ethnic-Group_351
src_Location_340,src_Religious-Order_196
src_Social-Group_156,src_Religious-Ideology_242
src_Masonic-Lodge_94,src_Structure_292
src_Settlement_474,src_Armament_398
src_Clerical-Leader_246,src_Piece-of-Music_393
src_Time-Dependent-Relation_47,src_Organisation_326
src_Battle_33,src_Cultural-Organisation_142
src_Disease_249,src_Measurable-Trend_391
src_Dramaturge_202,src_Natural-Object_79
src_Public-Oration_180,src_Author_41
src_Election_10,src_Economic-Process_66
src_Business-Leader_402,src_Economic-Process_222
src_Economist_491,src_Ideology_373
src_Abbey_10,src_Vehicle_369
src_Other-Religious-Person_123,src_Flavour_108
src_Relic_267,src_Journalist_228
src_Secular-Leader_479,src_Philosopher_43
src_Measurable-Trend_404,src_Entertainer_122
src_Psychologist_182,src_Entertainer_94
src_Religious-Order_16,src_City_429
src_Time_461,src_Economic-Process_279
src_Musician_177,src_Fictional-Event_257
src_Time_33,src_Building_68
src_Ideology_410,src_VicodiOI_490
src_Flavour_250,src_Professor_321
src_Settlement_234,src_Election_366
src_Time_93,src_Queen_441
src_Painting_364,src_Economic-Organisation_48
src_Diplomat_79,src_Illness_154
src_Geographer_363,src_Sportsman_361
src_Clothing_134,src_Inventor_151
src_Public-Oration_73,src_University_226
src_League_32,src_Object_293
src_Inventor_73,src_Social-Stratum_255
src_Category_275,src_Religious-Leader_7
src_Cultural-Organisation_358,src_Board_497
src_War_418,src_Actor_123
src_International-Organisation_376,src_Artistic-Style_336
src_Armament_444,src_Time-Dependent-Relation_316
src_Architect_436,src_Pope_86
src_Sultan_393,src_Structure_310
src_Disaster_301,src_Sculpture_394
src_Artistic-Movement_34,src_Psychologist_299
src_Organisation_459,src_Business-Leader_454
src_Uprising_421,src_Time-Dependent-Relation_281
src_Social-Stratum_216,src_Engineer_188
src_Architect_192,src_Period-in-Office_200
src_Ship_299,src_National-Symbol_180
src_Publisher_120,src_Trades-Unionist_452
src_Social-Group_71,src_Secular-Leader_295
src_Scientific-Instrument_244,src_Meeting_113
src_Cleric_498,src_Vehicle_201
src_FuzzyTemporalInterval_1,src_Writing_478
src_Pollution_287,src_Business-Leader_88
src_Ideology_153,src_Physician_438
src_Composer_322,src_Meeting_118
src_Pamphlet_342,src_Journalist_173
src_Prince_65,src_Economic-Enterprise_115
src_Work-of-Art_494,src_Country_242
src_Actor_354,src_Relic_479
src_Pollution_202,src_Jurist_422
src_Monastery_298,src_Functionary_336
src_Scientist_208,src_Ecclesiarch_308
src_Building_29,src_Cathedral_438
src_Population-Movement_347,src_Artefact_426
src_Composer_377,src_Minister_68
src_Sculptor_39,src_Work-of-Art_90
src_Intellectual-Movement_273,src_National-Symbol_229
src_Entertainer_364,src_Sculpture_210
src_Water_376,src_Election_392
src_Movement_105,src_Clothing_474
src_Magnate_457,src_Professor_362
src_Field-of-Knowledge_334,src_Painter_285
src_League_437,src_Trade-Association_351
src_Functionary_268,src_Pastime_168
src_Queen_383,src_TemporalInterval_181
src_Artistic-Movement_58,src_Magnate_361
src_Educational-Organisation_224,src_Religious-Movement_28
src_Secular-Ideology_403,src_Time-Dependent-Relation_197
src_Environment_29,src_Religious-Practice_236
src_Vehicle_204,src_Abstract-Notion_390
src_Psychologist_87,src_Population-Movement_185
src_Liturgical-Object_201,src_Geographical-Discovery_445
src_Military-Organisation_354,src_Flavour_349
src_Relic_136,src_Monastery_164
src_Social-Group_200,src_Sportsman_72
src_Management-Organisation_275,src_Other-Religious-Person_68
src_Pollution_485,src_Object_410
src_Religious-Order_257,src_Location_140
src_Religious-Practice_474,src_Political-Region_452
src_Ideology_17,src_Sculptor_72
src_Structure_63,src_Disaster_452
src_Piece-of-Music_124,src_Religious-Ideology_95
src_Publisher_168,src_Political-Symbol_420
src_Composer_41,src_Film-Maker_244
src_Landmark_405,src_Trial_42
src_Governmental-Organisation_464,src_Person-Role_116
src_Leader_167,src_Representative-Institution_430
src_Pope_85,src_Intellectual-Construct_466
src_Pastime_391,src_Party_297
src_Conceptual-Object_0,src_Badge_417
src_Time_478,src_Ethnic-Group_416
src_Diplomat_4,src_Theologian_89
src_Foreign-Minister_361,src_Theologian_434
src_Technical-Scientific-Advance_378,src_Scandal_293
src_Minister_20,src_Trial_461
src_Military-Organisation_33,src_Saint_82
src_Secular-Leader_281,src_Flavour_250
src_Meeting_273,src_Fictional-Person_98
src_Fictional-Person_83,src_Ethnic-Group_280
src_Church_117,src_Technical-Scientific-Advance_110
src_Secular-Leader_221,src_Religious-Organisation_312
src_Physician_54,src_King_228
src_Water_223,src_Sportsman_407
src_International-Alliance_192,src_Sultan_173
src_Stereotype-Group_329,src_Artefact_354
src_Sculpture_218,src_Professor_351
src_Minister_476,src_Discoverer_292
src_Abstract-Notion_408,src_National-Symbol_364
src_Art-Form_154,src_Educational-Organisation_435
src_Economic-Symbol_206,src_International-Alliance_57
src_University_2,src_Food_38
src_Structure_235,src_Military-Unit_442
src_Work-of-Art_335,src_Religious-Movement_192
src_Clothing_336,src_Other-Religious-Person_156
src_Artist_352,src_Composer_264
src_Scientific-Instrument_32,src_Secular-Leader_466
src_Pollution_303,src_Time-Dependent_67
src_Sculptor_71,src_Stereotype-Group_498
src_Intellectual-Movement_139,src_Journalist_488
src_Period_126,src_Head-of-Government_294
src_Time-Dependent_383,src_Building_294
src_Economic-Process_419,src_Relic_240
src_Composer_251,src_League_288
src_Philosopher_386,src_Religious-Leader_384
src_Intellectual-Movement_459,src_Ritual_475
src_Water_76,src_Saint_270
src_Astronaut_253,src_Geographical-Discovery_308
src_Dramaturge_172,src_Prince_73
src_Landmark_146,src_Geographical-Feature_199
src_Psychologist_222,src_Trade-Association_452
src_Stereotype-Group_181,src_Life-Event_456
src_Period-in-Office_490,src_Religious-Order_268
src_Work-of-Art_464,src_Composer_61
src_Structure_239,src_Military-Organisation_223
src_Organisation_8,src_Newspaper_45
src_Head-of-State_486,src_Head-of-Government_98
src_Sculpture_138,src_Church-Reformer_495
src_Church_362,src_Board_291
src_Journalist_366,src_TemporalInterval_412
src_Time-Dependent-Relation_43,src_Business-Leader_311
src_TemporalInterval_434,src_Writing_164
src_Idea_393,src_Field-of-Knowledge_169
src_Dynasty_425,src_Clerical-Leader_193
src_Religious-Symbol_248,src_Other-Religious-Person_25
src_Natural-Object_425,src_Actor_369
src_Inventor_259,src_Representative-Institution_426
src_Commodity_422,src_Economic-Enterprise_377
src_Social-Group_346,src_Intellectual-Movement_420
src_Religious-Order_235,src_Cultural-Organisation_280
src_Economic-Process_337,src_Board_101
src_Author_402,src_Ideology_279
src_Criminal_469,src_Stereotype-Group_487
src_Scandal_182,src_Measurable-Trend_151
src_TemporalInterval_156,src_Political-Organisation_368
src_Prince_306,src_Philanthropist_149
src_Non-Military-Conflict_187,src_National-Symbol_352
src_Role_384,src_Train_213
src_Movement_301,src_Engineer_279
src_Flavour_281,src_Dynasty_55
src_Economist_434,src_Person_276
src_Church_465,src_Population-Movement_400
src_Musician_338,src_Prince_190
src_National-Symbol_449,src_Fictional-Person_493
src_Disease_297,src_Religious-Order_146
src_Piece-of-Music_78,src_Social-Stratum_7
src_Sculpture_246,src_Trial_30
src_Scandal_184,src_Criminal_160
src_Religious-Symbol_119,src_Pollution_363
src_Church_434,src_Measurable-Trend_228
src_Governmental-Organisation_329,src_VicodiOI_399
src_International-Alliance_19,src_Time-Dependent-Relation_185
src_Military-Person_425,src_Secular-Ideology_204
src_League_72,src_Natural-Object_334
src_Role_339,src_Philanthropist_159
src_Social-Group_253,src_City_440
src_Artistic-Movement_231,src_International-Organisation_189
src_League_169,src_Physician_487
src_Cultural-Organisation_28,src_Intellectual-Construct_300
src_Architect_348,src_Environment_406
src_Inventor_439,src_League_294
src_Writing_326,src_Actor_178
src_Economic-Enterprise_346,src_Country_65
src_Country_88,src_Landmark_290
src_Ship_455,src_Politician_393
src_Pamphlet_423,src_Election_37
src_Board_184,src_Time-Dependent-Relation_273
src_Professor_152,src_Architect_146
src_Stereotype-Group_26,src_Intellectual-Movement_141
src_Management-Organisation_440,src_Journal_383
src_Art-Form_292,src_King_176
src_Military-Person_95,src_Abbey_102
src_Fictional-Person_54,src_Geographical-Discovery_299
src_Movement_131,src_Monastery_418
src_Non-Military-Conflict_152,src_Religious-Symbol_165
src_Religious-Community_419,src_Painting_443
src_TemporalInterval_483,src_Writing_32
src_Life-Event_78,src_Event_369
src_Sculpture_476,src_Person_38
src_Time-Dependent_15,src_Actor_128
src_Object_14,src_Magnate_141
src_Artist_64,src_Category_10
src_Battle_198,src_Movement_328
src_Sultan_330,src_Pollution_495
src_International-Organisation_449,src_Food_80
src_Clerical-Leader_276,src_Musician_284
src_Emperor_371,src_Composer_320
src_Economist_257,src_Clerical-Leader_368
src_Board_112,src_Psychologist_456
src_Clerical-Leader_132,src_Settlement_245
src_Trade-Association_172,src_Ethnic-Group_323
src_Conductor_251,src_University_203
src_Economic-Enterprise_493,src_Journalist_477
src_Religious-Movement_367,src_Disease_492
src_Disease_329,src_Badge_233
src_Religious-Symbol_443,src_Clothing_210
src_Person-Role_335,src_Population-Movement_219
src_Disaster_23,src_Magnate_11
src_Technical-Scientific-Advance_290,src_Building_226
src_Village_156,src_International-Organisation_92
src_Minister_179,src_Pope_14
src_Composer_270,src_Religious-Practice_385
src_Church_185,src_Water_498
src_Geographical-Discovery_183,src_Representative-Institution_38
src_Role_285,src_Other-Religious-Person_463
src_Event_495,src_Artistic-Movement_109
src_Trades-Union_85,src_Crime_440
src_Ideology_336,src_Artist_388
src_Scandal_279,src_Monastery_212
src_Religious-Leader_29,src_Magnate_495
src_Stereotype-Group_268,src_Clothing_142
src_Geographical-Discovery_492,src_Representative-Institution_56
src_Political-Organisation_179,src_Organisation_295
src_Diplomat_221,src_Creator_433
src_Trial_305,src_Party_205
src_Prince_315,src_Person-Role_365
src_Artist_432,src_Geographical-Feature_338
src_Actor_12,src_Physician_318
src_Sultan_302,src_Clothing_287
src_Battle_403,src_Social-Stratum_376
src_Astronaut_360,src_Public-Oration_305
src_International-Organisation_218,src_Work-of-Art_380
src_Ritual_194,src_Board_258
src_Sportsman_321,src_Criminal_370
src_Intellectual-Movement_303,src_Settlement_92
src_Abbey_283,src_Disaster_439
src_Painter_455,src_Governmental-Organisation_113
src_Other-Religious-Leader_58,src_Pastime_322
src_Artistic-Style_302,src_International-Organisation_161
