src_Church_137,src_Military-Organisation_482
src_Legislation_290,src_Trades-Union_43
src_Economist_174,src_Period-in-Office_174
src_Food_465,src_Journal_300
src_Party_167,src_Pamphlet_291
src_Illness_348,src_Trades-Unionist_49
src_Musician_274,src_Church_303
src_Person-Role_233,src_Economic-Process_238
src_Representative-Institution_179,src_King_243
src_Environment_29,src_Secular-Leader_57
src_Stereotype-Group_183,src_Professor_486
src_Disease_392,src_Time-Dependent-Relation_123
src_Magnate_431,src_Landmark_354
src_Vehicle_458,src_Time-Dependent_455
src_Role_444,src_Composer_123
src_Battle_366,src_Clerical-Leader_336
src_Prince_261,src_Head-of-Government_1
src_Trade-Association_296,src_Prince_50
src_Educational-Organisation_278,src_Category_286
src_Educational-Organisation_68,src_Composer_5
src_Magnate_233,src_Ecclesiarch_24
src_Conceptual-Object_82,src_Economic-Symbol_96
src_Artefact_333,src_Cultural-Agreement_71
src_Ritual_449,src_Creator_411
src_Church-Reformer_77,src_King_397
src_Person-Role_487,src_Church-Reformer_274
src_Person-Role_403,src_Crime_136
src_Saint_164,src_Author_31
src_Cultural-Organisation_95,src_Pope_23
src_Meeting_32,src_Entertainer_243
src_Time-Dependent-Relation_255,src_Commodity_428
src_Astronaut_372,src_Newspaper_28
src_Clothing_134,src_Artefact_363
src_Psychologist_33,src_Technical-Scientific-Advance_324
src_Newspaper_142,src_Disaster_101
src_Individual_202,src_League_376
src_Political-Region_212,src_Secular-Movement_430
src_Landmark_403,src_Symbol_461
src_Management-Organisation_497,src_Pope_475
src_Political-Symbol_45,src_Cultural-Organisation_87
src_Social-Stratum_200,src_Period_319
src_Geographer_246,src_Life-Event_428
src_Food_420,src_Battle_398
src_Criminal_479,src_Field-of-Knowledge_209
src_Vehicle_280,src_Party_469
src_Philanthropist_340,src_Economist_417
src_Other-Religious-Leader_466,src_Object_478
src_Object_240,src_Treaty_339
src_Pope_275,src_Abstract-Notion_66
src_Newspaper_284,src_Armament_59
src_Scientist_199,src_VicodiOI_245
src_Psychologist_42,src_Scientist_461
src_Secular-Ideology_63,src_Author_131
src_Election_71,src_Art-Form_12
src_VicodiOI_101,src_Newspaper_183
src_Movement_275,src_Ideology_40
src_Meeting_219,src_Functionary_170
src_Artist_293,src_Minister_65
src_Dancer_29,src_Military-Person_319
src_Trades-Unionist_85,src_Period-in-Office_281
src_Person_270,src_Intellectual-Movement_26
src_Magnate_208,src_Representative-Institution_153
src_Professor_267,src_Building_308
src_Movement_292,src_Movement_379
src_VicodiOI_121,src_Political-Symbol_100
src_Movement_442,src_Commodity_69
src_Ship_289,src_Scandal_441
src_Criminal_489,src_Time_300
src_League_23,src_Object_305
src_Economist_170,src_Architect_294
src_Inventor_81,src_Cultural-Organisation_106
src_Meeting_211,src_Language_468
src_Geographical-Feature_355,src_Period-in-Office_185
src_Functionary_74,src_Train_428
src_Landmark_171,src_Pollution_417
src_Film-Maker_53,src_Religious-Leader_27
src_Criminal_348,src_Astronaut_0
src_Prince_225,src_Location-Part-Relation_463
src_Water_388,src_Clothing_78
src_Musician_201,src_Animal_330
src_Event_71,src_Author_167
src_Writing_6,src_Stereotype-Group_121
src_Geographical-Discovery_475,src_Film-Maker_273
src_Period-in-Office_98,src_Cleric_370
src_Creator_44,src_Astronaut_423
src_Scientific-Instrument_99,src_Economic-Symbol_425
src_Secular-Movement_3,src_Religious-Ideology_39
src_Scandal_222,src_Ritual_214
src_Religious-Community_384,src_VicodiOI_204
src_Political-Organisation_338,src_Ritual_88
src_Theologian_229,src_Religious-Community_131
src_National-Symbol_380,src_Economic-Organisation_172
src_Secular-Movement_131,src_Governmental-Organisation_398
src_Emperor_194,src_Location-Part-Relation_460
src_Clerical-Leader_490,src_Ritual_404
src_Abstract-Notion_58,src_Actor_215
src_National-Symbol_350,src_FuzzyTemporalInterval_490
src_Inventor_109,src_Clerical-Leader_115
src_Election_70,src_Cultural-Agreement_245
src_Discoverer_315,src_Trade-Association_233
src_Badge_221,src_Other-Religious-Person_261
src_Scientific-Instrument_91,src_Publisher_231
src_Time_333,src_Physician_235
src_Role_196,src_Artistic-Style_298
src_Ecclesiarch_333,src_Journal_295
src_Religious-Leader_28,src_Ethnic-Group_395
src_Country_372,src_Dynasty_306
src_Field-of-Knowledge_110,src_Natural-Object_46
src_Book_422,src_Religious-Practice_452
src_International-Organisation_453,src_Politician_178
src_Head-of-Government_140,src_Creator_66
src_TemporalInterval_217,src_Ship_294
src_Composer_206,src_Ritual_361
src_Writing_135,src_Fictional-Event_99
src_International-Alliance_309,src_Sculpture_217
src_Religious-Organisation_169,src_Trades-Union_107
src_Vehicle_115,src_Artefact_115
src_Artistic-Movement_117,src_Individual_54
src_Educational-Organisation_463,src_Geographical-Feature_283
src_Country_473,src_Clothing_152
src_Religious-Organisation_55,src_Geographical-Feature_162
src_Philanthropist_445,src_Abbey_481
src_King_324,src_Structure_60
src_Musician_54,src_Commodity_407
src_Intellectual-Movement_314,src_Election_290
src_Journal_183,src_Physician_315
src_Armament_431,src_Economic-Symbol_461
src_Author_71,src_Crime_107
src_City_206,src_Illness_40
src_Military-Person_419,src_Secular-Leader_473
src_Person_497,src_Trades-Union_290
src_International-Alliance_99,src_Population-Movement_390
src_Secular-Leader_297,src_Natural-Object_77
src_Person_82,src_Astronaut_268
src_Church_290,src_Entertainer_159
src_Geographical-Feature_356,src_Vehicle_344
src_Political-Symbol_210,src_Fictional-Person_389
src_Role_373,src_VicodiOI_32
src_Legislation_493,src_Treaty_446
src_Environment_148,src_Clerical-Leader_33
src_Sultan_367,src_Board_372
src_Actor_467,src_Magnate_78
src_Settlement_246,src_Ritual_483
src_Board_487,src_Magnate_247
src_Meeting_299,src_Conductor_419
src_Water_102,src_Badge_421
src_Natural-Object_174,src_Political-Organisation_6
src_Life-Event_59,src_Idea_260
src_Religious-Community_496,src_Religious-Symbol_483
src_Painting_110,src_Fictional-Person_468
src_Art-Form_22,src_Ecclesiarch_476
src_Religious-Ideology_425,src_Intellectual-Construct_435
src_Meeting_105,src_Film-Maker_468
src_Person-Role_7,src_Dynasty_329
src_Newspaper_102,src_Population-Movement_461
src_Measurable-Trend_202,src_Pollution_314
src_Artefact_236,src_Head-of-Government_134
src_Intellectual-Construct_122,src_Publisher_42
src_Military-Unit_478,src_Organisation_362
src_Artistic-Style_254,src_Scientific-Instrument_76
src_Measurable-Trend_44,src_Water_99
src_Period-in-Office_188,src_FuzzyTemporalInterval_52
src_Composer_379,src_National-Symbol_175
src_Artistic-Style_425,src_Painter_320
src_Time-Dependent_320,src_Object_366
src_Geographical-Feature_4,src_Animal_46
src_Conductor_83,src_Economic-Organisation_453
src_Head-of-Government_466,src_International-Alliance_411
src_Time_209,src_Illness_184
src_Fictional-Event_112,src_Monastery_137
src_Battle_347,src_Philosopher_4
src_Artistic-Movement_110,src_Language_57
src_Functionary_326,src_Public-Oration_305
src_Trades-Unionist_287,src_Professor_238
src_Economic-Organisation_491,src_Abbey_309
src_Battle_436,src_Religious-Movement_272
src_Criminal_442,src_Work-of-Art_282
src_Technical-Scientific-Advance_332,src_Minister_300
src_Person-Role_181,src_Time_340
src_Ship_83,src_Uprising_18
src_Military-Unit_484,src_Queen_316
src_Creator_473,src_Artist_118
src_Category_392,src_Religious-Movement_398
src_Conductor_453,src_Scientific-Instrument_334
src_Geographical-Region_461,src_Social-Group_55
src_Trial_68,src_Trade-Association_62
src_Trade-Association_317,src_Ethnic-Group_123
src_Management-Organisation_96,src_Piece-of-Music_123
src_Structure_445,src_Religious-Ideology_76
src_Period-in-Office_468,src_Secular-Leader_267
src_Religious-Symbol_253,src_Building_83
src_University_344,src_Church-Reformer_217
src_Abstract-Notion_397,src_Religious-Practice_418
src_Religious-Order_79,src_Meeting_191
src_Sculpture_488,src_Trades-Union_277
src_Psychologist_387,src_Organisation_178
src_Location_45,src_Head-of-Government_23
src_Author_152,src_Physician_420
src_Religious-Ideology_242,src_Magnate_206
src_Sportsman_158,src_Social-Group_446
src_Country_110,src_Publisher_139
src_Entertainer_110,src_Newspaper_478
src_Armament_304,src_Artist_410
src_Scandal_402,src_Armament_94
src_Engineer_280,src_Idea_38
src_Technical-Scientific-Advance_354,src_VicodiOI_422
src_Other-Religious-Leader_123,src_Scandal_470
src_Illness_479,src_Meeting_481
src_Politician_164,src_Entertainer_270
src_Illness_120,src_Entertainer_416
src_Head-of-Government_231,src_Cathedral_346
src_Commodity_393,src_Clerical-Leader_37
src_Artistic-Movement_266,src_Legislation_458
src_VicodiOI_154,src_TemporalInterval_60
src_Event_308,src_TemporalInterval_204
src_Illness_314,src_Settlement_441
src_Prince_256,src_Economic-Organisation_463
src_Time_203,src_Sportsman_260
src_Physician_308,src_Painter_309
src_Pamphlet_381,src_Engineer_439
src_Religious-Movement_380,src_Business-Leader_385
src_Symbol_248,src_Publisher_335
src_Dramaturge_69,src_Battle_258
src_Cultural-Organisation_65,src_Journalist_423
src_Landmark_436,src_Organisation_142
src_Conceptual-Object_208,src_Pastime_179
src_Emperor_263,src_Dramaturge_51
src_Time-Dependent_146,src_Geographical-Region_5
src_Painting_120,src_Dramaturge_181
src_FuzzyTemporalInterval_231,src_Disaster_443
src_Geographical-Discovery_351,src_Writing_133
src_Symbol_245,src_Military-Person_190
src_Church_158,src_Fictional-Event_95
src_Disease_138,src_Economic-Organisation_272
src_Economic-Process_284,src_Entertainer_484
src_Painter_336,src_Economic-Process_63
src_Dancer_452,src_Country_316
src_Pastime_0,src_Flavour_7
src_Field-of-Knowledge_465,src_Ritual_445
src_Engineer_17,src_King_255
src_War_77,src_Geographer_70
src_VicodiOI_479,src_Foreign-Minister_192
src_Work-of-Art_271,src_Illness_180
src_Settlement_322,src_Country_124
src_Legislation_127,src_Theologian_112
src_Book_182,src_Philanthropist_288
src_Social-Stratum_198,src_Business-Leader_266
src_Armament_3,src_Crime_446
src_Fictional-Event_345,src_Journal_347
src_Badge_400,src_Newspaper_190
src_Pollution_101,src_Secular-Leader_211
src_Functionary_433,src_Commodity_28
src_Publisher_77,src_Abstract-Notion_211
src_Painter_111,src_Armament_97
src_Painter_293,src_Treaty_456
src_Abbey_63,src_Illness_417
src_Time-Dependent-Relation_474,src_Country_18
src_Ecclesiarch_357,src_Social-Stratum_491
src_Painting_128,src_Sultan_133
src_Ritual_45,src_Physician_353
src_Work-of-Art_143,src_Object_307
src_Measurable-Trend_48,src_Structure_434
src_Diplomat_419,src_Inventor_219
src_Vehicle_119,src_Philanthropist_339
src_Educational-Organisation_265,src_Non-Military-Conflict_131
src_Location_441,src_Treaty_311
src_Location-Part-Relation_278,src_Board_219
src_Criminal_361,src_Stereotype-Group_400
src_Cultural-Agreement_423,src_Time-Dependent-Relation_474
src_Relic_144,src_Party_164
src_Publisher_213,src_Secular-Leader_208
src_Management-Organisation_369,src_Film-Maker_314
src_Artefact_248,src_Church_98
src_Relic_200,src_Abstract-Notion_368
src_League_354,src_VicodiOI_183
src_Church-Reformer_354,src_Social-Stratum_255
src_Religious-Organisation_59,src_Secular-Movement_202
src_Social-Stratum_397,src_Saint_95
src_Entertainer_184,src_Masonic-Lodge_237
src_Astronaut_269,src_Artistic-Movement_54
src_Foreign-Minister_105,src_Governmental-Organisation_375
src_Religious-Symbol_256,src_Food_289
src_Architect_416,src_Artistic-Movement_254
src_Technical-Scientific-Advance_167,src_Abstract-Notion_382
src_Entertainer_133,src_Sportsman_474
src_Artistic-Style_0,src_Period_82
src_Other-Religious-Leader_298,src_Battle_403
src_Military-Person_145,src_Creator_272
src_Animal_279,src_Village_442
src_Book_71,src_Trial_104
src_Military-Unit_232,src_Time-Dependent-Relation_89
src_Jurist_457,src_Professor_60
src_Flavour_471,src_Prince_214
src_Disaster_136,src_Ethnic-Group_166
src_Geographical-Region_469,src_Painter_479
src_Clerical-Leader_463,src_Vehicle_116
src_Educational-Organisation_122,src_Battle_316
src_Political-Symbol_338,src_Religious-Ideology_385
src_Badge_55,src_Idea_194
src_League_292,src_Relic_38
src_Religious-Community_480,src_Field-of-Knowledge_209
src_Meeting_62,src_Cultural-Organisation_322
src_Settlement_12,src_Country_483
src_TemporalInterval_247,src_Criminal_493
src_Religious-Organisation_146,src_Journalist_99
src_Ship_460,src_Illness_278
src_Dramaturge_99,src_Measurable-Trend_274
src_Management-Organisation_116,src_Composer_168
src_Functionary_260,src_League_213
src_Educational-Organisation_34,src_Management-Organisation_267
src_Party_187,src_Discoverer_388
src_Time-Dependent_211,src_Geographical-Feature_475
src_Journal_43,src_Discoverer_180
src_Cathedral_38,src_Battle_324
src_Abbey_278,src_Publisher_194
src_Category_48,src_Category_404
src_Vehicle_112,src_Artistic-Style_77
src_Military-Person_388,src_Head-of-Government_25
src_Theologian_178,src_War_427
src_Art-Form_205,src_Village_443
src_Clothing_425,src_Creator_320
src_Dancer_232,src_Psychologist_177
src_Ecclesiarch_227,src_Uprising_268
src_Painting_104,src_Clerical-Leader_385
src_Masonic-Lodge_230,src_Saint_249
src_Measurable-Trend_95,src_Symbol_231
src_Symbol_62,src_Liturgical-Object_250
src_Population-Movement_301,src_Cleric_217
src_Vehicle_109,src_Physician_9
src_Prince_289,src_Population-Movement_213
src_Artist_158,src_Vehicle_270
src_Artistic-Style_102,src_Masonic-Lodge_181
src_Illness_232,src_Uprising_65
src_Diplomat_379,src_Clerical-Leader_461
src_Time-Dependent-Relation_193,src_Animal_47
src_Sultan_249,src_Educational-Organisation_372
src_Settlement_454,src_Non-Military-Conflict_392
src_Dynasty_31,src_Stereotype-Group_27
src_Category_195,src_Commodity_258
src_Publisher_352,src_Governmental-Organisation_168
src_Cultural-Organisation_309,src_Educational-Organisation_345
src_Intellectual-Construct_310,src_Party_204
src_Entertainer_141,src_Intra-State-Group_176
src_Inventor_499,src_TemporalInterval_489
src_Movement_412,src_Life-Event_14
src_Abbey_87,src_Social-Stratum_432
src_Ideology_422,src_Environment_70
src_Commodity_43,src_National-Symbol_279
src_International-Alliance_341,src_Politician_396
src_Trial_358,src_Educational-Organisation_187
src_Relic_1,src_Professor_207
src_Military-Person_111,src_Life-Event_491
src_Sultan_3,src_Clothing_105
src_Religious-Community_44,src_Sportsman_183
src_Military-Unit_304,src_Person-Role_4
src_Event_410,src_Astronaut_274
src_Secular-Leader_420,src_Cathedral_304
src_Symbol_415,src_Economic-Organisation_371
src_Military-Organisation_145,src_Cleric_303
src_Trade-Association_378,src_Management-Organisation_123
src_Minister_351,src_Religious-Practice_315
src_Sculptor_92,src_Head-of-Government_469
src_Idea_427,src_Philosopher_390
src_Theologian_242,src_Pope_80
src_Art-Form_366,src_Category_292
src_League_299,src_Fictional-Person_276
src_Emperor_445,src_International-Alliance_383
src_Journalist_380,src_Artefact_52
src_Religious-Symbol_72,src_Writing_234
src_Piece-of-Music_31,src_Functionary_425
src_Military-Unit_361,src_Sportsman_71
src_Period-in-Office_267,src_Book_321
src_Natural-Object_304,src_Animal_372
src_Emperor_4,src_Engineer_437
src_Pope_98,src_Theologian_285
src_Board_113,src_VicodiOI_131
src_King_59,src_Painter_292
src_Art-Form_287,src_Election_392
src_Educational-Organisation_205,src_Public-Oration_10
src_Entertainer_40,src_International-Organisation_154
src_Religious-Community_136,src_Management-Organisation_345
src_Sportsman_338,src_International-Alliance_495
src_Structure_366,src_Conductor_24
src_Political-Organisation_232,src_Cultural-Organisation_411
src_Category_483,src_Event_407
src_Criminal_118,src_Functionary_329
src_Legislation_123,src_Clothing_265
src_Population-Movement_50,src_Flavour_235
src_Religious-Practice_120,src_Military-Unit_417
src_Fictional-Event_419,src_University_409
src_Queen_111,src_Structure_431
src_Monastery_482,src_Conceptual-Object_373
src_Ecclesiarch_271,src_Population-Movement_181
src_Vehicle_52,src_Category_157
src_Disaster_0,src_Person-Role_239
src_Emperor_433,src_FuzzyTemporalInterval_459
src_Entertainer_299,src_Work-of-Art_101
src_Psychologist_485,src_Scientist_11
src_Representative-Institution_220,src_Armament_376
src_Flavour_350,src_Philosopher_429
src_Social-Group_341,src_Ideology_9
src_Trades-Unionist_199,src_Author_496
src_Liturgical-Object_258,src_King_492
src_Scientific-Instrument_52,src_Artist_223
src_Field-of-Knowledge_185,src_Business-Leader_81
src_Trades-Unionist_488,src_Landmark_19
src_Abstract-Notion_285,src_Symbol_374
src_Foreign-Minister_130,src_Location-Part-Relation_414
src_Architect_337,src_Ritual_102
src_Trades-Union_149,src_Secular-Ideology_201
src_Religious-Symbol_455,src_Physician_128
src_League_136,src_Business-Leader_66
src_Dynasty_450,src_Dynasty_265
src_Crime_242,src_Geographical-Feature_454
src_Event_110,src_Economic-Process_321
src_Environment_279,src_Building_356
src_Illness_165,src_Book_402
src_Religious-Practice_2,src_Time_336
src_Discoverer_257,src_Disaster_310
src_Writing_277,src_Leader_133
src_War_455,src_Journal_69
src_Intra-State-Group_41,src_FuzzyTemporalInterval_71
src_Role_463,src_Creator_117
src_Animal_492,src_Business-Leader_308
src_Period-in-Office_206,src_Commodity_296
src_Composer_371,src_Book_386
src_Country_214,src_Artist_136
src_Sportsman_246,src_Event_495
src_Educational-Organisation_342,src_King_458
src_Ideology_349,src_Pope_383
src_Organisation_233,src_Trial_22
src_Church_39,src_Ethnic-Group_470
src_Disaster_225,src_TemporalInterval_32
src_Criminal_24,src_Trade-Association_423
src_Religious-Order_281,src_Dancer_281
src_International-Organisation_472,src_Conceptual-Object_425
src_Disease_85,src_Role_382
src_Landmark_16,src_Foreign-Minister_93
src_Ecclesiarch_162,src_Cleric_439
src_Dramaturge_45,src_Time-Dependent_101
src_Other-Religious-Leader_417,src_Publisher_157
src_Pollution_453,src_Piece-of-Music_254
src_Trade-Association_138,src_Movement_25
src_Clothing_423,src_Ideology_214
src_Film-Maker_131,src_Location-Part-Relation_238
src_Discoverer_83,src_Sportsman_83
src_Religious-Movement_472,src_City_194
src_Piece-of-Music_133,src_Philanthropist_169
src_Cathedral_142,src_Economic-Symbol_413
src_Person_117,src_Inventor_211
src_Book_450,src_Legislation_236
src_Abbey_206,src_Secular-Movement_443
src_Crime_92,src_Economic-Symbol_239
src_Religious-Organisation_453,src_Symbol_361
src_Time-Dependent-Relation_58,src_Professor_122
src_Political-Region_296,src_Magnate_28
src_Period_460,src_Philanthropist_3
src_Inventor_337,src_Public-Oration_200
src_Artistic-Style_227,src_Organisation_342
src_Event_134,src_Treaty_91
src_Language_408,src_Head-of-State_339
src_Sculpture_376,src_Intellectual-Movement_356
src_Saint_132,src_Trial_471
src_Philosopher_194,src_Emperor_195
src_Object_443,src_Abbey_207
src_Painting_193,src_Water_362
src_Religious-Ideology_491,src_Governmental-Organisation_95
src_Illness_39,src_Treaty_211
src_Engineer_87,src_Party_63
src_Location-Part-Relation_41,src_Measurable-Trend_319
src_Magnate_182,src_Cathedral_413
src_Saint_415,src_Trades-Union_40
src_Religious-Community_236,src_Criminal_189
src_Location-Part-Relation_72,src_Food_11
src_Professor_365,src_Piece-of-Music_491
src_Ecclesiarch_312,src_Armament_387
src_Economic-Organisation_478,src_Location-Part-Relation_272
src_Scientist_328,src_Event_439
src_Architect_449,src_Artistic-Movement_401
src_Emperor_426,src_Sportsman_51
src_Journalist_1,src_Religious-Community_385
src_Clerical-Leader_339,src_Head-of-State_83
src_Functionary_229,src_Geographical-Feature_278
src_Food_402,src_Writing_290
src_Individual_60,src_Language_252
src_Foreign-Minister_464,src_Period_392
src_Measurable-Trend_383,src_Period_393
src_Publisher_339,src_Meeting_483
src_Time_8,src_Religious-Order_291
src_Religious-Community_445,src_Scientific-Instrument_205
src_Person_67,src_Musician_304
src_Military-Organisation_69,src_Scientist_8
src_Creator_64,src_Party_33
src_League_262,src_Dramaturge_473
src_Time-Dependent-Relation_498,src_Crime_486
src_Leader_460,src_Economic-Symbol_397
src_Military-Organisation_360,src_Social-Stratum_275
src_Foreign-Minister_52,src_Sculptor_330
src_Governmental-Organisation_203,src_Saint_29
src_Astronaut_356,src_Emperor_134
src_Time-Dependent-Relation_488,src_Liturgical-Object_129
src_Treaty_125,src_Intra-State-Group_58
src_Field-of-Knowledge_49,src_Ship_208
src_Armament_439,src_Magnate_441
src_Treaty_365,src_Commodity_253
src_Individual_405,src_Relic_90
src_Pastime_494,src_Sculpture_266
src_Art-Form_176,src_Economic-Symbol_440
src_Psychologist_207,src_Illness_422
src_Religious-Symbol_62,src_Masonic-Lodge_440
src_International-Alliance_292,src_Individual_307
src_Artistic-Style_329,src_Discoverer_445
src_Physician_291,src_Structure_17
src_Jurist_175,src_Pastime_271
src_Measurable-Trend_166,src_Political-Region_117
src_Saint_348,src_Trades-Unionist_277
src_Criminal_246,src_Person-Role_187
src_Time-Dependent-Relation_433,src_Religious-Practice_307
src_Artefact_447,src_Architect_411
src_Symbol_445,src_Conductor_292
src_Secular-Ideology_462,src_Object_95
src_Engineer_132,src_Disease_92
src_Disaster_485,src_Other-Religious-Leader_167
src_Religious-Ideology_13,src_Leader_230
src_Fictional-Person_295,src_Trial_239
src_Sultan_146,src_Food_374
src_Criminal_455,src_Sculptor_441
src_Trade-Association_52,src_Artefact_176
src_Fictional-Person_3,src_Political-Organisation_115
src_Disease_105,src_Structure_367
src_Geographical-Feature_398,src_Religious-Order_72
src_Engineer_443,src_University_474
src_Newspaper_296,src_Saint_68
src_Settlement_144,src_Environment_34
src_Other-Religious-Leader_218,src_Geographical-Region_427
src_Queen_434,src_Water_237
src_Ship_161,src_Ethnic-Group_33
src_Meeting_169,src_Trades-Unionist_276
src_Geographer_341,src_Election_121
src_Religious-Community_374,src_Entertainer_130
src_Conceptual-Object_100,src_Illness_225
src_Secular-Movement_436,src_Educational-Organisation_302
src_Other-Religious-Person_86,src_Village_346
src_Writing_230,src_Food_260
src_Stereotype-Group_371,src_Newspaper_478
src_Writing_257,src_Religious-Symbol_360
src_Jurist_322,src_Field-of-Knowledge_124
src_Discoverer_349,src_Cultural-Agreement_5
src_Film-Maker_10,src_Geographer_373
src_Commodity_117,src_International-Organisation_115
src_Structure_445,src_Queen_303
src_Musician_197,src_Geographer_121
src_Election_479,src_Theologian_160
src_Criminal_321,src_Ecclesiarch_163
src_Country_478,src_Economic-Symbol_370
src_Trial_473,src_King_56
src_Musician_112,src_TemporalInterval_374
src_Period_344,src_Musician_36
src_Crime_225,src_Church-Reformer_372
src_Sportsman_103,src_Prince_455
src_Newspaper_120,src_Physician_144
src_Dynasty_245,src_Pamphlet_424
src_FuzzyTemporalInterval_239,src_Business-Leader_408
src_Ship_25,src_Church-Reformer_182
src_Ecclesiarch_398,src_Church_487
src_Social-Group_337,src_Engineer_278
src_Religious-Leader_66,src_International-Alliance_410
src_Trial_379,src_Structure_130
src_Politician_375,src_Abstract-Notion_442
src_Cultural-Agreement_368,src_Astronaut_11
src_Saint_291,src_Governmental-Organisation_184
src_Geographer_190,src_Location_72
src_VicodiOI_166,src_Actor_112
src_Head-of-Government_35,src_Political-Organisation_352
src_Foreign-Minister_338,src_Flavour_410
src_National-Symbol_170,src_Jurist_495
src_Crime_378,src_Engineer_299
src_Artistic-Movement_18,src_FuzzyTemporalInterval_234
src_Musician_173,src_Idea_168
src_Commodity_444,src_Queen_197
src_Organisation_446,src_Philosopher_92
src_Natural-Object_195,src_Animal_55
src_Ideology_318,src_Emperor_22
src_Trade-Association_283,src_Sculpture_410
src_Piece-of-Music_111,src_Newspaper_377
src_Battle_137,src_Building_114
src_Idea_81,src_Emperor_194
src_Dramaturge_258,src_Idea_414
src_TemporalInterval_0,src_Idea_21
src_Sculptor_229,src_Election_139
src_Religious-Community_43,src_Cathedral_280
src_Liturgical-Object_132,src_Physician_166
src_Conductor_385,src_Landmark_174
src_Political-Symbol_427,src_Cleric_437
src_Economic-Process_223,src_Time_312
src_Governmental-Organisation_410,src_International-Alliance_47
src_Cultural-Agreement_118,src_Religious-Community_30
src_Other-Religious-Leader_485,src_Cultural-Organisation_387
src_Trades-Union_388,src_Event_186
src_Fictional-Event_187,src_Foreign-Minister_212
src_Geographer_359,src_Treaty_368
src_Religious-Community_137,src_Stereotype-Group_311
src_Scientific-Instrument_147,src_Head-of-State_20
src_Election_65,src_Business-Leader_391
src_Actor_151,src_Religious-Organisation_103
src_Trade-Association_30,src_Period_363
src_Journalist_241,src_Dancer_358
src_International-Alliance_424,src_Prince_223
src_Period_372,src_Food_180
src_Pope_126,src_Management-Organisation_499
src_Social-Stratum_498,src_Object_416
src_Commodity_254,src_Physician_90
src_Political-Organisation_227,src_Scientific-Instrument_284
src_Functionary_208,src_Author_136
src_Flavour_362,src_National-Symbol_275
src_Cathedral_320,src_Artefact_0
src_Meeting_213,src_Other-Religious-Leader_499
src_Uprising_155,src_King_254
src_Measurable-Trend_186,src_Battle_323
src_Geographer_131,src_Newspaper_193
